Wavelength (µm) raw,SynOl_Fo50 raw,Wavelength (µm) bin avg,SynOl_Fo50 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo50 cubic spline of bin avg
0.67,0.59655,1.18461,0.31438999999999995,1.184612549019608,0.3143908740987187
0.675,0.59508,1.19459,0.317665,1.1945935294117647,0.3176661882295801
0.68,0.59427,1.20458,0.321395,1.2045745098039216,0.321392721617927
0.685,0.59174,1.21456,0.325285,1.2145554901960784,0.3252836792525275
0.69,0.58849,1.22454,0.327445,1.2245364705882353,0.32744417961751
0.695,0.58623,1.23452,0.33033,1.2345174509803922,0.330329250996705
0.7,0.58295,1.2445,0.332885,1.2444984313725491,0.3328846431645345
0.705,0.5782,1.25448,0.335235,1.254479411764706,0.33523484076520377
0.71,0.57345,1.26446,0.33824,1.264460392156863,0.33824011742242605
0.715,0.56987,1.27444,0.34096499999999996,1.2744413725490196,0.34096534866368977
0.72,0.56434,1.28442,0.34375500000000003,1.2844223529411765,0.34375580540858985
0.725,0.5588,1.2944,0.34767000000000003,1.2944033333333334,0.3476713079534585
0.73,0.5532,1.30438,0.35158,1.3043843137254902,0.3515818995960274
0.735,0.54759,1.31437,0.35639,1.3143652941176471,0.35638780680556686
0.74,0.54166,1.32435,0.361025,1.324346274509804,0.36102301353617144
0.745,0.53537,1.33433,0.367005,1.334327254901961,0.36700337533749683
0.75,0.5299,1.34431,0.3728,1.3443082352941178,0.3727988723189581
0.755,0.52328,1.35429,0.379785,1.3542892156862745,0.3797844559196253
0.76,0.5171,1.36427,0.38634999999999997,1.3642701960784314,0.38635012927809814
0.765,0.50977,1.37425,0.3933,1.3742511764705883,0.39330086077920734
0.77,0.50257,1.38423,0.40115999999999996,1.3842321568627451,0.40116186778821133
0.775,0.49597,1.39421,0.41056499999999996,1.394213137254902,0.4105681197461566
0.78,0.48841,1.40419,0.420505,1.404194117647059,0.4205090003561216
0.785,0.48132,1.41418,0.429945,1.4141750980392158,0.4299403808971991
0.79,0.47428,1.42416,0.43920000000000003,1.4241560784313727,0.43919656396443557
0.795,0.46725,1.43414,0.44791000000000003,1.4341370588235294,0.4479071961005771
0.8,0.46189,1.44412,0.458365,1.4441180392156863,0.45836289925647417
0.805,0.45313,1.4541,0.468995,1.4540990196078432,0.46899392224061554
0.81,0.44642,1.46408,0.48013,1.46408,0.48013
0.815,0.43992,1.47406,0.490575,1.474060980392157,0.49057607054267005
0.82,0.43338,1.48404,0.50197,1.4840419607843138,0.501972202780422
0.825,0.42739,1.49402,0.512895,1.4940229411764707,0.5128983051836346
0.83,0.42086,1.504,0.524485,1.5040039215686276,0.5244895083518976
0.835,0.41546,1.51399,0.535765,1.5139849019607845,0.5357591421793905
0.84,0.40999,1.52397,0.547335,1.5239658823529412,0.5473303901797976
0.845,0.40561,1.53395,0.5582,1.533946862745098,0.5581964958966085
0.85,0.40025,1.54393,0.56969,1.543927843137255,0.5696875570875815
0.855,0.39417,1.55391,0.58041,1.5539088235294118,0.5804087894518493
0.86,0.39062,1.56389,0.5905400000000001,1.5638898039215687,0.5905398001806977
0.865,0.38619,1.57387,0.601025,1.5738707843137256,0.6010258561726187
0.87,0.38255,1.58385,0.611855,1.5838517647058825,0.611856803088227
0.875,0.37848,1.59383,0.6214299999999999,1.5938327450980394,0.6214326217911745
0.88,0.3751,1.60381,0.63115,1.6038137254901963,0.631153569186334
0.885,0.37167,1.6138,0.6404099999999999,1.613794705882353,0.6404051540291836
0.89,0.36833,1.62378,0.6494500000000001,1.6237756862745099,0.649446209261209
0.895,0.3657,1.63376,0.65774,1.6337566666666667,0.6577374029621836
0.9,0.36258,1.64374,0.66534,1.6437376470588236,0.6653381613533039
0.905,0.36201,1.65372,0.673305,1.6537186274509805,0.6733039376193801
0.91,0.3588,1.6637,0.68089,1.6636996078431374,0.6808896875051487
0.915,0.35588,1.67368,0.688715,1.6736805882352943,0.6887153945761256
0.92,0.35296,1.68366,0.694455,1.683661568627451,0.6944559374808452
0.925,0.3498,1.69364,0.7001900000000001,1.6936425490196079,0.7001909890950644
0.93,0.34718,1.70362,0.703255,1.7036235294117648,0.7032567483092099
0.935,0.3434,1.7136,0.71058,1.7136045098039216,0.7105834015986014
0.94,0.3398,1.72359,0.7167300000000001,1.7235854901960785,0.7167275812231196
0.945,0.33672,1.73357,0.721635,1.7335664705882354,0.7216335118644334
0.95,0.33314,1.74355,0.725425,1.7435474509803923,0.725424003427322
