Wavelength (µm) raw,SynOl_Fo40 raw,Wavelength (µm) bin avg,SynOl_Fo40 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo40 cubic spline of bin avg
0.3,0.04682,0.44602,0.33625,0.44602,0.33625
0.305,0.0468,0.456,0.338785,0.45600098039215686,0.33878608203482696
0.31,0.04579,0.46598,0.35614999999999997,0.46598196078431375,0.3561544506509034
0.315,0.04689,0.47596,0.37983,0.47596294117647064,0.37983633947091094
0.32,0.04864,0.48595,0.394345,0.4859439215686275,0.39434143683000944
0.325,0.05157,0.49593,0.40046499999999996,0.4959249019607843,0.4004563407403905
0.33,0.05585,0.50591,0.427915,0.5059058823529412,0.42790385142868315
0.335,0.05985,0.51589,0.445915,0.5158868627450981,0.44591144029799396
0.34,0.06534,0.52587,0.45629,0.525867843137255,0.4562872299011931
0.345,0.0734,0.53585,0.47270999999999996,0.5358488235294118,0.4727079031510588
0.35,0.08343,0.54583,0.48850499999999997,0.5458298039215687,0.48850475094397433
0.355,0.09598,0.55581,0.49800999999999995,0.5558107843137255,0.4980105821031264
0.36,0.11253,0.56579,0.5040899999999999,0.5657917647058823,0.5040907868822092
0.365,0.13142,0.57577,0.507425,0.5757727450980392,0.5074258351918032
0.37,0.15317,0.58576,0.5104850000000001,0.5857537254901961,0.5104833776475249
0.375,0.1753,0.59574,0.5122899999999999,0.595734705882353,0.5122893478293177
0.38,0.19749,0.60572,0.5128550000000001,0.6057156862745099,0.5128551669137446
0.385,0.21817,0.6157,0.512305,0.6156966666666667,0.5123048791202137
0.39,0.23815,0.62568,0.51486,0.6256776470588236,0.5148588327778832
0.395,0.25561,0.63566,0.5218,0.6356586274509805,0.521798856194393
0.4,0.26471,0.64564,0.53021,0.6456396078431372,0.5302096922807719
0.405,0.27486,0.65562,0.5366,0.6556205882352941,0.5366002804799892
0.41,0.29805,0.6656,0.53954,0.665601568627451,0.539540176618978
0.415,0.30999,0.67558,0.53911,0.6755825490196079,0.5391095594355075
0.42,0.31709,0.68556,0.536635,0.6855635294117648,0.5366339601129154
0.425,0.32253,0.69555,0.5326249999999999,0.6955445098039216,0.5326282759699315
0.43,0.32756,0.70553,0.525235,0.7055254901960785,0.525238355124745
0.435,0.33341,0.71551,0.518295,0.7155064705882352,0.5182975945294563
0.44,0.33929,0.72549,0.51,0.7254874509803921,0.5100022816343243
0.445,0.33919,0.73547,0.50063,0.735468431372549,0.5006315600067373
