Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.2211,0.195955,0.44602,0.4986973333333333,0.44602,0.4986973333333333
0.2291,0.187665,0.456,0.5065926000000001,0.4579312735849057,0.5079630282404382
0.2361,0.178616,0.46598,0.5138469999999999,0.46984254716981133,0.5169852759318025
0.2421,0.17749,0.47596,0.5219194,0.481753820754717,0.5259766198610394
0.2481,0.184264,0.48595,0.5287919999999999,0.4936650943396227,0.5341130349578849
0.2536,0.197903,0.49593,0.5355155999999999,0.5055763679245283,0.5410046261471936
0.2586,0.215067,0.50591,0.5412386,0.517487641509434,0.5499394917594167
0.2636,0.240047,0.51589,0.5490160000000001,0.5293989150943397,0.558242471792183
0.2686,0.265625,0.52587,0.5547175999999999,0.5413101886792453,0.5740775471086779
0.2731,0.291515,0.53585,0.5665598,0.553221462264151,0.5973389100934721
0.2771,0.314117,0.54583,0.5813694,0.5651327358490567,0.6327682359142595
0.2811,0.3387,0.55581,0.6041321999999999,0.5770440094339623,0.6721380201294892
0.2851,0.360196,0.56579,0.6349623999999999,0.588955283018868,0.7050304941709656
0.2891,0.375613,0.57577,0.668219,0.6008665566037736,0.7254809049534601
0.2931,0.389767,0.58576,0.6966287999999999,0.6127778301886793,0.7349891853892586
0.2971,0.397667,0.59574,0.7195525999999999,0.624689103773585,0.738029398168452
0.3011,0.405406,0.60572,0.7291882857142856,0.6366003773584906,0.7412125276905512
0.3051,0.414932,0.6157,0.7367233333333333,0.6485116509433962,0.7445069759035357
0.3091,0.416259,0.62568,0.7381321666666668,0.660422924528302,0.7493949598588638
0.3131,0.419996,0.63566,0.7409316,0.6723341981132076,0.7534587674060739
0.3171,0.427737,0.64564,0.7436122000000001,0.6842454716981132,0.7565659373985109
0.3211,0.429822,0.65562,0.7472416,0.6961567452830189,0.7619296071133745
0.3251,0.431076,0.6656,0.75153,0.7080680188679246,0.7641217787507495
0.3291,0.434675,0.67558,0.7541926666666666,0.7199792924528303,0.7685318363662796
0.3331,0.437229,0.68556,0.7570933333333333,0.731890566037736,0.7720369496617122
0.3371,0.438814,0.69555,0.76173575,0.7438018396226416,0.7748723882706093
0.3411,0.438399,0.70553,0.7635888,0.7557131132075472,0.7757002682433083
0.3451,0.443988,0.71551,0.7665794,0.7676243867924529,0.7759676778598718
0.3491,0.442683,0.72549,0.7706676,0.7795356603773586,0.7776292076609985
0.3531,0.446568,0.73547,0.7727164,0.7914469339622643,0.7811848130440654
0.3571,0.445349,0.74545,0.77519925,0.8033582075471699,0.7803152583224231
0.3606,0.45046,0.75543,0.7757027499999999,0.8152694811320755,0.778223643580598
0.3636,0.448907,0.76541,0.7758240000000001,0.8271807547169812,0.7774885071550584
0.3666,0.448934,0.77539,0.7768853333333333,0.8390920283018869,0.7790282503674322
0.3696,0.45152,0.78537,0.7791573333333334,0.8510033018867925,0.7790985805036704
0.3726,0.453079,0.79536,0.7818285,0.8629145754716983,0.7803317802812747
0.3756,0.45195,0.80534,0.779785,0.8748258490566039,0.7799188609798074
0.3786,0.452586,0.81532,0.7782169999999999,0.8867371226415095,0.7774715203695949
0.3811,0.452655,0.8253,0.7773479999999999,0.8986483962264151,0.7800582966232532
0.3831,0.453803,0.83528,0.778715,0.9105596698113209,0.77481587668431
0.3851,0.452619,0.85524,0.77932,0.9224709433962266,0.7809165790757517
0.3871,0.457634,0.8752,0.779802,0.9343822169811322,0.7755412247341202
0.3891,0.458451,0.88518,0.777078,0.9462934905660378,0.7815697946740224
0.3911,0.457841,0.89517,0.780799,0.9582047641509435,0.7794404927036914
0.3931,0.461611,0.90515,0.776453,0.9701160377358491,0.7823079564909728
0.3951,0.461936,0.91513,0.775866,0.9820273113207547,0.7826557776368845
0.3971,0.460164,0.92511,0.781379,0.9939385849056606,0.7786634837638803
0.3991,0.464542,0.93509,0.77542,1.0058498584905662,0.7820568050085496
0.4011,0.466187,0.94507,0.7812425000000001,1.0177611320754718,0.7804413123406653
0.4031,0.469327,0.95505,0.779674,1.0296724056603774,0.7797069038729538
0.4051,0.468462,0.96503,0.7808105,1.041583679245283,0.7794641042691047
0.4071,0.465355,0.97501,0.78324,1.053494952830189,0.7798507947454825
0.4091,0.46907,0.98499,0.781706,1.0654062264150945,0.7805389245335137
0.4111,0.470675,0.99497,0.778689,1.0773175000000001,0.7797018752346454
0.4128,0.473206,1.00496,0.7820185,1.0892287735849058,0.777400495265913
0.4158,0.473499,1.01494,0.780218,1.1011400471698114,0.7782799642072681
0.4188,0.476727,1.02492,0.7813115,1.113051320754717,0.7789659909987104
0.4218,0.47737,1.0349,0.7780295,1.1249625943396229,0.7775602997456408
0.4248,0.479724,1.04488,0.7803475,1.1368738679245285,0.7768015223679223
0.4278,0.482271,1.05486,0.779759,1.1487851415094341,0.7777154738091285
0.4308,0.485698,1.06484,0.780524,1.1606964150943397,0.7762896225390211
0.4338,0.488085,1.07482,0.779869,1.1726076886792454,0.7774131479539782
0.4368,0.489452,1.0848,0.778761,1.184518962264151,0.7776385923979191
0.4398,0.494819,1.09478,0.7764765,1.1964302358490568,0.7768771506121683
0.4428,0.496533,1.10477,0.7793795,1.2083415094339625,0.7768479386113023
0.4458,0.497119,1.11475,0.778678,1.220252783018868,0.7776595464947187
0.4488,0.50244,1.12473,0.7775805,1.2321640566037737,0.7772088036214918
0.4513,0.502836,1.13471,0.776859,1.2440753301886793,0.78283634232271
0.4533,0.506541,1.14469,0.7771669999999999,1.255986603773585,0.7792086101735383
0.4553,0.506384,1.15467,0.7778255000000001,1.2678978773584908,0.7803725665814655
0.4573,0.509059,1.16465,0.7756685,1.2798091509433964,0.7795409740669448
0.4593,0.508143,1.17463,0.7778745,1.291720424528302,0.7790911709159153
0.4613,0.508736,1.18461,0.777629,1.3036316981132077,0.7815755218074704
0.4633,0.512207,1.19459,0.7769355,1.3155429716981133,0.7810909620887063
0.4653,0.513481,1.20458,0.7768035,1.327454245283019,0.7820758395665256
0.4673,0.515602,1.21456,0.77715,1.3393655188679248,0.7804424323863984
0.4693,0.519209,1.22454,0.7776905000000001,1.3512767924528304,0.7811385552369762
0.4713,0.51818,1.23452,0.7777685,1.363188066037736,0.7786115945708332
