Wavelength (µm),BKR1KW003D anorthite Kierra <45µm,Wavelength (µm) target,BKR1KW003D anorthite Kierra <45µm target
0.97,0.903228,1.7835,0.9191715
0.975,0.903667,1.7935,0.9192389999999999
0.98,0.902217,1.8034,0.919338
0.985,0.902253,1.8134,0.9201385
0.99,0.901362,1.8234,0.920355
0.995,0.901048,1.8334,0.9205589999999999
1.0,0.900987,1.8434,0.9204395000000001
1.005,0.899747,1.8533,0.92023
1.01,0.898925,1.8633,0.9206275
1.015,0.898739,1.8733,0.9190045
1.02,0.897516,1.8833,0.919065
1.025,0.897182,1.8933,0.918363
1.03,0.896422,1.9032,0.9167879999999999
1.035,0.896609,1.9132,0.9161805000000001
1.04,0.895674,1.9232,0.915144
1.045,0.895432,1.9332,0.9157005
1.05,0.894533,1.9432,0.9159065
1.055,0.894356,1.9532,0.9164865
1.06,0.893754,1.9631,0.9165995
1.065,0.89388,1.9731,0.9169695
1.07,0.893085,1.9831,0.9174340000000001
1.075,0.892589,1.9931,0.9178554999999999
1.08,0.892353,2.0031,0.9188405
1.085,0.892769,2.013,0.9188035
1.09,0.892965,2.023,0.91852
1.095,0.892691,2.033,0.9190115
1.1,0.892508,2.043,0.9192005
1.105,0.892166,2.053,0.9191555
1.11,0.891865,2.0629,0.9186544999999999
1.115,0.891667,2.0729,0.9190365
1.12,0.891786,2.0829,0.9194445
1.125,0.891081,2.0929,0.9195955
1.13,0.890723,2.1029,0.9197675000000001
1.135,0.890841,2.1128,0.9196175
1.14,0.890625,2.1228,0.919605
1.145,0.890603,2.1328,0.9197500000000001
1.15,0.889703,2.1428,0.9189514999999999
1.155,0.889732,2.1528,0.9182255
1.16,0.889428,2.1628,0.9177355
1.165,0.889406,2.1727,0.9178415
1.17,0.888838,2.1827,0.917979
1.175,0.888983,2.1927,0.9187685
1.18,0.889109,2.2027,0.919002
1.185,0.889158,2.2127,0.9180545
1.19,0.88822,2.2226,0.918147
1.195,0.887962,2.2326,0.917538
1.2,0.888286,2.2426,0.917478
1.205,0.88762,2.2526,0.9185464999999999
1.21,0.887483,2.2626,0.9192024999999999
1.215,0.887599,2.2725,0.9196545
1.22,0.887321,2.2825,0.9201969999999999
1.225,0.887482,2.2925,0.921045
1.23,0.887409,2.3025,0.92152
1.235,0.887503,2.3125,0.9220345
1.24,0.887007,2.3224,0.9227055
1.245,0.887675,2.3324,0.923134
1.25,0.887315,2.3424,0.9232155
1.255,0.887406,2.3524,0.9236545
1.26,0.887284,2.3624,0.9227354999999999
1.265,0.887259,2.3724,0.9212119999999999
1.27,0.887362,2.3823,0.920619
1.275,0.887875,2.3923,0.9206019999999999
1.28,0.887845,2.4023,0.920595
1.285,0.88755,2.4123,0.9197845
1.29,0.888248,2.4223,0.9191435
1.295,0.888348,2.4322,0.918821
1.3,0.88833,2.4422,0.9183030000000001
1.305,0.888337,2.4522,0.9180085
1.31,0.888721,2.4622,0.9181995000000001
1.315,0.888826,2.4722,0.918213
1.32,0.889486,2.4821,0.9187535
1.325,0.889401,2.4921,0.919062
1.33,0.889254,2.5021,0.9205851428571429
1.335,0.889524,2.5121,0.920485375
1.34,0.890181,2.5221,0.9204688888888888
1.345,0.890442,2.532,0.9205773749999999
1.35,0.891436,2.542,0.92064475
1.355,0.89104,2.552,0.9206923750000001
1.36,0.891395,2.562,0.9207554285714284
1.365,0.891429,2.572,0.920709625
1.37,0.892174,2.5819,0.920727
1.375,0.891327,2.5919,0.9207047500000001
1.38,0.891614,2.6019,0.9204148571428572
1.385,0.892365,2.6119,0.9200623750000001
1.39,0.892831,2.6219,0.9197765000000001
1.395,0.892205,2.6319,0.9191825714285713
1.4,0.89245,2.6418,0.9183141428571429
1.405,0.892658,2.6518,0.91645825
1.41,0.892988,2.6618,0.9115272857142857
1.415,0.893391,2.6718,0.9022082857142857
1.42,0.893775,2.6818,0.8908264999999999
1.425,0.895074,2.6917,0.8822672857142857
1.43,0.896509,2.7017,0.8739292857142857
1.435,0.896614,2.7117,0.8640461428571429
1.44,0.897011,2.7217,0.8532621428571429
1.445,0.8971,2.7317,0.8409755714285714
1.45,0.897968,2.7416,0.8271544285714286
1.455,0.898304,2.7516,0.8134483333333332
1.46,0.899176,2.7616,0.8004490000000001
1.465,0.899257,2.7716,0.7880007142857142
1.47,0.900644,2.7816,0.7774868571428571
1.475,0.900897,2.7916,0.769146
1.48,0.900965,2.8015,0.7620287142857143
1.485,0.901328,2.8115,0.7556893333333333
1.49,0.901928,2.8215,0.7501730000000001
1.495,0.902389,2.8315,0.7451705
1.5,0.903146,2.8414,0.7406178571428572
1.505,0.903304,2.8514,0.7364916666666667
1.51,0.903548,2.8614,0.7329175000000001
1.515,0.904044,2.8714,0.7293281428571429
1.52,0.904827,2.8814,0.7262311666666666
1.525,0.905816,2.8914,0.7236750000000001
1.53,0.905792,2.9013,0.7215548333333334
1.535,0.905754,2.9113,0.719658
1.54,0.906497,2.9213,0.7181266666666667
1.545,0.906348,2.9313,0.7168078571428571
1.55,0.906523,2.9413,0.7158653333333334
1.555,0.907627,2.9513,0.7154224
1.56,0.907971,2.9612,0.7150545
1.565,0.908586,2.9712,0.7150596666666665
1.57,0.909174,2.9812,0.7153051666666667
1.575,0.909409,2.9912,0.7159235
1.58,0.910165,,
1.585,0.910136,,
1.59,0.910072,,
1.595,0.910654,,
1.6,0.910951,,
1.605,0.911069,,
1.61,0.910997,,
1.615,0.911428,,
1.62,0.91144,,
1.625,0.912107,,
1.63,0.911858,,
1.635,0.911899,,
1.64,0.912717,,
1.645,0.91408,,
1.65,0.914228,,
1.655,0.913465,,
1.66,0.914322,,
1.665,0.915824,,
1.67,0.916654,,
1.675,0.916722,,
1.68,0.917889,,
1.685,0.918242,,
1.69,0.91843,,
1.695,0.918687,,
1.7,0.918469,,
1.705,0.918472,,
1.71,0.918583,,
1.715,0.918818,,
1.72,0.918679,,
1.725,0.918491,,
1.73,0.918237,,
1.735,0.918584,,
1.74,0.918196,,
1.745,0.918519,,
1.75,0.918034,,
1.755,0.918054,,
1.76,0.91805,,
1.765,0.918823,,
1.77,0.918726,,
1.775,0.919026,,
1.78,0.919093,,
1.785,0.91925,,
1.79,0.919743,,
1.795,0.918735,,
1.8,0.919631,,
1.805,0.919045,,
1.81,0.920048,,
1.815,0.920229,,
1.82,0.92054,,
1.825,0.92017,,
1.83,0.920959,,
1.835,0.920159,,
1.84,0.920508,,
1.845,0.920371,,
1.85,0.920176,,
1.855,0.920284,,
1.86,0.921444,,
1.865,0.919811,,
1.87,0.918097,,
1.875,0.919912,,
1.88,0.920033,,
1.885,0.918097,,
1.89,0.918573,,
1.895,0.918153,,
1.9,0.916868,,
1.905,0.916708,,
1.91,0.916904,,
1.915,0.915457,,
1.92,0.915272,,
1.925,0.915016,,
1.93,0.915322,,
1.935,0.916079,,
1.94,0.915575,,
1.945,0.916238,,
1.95,0.916358,,
1.955,0.916615,,
1.96,0.916618,,
1.965,0.916581,,
1.97,0.917215,,
1.975,0.916724,,
1.98,0.917406,,
1.985,0.917462,,
1.99,0.917689,,
1.995,0.918022,,
2.0,0.918882,,
2.005,0.918799,,
2.01,0.918486,,
2.015,0.919121,,
2.02,0.918489,,
2.025,0.918551,,
2.03,0.918995,,
2.035,0.919028,,
2.04,0.919068,,
2.045,0.919333,,
2.05,0.919099,,
2.055,0.919212,,
2.06,0.918713,,
2.065,0.918596,,
2.07,0.918903,,
2.075,0.91917,,
2.08,0.919302,,
2.085,0.919587,,
2.09,0.9193,,
2.095,0.919891,,
2.1,0.919722,,
2.105,0.919813,,
2.11,0.919444,,
2.115,0.919791,,
2.12,0.919755,,
2.125,0.919455,,
2.13,0.919834,,
2.135,0.919666,,
2.14,0.919423,,
2.145,0.91848,,
2.15,0.918556,,
2.155,0.917895,,
2.16,0.917762,,
2.165,0.917709,,
2.17,0.918095,,
2.175,0.917588,,
2.18,0.918138,,
2.185,0.91782,,
2.19,0.918926,,
2.195,0.918611,,
2.2,0.919318,,
2.205,0.918686,,
2.21,0.918047,,
2.215,0.918062,,
2.22,0.917857,,
2.225,0.918437,,
2.23,0.917245,,
2.235,0.917831,,
2.24,0.917607,,
2.245,0.917349,,
2.25,0.918683,,
2.255,0.91841,,
2.26,0.919202,,
2.265,0.919203,,
2.27,0.919354,,
2.275,0.919955,,
2.28,0.919831,,
2.285,0.920563,,
2.29,0.920842,,
2.295,0.921248,,
2.3,0.920785,,
2.305,0.922255,,
2.31,0.922095,,
2.315,0.921974,,
2.32,0.922638,,
2.325,0.922773,,
2.33,0.923089,,
2.335,0.923179,,
2.34,0.923163,,
2.345,0.923268,,
2.35,0.923586,,
2.355,0.923723,,
2.36,0.92265,,
2.365,0.922821,,
2.37,0.921318,,
2.375,0.921106,,
2.38,0.920754,,
2.385,0.920484,,
2.39,0.920801,,
2.395,0.920403,,
2.4,0.920793,,
2.405,0.920397,,
2.41,0.920328,,
2.415,0.919241,,
2.42,0.919326,,
2.425,0.918961,,
2.43,0.918508,,
2.435,0.919134,,
2.44,0.917926,,
2.445,0.91868,,
2.45,0.917863,,
2.455,0.918154,,
2.46,0.918176,,
2.465,0.918223,,
2.47,0.918413,,
2.475,0.918013,,
2.48,0.919038,,
2.485,0.918469,,
2.49,0.919112,,
2.495,0.919012,,
2.5,0.920649,,
2.5002,0.920653,,
2.50141,0.920582,,
2.50262,0.920515,,
2.50383,0.920578,,
2.50503,0.920583,,
2.50625,0.920536,,
2.50746,0.920537,,
2.50867,0.920486,,
2.50989,0.920462,,
2.5111,0.920484,,
2.5123200000000003,0.920493,,
2.5135300000000003,0.920458,,
2.51475,0.920473,,
2.51597,0.92049,,
2.5171900000000003,0.920512,,
2.51842,0.920488,,
2.51964,0.920475,,
2.52087,0.920469,,
2.52209,0.920471,,
2.52332,0.920499,,
2.52455,0.920488,,
2.52578,0.920435,,
2.52701,0.920383,,
2.52824,0.920446,,
2.52947,0.920537,,
2.53071,0.920629,,
2.53194,0.92069,,
2.5331799999999998,0.920629,,
2.53442,0.920525,,
2.53566,0.920558,,
2.5369,0.920605,,
2.53814,0.920616,,
2.53938,0.920605,,
2.54063,0.920574,,
2.54187,0.920616,,
2.54312,0.920719,,
2.54437,0.920685,,
2.54562,0.920664,,
2.5468699999999997,0.920679,,
2.54812,0.920672,,
2.5493699999999997,0.920673,,
2.55063,0.920683,,
2.55188,0.920725,,
2.55314,0.920753,,
2.5543899999999997,0.920686,,
2.55565,0.920664,,
2.55691,0.920683,,
2.55817,0.920708,,
2.55944,0.920696,,
2.5606999999999998,0.920712,,
