Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.3786,0.452586,0.6656,0.75153,0.6673373913043479,0.7521136834673775
0.3811,0.452655,0.67558,0.7541926666666666,0.6773972727272728,0.7546001841314005
0.3831,0.453803,0.68556,0.7570933333333333,0.6874571541501977,0.7579651287312964
0.3851,0.452619,0.69555,0.76173575,0.6975170355731226,0.7622954044668925
0.3871,0.457634,0.70553,0.7635888,0.7075769169960475,0.7640057021837356
0.3891,0.458451,0.71551,0.7665794,0.7176367984189724,0.7674920528053712
0.3911,0.457841,0.72549,0.7706676,0.7276966798418973,0.7712445349687272
0.3931,0.461611,0.73547,0.7727164,0.7377565612648221,0.7732803963086275
0.3951,0.461936,0.74545,0.77519925,0.747816442687747,0.7755101902392322
0.3971,0.460164,0.75543,0.7757027499999999,0.757876324110672,0.7756851479232444
0.3991,0.464542,0.76541,0.7758240000000001,0.7679362055335969,0.7759923827895948
0.4011,0.466187,0.77539,0.7768853333333333,0.7779960869565218,0.7773276129581581
0.4031,0.469327,0.78537,0.7791573333333334,0.7880559683794467,0.7800860444539887
0.4051,0.468462,0.79536,0.7818285,0.7981158498023716,0.7816208121660726
0.4071,0.465355,0.80534,0.779785,0.8081757312252964,0.779196834842613
0.4091,0.46907,0.81532,0.7782169999999999,0.8182356126482213,0.7778216939715397
0.4111,0.470675,0.8253,0.7773479999999999,0.8282954940711462,0.7776233824605375
0.4128,0.473206,0.83528,0.778715,0.8383553754940711,0.7789897905088659
0.4158,0.473499,0.85524,0.77932,0.848415256916996,0.7790777340570375
0.4188,0.476727,0.8752,0.779802,0.858475138339921,0.7797027062489587
0.4218,0.47737,0.88518,0.777078,0.8685350197628459,0.780769595242767
0.4248,0.479724,0.89517,0.780799,0.8785949011857708,0.7784820972119035
0.4278,0.482271,0.90515,0.776453,0.8886547826086957,0.778292334627779
0.4308,0.485698,0.91513,0.775866,0.8987146640316206,0.7800300715638543
0.4338,0.488085,0.92511,0.781379,0.9087745454545455,0.775067980865912
0.4368,0.489452,0.93509,0.77542,0.9188344268774704,0.778497152769528
0.4398,0.494819,0.94507,0.7812425000000001,0.9288943083003953,0.7793011997888822
0.4428,0.496533,0.95505,0.779674,0.9389541897233202,0.7769058867465365
0.4458,0.497119,0.96503,0.7808105,0.9490140711462451,0.7814528419069654
0.4488,0.50244,0.97501,0.78324,0.95907395256917,0.77950067814077
0.4513,0.502836,0.98499,0.781706,0.969133833992095,0.7820369154579248
0.4533,0.506541,0.99497,0.778689,0.9791937154150199,0.7831801328609505
0.4553,0.506384,1.00496,0.7820185,0.9892535968379448,0.7798828484610683
0.4573,0.509059,1.01494,0.780218,0.9993134782608697,0.7800520654001708
0.4593,0.508143,1.02492,0.7813115,1.0093733596837946,0.7814632024195998
0.4613,0.508736,1.0349,0.7780295,1.0194332411067195,0.7807702756394374
0.4633,0.512207,1.04488,0.7803475,1.0294931225296442,0.7797858895416222
0.4653,0.513481,1.05486,0.779759,1.039553003952569,0.7787833169095223
0.4673,0.515602,1.06484,0.780524,1.049612885375494,0.7803254330174031
0.4693,0.519209,1.07482,0.779869,1.059672766798419,0.7800307881702107
0.4713,0.51818,1.0848,0.778761,1.0697326482213438,0.7803497787281579
0.4733,0.520903,1.09478,0.7764765,1.0797925296442688,0.7795302505061251
0.4753,0.51952,1.10477,0.7793795,1.0898524110671937,0.7772114876098085
0.4773,0.524517,1.11475,0.778678,1.0999122924901186,0.777818439189933
0.4793,0.526477,1.12473,0.7775805,1.1099721739130435,0.7794420503850288
0.4813,0.527044,1.13471,0.776859,1.1200320553359684,0.7780068183271903
0.4833,0.528481,1.14469,0.7771669999999999,1.1300919367588933,0.7771315714340482
0.4853,0.528288,1.15467,0.7778255000000001,1.1401518181818182,0.7768316635514675
0.4873,0.527524,1.16465,0.7756685,1.1502116996047431,0.7778703157235476
0.4893,0.532623,1.17463,0.7778745,1.160271581027668,0.7764045732864974
0.4913,0.534338,1.18461,0.777629,1.170331462450593,0.7767507138029798
0.4933,0.531408,1.19459,0.7769355,1.1803913438735179,0.778051115953995
0.4953,0.535273,1.20458,0.7768035,1.1904512252964428,0.7771412731191937
0.4973,0.539369,1.21456,0.77715,1.2005111067193677,0.7768083217635692
0.4993,0.53719,1.22454,0.7776905000000001,1.2105709881422926,0.7769138932998046
0.5013,0.539527,1.23452,0.7777685,1.2206308695652175,0.7776829598248007
0.5033,0.537797,1.2445,0.7829055,1.2306907509881424,0.7771310922997656
0.5053,0.541932,1.25448,0.7795995,1.2407506324110673,0.7814250760934636
0.5073,0.542433,1.26446,0.7796535,1.2508105138339922,0.781197378158765
0.5093,0.544504,1.27444,0.780857,1.2608703952569171,0.7790668821449486
0.5113,0.54567,1.28442,0.7784359999999999,1.270930276679842,0.7808444342566077
0.5133,0.54759,1.2944,0.7797855,1.280990158102767,0.7791885675875756
0.5153,0.550656,1.30438,0.7815719999999999,1.2910500395256916,0.7789379015844468
0.5173,0.547143,1.31437,0.780843,1.3011099209486165,0.7813603661091179
0.5193,0.554021,1.32435,0.7831155000000001,1.3111698023715415,0.7807664559594907
0.5213,0.552708,1.33433,0.7792645,1.3212296837944664,0.7828986849434276
0.5233,0.552965,1.34431,0.7821965,1.3312895652173913,0.7801422583677583
0.5253,0.554891,1.35429,0.7799795,1.3413494466403162,0.7812799446851328
0.5273,0.555261,1.36427,0.778967,1.351409328063241,0.7810902892711132
0.5293,0.557763,1.37425,0.7842720000000001,1.361469209486166,0.7783564138392034
0.5313,0.562954,1.38423,0.7795650000000001,1.371529090909091,0.7834396774105089
0.5333,0.562534,1.39421,0.7775935,1.3815889723320158,0.7810588165379421
0.5353,0.569299,1.40419,0.7732064999999999,1.3916488537549407,0.7780408569222803
0.5373,0.570051,1.41418,0.7705675000000001,1.4017087351778657,0.7744387381337414
0.5393,0.567961,1.42416,0.7719750000000001,1.4117686166007906,0.7706906659687065
0.5413,0.573446,1.43414,0.770017,1.4218284980237155,0.7718612628411388
0.5433,0.580475,1.44412,0.7728275,1.4318883794466404,0.7702728345762713
0.5453,0.579984,1.4541,0.7741100000000001,1.4419482608695653,0.771996752370255
0.5473,0.581472,1.46408,0.7713245,1.4520081422924902,0.7743655258733656
0.5493,0.59147,1.47406,0.775871,1.462068023715415,0.7715177820317283
0.5513,0.594445,1.48404,0.7800905,1.47212790513834,0.7746318897003399
0.5533,0.597347,1.49402,0.77901,1.482187786561265,0.7798160543613937
0.5553,0.602967,1.504,0.780922,1.4922476679841898,0.779025769933937
0.5573,0.609822,1.51399,0.778384,1.5023075494071148,0.7809169837856681
0.5593,0.61608,1.52397,0.7843035,1.5123674308300397,0.7783551187221799
0.5613,0.620768,1.53395,0.785642,1.5224273122529646,0.7834315235099621
0.5633,0.629764,1.54393,0.7875925,1.5324871936758895,0.78552502533073
0.5653,0.632928,1.55391,0.786632,1.5425470750988144,0.7874690977278173
0.5673,0.641364,1.56389,0.788466,1.5526069565217393,0.7866634814209209
0.5693,0.649988,1.57387,0.7885495,1.5626668379446642,0.7882566894614444
0.5713,0.655111,1.58385,0.788945,1.5727267193675891,0.7885818433108935
0.5733,0.660271,1.59383,0.789976,1.582786600790514,0.788860153135509
0.5753,0.665641,1.60381,0.79078,1.592846482213439,0.78986032468493
0.5773,0.677372,1.6138,0.790324,1.6029063636363639,0.790774573083979
0.5793,0.6827,1.62378,0.7914175,1.6129662450592885,0.7903260749467241
0.5813,0.68651,1.63376,0.792768,1.6230261264822134,0.7912969561679384
0.5833,0.694935,1.64374,0.792984,1.6330860079051384,0.7927077989520457
0.5853,0.694016,1.65372,0.792841,1.6431458893280633,0.792998401128534
0.5873,0.701768,1.6637,0.7946005,1.6532057707509882,0.7928216376364511
0.5893,0.705915,1.67368,0.79678,1.663265652173913,0.7944560766725088
0.5913,0.714681,1.68366,0.791019,1.673325533596838,0.7968494922756374
0.5933,0.718761,1.69364,0.790228,1.683385415019763,0.7911670860000869
0.5953,0.716388,1.70362,0.7948245,1.6934452964426878,0.7901592680785511
0.5973,0.720674,1.7136,0.794397,1.7035051778656127,0.7947978995081839
0.5993,0.727259,1.72359,0.79474,1.7135650592885376,0.7943973512314186
0.6011,0.727978,1.73357,0.791824,1.7236249407114625,0.7947324050121151
0.6027,0.72736,1.74355,0.7956570000000001,1.7336848221343875,0.7918362218876663
0.6043,0.727047,1.75353,0.792783,1.7437447035573124,0.7956741405785615
0.6059,0.728188,1.76351,0.793913,1.7538045849802373,0.7927248267799708
0.6075,0.727141,1.77349,0.795112,1.7638644664031622,0.7940102591855356
0.6091,0.731291,1.78347,0.7927025000000001,1.773924347826087,0.7950283517245231
0.6107,0.735313,1.79345,0.796499,1.783984229249012,0.7927498176097822
0.6123,0.736025,1.80343,0.796692,1.794044110671937,0.7966981683638977
0.6139,0.736356,1.81341,0.79274,1.8041039920948618,0.7964861173987473
0.6155,0.735512,1.8234,0.792123,1.8141638735177867,0.7924993121909046
0.6171,0.735278,1.83338,0.795294,1.8242237549407117,0.7923612705784774
0.6187,0.736988,1.84336,0.793629,1.8342836363636366,0.795305605744082
0.6203,0.740181,1.85334,0.7956092307692307,1.8443435177865615,0.7936174148112138
0.6219,0.738837,1.86332,0.7969693999999999,1.8544033992094864,0.7958599602419564
0.6235,0.735917,1.8733,0.7971277142857144,1.864463280632411,0.7970249475731237
0.6251,0.73953,1.88328,0.7964405333333334,1.874523162055336,0.7971109950438228
0.6267,0.737903,1.89326,0.7935680714285713,1.8845830434782609,0.7961971648214315
0.6283,0.739273,1.90324,0.7896614666666667,1.8946429249011858,0.7930241318038705
0.6299,0.737333,1.91322,0.7874988571428572,1.9047028063241107,0.7892030489171448
0.6317,0.742448,1.92321,0.7873251428571428,1.9147626877470356,0.7873461183501732
0.6337,0.740311,1.93319,0.788867,1.9248225691699605,0.7874839317743014
0.6357,0.738245,1.94317,0.7909860000000001,1.9348824505928854,0.7891992052118048
0.6377,0.741463,1.95315,0.7934999285714285,1.9449423320158103,0.7914206073036978
0.6397,0.742191,1.96313,0.7956414615384614,1.9550022134387353,0.7939330022882247
0.6417,0.745588,1.97311,0.7975055000000001,1.9650620948616602,0.7960244610509595
0.6437,0.742819,1.98309,0.7990845384615386,1.975121976284585,0.7978299523140335
0.6457,0.739905,1.99307,0.8009810769230769,1.98518185770751,0.7994551857171505
0.6477,0.745534,2.00305,0.8029346923076923,1.995241739130435,0.8014018292449786
0.6497,0.744215,2.01303,0.805115923076923,2.0053016205533596,0.8034067952804522
0.6517,0.74613,2.02301,0.8074079166666667,2.0153615019762845,0.8056414567543354
0.6537,0.748213,2.033,0.8098693846153846,2.0254213833992094,0.8079900293066394
0.6557,0.744656,2.04298,0.8121783333333333,2.0354812648221343,0.8104830307774187
0.6577,0.74721,2.05296,0.8137566666666668,2.0455411462450592,0.8126581960095149
