Wavelength (µm),Sanidine gds19.19863,Wavelength (µm) target,Sanidine gds19.19863 target
0.29710000000000003,0.450776,0.44602,0.6946526666666667
0.30110000000000003,0.477869,0.456,0.7002876
0.30510000000000004,0.49551,0.46598,0.706048
0.30910000000000004,0.507645,0.47596,0.7086116
0.31310000000000004,0.521427,0.48595,0.7109578
0.31710000000000005,0.533378,0.49593,0.7128374
0.3211,0.538592,0.50591,0.7136697999999999
0.3251,0.548815,0.51589,0.7153615999999999
0.3291,0.550999,0.52587,0.7152088000000001
0.3331,0.56147,0.53585,0.7155874000000001
0.3371,0.565428,0.54583,0.7167916
0.3411,0.569648,0.55581,0.7159676000000001
0.3531,0.601682,0.56579,0.7164204
0.35710000000000003,0.606264,0.57577,0.717802
0.36060000000000003,0.609456,0.58576,0.7202923999999999
0.36360000000000003,0.61453,0.59574,0.7203282
0.36660000000000004,0.616139,0.60572,0.7199972857142857
0.36960000000000004,0.617692,0.6157,0.7208781666666667
0.37260000000000004,0.620553,0.62568,0.7218688333333333
0.37560000000000004,0.619774,0.63566,0.7239978
0.37860000000000005,0.620645,0.64564,0.7251264000000001
0.38110000000000005,0.625069,0.65562,0.7266313999999999
0.3831,0.630206,0.6656,0.7288834000000001
0.3851,0.63518,0.67558,0.7305023333333333
0.3871,0.637018,0.68556,0.7310949999999999
0.3891,0.641803,0.69555,0.73287225
0.3911,0.64518,0.70553,0.7347252
0.3931,0.648527,0.71551,0.7348888
0.3951,0.651469,0.72549,0.736574
0.3971,0.652598,0.73547,0.7381004000000001
0.3991,0.653933,0.74545,0.7396652499999999
0.4011,0.655671,0.75543,0.7409172500000001
0.4031,0.658234,0.76541,0.7425069999999999
0.4051,0.659422,0.77539,0.7443956666666667
0.4071,0.661896,0.78537,0.7456626666666667
0.4091,0.663131,0.79536,0.7467010000000001
0.4111,0.665346,0.80534,0.748472
0.4128,0.669311,0.81532,0.7495115
0.4158,0.670047,0.8253,0.749233
0.4188,0.671836,0.83528,0.747569
0.4218,0.674848,0.84526,0.748854
0.4248,0.678332,0.85524,0.756212
0.4278,0.67939,0.8752,0.75766
0.4308,0.684424,0.88518,0.762542
0.4338,0.686671,0.89517,0.762363
0.4368,0.688485,0.90515,0.763199
0.4398,0.688942,0.91513,0.763871
0.4428,0.692617,0.92511,0.769538
0.44580000000000003,0.6944,0.93509,0.765942
0.44880000000000003,0.696941,0.94507,0.7698065000000001
0.45130000000000003,0.697401,0.95505,0.773268
0.45330000000000004,0.697882,0.96503,0.774259
