Wavelength (µm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum,Wavelength (µm) target,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum target
0.965,0.879355,1.7735,0.9149695
0.97,0.880298,1.7835,0.914984
0.975,0.879515,1.7935,0.9151724999999999
0.98,0.88011,1.8034,0.9152899999999999
0.985,0.87928,1.8134,0.915902
0.99,0.879979,1.8234,0.916274
0.995,0.879309,1.8334,0.916383
1.0,0.879368,1.8434,0.9164315000000001
1.005,0.879399,1.8533,0.9165179999999999
1.01,0.879899,1.8633,0.9164755
1.015,0.879421,1.8733,0.9154655
1.02,0.879817,1.8833,0.9161965
1.025,0.879096,1.8933,0.9160035
1.03,0.879728,1.9032,0.9150149999999999
1.035,0.879214,1.9132,0.914935
1.04,0.879448,1.9232,0.9141245
1.045,0.879013,1.9332,0.915224
1.05,0.879322,1.9432,0.9153025
1.055,0.879145,1.9532,0.915881
1.06,0.879599,1.9631,0.9160699999999999
1.065,0.879189,1.9731,0.9164055
1.07,0.879664,1.9831,0.9166939999999999
1.075,0.878779,1.9931,0.917104
1.08,0.87922,2.0031,0.9176305
1.085,0.879671,2.013,0.917969
1.09,0.879951,2.023,0.917915
1.095,0.880528,2.033,0.9184295
1.1,0.881027,2.043,0.9180714999999999
1.105,0.88059,2.053,0.9182859999999999
1.11,0.881121,2.0629,0.9176930000000001
1.115,0.880801,2.0729,0.9180455000000001
1.12,0.881659,2.0829,0.918491
1.125,0.880801,2.0929,0.918382
1.13,0.880934,2.1029,0.9182135
1.135,0.881408,2.1128,0.9185625
1.14,0.881704,2.1228,0.9186350000000001
1.145,0.881045,2.1328,0.9185795
1.15,0.88177,2.1428,0.9180265000000001
1.155,0.881077,2.1528,0.9175495
1.16,0.881635,2.1628,0.9175774999999999
1.165,0.881735,2.1727,0.9174005000000001
1.17,0.882111,2.1827,0.9180455000000001
1.175,0.882053,2.1927,0.9185665000000001
1.18,0.882477,2.2027,0.918751
1.185,0.881532,2.2127,0.9185765
1.19,0.882181,2.2226,0.9187635000000001
1.195,0.881839,2.2326,0.9186855
1.2,0.882418,2.2426,0.9186105
1.205,0.881849,2.2526,0.9193614999999999
1.21,0.881998,2.2626,0.9196165
1.215,0.881776,2.2725,0.9205135
1.22,0.88199,2.2825,0.9213075
1.225,0.882545,2.2925,0.9219284999999999
1.23,0.882542,2.3025,0.9228449999999999
1.235,0.882403,2.3125,0.9236275
1.24,0.882845,2.3224,0.924203
1.245,0.882847,2.3324,0.9247110000000001
1.25,0.882843,2.3424,0.9253765
1.255,0.88335,2.3524,0.925352
1.26,0.88298,2.3624,0.9246615
1.265,0.882684,2.3724,0.9232735000000001
1.27,0.883765,2.3823,0.922721
1.275,0.883685,2.3923,0.9228585
1.28,0.883963,2.4023,0.9230430000000001
1.285,0.884037,2.4123,0.9229445000000001
1.29,0.884498,2.4223,0.9226080000000001
1.295,0.884741,2.4322,0.9228305
1.3,0.884962,2.4422,0.922554
1.305,0.885087,2.4522,0.9223574999999999
1.31,0.885469,2.4622,0.9227810000000001
1.315,0.885567,2.4722,0.9228434999999999
1.32,0.886425,2.4821,0.9240124999999999
1.325,0.886586,2.4921,0.9239485000000001
1.33,0.886602,2.5021,0.9248321428571428
1.335,0.88705,2.5121,0.9248521249999999
1.34,0.8874,2.5221,0.9249275555555556
1.345,0.887971,2.532,0.9250313750000001
1.35,0.888048,2.542,0.9251692499999999
1.355,0.888406,2.552,0.9252816250000001
1.36,0.888436,2.562,0.9253795714285715
1.365,0.88855,2.572,0.9254615
1.37,0.888646,2.5819,0.925531125
1.375,0.888058,2.5919,0.925652125
1.38,0.888494,2.6019,0.9253034285714286
1.385,0.889363,2.6119,0.9251735
1.39,0.889867,2.6219,0.92504825
1.395,0.889682,2.6319,0.9247378571428572
1.4,0.890121,2.6418,0.9241144285714286
1.405,0.890287,2.6518,0.9230943750000001
1.41,0.890434,2.6618,0.9198940000000001
1.415,0.890839,2.6718,0.9125015714285715
1.42,0.891128,2.6818,0.904687375
1.425,0.892278,2.6917,0.9009355714285714
1.43,0.893401,2.7017,0.89888
1.435,0.893562,2.7117,0.8963978571428571
1.44,0.894164,2.7217,0.8932325714285714
1.445,0.894388,2.7317,0.8886610000000001
1.45,0.894613,2.7416,0.8830762857142856
1.455,0.895102,2.7516,0.8768731666666666
1.46,0.89621,2.7616,0.8706455714285715
1.465,0.89646,2.7716,0.864098
1.47,0.896792,2.7816,0.8583331428571428
1.475,0.897389,2.7916,0.8536565
1.48,0.897745,2.8015,0.8494817142857143
1.485,0.897915,2.8115,0.8457263333333334
1.49,0.898274,2.8215,0.8420654285714286
1.495,0.898735,2.8315,0.8388028333333334
1.5,0.899227,2.8414,0.8357468571428572
1.505,0.899346,2.8514,0.8328465
1.51,0.899614,2.8614,0.8303921666666666
1.515,0.900018,2.8714,0.827794857142857
1.52,0.90039,2.8814,0.8254315000000001
1.525,0.901744,2.8914,0.8234048333333334
1.53,0.900742,2.9013,0.8216923333333334
1.535,0.901218,2.9113,0.8201498333333332
1.54,0.901914,2.9213,0.8190006666666667
1.545,0.903021,2.9313,0.8177334285714286
1.55,0.901957,2.9413,0.8169399999999999
1.555,0.903212,2.9513,0.8164676
1.56,0.903304,2.9612,0.8162111666666667
1.565,0.903651,2.9712,0.8161553333333332
1.57,0.903925,2.9812,0.8162568333333334
1.575,0.9044,2.9912,0.8164726666666667
1.58,0.905118,,
1.585,0.905512,,
1.59,0.905626,,
1.595,0.905864,,
1.6,0.906365,,
1.605,0.906232,,
1.61,0.906568,,
1.615,0.907122,,
1.62,0.907209,,
1.625,0.907401,,
1.63,0.907124,,
1.635,0.907379,,
1.64,0.907981,,
1.645,0.909106,,
1.65,0.909353,,
1.655,0.909316,,
1.66,0.910217,,
1.665,0.911796,,
1.67,0.911898,,
1.675,0.912193,,
1.68,0.913177,,
1.685,0.913876,,
1.69,0.91418,,
1.695,0.914234,,
1.7,0.913778,,
1.705,0.914538,,
1.71,0.914596,,
1.715,0.914838,,
1.72,0.914917,,
1.725,0.914853,,
1.73,0.9147,,
1.735,0.914177,,
1.74,0.914142,,
1.745,0.914618,,
1.75,0.914164,,
1.755,0.914207,,
1.76,0.914366,,
1.765,0.915135,,
1.77,0.914764,,
1.775,0.915175,,
1.78,0.914881,,
1.785,0.915087,,
1.79,0.915627,,
1.795,0.914718,,
1.8,0.915142,,
1.805,0.915438,,
1.81,0.915208,,
1.815,0.916596,,
1.82,0.915944,,
1.825,0.916604,,
1.83,0.916592,,
1.835,0.916174,,
1.84,0.916485,,
1.845,0.916378,,
1.85,0.916428,,
1.855,0.916608,,
1.86,0.917225,,
1.865,0.915726,,
1.87,0.914616,,
1.875,0.916315,,
1.88,0.91667,,
1.885,0.915723,,
1.89,0.916165,,
1.895,0.915842,,
1.9,0.914966,,
1.905,0.915064,,
1.91,0.915442,,
1.915,0.914428,,
1.92,0.914357,,
1.925,0.913892,,
1.93,0.915347,,
1.935,0.915101,,
1.94,0.914926,,
1.945,0.915679,,
1.95,0.915815,,
1.955,0.915947,,
1.96,0.916165,,
1.965,0.915975,,
1.97,0.916383,,
1.975,0.916428,,
1.98,0.91658,,
1.985,0.916808,,
1.99,0.916683,,
1.995,0.917525,,
2.0,0.917646,,
2.005,0.917615,,
2.01,0.917582,,
2.015,0.918356,,
2.02,0.917689,,
2.025,0.918141,,
2.03,0.918584,,
2.035,0.918275,,
2.04,0.918022,,
2.045,0.918121,,
2.05,0.918183,,
2.055,0.918389,,
2.06,0.917625,,
2.065,0.917761,,
2.07,0.918124,,
2.075,0.917967,,
2.08,0.918258,,
2.085,0.918724,,
2.09,0.917991,,
2.095,0.918773,,
2.1,0.918103,,
2.105,0.918324,,
2.11,0.918415,,
2.115,0.91871,,
2.12,0.918838,,
2.125,0.918432,,
2.13,0.918762,,
2.135,0.918397,,
2.14,0.917996,,
2.145,0.918057,,
2.15,0.917876,,
2.155,0.917223,,
2.16,0.917392,,
2.165,0.917763,,
2.17,0.917259,,
2.175,0.917542,,
2.18,0.918133,,
2.185,0.917958,,
2.19,0.918223,,
2.195,0.91891,,
2.2,0.918253,,
2.205,0.919249,,
2.21,0.91813,,
2.215,0.919023,,
2.22,0.918523,,
2.225,0.919004,,
2.23,0.918671,,
