Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
1955.0,0.916615
1960.0,0.916618
1965.0,0.916581
1970.0,0.917215
1975.0,0.916724
1980.0,0.917406
1985.0,0.917462
1990.0,0.917689
1995.0,0.918022
2000.0,0.918882
2005.0,0.918799
2010.0,0.918486
2015.0,0.919121
2020.0,0.918489
2025.0,0.918551
2030.0,0.918995
2035.0,0.919028
2040.0,0.919068
2045.0,0.919333
2050.0,0.919099
2055.0,0.919212
2060.0,0.918713
2065.0,0.918596
2070.0,0.918903
2075.0,0.91917
2080.0,0.919302
2085.0,0.919587
2090.0,0.9193
2095.0,0.919891
2100.0,0.919722
2105.0,0.919813
2110.0,0.919444
2115.0,0.919791
2120.0,0.919755
2125.0,0.919455
2130.0,0.919834
2135.0,0.919666
2140.0,0.919423
2145.0,0.91848
2150.0,0.918556
2155.0,0.917895
2160.0,0.917762
2165.0,0.917709
2170.0,0.918095
2175.0,0.917588
2180.0,0.918138
2185.0,0.91782
2190.0,0.918926
2195.0,0.918611
2200.0,0.919318
2205.0,0.918686
2210.0,0.918047
2215.0,0.918062
2220.0,0.917857
2225.0,0.918437
2230.0,0.917245
2235.0,0.917831
2240.0,0.917607
2245.0,0.917349
2250.0,0.918683
2255.0,0.91841
2260.0,0.919202
2265.0,0.919203
2270.0,0.919354
2275.0,0.919955
2280.0,0.919831
2285.0,0.920563
2290.0,0.920842
2295.0,0.921248
2300.0,0.920785
2305.0,0.922255
2310.0,0.922095
2315.0,0.921974
2320.0,0.922638
2325.0,0.922773
2330.0,0.923089
2335.0,0.923179
2340.0,0.923163
2345.0,0.923268
2350.0,0.923586
2355.0,0.923723
2360.0,0.92265
2365.0,0.922821
2370.0,0.921318
2375.0,0.921106
2380.0,0.920754
2385.0,0.920484
2390.0,0.920801
2395.0,0.920403
2400.0,0.920793
2405.0,0.920397
2410.0,0.920328
2415.0,0.919241
2420.0,0.919326
2425.0,0.918961
2430.0,0.918508
2435.0,0.919134
2440.0,0.917926
2445.0,0.91868
2450.0,0.917863
2455.0,0.918154
2460.0,0.918176
2465.0,0.918223
2470.0,0.918413
2475.0,0.918013
2480.0,0.919038
2485.0,0.918469
2490.0,0.919112
2495.0,0.919012
2500.0,0.920649
2500.2,0.920653
2501.41,0.920582
2502.62,0.920515
2503.83,0.920578
2505.03,0.920583
2506.25,0.920536
2507.46,0.920537
2508.67,0.920486
2509.89,0.920462
2511.1,0.920484
2512.32,0.920493
2513.53,0.920458
2514.75,0.920473
2515.97,0.92049
2517.19,0.920512
2518.42,0.920488
2519.64,0.920475
2520.87,0.920469
2522.09,0.920471
2523.32,0.920499
2524.55,0.920488
2525.78,0.920435
2527.01,0.920383
2528.24,0.920446
