Wavelength (µm) raw,Augite ws592 spliced raw,Wavelength (µm) bin avg,Augite ws592 spliced bin avg,Wavelength (µm) global,Augite ws592 global
0.5633,0.319832,1.52397,0.5322335,,
0.5653,0.319435,1.53395,0.535013,,
0.5673,0.319705,1.54393,0.5403445,,
0.5693,0.316734,1.55391,0.5430919999999999,,
0.5713,0.317828,1.56389,0.545796,,
0.5733,0.318697,1.57387,0.546033,,
0.5753,0.318088,1.58385,0.54721,,
0.5773,0.317891,1.59383,0.5508584999999999,,
0.5793,0.319108,1.60381,0.551822,,
0.5813,0.318378,1.6138,0.55369,,
0.5833,0.318094,1.62378,0.5548195,,
0.5853,0.317291,1.63376,0.552095,,
0.5873,0.31721,1.64374,0.5553615000000001,,
0.5893,0.314933,1.65372,0.553602,,
0.5913,0.318045,1.6637,0.5562765000000001,,
0.5933,0.312463,1.67368,0.554885,,
0.5953,0.315078,1.68366,0.5561,,
0.5973,0.314272,1.69364,0.554668,,
0.5993,0.313964,1.70362,0.5545979999999999,,
0.6011,0.311026,1.7136,0.554575,,
0.6027,0.312741,1.72359,0.554471,,
0.6043,0.311936,1.73357,0.552681,,
0.6059,0.311901,1.74355,0.5506175,,
0.6075,0.310492,1.75353,0.54716,,
0.6091,0.310882,1.76351,0.543626,,
0.6107,0.311576,1.77349,0.546538,,
0.6123,0.309167,1.78347,0.5387225,,
0.6139,0.310254,1.79345,0.538774,,
0.6155,0.309231,1.80343,0.5326930714285715,,
0.6171,0.307541,1.81341,0.5303488125000001,,
0.6187,0.305963,1.8234,0.5279716666666666,,
0.6203,0.305478,1.83338,0.525292125,,
0.6219,0.30523,1.84336,0.5226424,,
0.6235,0.306216,1.85334,0.5207101333333333,,
0.6251,0.305162,1.86332,0.5175390666666666,,
0.6267,0.304835,1.8733,0.5130713571428572,,
0.6283,0.30696,1.88328,0.5096934,,
0.6299,0.30557,1.89326,0.5031445714285715,,
0.6317,0.304047,1.90324,0.4959576,,
0.6337,0.304422,1.91322,0.4932835714285715,,
0.6357,0.304298,1.92321,0.491604,,
0.6377,0.304267,1.93319,0.4900139285714285,,
0.6397,0.303402,1.94317,0.488035923076923,,
0.6417,0.305965,1.95315,0.4854342857142857,,
0.6437,0.307613,1.96313,0.4823111538461538,,
0.6457,0.306535,1.97311,0.4787464285714286,,
0.6477,0.304953,1.98309,0.4755628461538461,,
0.6497,0.304906,1.99307,0.4723094615384615,,
0.6517,0.305381,2.00305,0.4691828461538461,,
0.6537,0.305566,2.01303,0.4664580769230769,,
0.6557,0.305122,2.02301,0.4637393333333333,,
0.6577,0.305534,2.033,0.4607929230769231,,
0.6597,0.306764,2.04298,0.45781975,,
0.6617,0.30918,2.05296,0.4547067499999999,,
0.6637,0.308118,2.06294,0.4510741538461538,,
0.6657,0.307099,2.07292,0.4472830833333333,,
0.6677,0.309878,2.0829,0.4436419166666666,,
0.6702,0.309807,2.09288,0.4402293636363637,,
0.6732,0.313442,2.10286,0.43696825,,
0.6762,0.312065,2.11284,0.4340114166666666,,
0.6792,0.313727,2.12282,0.4301093636363636,,
0.6822,0.318601,2.13281,0.4260977499999999,,
0.6852,0.316935,2.14279,0.422372,,
0.6882,0.316817,2.15277,0.4194048181818182,,
0.6912,0.317473,2.16275,0.4161421818181818,,
0.6942,0.31943,2.17273,0.4128621818181818,,
0.6972,0.320477,2.18271,0.4097733636363636,,
0.7002,0.323166,2.19269,0.4066541818181818,,
0.702,0.322715,2.20267,0.4041433,,
0.704,0.324259,2.21265,0.4013453636363637,,
