Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
0.665,0.50348,1.17463,0.33777500000000005,1.174631568627451,0.3377758940796904
0.67,0.50529,1.18461,0.34274000000000004,1.184612549019608,0.34274108951899457
0.675,0.50687,1.19459,0.346825,1.1945935294117647,0.34682655543328056
0.68,0.50874,1.20458,0.35163,1.2045745098039216,0.35162736093772384
0.685,0.50785,1.21456,0.356155,1.2145554901960784,0.35615301663578064
0.69,0.50638,1.22454,0.360395,1.2245364705882353,0.36039360601051507
0.695,0.50603,1.23452,0.36427,1.2345174509803922,0.36426892997204774
0.7,0.50586,1.2445,0.36902,1.2444984313725491,0.36901918660237876
0.705,0.50585,1.25448,0.374195,1.254479411764706,0.3741947120646068
0.71,0.50554,1.26446,0.37886,1.264460392156863,0.3788601887942244
0.715,0.50554,1.27444,0.38397000000000003,1.2744413725490196,0.3839707181116758
0.72,0.50398,1.28442,0.38932500000000003,1.2844223529411765,0.3893263449282159
0.725,0.50235,1.2944,0.39539,1.2944033333333334,0.39539207780921365
0.73,0.5001,1.30438,0.40178,1.3043843137254902,0.40178292925879283
0.735,0.49793,1.31437,0.40891500000000003,1.3143652941176471,0.40891159308453445
0.74,0.4937,1.32435,0.41624,1.324346274509804,0.41623713275112834
0.745,0.49067,1.33433,0.42404,1.334327254901961,0.4240379575276314
0.75,0.48622,1.34431,0.431115,1.3443082352941178,0.43111371935372167
0.755,0.48134,1.35429,0.438895,1.3542892156862745,0.43889435799013804
0.76,0.47716,1.36427,0.44725000000000004,1.3642701960784314,0.4472501667119517
0.765,0.47159,1.37425,0.45569000000000004,1.3742511764705883,0.45569097541896625
0.77,0.46674,1.38423,0.46403,1.3842321568627451,0.4640318925090503
0.775,0.46082,1.39421,0.47309,1.394213137254902,0.473092797346413
0.78,0.45564,1.40419,0.48175999999999997,1.404194117647059,0.4817636464555513
0.785,0.44975,1.41418,0.490635,1.4141750980392158,0.49063089450688435
0.79,0.44492,1.42416,0.49856,1.4241560784313727,0.4985568161864851
0.795,0.43903,1.43414,0.506885,1.4341370588235294,0.5068826479022299
0.8,0.43502,1.44412,0.514315,1.4441180392156863,0.5143135778045022
0.805,0.42941,1.4541,0.5216449999999999,1.4540990196078432,0.5216442785333917
0.81,0.42381,1.46408,0.5287550000000001,1.46408,0.5287550000000001
0.815,0.41964,1.47406,0.5352,1.474060980392157,0.535200638872009
0.82,0.41414,1.48404,0.54148,1.4840419607843138,0.5414810720828487
0.825,0.41085,1.49402,0.546325,1.4940229411764707,0.5463264865041334
0.83,0.40619,1.504,0.5517650000000001,1.5040039215686276,0.551767052290288
0.835,0.40343,1.51399,0.55641,1.5139849019607845,0.5564078006812349
0.84,0.39852,1.52397,0.560585,1.5239658823529412,0.5605833490831046
0.845,0.39526,1.53395,0.56431,1.533946862745098,0.5643089344325969
0.85,0.3915,1.54393,0.56733,1.543927843137255,0.5673294217767639
