Wavelength (µm) raw,SynOl_Fo20 raw,Wavelength (µm) bin avg,SynOl_Fo20 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo20 cubic spline of bin avg
0.3,0.04099,0.44602,0.16105999999999998,0.44602,0.16105999999999998
0.305,0.0419,0.456,0.16921,0.45600098039215686,0.1692110359353541
0.31,0.04094,0.46598,0.18131,0.46598196078431375,0.18131260024230847
0.315,0.04102,0.47596,0.19497,0.47596294117647064,0.19497406591111655
0.32,0.0424,0.48595,0.207355,0.4859439215686275,0.20734910439541893
0.325,0.04347,0.49593,0.21609499999999998,0.4959249019607843,0.21608947026437186
0.33,0.04482,0.50591,0.22939500000000002,0.5059058823529412,0.2293895814886647
0.335,0.04671,0.51589,0.240325,0.5158868627450981,0.24032206533241937
0.34,0.04848,0.52587,0.24924999999999997,0.525867843137255,0.24924803502049897
0.345,0.05165,0.53585,0.258935,0.5358488235294118,0.25893380637354335
0.35,0.05463,0.54583,0.26866,0.5458298039215687,0.26865983033780755
0.355,0.05894,0.55581,0.276225,0.5558107843137255,0.276225566052468
0.36,0.06349,0.56579,0.28331,0.5657917647058823,0.28331114998599366
0.365,0.06909,0.57577,0.28903500000000004,0.5757727450980392,0.28903643368638854
0.37,0.07526,0.58576,0.294035,0.5857537254901961,0.2940319776451449
0.375,0.08148,0.59574,0.298645,0.595734705882353,0.2986426796826724
0.38,0.08739,0.60572,0.30266000000000004,0.6057156862745099,0.3026584558581089
0.385,0.09335,0.6157,0.30610499999999996,0.6156966666666667,0.30610375851492716
0.39,0.09924,0.62568,0.31039,0.6256776470588236,0.3103888804013002
0.395,0.10552,0.63566,0.3154,0.6356586274509805,0.3153992886524531
0.4,0.11127,0.64564,0.320435,0.6456396078431372,0.32043481543931235
0.405,0.11508,0.65562,0.32469000000000003,0.6556205882352941,0.324690230473416
0.41,0.12172,0.6656,0.32824,0.665601568627451,0.3282404836556165
0.415,0.12773,0.67558,0.330905,0.6755825490196079,0.3309056195897344
0.42,0.13362,0.68556,0.33322,0.6855635294117648,0.3332207636276626
0.425,0.13947,0.69555,0.335055,0.6955445098039216,0.33505423988161454
0.43,0.14544,0.70553,0.33611500000000005,0.7055254901960785,0.3361145509128548
0.435,0.15106,0.71551,0.33691,0.7155064705882352,0.33690992631854816
0.44,0.15617,0.72549,0.336665,0.7254874509803921,0.33666504496641797
0.445,0.1598,0.73547,0.33670500000000003,0.735468431372549,0.3367050187521722
0.45,0.16232,0.74545,0.33621,0.7454494117647059,0.3362100419387906
0.455,0.1664,0.75543,0.33516500000000005,0.7554303921568628,0.33516493498773564
0.46,0.17202,0.76541,0.332955,0.7654113725490197,0.33295466503209986
0.465,0.17861,0.77539,0.33044,0.7753923529411766,0.33043934499874594
0.47,0.18401,0.78537,0.327325,0.7853733333333334,0.32732388373566323
0.475,0.19097,0.79536,0.32352499999999995,0.7953543137254901,0.32352761324873575
0.48,0.19897,0.80534,0.31838999999999995,0.805335294117647,0.318392406834332
0.485,0.20491,0.81532,0.31372,0.8153162745098039,0.31372164692092874
0.49,0.2098,0.8253,0.30915499999999996,0.8252972549019608,0.30915636253144446
0.495,0.21344,0.83528,0.30410000000000004,0.8352782352941177,0.30410081928828064
0.5,0.21875,0.84526,0.29961000000000004,0.8452592156862746,0.29961040460592625
0.505,0.22611,0.85524,0.2942,0.8552401960784315,0.29419991212453667
0.51,0.23268,0.86522,0.290545,0.8652211764705883,0.2905445101046389
0.515,0.23782,0.8752,0.285805,0.875202156862745,0.285804116163099
0.52,0.24283,0.88518,0.282385,0.8851831372549019,0.2823837535915017
0.525,0.24713,0.89517,0.27812,0.8951641176470588,0.27812182380319056
0.53,0.25137,0.90515,0.27598,0.9051450980392157,0.2759814062878862
0.535,0.25634,0.91513,0.27165,0.9151260784313726,0.2716519098469141
0.54,0.26153,0.92511,0.26728,0.9251070588235295,0.2672811184382472
0.545,0.26638,0.93509,0.263675,0.9350880392156864,0.2636757633073341
0.55,0.27094,0.94507,0.259465,0.9450690196078432,0.25946540367453086
0.555,0.27437,0.95505,0.25548,0.95505,0.25548
0.56,0.27808,0.96503,0.25084,0.9650309803921568,0.25083953693691396
0.565,0.28155,0.97501,0.24633,0.9750119607843137,0.24632914894589936
0.57,0.28507,0.98499,0.2424,0.9849929411764706,0.2423990336512212
0.575,0.2876,0.99497,0.239285,0.9949739215686275,0.23928355135011484
0.58,0.29047,1.00496,0.23484,1.0049549019607844,0.23484237105790282
0.585,0.29294,1.01494,0.23056500000000002,1.0149358823529413,0.23056660685082309
0.59,0.29513,1.02492,0.22687000000000002,1.0249168627450982,0.22687116026958176
0.595,0.29777,1.0349,0.223245,1.0348978431372549,0.22324571354772763
0.6,0.29952,1.04488,0.220335,1.0448788235294117,0.22033531921255514
0.605,0.30191,1.05486,0.217995,1.0548598039215686,0.21799503176906956
0.61,0.30341,1.06484,0.21693,1.0648407843137255,0.2169299183215807
