Wavelength raw,SynOl_Fo60 raw,Wavelength bin avg,SynOl_Fo60 bin avg,Wavelength cubic spline of bin avg,SynOl_Fo60 cubic spline of bin avg
0.3,0.05067,0.47000000000000003,0.265238,0.47000000000000003,0.265238
0.305,0.05485,0.5025000000000001,0.31025625,0.49961429718875505,0.30678263398410854
0.31,0.05558,0.5425000000000001,0.34985750000000004,0.5292285943775101,0.33832027497950473
0.315,0.0586,0.5824999999999999,0.37580874999999997,0.5588428915662651,0.3621806743110766
0.32,0.06273,0.6224999999999999,0.38961375000000004,0.5884571887550202,0.3783603349811295
0.325,0.06658,0.6625,0.40442749999999994,0.6180714859437751,0.3881780000749349
0.33,0.07182,0.7024999999999999,0.41497249999999997,0.6476857831325302,0.39888485125958584
0.335,0.07692,0.7374999999999999,0.4164400000000001,0.6773000803212852,0.40931551313397563
0.34,0.08272,0.7625000000000001,0.4149225,0.7069143775100403,0.41550833025718925
0.345,0.09002,0.7825000000000001,0.4107475,0.7365286746987953,0.41645218657596433
0.35,0.09612,0.8025000000000001,0.4056075,0.7661429718875503,0.41432778031547607
0.355,0.10387,0.8225,0.3979275,0.7957572690763053,0.4075411312712781
0.36,0.11237,0.8424999999999999,0.3888075,0.8253715662650604,0.39666406308006313
0.365,0.12002,0.8625,0.3797975,0.8549858634538154,0.3830867961488392
0.37,0.12718,0.8825,0.37184749999999994,0.8846001606425704,0.3710636073778371
0.375,0.13398,0.9025000000000001,0.36448749999999996,0.9142144578313254,0.36005037833382997
0.38,0.13993,0.9225,0.3567825,0.9438287550200805,0.34772901058778954
0.385,0.14564,0.9424999999999999,0.348325,0.9734430522088355,0.3327630203619648
0.39,0.15289,0.9624999999999999,0.33871,1.0030573493975905,0.31657491125090725
0.395,0.16074,0.9824999999999999,0.3276575,1.0326716465863455,0.30440422121569816
0.4,0.1693,1.0,0.31811666666666666,1.0622859437751007,0.30043459350640483
0.405,0.17413,1.02,0.30895,1.0919002409638556,0.3065983811097922
0.41,0.1823,1.04,0.3024466666666667,1.1215145381526106,0.3205900628282623
0.415,0.19064,1.0575,0.3003575,1.1511288353413656,0.33548071499112686
0.42,0.19919,1.0775000000000001,0.3024325,1.1807431325301208,0.3464489880019633
0.425,0.20807,1.0975000000000001,0.308785,1.2103574297188757,0.3542950789154972
0.43,0.21627,1.1175000000000002,0.3184925,1.2399717269076307,0.3607319719770894
0.435,0.22364,1.1374999999999997,0.32886499999999996,1.2695860240963857,0.3683527242077945
0.44,0.22896,1.1575,0.3382675,1.2992003212851408,0.3792182509524047
0.445,0.23256,1.1774999999999998,0.34545,1.3288146184738958,0.39237607609315533
0.45,0.23641,1.1975,0.35113000000000005,1.3584289156626508,0.40894960768104616
0.455,0.24173,1.2174999999999998,0.35592,1.3880432128514057,0.4279245847628691
0.46,0.24895,1.2375,0.36019500000000004,1.417657510040161,0.44583549209041634
0.465,0.25707,1.2574999999999998,0.3649,1.447271807228916,0.4661688522851674
0.47,0.2641,1.2775,0.3709375,1.4768861044176709,0.4853852566706109
0.475,0.27361,1.2974999999999999,0.3785275,1.5065004016064258,0.503778806734132
0.48,0.28246,1.3175000000000001,0.387045,1.536114698795181,0.5212076204068251
0.485,0.28887,1.3375,0.39677,1.565728995983936,0.5370449743181969
0.49,0.29473,1.3575000000000002,0.4083375,1.595343293172691,0.5499985520237036
0.495,0.2998,1.3775,0.42186250000000003,1.624957590361446,0.5609062766801552
0.5,0.30671,1.3975000000000002,0.43311499999999997,1.6545718875502011,0.5699070823874001
0.505,0.31447,1.4175,0.4457275,1.684186184738956,0.5771242294248665
0.51,0.32061,1.4375,0.45971,1.713800481927711,0.5825727158148011
0.515,0.32584,1.4575,0.47275500000000004,1.743414779116466,0.5860644396996125
0.52,0.33102,1.4775000000000003,0.48578,1.7730290763052212,0.5874553672396358
0.525,0.33468,1.4975,0.4982875,1.8026433734939762,0.5872100960092755
0.53,0.33829,1.5175,0.51038,1.8322576706827312,0.5869804383197476
0.535,0.34317,1.5375,0.5219975,1.8618719678714861,0.5873596475022854
0.54,0.34796,1.5575,0.5329525,1.8914862650602413,0.5875989809744988
0.545,0.35265,1.5824999999999998,0.544655,1.9211005622489963,0.5879678107754664
0.55,0.35732,1.6175,0.55834375,1.9507148594377512,0.5885225219850604
0.555,0.36063,1.6575,0.57069875,1.9803291566265064,0.5892227059542454
0.56,0.36416,1.6974999999999998,0.57979625,2.0099434538152616,0.5901073468683715
0.565,0.36723,1.7374999999999998,0.58553875,2.0395577510040166,0.5910959336696157
0.57,0.37022,1.7775,0.5874987500000001,2.0691720481927716,0.592210207466565
0.575,0.37299,1.819135,0.5869634999999999,2.0987863453815265,0.5934674666280052
0.58,0.37546,1.8582700000000005,0.5873176666666666,2.1284006425702815,0.5947810158319792
0.585,0.37693,1.8980649122807016,0.5876584210526314,2.1580149397590365,0.5960457936501484
0.59,0.3799,1.9381464285714283,0.5882723214285714,2.1876292369477914,0.5971786788453501
0.595,0.38101,1.9780596153846153,0.5891621153846155,2.217243534136547,0.5981251913483571
0.6,0.38273,2.0177117647058824,0.5903592156862747,2.246857831325302,0.598855075195288
0.605,0.38485,2.057742857142857,0.5917602040816325,2.276472128514057,0.5993633162634826
0.61,0.38611,2.097691489361702,0.593419361702128,2.3060864257028117,0.5997771849439736
0.615,0.38738,2.1374711111111107,0.5951782222222223,2.3357007228915667,0.6001643742096165
0.62,0.38864,2.1774227272727273,0.5968072727272727,2.3653150200803217,0.6003993488377931
0.625,0.39001,2.2174547619047615,0.5981311904761905,2.3949293172690767,0.6006311281411342
0.63,0.39174,2.257519512195122,0.5990617073170731,2.424543614457832,0.6008126579518845
0.635,0.39295,2.2975333333333334,0.599655641025641,2.454157911646587,0.6008325784311743
0.64,0.39523,2.337407894736843,0.6001821052631581,2.483772208835342,0.6008643526050023
0.645,0.39764,2.3775918918918917,0.6004862162162162,2.513386506024097,0.6008660887822479
0.65,0.39964,2.4175057142857135,0.6007879999999998,2.543000803212852,0.6008135222254816
0.655,0.40187,2.4570264705882354,0.6008335294117648,2.572615100401607,0.6007282304076289
0.66,0.40363,2.496648484848485,0.6008748484848484,2.6022293975903623,0.6005472076809174
0.665,0.4056,2.536957575757576,0.6008257575757576,2.6318436947791173,0.600232425220616
0.67,0.40758,2.5773032258064505,0.6007074193548386,2.6614579919678722,0.5995530631755807
0.675,0.40875,2.61697,0.6004113333333334,2.691072289156627,0.5979597358721085
0.68,0.41071,2.656520689655172,0.5997103448275861,2.720686586345382,0.5944881252828347
0.685,0.41192,2.6965793103448275,0.5974975862068966,2.750300883534137,0.5872481793408442
0.69,0.41252,2.7371499999999993,0.5910396428571428,2.779915180722892,0.5769619281775635
0.695,0.41378,2.7767230769230764,0.5780926923076923,2.809529477911647,0.56719369027226
0.7,0.41459,2.81591923076923,0.5653415384615385,2.8391437751004025,0.5596089041220286
0.705,0.41565,2.8562461538461537,0.5563265384615385,2.8687580722891575,0.5543835486838551
0.71,0.41643,2.896125,0.5513099999999999,2.8983723694779124,0.5511212098597845
0.715,0.41756,2.9279866666666674,0.5493733333333333,2.9279866666666674,0.5493733333333333
