Wavelength (µm) raw,SynOl_Fo70 raw,Wavelength (µm) bin avg,SynOl_Fo70 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo70 cubic spline of bin avg
0.3,0.09056,0.44602,0.57113,0.44602,0.57113
0.305,0.09431,0.456,0.571145,0.45600098039215686,0.571145813163641
0.31,0.09788,0.46598,0.58695,0.46598196078431375,0.5869545124611109
0.315,0.10479,0.47596,0.61008,0.47596294117647064,0.610084909665127
0.32,0.11528,0.48595,0.61713,0.4859439215686275,0.6171294433001159
0.325,0.12706,0.49593,0.623,0.4959249019607843,0.6229905942329479
0.33,0.14385,0.50591,0.6498349999999999,0.5059058823529412,0.649825297481849
0.335,0.1636,0.51589,0.6630750000000001,0.5158868627450981,0.6630725598652796
0.34,0.19019,0.52587,0.6715599999999999,0.525867843137255,0.6715577057538491
0.345,0.22099,0.53585,0.685175,0.5358488235294118,0.6851731054090994
0.35,0.25524,0.54583,0.700205,0.5458298039215687,0.7002047832817699
0.355,0.29304,0.55581,0.70682,0.5558107843137255,0.7068203726245386
0.36,0.33287,0.56579,0.710845,0.5657917647058823,0.7108453400970484
0.365,0.37208,0.57577,0.7108,0.5757727450980392,0.7107998632870696
0.37,0.40805,0.58576,0.7106250000000001,0.5857537254901961,0.7106253737669932
0.375,0.44046,0.59574,0.7092,0.595734705882353,0.7092010197322063
0.38,0.46666,0.60572,0.70733,0.6057156862745099,0.7073306917503411
0.385,0.48854,0.6157,0.705895,0.6156966666666667,0.7058955316308424
0.39,0.50851,0.62568,0.70522,0.6256776470588236,0.7052196141078129
0.395,0.52109,0.63566,0.70968,0.6356586274509805,0.7096791203343781
0.4,0.5163,0.64564,0.71662,0.6456396078431372,0.7166197258396384
0.405,0.53883,0.65562,0.7221599999999999,0.6556205882352941,0.7221601847888719
0.41,0.56063,0.6656,0.7230099999999999,0.665601568627451,0.7230099452374256
0.415,0.56984,0.67558,0.721785,0.6755825490196079,0.7217842676398742
0.42,0.57357,0.68556,0.71674,0.6855635294117648,0.7167375261453646
0.425,0.57533,0.69555,0.70826,0.6955445098039216,0.7082653372702646
0.43,0.5765,0.70553,0.69722,0.7055254901960785,0.6972257523718899
0.435,0.57945,0.71551,0.684785,0.7155064705882352,0.6847884662905334
0.44,0.58153,0.72549,0.67595,0.7254874509803921,0.675953033922108
0.445,0.57584,0.73547,0.6597999999999999,0.735468431372549,0.6598027716957889
0.45,0.56642,0.74545,0.643175,0.7454494117647059,0.6431759376782958
0.455,0.56637,0.75543,0.627275,0.7554303921568628,0.6272743592473066
0.46,0.57592,0.76541,0.610325,0.7654113725490197,0.6103226048493589
0.465,0.58476,0.77539,0.592665,0.7753923529411766,0.5926607888052287
0.47,0.58914,0.78537,0.574945,0.7853733333333334,0.5749392293492912
0.475,0.60407,0.79536,0.558,0.7953543137254901,0.5580096704033372
0.48,0.61609,0.80534,0.5413749999999999,0.805335294117647,0.5413823047981156
0.485,0.61696,0.81532,0.52691,0.8153162745098039,0.5269153507918094
0.49,0.6173,0.8253,0.512835,0.8252972549019608,0.5128385188534239
0.495,0.61578,0.83528,0.50142,0.8352782352941177,0.5014219390667111
0.5,0.63022,0.84526,0.490755,0.8452592156862746,0.49075575312381753
0.505,0.64473,0.85524,0.482605,0.8552401960784315,0.4826048595833852
0.51,0.65494,0.86522,0.47565999999999997,0.8652211764705883,0.47565916134131525
0.515,0.66091,0.8752,0.4685,0.875202156862745,0.468498549683072
0.52,0.66524,0.88518,0.462225,0.8851831372549019,0.4622230047639143
0.525,0.66843,0.89517,0.45575,0.8951641176470588,0.4557536141920003
0.53,0.67469,0.90515,0.44976,0.9051450980392157,0.44976319354121314
0.535,0.6805,0.91513,0.442505,0.9151260784313726,0.4425079840824155
0.54,0.68985,0.92511,0.434645,0.9251070588235295,0.4346474949031436
0.545,0.69762,0.93509,0.425635,0.9350880392156864,0.42563679809664595
0.55,0.70279,0.94507,0.41645,0.9450690196078432,0.41645093435401914
0.555,0.70512,0.95505,0.406555,0.95505,0.406555
0.56,0.70852,0.96503,0.39614000000000005,0.9650309803921568,0.3961388949568007
0.565,0.71096,0.97501,0.385265,0.9750119607843137,0.38526326481706663
0.57,0.71073,0.98499,0.37826,0.9849929411764706,0.3782579187939264
0.575,0.71098,0.99497,0.369795,0.9949739215686275,0.3697913329954774
0.58,0.71062,1.00496,0.36043000000000003,1.0049549019607844,0.36043463438859363
0.585,0.71083,1.01494,0.352055,1.0149358823529413,0.35205812389759067
0.59,0.71042,1.02492,0.34513,1.0249168627450982,0.3451320570552516
