Wavelength (µm) raw,Pigeonite hs199 spliced raw,Wavelength (µm) bin avg,Pigeonite hs199 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
0.4158,0.142064,0.83528,0.176178,0.8596068750000001,0.17360610042945412
0.4188,0.141129,0.85524,0.173024,0.8702116666666667,0.17449370691101523
0.4218,0.144358,0.8752,0.17331,0.8808164583333333,0.1702657750385004
0.4248,0.143867,0.88518,0.167971,0.89142125,0.1664889885803264
0.4278,0.143594,0.89517,0.165944,0.9020260416666668,0.16413780061418845
0.4308,0.145448,0.90515,0.163066,0.9126308333333334,0.16097549922266946
0.4338,0.146181,0.91513,0.160929,0.923235625,0.16234754617214966
0.4368,0.1473,0.92511,0.162061,0.9338404166666667,0.15677801230040825
0.4398,0.148405,0.93509,0.156285,0.9444452083333335,0.15701686620832078
0.4428,0.150081,0.94507,0.1570205,0.95505,0.154798
0.4458,0.148846,0.95505,0.154798,0.9656547916666667,0.15645922866308676
0.4488,0.15078,0.96503,0.156474,0.9762595833333334,0.15428147202654766
0.4513,0.150082,0.97501,0.154377,0.9868643750000001,0.1549551469885923
0.4533,0.150321,0.98499,0.154974,0.9974691666666666,0.15396029096818753
0.4553,0.153714,0.99497,0.154103,1.0080739583333334,0.15319815999018896
0.4573,0.154082,1.00496,0.153618,1.01867875,0.15393019645259692
0.4593,0.152983,1.01494,0.15292650000000002,1.0292835416666668,0.15567050101859461
0.4613,0.15635,1.02492,0.1557355,1.0398883333333333,0.15634233247979146
0.4633,0.15386,1.0349,0.1553335,1.050493125,0.15750277333880267
0.4653,0.156979,1.04488,0.1574995,1.0610979166666668,0.15786011976766615
0.4673,0.157923,1.05486,0.157275,1.0717027083333335,0.15925134094182045
0.4693,0.156174,1.06484,0.15846949999999999,1.0823075,0.15893188117059806
0.4713,0.156178,1.07482,0.1592865,1.0929122916666667,0.16205276903028568
0.4733,0.157505,1.0848,0.1592005,1.1035170833333334,0.16413488256138978
0.4753,0.155549,1.09478,0.16267700000000002,1.1141218750000002,0.16660651674261368
0.4773,0.157989,1.10477,0.16435650000000002,1.1247266666666667,0.16706416368739507
0.4793,0.156233,1.11475,0.16669699999999998,1.1353314583333334,0.16867932281742132
0.4813,0.156958,1.12473,0.1670645,1.14593625,0.16928387349893154
0.4833,0.160891,1.13471,0.16865449999999998,1.1565410416666666,0.1727949936464178
0.4853,0.158298,1.14469,0.16892600000000002,1.1671458333333333,0.17219160498737518
0.4873,0.161257,1.15467,0.17260350000000002,1.177750625,0.17397683702421554
0.4893,0.160121,1.16465,0.172101,1.1883554166666668,0.17440625804004148
0.4913,0.161745,1.17463,0.1734755,1.1989602083333333,0.17529769412564775
0.4933,0.162463,1.18461,0.1744805,1.209565,0.17662294709355025
0.4953,0.159938,1.19459,0.1745265,1.2201697916666667,0.17776864944604434
0.4973,0.162902,1.20458,0.1763665,1.2307745833333334,0.1790154799282094
0.4993,0.162209,1.21456,0.17682900000000001,1.241379375,0.1800099028790894
0.5013,0.161503,1.22454,0.17854799999999998,1.2519841666666667,0.18051486326027885
0.5033,0.164293,1.23452,0.17923250000000002,1.2625889583333334,0.1820397181808554
0.5053,0.161683,1.2445,0.180301,1.2731937500000001,0.1848815211495117
0.5073,0.162422,1.25448,0.18065150000000002,1.2837985416666666,0.18456525964838855
0.5093,0.161305,1.26446,0.1825465,1.2944033333333334,0.18553523705850894
0.5113,0.163994,1.27444,0.1850325,1.305008125,0.18791764914840836
0.5133,0.165809,1.28442,0.184535,1.3156129166666668,0.18864594143833938
0.5153,0.16518,1.2944,0.1855345,1.3262177083333333,0.18967754013175725
0.5173,0.1666,1.30438,0.1878325,1.3368225,0.190239674407678
0.5193,0.163972,1.31437,0.188517,1.3474272916666667,0.19257626476550185
0.5213,0.16598,1.32435,0.189653,1.3580320833333335,0.19314677011653922
0.5233,0.16866,1.33433,0.18978,1.368636875,0.1942115040042676
0.5253,0.167238,1.34431,0.192143,1.3792416666666667,0.19647732983043376
0.5273,0.169375,1.35429,0.192918,1.3898464583333334,0.19625464137591814
0.5293,0.16737,1.36427,0.1937175,1.4004512500000001,0.19407809408937138
0.5313,0.167299,1.37425,0.1952035,1.4110560416666666,0.1955579326015602
0.5333,0.169237,1.38423,0.197151,1.4216608333333334,0.19909105266581809
0.5353,0.169784,1.39421,0.195075,1.432265625,0.20031429094152428
0.5373,0.171222,1.40419,0.1941235,1.4428704166666668,0.20162553844780884
0.5393,0.169726,1.41418,0.196585,1.4534752083333335,0.20325042876847724
0.5413,0.171732,1.42416,0.199667,1.46408,0.203795
0.5433,0.17006,1.43414,0.2004245,1.4746847916666668,0.20340494632934306
0.5453,0.170052,1.44412,0.201841,1.4852895833333335,0.2040476291910188
0.5473,0.171583,1.4541,0.2033195,1.495894375,0.20497900763839513
0.5493,0.170675,1.46408,0.203795,1.5064991666666667,0.2043880868083552
0.5513,0.171256,1.47406,0.2034195,1.5171039583333334,0.2056581736600235
0.5533,0.171164,1.48404,0.20385999999999999,1.5277087500000002,0.20271906272116016
0.5553,0.172894,1.49402,0.20509850000000002,1.5383135416666667,0.20440348186255652
0.5573,0.170987,1.504,0.2041505,1.5489183333333334,0.20600813090644596
0.5593,0.171702,1.51399,0.205662,1.5595231250000001,0.204815723864506
0.5613,0.170005,1.52397,0.204113,1.5701279166666668,0.20504536320069736
0.5633,0.174516,1.53395,0.202129,1.5807327083333333,0.20371047632433353
0.5653,0.172108,1.54393,0.20709850000000002,1.5913375,0.20300304582671652
0.5673,0.174276,1.55391,0.2042125,1.6019422916666668,0.20464974121568896
0.5693,0.173623,1.56389,0.205712,1.6125470833333335,0.20196645131977212
0.5713,0.174707,1.57387,0.20427299999999998,1.623151875,0.20048955020807457
0.5733,0.176139,1.58385,0.203544,1.6337566666666667,0.19991788743509117
0.5753,0.173605,1.59383,0.203146,1.6443614583333335,0.19982249733978558
0.5773,0.175219,1.60381,0.204658,1.6549662500000002,0.19694546493128837
0.5793,0.173548,1.6138,0.201575,1.6655710416666667,0.1978952991461762
0.5813,0.17303,1.62378,0.2004525,1.6761758333333334,0.19606506128493054
0.5833,0.177534,1.63376,0.199918,1.6867806250000001,0.19623802713417993
0.5853,0.176615,1.64374,0.1999725,1.6973854166666669,0.19352178168139797
0.5873,0.173193,1.65372,0.196941,1.7079902083333334,0.19512021589724554
0.5893,0.176095,1.6637,0.1982005,1.718595,0.19376990160881416
0.5913,0.177501,1.67368,0.195775,1.7291997916666668,0.19004419223973854
0.5933,0.176629,1.68366,0.1973,1.7398045833333335,0.19001863527040538
0.5953,0.173661,1.69364,0.193234,1.750409375,0.1897975111204955
0.5973,0.177578,1.70362,0.19523200000000002,1.7610141666666668,0.18958346074446528
0.5993,0.175684,1.7136,0.194152,1.7716189583333335,0.1888981433570388
0.6011,0.17488,1.72359,0.192795,1.7822237500000002,0.18890362686717194
0.6027,0.176104,1.73357,0.18865,1.7928285416666667,0.1842612453269793
0.6043,0.175577,1.74355,0.190925,1.8034333333333334,0.18535839963243414
0.6059,0.176271,1.75353,0.189168,1.8140381250000002,0.18509956506953268
0.6075,0.176608,1.76351,0.189727,1.8246429166666667,0.18557291691572064
0.6091,0.177811,1.77349,0.1888,1.8352477083333334,0.18211265304451604
0.6107,0.176164,1.78347,0.18861050000000001,1.8458525000000001,0.18084153092514182
0.6123,0.176896,1.79345,0.184113,1.8564572916666668,0.18236195999368257
0.6139,0.176054,1.80343,0.185358,1.8670620833333333,0.18087921364524767
0.6155,0.178135,1.81341,0.185084,1.877666875,0.18139275811533337
0.6171,0.175013,1.8234,0.185697,1.8882716666666668,0.17861250297069142
0.6187,0.177828,1.83338,0.182893,1.8988764583333335,0.1751062026428333
0.6203,0.17921,1.84336,0.180297,1.90948125,0.17794984274280856
0.6219,0.175524,1.85334,0.182877,1.9200860416666667,0.17597915215423413
0.6235,0.176647,1.86332,0.180461,1.9306908333333335,0.17499475334875395
0.6251,0.17953,1.8733,0.182114,1.9412956250000002,0.17659810232631512
0.6267,0.177202,1.88328,0.17958,1.9519004166666667,0.17551840880681788
0.6283,0.177005,1.89326,0.177423,1.9625052083333334,0.17506124710486917
0.6299,0.176948,1.90324,0.174679,1.9731100000000001,0.17350400000000005
0.6317,0.17847,1.91322,0.179187,1.9837147916666669,0.1783306201528686
0.6337,0.178286,1.92321,0.174379,1.9943195833333334,0.17431663533842356
0.6357,0.177796,1.93319,0.175723,2.004924375,0.17555577923319585
0.6377,0.179267,1.94317,0.176504,2.0155291666666666,0.17691284958312498
0.6397,0.17835,1.95315,0.175437,2.0261339583333333,0.17653935592788106
0.6417,0.17708,1.96313,0.174946,2.03673875,0.1765478892250875
0.6437,0.175831,1.97311,0.173504,2.0473435416666668,0.17710857125541812
0.6457,0.180298,1.98309,0.178306,2.0579483333333335,0.17771309513418476
0.6477,0.177393,1.99307,0.174645,2.068553125,0.17343713844228384
0.6497,0.177962,2.00305,0.175088,2.0791579166666665,0.1736558062806618
0.6517,0.177052,2.01303,0.176954,2.089762708333333,0.1739515710616001
0.6537,0.179357,2.02301,0.176379,2.1003675,0.17632237366125086
0.6557,0.178511,2.033,0.176944,2.1109722916666667,0.17688638759389552
0.6577,0.177373,2.04298,0.176157,2.1215770833333334,0.17630065848928844
0.6597,0.179246,2.05296,0.178327,2.132181875,0.18133301916739494
0.6617,0.178942,2.06294,0.175834,2.142786666666667,0.18005268524349646
