Wavelength (µm),split 92 <125 µm,Wavelength (µm) target,split 92 <125 µm target
1.0,0.16519,1.8434,0.194135
1.005,0.17079,1.8533,0.19270500000000002
1.01,0.17644,1.8633,0.19139
1.015,0.18246,1.8733,0.19006
1.02,0.18841,1.8833,0.188715
1.025,0.1944,1.8933,0.18792999999999999
1.03,0.20066,1.9032,0.18717
1.035,0.20673,1.9132,0.186425
1.04,0.21243,1.9232,0.186135
1.045,0.21859,1.9332,0.185945
1.05,0.22408,1.9432,0.18628499999999998
1.055,0.22896,1.9532,0.186175
1.06,0.23442,1.9631,0.186525
1.065,0.23897,1.9731,0.18692
1.07,0.24336,1.9831,0.187645
1.075,0.24763,1.9931,0.18836999999999998
1.08,0.25103,2.0031,0.18925
1.085,0.25483,2.013,0.19038
1.09,0.2578,2.023,0.19197999999999998
1.095,0.26063,2.033,0.19336
1.1,0.26291,2.043,0.194645
1.105,0.26506,2.053,0.196125
1.11,0.26754,2.0629,0.198
1.115,0.26935,2.0729,0.199995
1.12,0.27067,2.0829,0.20221
1.125,0.272,2.0929,0.204575
1.13,0.27366,2.1029,0.206845
1.135,0.2748,2.1128,0.20958
1.14,0.27627,2.1228,0.21231
1.145,0.27694,2.1328,0.2152
1.15,0.27819,2.1428,0.21789
1.155,0.27911,2.1528,0.22083
1.16,0.28049,2.1628,0.2241
1.165,0.28106,2.1727,0.227445
1.17,0.28233,2.1827,0.231145
1.175,0.28279,2.1927,0.23460999999999999
1.18,0.2838,2.2027,0.23834
1.185,0.28449,2.2127,0.24222500000000002
1.19,0.28538,2.2226,0.24616
1.195,0.28607,2.2326,0.249855
1.2,0.28727,2.2426,0.253805
1.205,0.28815,2.2526,0.25756500000000004
1.21,0.28927,2.2626,0.261525
1.215,0.29019,2.2725,0.26559999999999995
1.22,0.29022,2.2825,0.26993999999999996
1.225,0.29126,2.2925,0.27358
1.23,0.29253,2.3025,0.27757
1.235,0.2934,2.3125,0.281405
1.24,0.29406,2.3224,0.285275
1.245,0.29512,2.3324,0.28907000000000005
1.25,0.29578,2.3424,0.292595
1.255,0.29647,2.3524,0.295885
1.26,0.29705,2.3624,0.29979
1.265,0.29821,2.3724,0.303505
1.27,0.29876,2.3823,0.307015
1.275,0.29954,2.3923,0.31127
1.28,0.30046,2.4023,0.3157433333333333
1.285,0.30047,2.4123,0.3185491666666668
1.29,0.30203,2.4223,0.32180314285714284
1.295,0.30238,2.4322,0.3248582857142858
1.3,0.30399,2.4422,0.3277891428571429
1.305,0.30402,2.4522,0.3306141176470588
1.31,0.30494,2.4622,0.3332502941176471
1.315,0.30562,2.4722,0.33592970588235305
1.32,0.30637,2.4821,0.33855970588235296
1.325,0.30724,2.4921,0.34107787878787876
1.33,0.30786,2.5021,0.34340454545454546
1.335,0.30867,2.5121,0.3456375757575757
1.34,0.3089,2.5221,0.34774937499999997
1.345,0.30916,2.532,0.34985181818181815
1.35,0.3097,2.542,0.35166806451612903
1.355,0.30952,2.552,0.3533315625
1.36,0.30982,2.562,0.3549087500000001
1.365,0.31021,2.572,0.3563274193548387
1.37,0.31075,2.5819,0.3577329032258064
1.375,0.31126,2.5919,0.35904161290322584
1.38,0.31145,2.6019,0.35997483870967745
1.385,0.31134,2.6119,0.36096799999999996
1.39,0.31167,2.6219,0.3618880000000001
1.395,0.3118,2.6319,0.3625733333333333
1.4,0.31171,2.6418,0.362909
1.405,0.31213,2.6518,0.36317586206896546
1.41,0.31245,2.6618,0.36310344827586194
1.415,0.31204,2.6718,0.3618003448275862
1.42,0.31172,2.6818,0.35839689655172424
1.425,0.31185,2.6917,0.35253586206896553
1.43,0.31107,2.7017,0.3441889285714286
1.435,0.31119,2.7117,0.33101071428571427
1.44,0.31121,2.7217,0.3120582142857143
1.445,0.31055,2.7317,0.30359035714285704
1.45,0.31031,2.7416,0.2956907407407407
1.455,0.30927,2.7516,0.28696259259259255
1.46,0.309,2.7616,0.2795192857142857
1.465,0.30805,2.7716,0.2735714814814815
1.47,0.30721,2.7816,0.2688885185185185
1.475,0.30691,2.7916,0.26511307692307695
1.48,0.30612,2.8015,0.26228346153846155
1.485,0.30477,2.8115,0.2600362962962963
1.49,0.30358,2.8215,0.25828961538461537
1.495,0.30291,2.8315,0.2570773076923077
1.5,0.30182,2.8414,0.256064
1.505,0.30037,2.8514,0.25523076923076926
1.51,0.29947,2.8614,0.2545568
1.515,0.29798,2.8714,0.2540584000000001
1.52,0.29663,2.8814,0.253556
1.525,0.29488,2.8914,0.253176
1.53,0.2939,2.9013,0.252915
1.535,0.29226,2.9113,0.25267559999999994
1.54,0.29075,2.9213,0.25262375000000004
1.545,0.28934,2.9313,0.2526158333333333
1.55,0.28764,2.9413,0.25261416666666664
1.555,0.28601,2.9513,0.2529475
1.56,0.28443,2.9612,0.2533447826086956
1.565,0.28256,2.9712,0.2539358333333333
1.57,0.28108,2.9812,0.2547039130434782
1.575,0.27919,2.9912,0.2555504347826087
1.58,0.27757,,
1.585,0.2756,,
1.59,0.27375,,
1.595,0.27193,,
1.6,0.27036,,
1.605,0.26839,,
1.61,0.26643,,
1.615,0.26469,,
1.62,0.26277,,
1.625,0.26086,,
1.63,0.25902,,
1.635,0.25662,,
1.64,0.25498,,
1.645,0.25319,,
1.65,0.25168,,
