Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388A <125 ¬µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm cubic spline of bin avg
0.65,0.1267,1.12473,0.085761,1.1247266666666667,0.08576085072970391
0.655,0.12743,1.13471,0.08625939999999999,1.1347076470588235,0.08625925289432004
0.66,0.1279,1.14469,0.08694375,1.1446886274509804,0.08694366674086947
0.665,0.12836,1.15467,0.08746489473684212,1.1546696078431373,0.0874648722980378
0.67,0.1287,1.16465,0.08813589473684211,1.1646505882352942,0.08813593522144274
0.675,0.12868,1.17463,0.08881194736842106,1.174631568627451,0.08881206095384403
0.68,0.12861,1.18461,0.08956947368421053,1.184612549019608,0.08956965841780198
0.685,0.12861,1.19459,0.0902116111111111,1.1945935294117647,0.09021181733470142
0.69,0.1284,1.20458,0.09084688235294121,1.2045745098039216,0.09084645636739785
0.695,0.1282,1.21456,0.09167261111111111,1.2145554901960784,0.09167229460721456
0.7,0.12785,1.22454,0.09232923529411763,1.2245364705882353,0.09232892715164054
0.705,0.12745,1.23452,0.09337988235294119,1.2345174509803922,0.09337964336855252
0.71,0.12703,1.2445,0.09410582352941177,1.2444984313725491,0.0941057109992122
0.715,0.12657,1.25448,0.0949705,1.254479411764706,0.09497044268689128
0.72,0.12608,1.26446,0.09593911764705884,1.264460392156863,0.09593915279142824
0.725,0.12532,1.27444,0.09677437500000001,1.2744413725490196,0.09677449350727084
0.73,0.12446,1.28442,0.09772540000000002,1.2844223529411765,0.09772563996018692
0.735,0.12358,1.2944,0.0987848125,1.2944033333333334,0.09878517941179973
0.74,0.12272,1.30438,0.0999008666666667,1.3043843137254902,0.09990134840500138
0.745,0.12169,1.31437,0.10095800000000002,1.3143652941176471,0.10095754741469344
0.75,0.12092,1.32435,0.10188733333333334,1.324346274509804,0.10188695911780211
0.755,0.11989,1.33433,0.10299642857142856,1.334327254901961,0.1029961135131973
0.76,0.11884,1.34431,0.10410933333333335,1.3443082352941178,0.10410914203684057
0.765,0.11737,1.35429,0.10520571428571428,1.3542892156862745,0.10520562350958079
0.77,0.116,1.36427,0.10637461538461537,1.3642701960784314,0.10637463687164338
0.775,0.11499,1.37425,0.10741357142857143,1.3742511764705883,0.10741370038081817
0.78,0.11412,1.38423,0.10857214285714285,1.3842321568627451,0.10857238563888817
0.785,0.11305,1.39421,0.10964846153846154,1.394213137254902,0.1096488127408696
0.79,0.1124,1.40419,0.11081076923076923,1.404194117647059,0.1108112328634707
0.795,0.11164,1.41418,0.11185,1.4141750980392158,0.11184951403287645
0.8,0.11054,1.42416,0.11283692307692306,1.4241560784313727,0.11283653248341291
0.805,0.1093,1.43414,0.11386666666666667,1.4341370588235294,0.11386634706213762
0.81,0.10817,1.44412,0.11493,1.4441180392156863,0.1149298138966319
0.815,0.10692,1.4541,0.11578333333333334,1.4540990196078432,0.11578324720690845
0.82,0.10578,1.46408,0.11672416666666668,1.46408,0.11672416666666668
0.825,0.10469,1.47406,0.11758166666666665,1.474060980392157,0.11758174574069948
0.83,0.10383,1.48404,0.11834583333333333,1.4840419607843138,0.11834597417989089
0.835,0.10282,1.49402,0.11901454545454544,1.4940229411764707,0.11901472997493309
0.84,0.10186,1.504,0.11963000000000001,1.5040039215686276,0.11963024799528223
0.845,0.10092,1.51399,0.12024181818181817,1.5139849019607845,0.12024154772018762
0.85,0.099966,1.52397,0.1207018181818182,1.5239658823529412,0.12070162641498453
0.855,0.098926,1.53395,0.12119909090909092,1.533946862745098,0.12119893902310291
0.86,0.098083,1.54393,0.12166363636363636,1.543927843137255,0.1216635308928717
0.865,0.097249,1.55391,0.12215545454545454,1.5539088235294118,0.12215540340696093
0.87,0.096357,1.56389,0.122485,1.5638898039215687,0.12248499526738788
0.875,0.095334,1.57387,0.12271818181818182,1.5738707843137256,0.12271820467814112
0.88,0.094533,1.58385,0.12305200000000001,1.5838517647058825,0.12305205244831073
0.88527,0.094067,1.59383,0.123242,1.5938327450980394,0.1232420258626519
0.88557,0.093975,1.60381,0.123281,1.6038137254901963,0.12328100529061135
0.88587,0.093945,1.6138,0.12333000000000001,1.613794705882353,0.12332994002150374
0.88618,0.093928,1.62378,0.12344499999999999,1.6237756862745099,0.12344498902492257
0.88648,0.093923,1.63376,0.123394,1.6337566666666667,0.12339400748575306
0.88678,0.093979,1.64374,0.12340555555555555,1.6437376470588236,0.12340556831905726
0.88709,0.09415,1.65372,0.12328000000000001,1.6537186274509805,0.12328001415826682
0.88739,0.094293,1.6637,0.12326444444444445,1.6636996078431374,0.12326444277192766
0.88769,0.094224,1.67368,0.12334222222222224,1.6736805882352943,0.12334222925630066
0.888,0.093908,1.68366,0.123407,1.683661568627451,0.12340698549435594
0.8883,0.093728,1.69364,0.12323333333333333,1.6936425490196079,0.12323331368114517
0.88861,0.093658,1.70362,0.12325875,1.7036235294117648,0.12325873424996893
0.88891,0.093447,1.7136,0.12308444444444443,1.7136045098039216,0.12308435776854383
0.88922,0.093107,1.72359,0.12295000000000002,1.7235854901960785,0.12295005154735134
0.89289,0.093285,1.73357,0.12283444444444444,1.7335664705882354,0.12283448032280611
0.8932,0.093351,1.74355,0.12272625000000001,1.7435474509803923,0.12272628866533898
0.89351,0.09328,1.75353,0.12253222222222221,1.7535284313725492,0.12253225359693794
0.89382,0.093352,1.76351,0.12240375,1.763509411764706,0.12240375104146149
0.89412,0.093567,1.77349,0.12241874999999999,1.7734903921568628,0.12241874724258166
