Wavelength (µm) raw,Vogelsberg basalt JB460 125-250 µm raw,Wavelength (µm) bin avg,Vogelsberg basalt JB460 125-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Vogelsberg basalt JB460 125-250 µm cubic spline of bin avg
0.765,0.07866,1.37425,0.07648037037037037,1.3742511764705883,0.07648042592933078
0.77,0.07873,1.38423,0.07693,1.3842321568627451,0.07693008008542396
0.775,0.07875,1.39421,0.07721703703703706,1.394213137254902,0.07721711761747689
0.78,0.07869,1.40419,0.07751038461538462,1.404194117647059,0.07751052707088228
0.785,0.0787,1.41418,0.07794423076923077,1.4141750980392158,0.0779439641368057
0.79,0.07849,1.42416,0.07855640000000003,1.4241560784313727,0.07855615636545747
0.795,0.07863,1.43414,0.07910846153846156,1.4341370588235294,0.07910832308616822
0.8,0.07844,1.44412,0.07955083333333333,1.4441180392156863,0.07955073820143978
0.805,0.07834,1.4541,0.0800692,1.4540990196078432,0.08006915328276555
0.81,0.07818,1.46408,0.08049249999999998,1.46408,0.08049249999999998
0.815,0.07796,1.47406,0.08099333333333332,1.474060980392157,0.08099338663243622
0.82,0.07777,1.48404,0.08150739130434782,1.4840419607843138,0.08150747693267063
0.825,0.07738,1.49402,0.08188,1.4940229411764707,0.081880110230267
0.83,0.07702,1.504,0.08226499999999999,1.5040039215686276,0.08226513394453856
0.835,0.07655,1.51399,0.08258695652173914,1.5139849019607845,0.08258676125416295
0.84,0.07612,1.52397,0.08299409090909092,1.5239658823529412,0.08299396040887837
0.845,0.07552,1.53395,0.08322590909090909,1.533946862745098,0.08322582432943042
0.85,0.07495,1.54393,0.08357590909090909,1.543927843137255,0.08357583333856966
0.855,0.07406,1.55391,0.08386952380952381,1.5539088235294118,0.0838694932572312
0.86,0.07315,1.56389,0.08412714285714287,1.5638898039215687,0.08412713762097715
0.865,0.0723,1.57387,0.08438380952380953,1.5738707843137256,0.08438382662743844
0.87,0.0714,1.58385,0.08456095238095239,1.5838517647058825,0.08456098144352255
0.875,0.07015,1.59383,0.0847375,1.5938327450980394,0.08473755116369316
0.88,0.06908,1.60381,0.0849304761904762,1.6038137254901963,0.08493055092003267
0.885,0.06799,1.6138,0.08512105263157896,1.613794705882353,0.08512096597855227
0.89,0.06691,1.62378,0.085251,1.6237756862745099,0.08525095354944776
0.895,0.06578,1.63376,0.08535105263157895,1.6337566666666667,0.0853510202899714
0.9,0.06485,1.64374,0.08546949999999999,1.6437376470588236,0.08546946211238073
0.905,0.06377,1.65372,0.08562105263157894,1.6537186274509805,0.08562104295919161
0.91,0.06284,1.6637,0.08561666666666666,1.6636996078431374,0.08561666668440067
0.915,0.06203,1.67368,0.08567684210526316,1.6736805882352943,0.08567684793182541
0.92,0.06108,1.68366,0.08574833333333334,1.683661568627451,0.08574833333648191
0.925,0.06023,1.69364,0.08569166666666668,1.6936425490196079,0.08569165274258866
0.93,0.05968,1.70362,0.08567888888888887,1.7036235294117648,0.08567889233903028
0.935,0.05912,1.7136,0.08568294117647059,1.7136045098039216,0.08568293635289567
0.94,0.05855,1.72359,0.08565277777777776,1.7235854901960785,0.08565279825453578
