Wavelength raw,Mauna Iki HI basaltic glass JB388B 150-250 µm raw,Wavelength bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm bin avg,Wavelength cubic spline of bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm cubic spline of bin avg
0.31,0.034761,0.47000000000000003,0.0410284,0.47000000000000003,0.0410284
0.315,0.03498,0.5025000000000001,0.0432135,0.49961540447504305,0.04297504096779904
0.32,0.035227,0.5425000000000001,0.046805,0.5292308089500861,0.045606136111077326
0.325,0.035601,0.5824999999999999,0.050315375,0.5588462134251291,0.04820530921355105
0.33,0.035956,0.6224999999999999,0.05385474999999999,0.5884616179001722,0.05090533428012593
0.335,0.03625,0.6625,0.054501875000000005,0.6180770223752152,0.0535896009000694
0.34,0.036473,0.7024999999999999,0.05479825000000001,0.6476924268502582,0.05446612573560553
0.345,0.036678,0.7374999999999999,0.05453766666666667,0.6773078313253013,0.054600497619091505
0.35,0.036801,0.7625000000000001,0.05377575,0.7069232358003442,0.054809334181344885
0.355,0.036869,0.7825000000000001,0.05282825,0.7365386402753873,0.054556534992414814
0.36,0.036892,0.8025000000000001,0.051869750000000006,0.7661540447504303,0.05361840856883652
0.365,0.036941,0.8225,0.051033499999999996,0.7957694492254733,0.05217984608032162
0.37,0.037011,0.8424999999999999,0.0501845,0.8253848537005164,0.050916902004575486
0.375,0.037099,0.8625,0.049293000000000003,0.8550002581755594,0.049593959294901
0.38,0.037182,0.8861779999999998,0.04836686666666667,0.8846156626506024,0.04847091007546787
0.385,0.037281,0.8994832352941177,0.04731002941176471,0.9142310671256455,0.04676310162090706
0.39,0.037414,0.9188700000000001,0.046658538461538474,0.9438464716006885,0.046169056988422004
0.395,0.037591,0.94248,0.04616262790697674,0.9734618760757314,0.04603763514835627
0.4,0.037766,0.9598823214285714,0.046363910714285715,1.0030772805507746,0.04509246964633511
0.405,0.037943,0.9798366666666668,0.045758648148148146,1.0326926850258176,0.04510628360038291
0.41,0.038123,0.9998669230769232,0.045089903846153856,1.0623080895008605,0.044777595202706216
0.415,0.038217,1.019924,0.045306880000000015,1.0919234939759035,0.04422825930177995
0.42,0.038309,1.0399770833333333,0.04496406249999999,1.1215388984509467,0.04429963165934526
0.425,0.038473,1.0599695652173913,0.04482778260869565,1.1511543029259896,0.043962961699456
0.43,0.038647,1.0798295454545455,0.04427486363636363,1.1807697074010326,0.0439063203525699
0.435,0.038809,1.0997581395348837,0.04428344186046511,1.2103851118760758,0.043872366087561954
0.44,0.039059,1.1197146341463413,0.04430775609756099,1.2400005163511187,0.04398006653928479
0.445,0.039414,1.1396574999999998,0.044130125000000006,1.2696159208261617,0.043803751244324986
0.45,0.039705,1.1597923076923073,0.04387638461538463,1.2992313253012049,0.043911716991607376
0.455,0.03997,1.1798486486486486,0.043904378378378385,1.3288467297762478,0.0441751121801349
0.46,0.04036,1.199791666666667,0.04388691666666667,1.3584621342512908,0.04445643438082182
0.465,0.040755,1.2198228571428573,0.04389828571428572,1.3880775387263338,0.044719784397122826
0.47,0.04102,1.239657575757576,0.04398242424242424,1.417692943201377,0.04523149848302848
0.475,0.041337,1.2595333333333334,0.04374460606060606,1.44730834767642,0.04563868043374938
0.48,0.04167,1.2794225806451613,0.04390154838709678,1.4769237521514629,0.04612252348892749
0.485,0.041922,1.2993032258064516,0.043912129032258065,1.5065391566265058,0.0465308150002469
0.49,0.042209,1.3194766666666666,0.044146700000000004,1.536154561101549,0.04700608978482624
0.495,0.04257,1.3395827586206897,0.04420403448275863,1.565769965576592,0.04701235470965321
0.5,0.042927,1.3596178571428574,0.04446971428571428,1.595385370051635,0.04711940600116061
0.505,0.043323,1.3795185185185181,0.044608888888888885,1.6250007745266781,0.04709174782079924
0.51,0.043781,1.399242307692308,0.04492346153846154,1.654616179001721,0.04692901821100651
0.515,0.04425,1.4191653846153847,0.045243807692307694,1.684231583476764,0.04671036544715663
0.52,0.044726,1.439256,0.04539636,1.713846987951807,0.046507030193225635
0.525,0.045202,1.4591083333333332,0.04601162500000001,1.7434623924268502,0.04635372136587607
0.53,0.045718,1.4790875,0.04612783333333334,1.7730777969018932,0.04625949005064894
0.535,0.046189,1.4991913043478262,0.04637773913043479,1.8026932013769361,0.04623018356221664
0.54,0.04659,1.51895,0.04678945454545454,1.8323086058519793,0.04620259053945331
0.545,0.046976,1.5387954545454547,0.047018500000000005,1.8619240103270223,0.04621459353236218
0.55,0.047394,1.558695238095238,0.04700290476190477,1.8915394148020652,0.046360618452835595
0.555,0.047885,1.5834741935483874,0.04708506451612903,1.9211548192771084,0.04651725046895237
0.56,0.048486,1.6186099999999999,0.04711125000000001,1.9507702237521514,0.046782885223695725
0.565,0.049063,1.6584675675675675,0.04690202702702704,1.9803856282271943,0.047231651465706306
0.57,0.04958,1.698125,0.0466094722222222,2.0100010327022373,0.04778212488194096
0.575,0.050003,1.7385542857142857,0.046375400000000025,2.0396164371772807,0.04843317682063003
0.58,0.050286,1.7785,0.04624990625000001,2.0692318416523237,0.0490945746096596
0.585,0.050456,1.8184281250000005,0.04621965625,2.0988472461273666,0.049848030078428654
0.59,0.050698,1.8588533333333335,0.04620633333333333,2.1284626506024096,0.05093429036931799
0.595,0.05103,1.8983178571428572,0.046398178571428576,2.1580780550774525,0.05204398773390953
0.6,0.051407,1.938067857142857,0.04664264285714287,2.1876934595524955,0.05308029112809386
0.605,0.051925,1.978,0.04719126923076923,2.217308864027539,0.05421818684321361
0.61,0.05255,2.0180269230769228,0.04794942307692308,2.246924268502582,0.05560401454531656
