Wavelength (µm) raw,Icelandic tephra JB501C  45-125 µm raw,Wavelength (µm) bin avg,Icelandic tephra JB501C  45-125 µm bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic tephra JB501C  45-125 µm cubic spline of bin avg
0.62,0.11808,1.04488,0.09714,1.0448788235294117,0.09713998323790861
0.625,0.11867,1.05486,0.09728500000000001,1.0548598039215686,0.09728499877644083
0.63,0.11898,1.06484,0.09724,1.0648407843137255,0.09723999282520197
0.635,0.11934,1.07482,0.09719,1.0748217647058824,0.09719000317059809
0.64,0.11986,1.0848,0.097245,1.0848027450980393,0.09724500952234787
0.645,0.12049,1.09478,0.0973,1.0947837254901962,0.09730006480580639
0.65,0.12113,1.10477,0.09759999999999999,1.104764705882353,0.09759982219823059
0.655,0.12195,1.11475,0.09792000000000001,1.1147456862745098,0.09791985091940192
0.66,0.12272,1.12473,0.0983,1.1247266666666667,0.09829987136602081
0.665,0.12321,1.13471,0.098665,1.1347076470588235,0.09866491758049983
0.67,0.12352,1.14469,0.09903500000000001,1.1446886274509804,0.09903494202456768
0.675,0.12372,1.15467,0.099495,1.1546696078431373,0.09949498215308693
0.68,0.12405,1.16465,0.09997,1.1646505882352942,0.09997003340292739
0.685,0.12433,1.17463,0.100635,1.174631568627451,0.10063510986572113
0.69,0.12434,1.18461,0.101325,1.184612549019608,0.10132517937954523
0.695,0.1244,1.19459,0.10203999999999999,1.1945935294117647,0.10204024995054686
0.7,0.12425,1.20458,0.10277,1.2045745098039216,0.10276955808010377
0.705,0.12387,1.21456,0.10358999999999999,1.2145554901960784,0.10358967116458227
0.71,0.1237,1.22454,0.10422000000000001,1.2245364705882353,0.10421977502780619
0.715,0.1236,1.23452,0.10493,1.2345174509803922,0.10492980904034765
0.72,0.12346,1.2445,0.10567,1.2444984313725491,0.10566988632749966
0.725,0.12346,1.25448,0.1064,1.254479411764706,0.10639995464404726
0.73,0.12333,1.26446,0.107225,1.264460392156863,0.1072250339399846
0.735,0.12293,1.27444,0.10808999999999999,1.2744413725490196,0.10809011628569576
0.74,0.12271,1.28442,0.10891500000000001,1.2844223529411765,0.10891519430033958
0.745,0.12245,1.2944,0.109765,1.2944033333333334,0.10976529492187867
0.75,0.12224,1.30438,0.11069999999999999,1.3043843137254902,0.11070043179678023
0.755,0.12211,1.31437,0.111785,1.3143652941176471,0.11178444461168352
0.76,0.12193,1.32435,0.11297499999999999,1.324346274509804,0.11297458511692236
0.765,0.12158,1.33433,0.114015,1.334327254901961,0.1140147065921225
0.77,0.12095,1.34431,0.115145,1.3443082352941178,0.11514479988640774
0.775,0.12021,1.35429,0.11613166666666669,1.3542892156862745,0.11613160721511895
0.78,0.11947,1.36427,0.11666714285714284,1.3642701960784314,0.11666715089014434
0.785,0.11871,1.37425,0.11721999999999999,1.3742511764705883,0.11722010292758507
0.79,0.11818,1.38423,0.11820428571428573,1.3842321568627451,0.11820443918371895
0.795,0.1179,1.39421,0.11866666666666666,1.394213137254902,0.11866686347332683
0.8,0.11813,1.40419,0.11956857142857143,1.404194117647059,0.11956893406264349
0.805,0.11748,1.41418,0.12040000000000001,1.4141750980392158,0.1203994815716004
0.81,0.11703,1.42416,0.12167571428571429,1.4241560784313727,0.1216752358325258
0.815,0.11649,1.43414,0.12271666666666665,1.4341370588235294,0.12271636479794008
0.82,0.11594,1.44412,0.12381166666666665,1.4441180392156863,0.12381145192036726
0.825,0.11542,1.4541,0.12479166666666668,1.4540990196078432,0.12479158526157705
0.83,0.11483,1.46408,0.12555333333333332,1.46408,0.12555333333333332
0.835,0.11418,1.47406,0.12648833333333334,1.474060980392157,0.1264884307628046
0.84,0.11354,1.48404,0.12742,1.4840419607843138,0.12742016020352392
0.845,0.1129,1.49402,0.128215,1.4940229411764707,0.12821527305760025
0.85,0.11216,1.504,0.1291783333333333,1.5040039215686276,0.12917862943959252
0.855,0.11156,1.51399,0.129714,1.5139849019607845,0.12971371684854324
