Wavelength raw,Icelandic pillow lava JB602F raw,Wavelength bin avg,Icelandic pillow lava JB602F bin avg,Wavelength cubic spline of bin avg,Icelandic pillow lava JB602F cubic spline of bin avg
0.32,0.04087,0.47000000000000003,0.081862,0.47000000000000003,0.081862
0.325,0.04287,0.5025000000000001,0.09081625000000002,0.49961429718875505,0.08989187131335874
0.33,0.0438,0.5425000000000001,0.10388875,0.5292285943775101,0.09969524343349909
0.335,0.04416,0.5824999999999999,0.11370250000000001,0.5588428915662651,0.10842894430307179
0.34,0.04476,0.6224999999999999,0.11928124999999999,0.5884571887550202,0.11479333580037397
0.345,0.04594,0.6625,0.1215675,0.6180714859437751,0.1188602821470393
0.35,0.04683,0.7024999999999999,0.12315125,0.6476857831325302,0.1209344504067084
0.355,0.04799,0.7374999999999999,0.12468,0.6773000803212852,0.12215139021343704
0.36,0.04943,0.7625000000000001,0.12572500000000003,0.7069143775100403,0.1233326397649109
0.365,0.05073,0.7825000000000001,0.12616,0.7365286746987953,0.12463436348347784
0.37,0.05182,0.8025000000000001,0.1266575,0.7661429718875503,0.12581834832059405
0.375,0.05356,0.8225,0.12629,0.7957572690763053,0.1265381243182769
0.38,0.05521,0.8424999999999999,0.1251475,0.8253715662650604,0.12616183469912803
0.385,0.05678,0.8625,0.1233925,0.8549858634538154,0.12418506370786168
0.39,0.05868,0.8825,0.12027499999999999,0.8846001606425704,0.1198992062697309
0.395,0.06072,0.9025000000000001,0.1165425,0.9142144578313254,0.11422041216156668
0.4,0.06233,0.9225,0.11253250000000001,0.9438287550200805,0.1082560640396236
0.405,0.06398,0.9424999999999999,0.10850499999999999,0.9734430522088355,0.10378688840170311
0.41,0.0653,0.9624999999999999,0.105185,1.0030573493975905,0.1015586942928225
0.415,0.06691,0.9824999999999999,0.10283999999999999,1.0326716465863455,0.10181638277006586
0.42,0.06865,1.0,0.10164000000000001,1.0622859437751007,0.10411401645498711
0.425,0.07049,1.02,0.1016,1.0919002409638556,0.10728315996532398
0.43,0.07241,1.04,0.10213666666666667,1.1215145381526106,0.11104212549516274
0.435,0.07402,1.0575,0.10366500000000001,1.1511288353413656,0.1141494181816656
0.44,0.07575,1.0775000000000001,0.10557749999999999,1.1807431325301208,0.1164910476839056
0.445,0.077,1.0975000000000001,0.108,1.2103574297188757,0.1185618466219978
0.45,0.07799,1.1175000000000002,0.11054749999999999,1.2399717269076307,0.11948350753858322
0.455,0.07902,1.1374999999999997,0.11286249999999999,1.2695860240963857,0.12066212015013851
0.46,0.07988,1.1575,0.11469499999999999,1.2992003212851408,0.12221571155036695
0.465,0.08096,1.1774999999999998,0.1162675,1.3288146184738958,0.12408414503026573
0.47,0.08174,1.1975,0.11762,1.3584289156626508,0.12495791731836467
0.475,0.08281,1.2174999999999998,0.11895750000000001,1.3880432128514057,0.12653526907263216
0.48,0.08392,1.2375,0.11941000000000002,1.417657510040161,0.12892905374871283
0.485,0.08518,1.2574999999999998,0.12022000000000001,1.447271807228916,0.13172064907153652
0.49,0.08661,1.2775,0.120975,1.4768861044176709,0.1343382389839571
0.495,0.08827,1.2974999999999999,0.12210750000000001,1.5065004016064258,0.13668231974377
0.5,0.08986,1.3175000000000001,0.123395,1.536114698795181,0.1385535550537782
0.505,0.09145,1.3375,0.1244825,1.565728995983936,0.1399310919764399
0.51,0.09326,1.359701851851852,0.12499333333333336,1.595343293172691,0.1408239561370603
0.515,0.09506,1.3792407407407408,0.12593018518518517,1.624957590361446,0.14117344702436885
0.52,0.09684,1.3991547169811325,0.12738773584905658,1.6545718875502011,0.14109622543436517
0.525,0.09846,1.4192576923076918,0.12907249999999998,1.684186184738956,0.14060888061610877
0.53,0.10034,1.43934,0.1309756,1.713800481927711,0.13977423252723553
0.535,0.10175,1.4591979166666673,0.13280312499999997,1.743414779116466,0.13865021087352472
0.54,0.10334,1.4791791666666665,0.13453270833333333,1.7730290763052212,0.13727096437232414
0.545,0.1047,1.4990599999999998,0.1361433333333333,1.8026433734939762,0.1357108687736262
0.55,0.10616,1.518828888888889,0.13750577777777775,1.8322576706827312,0.1342087804129788
0.555,0.10749,1.5388886363636365,0.13870545454545452,1.8618719678714861,0.13194809270873828
0.56,0.10887,1.5587785714285718,0.13964785714285716,1.8914862650602413,0.12806974842584606
0.565,0.11011,1.5838031746031744,0.14054587301587296,1.9211005622489963,0.1247260429178357
0.57,0.11128,1.6189379746835444,0.14113873417721517,1.9507148594377512,0.12291406316241058
0.575,0.11236,1.6588186666666667,0.14105093333333335,1.9803291566265064,0.12207167298869322
0.58,0.11344,1.6984859154929575,0.14024422535211264,2.0099434538152616,0.1210929559628312
0.585,0.11434,1.738340579710145,0.13886202898550723,2.0395577510040166,0.1199791232003313
0.59,0.11523,1.7782799999999996,0.13700307692307692,2.0691720481927716,0.11875703903637284
0.595,0.11609,1.8181888888888886,0.1349093650793651,2.0987863453815265,0.11748287604959945
0.6,0.11677,1.8582650000000005,0.13232983333333334,2.1284006425702815,0.11615880277572085
0.605,0.11757,1.8980614035087715,0.12720701754385966,2.1580149397590365,0.1140885545986231
0.61,0.11818,1.9381410714285712,0.12349267857142854,2.1876292369477914,0.11211348188221165
0.615,0.11875,1.9780538461538462,0.12213480769230765,2.217243534136547,0.1112514751999158
0.62,0.11922,2.0177039215686277,0.12080745098039221,2.246857831325302,0.11117397037061467
0.625,0.11965,2.057742857142857,0.11924551020408167,2.276472128514057,0.11128409749384431
0.63,0.12006,2.0976872340425534,0.11752829787234043,2.3060864257028117,0.11140069415115209
