Wavelength raw,Haleakala tephra JB395B 45-125 raw,Wavelength bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
0.3,0.033494,0.47000000000000003,0.053476600000000006,0.47000000000000003,0.053476600000000006
0.305,0.028123,0.5025000000000001,0.06222199999999999,0.49961686746987954,0.06149816500071356
0.31,0.02925,0.5425000000000001,0.08159137500000001,0.5292337349397591,0.07236297105888372
0.315,0.027188,0.5824999999999999,0.1265425,0.5588506024096386,0.0981183554841864
0.32,0.026674,0.6224999999999999,0.16520374999999998,0.5884674698795181,0.1334867591540279
0.325,0.02674,0.6625,0.18289375000000002,0.6180843373493976,0.1620504557281987
0.33,0.026484,0.7024999999999999,0.19592874999999998,0.6477012048192772,0.17776194328626216
0.335,0.027509,0.7374999999999999,0.20233,0.6773180722891566,0.18796967389186195
0.34,0.028453,0.7625000000000001,0.202335,0.7069349397590362,0.1971070647539306
0.345,0.028406,0.7825000000000001,0.2005825,0.7365518072289157,0.2022564787983334
0.35,0.029087,0.8025000000000001,0.19805249999999996,0.7661686746987952,0.2020967595215357
0.355,0.029786,0.8225,0.19531750000000003,0.7957855421686748,0.198972482157729
0.36,0.030234,0.8424999999999999,0.1933,0.8254024096385543,0.19501372953125565
0.365,0.030639,0.8625,0.190725,0.8550192771084337,0.19150570509135958
0.37,0.031258,0.8825,0.1903525,0.8846361445783133,0.19022270875231104
0.375,0.03221,0.9025000000000001,0.1884475,0.9142530120481929,0.18807696008308009
0.38,0.033115,0.9225,0.188355,0.9438698795180723,0.18986525210915808
0.385,0.034255,0.9424999999999999,0.18979500000000002,0.9734867469879518,0.1909879890481283
0.39,0.035848,0.9624999999999999,0.19042749999999997,1.0031036144578314,0.19305587290948456
0.395,0.037278,0.9824999999999999,0.1915925,1.032720481927711,0.19476950691134856
0.4,0.037756,1.0,0.19282999999999997,1.0623373493975905,0.19523812010274513
0.405,0.038746,1.02,0.194198,1.0919542168674699,0.19566960074672277
0.41,0.039654,1.04,0.19493333333333332,1.1215710843373494,0.19574550646037206
0.415,0.040646,1.0575,0.19509,1.151187951807229,0.19660320319032598
0.42,0.041576,1.0775000000000001,0.1957575,1.1808048192771086,0.19687802431830656
0.425,0.042793,1.0975000000000001,0.195565,1.210421686746988,0.19732050031100667
0.43,0.043807,1.1175000000000002,0.19560000000000002,1.2400385542168675,0.19731071809846074
0.435,0.045078,1.1374999999999997,0.1964325,1.269655421686747,0.1976713558568491
0.44,0.046475,1.1575,0.19661250000000002,1.2992722891566266,0.19800365017863933
0.445,0.047962,1.1774999999999998,0.19681749999999998,1.328889156626506,0.19837067002019715
0.45,0.049331,1.1975,0.197195,1.3585060240963855,0.19832471496136883
0.455,0.050519,1.2174999999999998,0.19732750000000002,1.3881228915662651,0.19808444436441727
0.46,0.051537,1.2375,0.1972875,1.4177397590361447,0.19832878792623929
0.465,0.052603,1.2574999999999998,0.1975825,1.4473566265060243,0.1993445499708357
0.47,0.053483,1.2775,0.197725,1.4769734939759036,0.20020047839076163
0.475,0.054418,1.2974999999999999,0.19798749999999998,1.5065903614457832,0.20085217363792426
0.48,0.055342,1.3175000000000001,0.1981525,1.5362072289156627,0.20180885639859358
0.485,0.05667,1.3375,0.198495,1.565824096385542,0.20248566071541513
0.49,0.057944,1.3595538461538466,0.19830923076923077,1.5954409638554217,0.20293257559175762
0.495,0.059619,1.3791857142857142,0.19810285714285714,1.6250578313253012,0.20340255385844488
0.5,0.061116,1.3992846153846157,0.19811461538461542,1.6546746987951808,0.20392379047911832
0.505,0.062935,1.4192076923076924,0.19836615384615383,1.6842915662650602,0.20443111156331684
0.51,0.064673,1.4389083333333332,0.19908249999999997,1.7139084337349397,0.20480670749316074
0.515,0.066464,1.4591615384615388,0.1996692307692308,1.7435253012048193,0.20509822368919217
0.52,0.068355,1.479136363636364,0.20025363636363638,1.7731421686746989,0.20544328026507747
0.525,0.070459,1.498825,0.2006375,1.8027590361445782,0.20578030428048194
0.53,0.072792,1.5190454545454544,0.20126727272727277,1.8323759036144578,0.2063501455850123
0.535,0.075526,1.5388818181818182,0.20188454545454543,1.8619927710843374,0.20638350494891644
0.54,0.078462,1.5592636363636365,0.20236636363636365,1.891609638554217,0.20494202388856397
0.545,0.082057,1.5840466666666664,0.20276466666666662,1.9212265060240965,0.20414188444929063
0.55,0.086121,1.618715,0.2032965,1.9508433734939759,0.20480924792403704
0.555,0.090981,1.659121052631579,0.20400315789473683,1.9804602409638554,0.20622519712141846
0.56,0.096333,1.699372222222222,0.20464499999999994,2.010077108433735,0.2072954794657649
0.565,0.10277,1.7392823529411763,0.20505294117647058,2.0396939759036146,0.20807995996196116
0.57,0.1095,1.77868125,0.20550562500000003,2.069310843373494,0.20877475834754644
0.575,0.11677,1.8186249999999997,0.206045625,2.0989277108433737,0.20932351499445925
0.58,0.12364,1.8590600000000002,0.20646066666666668,2.128544578313253,0.2093602691913856
0.585,0.13073,1.898564285714286,0.20462,2.158161445783133,0.20846653692549186
0.59,0.13718,1.9383142857142857,0.20436142857142858,2.187778313253012,0.2072454126958913
0.595,0.14324,1.9782615384615387,0.20612615384615385,2.2173951807228915,0.20675715611201398
0.6,0.14851,2.0183384615384616,0.2075315384615385,2.2470120481927713,0.20746566284116083
0.605,0.15315,2.0583750000000003,0.2085216666666667,2.2766289156626507,0.20873964693299266
0.61,0.15749,2.0983833333333335,0.20931666666666668,2.30624578313253,0.20990247762995276
