Wavelength raw,split 92 <125 µm raw,Wavelength bin avg,split 92 <125 µm bin avg,Wavelength cubic spline of bin avg,split 92 <125 µm cubic spline of bin avg
0.3,0.069058,0.47000000000000003,0.224898,0.47000000000000003,0.224898
0.305,0.069252,0.5025000000000001,0.24439125,0.49961690974424017,0.24260022404744508
0.31,0.070823,0.5425000000000001,0.26731375,0.5292338194884803,0.2603771533420253
0.315,0.074713,0.5824999999999999,0.28219,0.5588507292327204,0.2744164058160139
0.32,0.079134,0.6224999999999999,0.2906825,0.5884676389769605,0.2837696334895803
0.325,0.083104,0.6625,0.295845,0.6180845487212007,0.2899428845802235
0.33,0.087733,0.7024999999999999,0.29771624999999996,0.6477014584654408,0.29426309332560585
0.335,0.093737,0.7374999999999999,0.29259,0.6773183682096809,0.2970093423917977
0.34,0.099702,0.7625000000000001,0.2783875,0.7069352779539211,0.29763279253418895
0.345,0.10602,0.7825000000000001,0.25948000000000004,0.7365521876981611,0.2929241843894299
0.35,0.11262,0.8025000000000001,0.233975,0.7661690974424014,0.2754315014886968
0.355,0.11999,0.8225,0.204695,0.7957860071866414,0.2431509994219819
0.36,0.12746,0.8424999999999999,0.17713,0.8254029169308816,0.20041534616073392
0.365,0.13484,0.8625,0.1566575,0.8550198266751217,0.163678783373489
0.37,0.14202,0.8825,0.1401325,0.8846367364193618,0.13869752824279624
0.375,0.14882,0.9025000000000001,0.12969,0.9142536461636019,0.12635250250923247
0.38,0.15526,0.9225,0.1252,0.9438705559078421,0.1268539421368976
0.385,0.16231,0.9424999999999999,0.1265475,0.9734874656520822,0.14104988333328367
0.39,0.1674,0.9624999999999999,0.134,1.0031043753963222,0.1686109095316713
0.395,0.17275,0.9824999999999999,0.1482425,1.0327212851405625,0.2039538134264004
0.4,0.17808,1.0,0.16521333333333332,1.0623381948848025,0.23632001407877548
0.405,0.18402,1.02,0.18847399999999997,1.0919551046290428,0.2586394463390924
0.41,0.18815,1.04,0.21258333333333335,1.1215720143732828,0.27118766968040253
0.415,0.1926,1.0575,0.2316075,1.151188924117523,0.2784427501498765
0.42,0.1962,1.0775000000000001,0.24921249999999998,1.180805833861763,0.2839145969900936
0.425,0.19883,1.0975000000000001,0.2616,1.2104227436060033,0.28896831492206837
0.43,0.20147,1.1175000000000002,0.26989,1.2400396533502434,0.2941989544576776
0.435,0.20463,1.1374999999999997,0.2754175,1.2696565630944834,0.29862203600315995
0.44,0.2074,1.1575,0.27971250000000003,1.2992734728387236,0.30338182809928077
0.445,0.20989,1.1774999999999998,0.2833525,1.3288903825829637,0.3076712232170803
0.45,0.21251,1.1975,0.2867175,1.358507292327204,0.3098739338509045
0.455,0.2155,1.2174999999999998,0.290235,1.388124202071444,0.31161667840421503
0.46,0.21956,1.2375,0.2937775,1.4177411118156842,0.3120106165056492
0.465,0.22242,1.2574999999999998,0.2968775,1.4473580215599242,0.31019895370586803
0.47,0.22462,1.2775,0.2998075,1.4769749313041642,0.3063445645312875
