Wavelength (µm) raw,ALH-271 spot f raw,Wavelength (µm) bin avg,ALH-271 spot f bin avg,Wavelength (µm) cubic spline of bin avg,ALH-271 spot f cubic spline of bin avg
0.79,0.15049,1.42416,0.15772,1.4241560784313727,0.15772019703692056
0.795,0.14595,1.43414,0.15733000000000003,1.4341370588235294,0.1573302159627369
0.8,0.14078,1.44412,0.156215,1.4441180392156863,0.15621521252549245
0.805,0.13604,1.4541,0.15533,1.4540990196078432,0.1553300923841475
0.81,0.13146,1.46408,0.154175,1.46408,0.154175
0.815,0.12724,1.47406,0.152845,1.474060980392157,0.15284486163849592
0.82,0.12274,1.48404,0.151395,1.4840419607843138,0.15139471911567404
0.825,0.11866,1.49402,0.14997500000000002,1.4940229411764707,0.14997456296695233
0.83,0.11439,1.504,0.14838,1.5040039215686276,0.14837933837792494
0.835,0.11083,1.51399,0.14666,1.5139849019607845,0.1466608796095919
0.84,0.10715,1.52397,0.144845,1.5239658823529412,0.14484583683134497
0.845,0.10359,1.53395,0.14271499999999998,1.533946862745098,0.14271562860768022
0.85,0.10099,1.54393,0.14083,1.543927843137255,0.14083043618705451
0.855,0.097655,1.55391,0.138655,1.5539088235294118,0.1386552483827222
0.86,0.095354,1.56389,0.136515,1.5638898039215687,0.1365150490911717
0.865,0.092999,1.57387,0.13383499999999998,1.5738707843137256,0.1338348146634092
0.87,0.090642,1.58385,0.13182,1.5838517647058825,0.13181961930934558
0.875,0.088341,1.59383,0.12944,1.5938327450980394,0.1294393906943274
0.88,0.086438,1.60381,0.12747,1.6038137254901963,0.12746923996706505
0.885,0.084687,1.6138,0.12531,1.613794705882353,0.12531107396554295
0.89,0.082984,1.62378,0.12329499999999999,1.6237756862745099,0.12329603070360287
0.895,0.081472,1.63376,0.12075,1.6337566666666667,0.12075070687646548
0.9,0.080072,1.64374,0.118925,1.6437376470588236,0.11892553297883915
0.905,0.079474,1.65372,0.1164,1.6537186274509805,0.11640026000688643
0.91,0.078286,1.6637,0.11518,1.6636996078431374,0.11518005551138683
0.915,0.077869,1.67368,0.113115,1.6736805882352943,0.11311486363011643
0.92,0.077461,1.68366,0.11099500000000001,1.683661568627451,0.11099470331811677
0.925,0.077081,1.69364,0.109315,1.6936425490196079,0.10931460771376038
0.93,0.076681,1.70362,0.10772,1.7036235294117648,0.1077193656020874
0.935,0.076998,1.7136,0.10575000000000001,1.7136045098039216,0.10574910344524788
0.94,0.077151,1.72359,0.10386000000000001,1.7235854901960785,0.10386083341375715
0.945,0.077508,1.73357,0.1021,1.7335664705882354,0.10210055985232906
0.95,0.07803,1.74355,0.10063,1.7435474509803923,0.10063038662217494
0.955,0.078737,1.75353,0.0990455,1.7535284313725492,0.09904573977120168
0.96,0.079724,1.76351,0.0976455,1.763509411764706,0.09764557885860399
0.965,0.080457,1.77349,0.09627,1.7734903921568628,0.09626994304730752
0.97,0.082012,1.78347,0.094833,1.7834713725490197,0.09483282093455007
0.975,0.083375,1.79345,0.0936375,1.7934523529411766,0.09363720765583039
0.98,0.08467,1.80343,0.0923325,1.8034333333333334,0.09233208595128249
0.985,0.086661,1.81341,0.0912505,1.8134143137254903,0.09125008413434522
0.99,0.088489,1.8234,0.090286,1.8233952941176472,0.0902864942785832
0.995,0.09066,1.83338,0.0892185,1.8333762745098041,0.089218850126774
1.0,0.092736,1.84336,0.0884405,1.8433572549019608,0.08844070267421361
1.005,0.095211,1.85334,0.0877415,1.8533382352941177,0.08774159650810501
1.01,0.097521,1.86332,0.08710899999999999,1.8633192156862746,0.08710908445341009
1.015,0.10019,1.8733,0.08597250000000001,1.8733001960784315,0.08597249091371158
1.02,0.103,1.88328,0.0860745,1.8832811764705883,0.08607447890649335
1.025,0.10572,1.89326,0.085239,1.8932621568627452,0.08523877897051496
1.03,0.10851,1.90324,0.0845285,1.9032431372549021,0.08452838433606498
1.035,0.11154,1.91322,0.084348,1.913224117647059,0.08434792653564112
1.04,0.11407,1.92321,0.0840785,1.923205098039216,0.0840786321608476
1.045,0.11677,1.93319,0.0838395,1.9331860784313726,0.08383960628520579
1.05,0.11998,1.94317,0.08349200000000001,1.9431670588235295,0.08349212035120664
1.055,0.12234,1.95315,0.083087,1.9531480392156864,0.08308706944126378
1.06,0.12485,1.96313,0.0829125,1.9631290196078433,0.08291249179280413
1.065,0.12715,1.97311,0.0831185,1.9731100000000001,0.0831185
1.07,0.12933,1.98309,0.0830635,1.983090980392157,0.08306349165065151
1.075,0.13136,1.99307,0.083071,1.993071960784314,0.08307101648797324
1.08,0.13319,2.00305,0.08325199999999999,2.0030529411764704,0.08325209280898119
1.085,0.13491,2.01303,0.08359549999999999,2.0130339215686273,0.08359559038249441
1.09,0.13645,2.02301,0.083758,2.023014901960784,0.0837581389166151
1.095,0.13821,2.033,0.084207,2.032995882352941,0.08420680522053463
1.1,0.13943,2.04298,0.084593,2.042976862745098,0.08459289541308318
1.105,0.14065,2.05296,0.08496300000000001,2.052957843137255,0.08496289947554615
1.11,0.14165,2.06294,0.0855095,2.0629388235294117,0.08550943444131812
1.115,0.1427,2.07292,0.086007,2.0729198039215686,0.08600699130959502
1.12,0.14383,2.0829,0.0865055,2.0829007843137255,0.08650555207289282
1.125,0.14428,2.09288,0.0872735,2.0928817647058824,0.08727362498218563
1.13,0.14502,2.10286,0.0879365,2.1028627450980393,0.08793672089627647
1.135,0.14538,2.11284,0.088814,2.112843725490196,0.08881426224202647
1.14,0.14615,2.12282,0.08936150000000001,2.122824705882353,0.08936181193314108
1.145,0.1465,2.13281,0.09024,2.13280568627451,0.09023959933405334
1.15,0.14699,2.14279,0.09114649999999999,2.142786666666667,0.09114617160925306
1.155,0.14771,2.15277,0.09216949999999999,2.1527676470588237,0.09216928106662825
1.16,0.1478,2.16275,0.0929955,2.16274862745098,0.09299538316672253
1.165,0.14813,2.17273,0.094041,2.172729607843137,0.0940409493964966
1.17,0.14827,2.18271,0.09544150000000001,2.182710588235294,0.09544157881493982
1.175,0.14885,2.19269,0.096604,2.192691568627451,0.09660416541623816
1.18,0.14954,2.20267,0.0977435,2.2026725490196077,0.09774384715581796
1.185,0.14929,2.21265,0.09924,2.2126535294117646,0.09924050184460409
1.19,0.14985,2.22263,0.100485,2.2226345098039215,0.10048553720554441
1.195,0.15039,2.23262,0.10174,2.2326154901960784,0.10173940267865399
1.2,0.15071,2.2426,0.10313,2.2425964705882353,0.1031294854476008
1.205,0.15134,2.25258,0.10457,2.252577450980392,0.10456965566613853
1.21,0.1516,2.26256,0.10591,2.262558431372549,0.10590976540806836
1.215,0.15227,2.27254,0.1075,2.272539411764706,0.10749991326245008
1.22,0.15254,2.28252,0.10883000000000001,2.282520392156863,0.10883005427126995
1.225,0.1527,2.2925,0.110305,2.2925013725490198,0.11030519513331664
1.23,0.1527,2.30248,0.1117,2.3024823529411766,0.111700366252049
1.235,0.15301,2.31246,0.11333,2.3124633333333335,0.11333048178610887
1.24,0.15347,2.32244,0.11458,2.32244431372549,0.11458056894895338
1.245,0.15353,2.33242,0.116085,2.332425294117647,0.11608582633966485
1.25,0.15371,2.34241,0.117575,2.3424062745098038,0.117574464944043
1.255,0.1543,2.35239,0.11896,2.3523872549019607,0.11895963432020372
1.26,0.15404,2.36237,0.120465,2.3623682352941175,0.12046466070636624
1.265,0.15474,2.37235,0.12265000000000001,2.3723492156862744,0.12264983772515058
1.27,0.15488,2.38233,0.12437000000000001,2.3823301960784313,0.12437003019292583
1.275,0.15487,2.39231,0.125885,2.392311176470588,0.1258851760145025
1.28,0.15519,2.40229,0.127375,2.402292156862745,0.12737532541246177
1.285,0.15562,2.41227,0.12897,2.412273137254902,0.12897054669544775
1.29,0.15592,2.42225,0.13070500000000002,2.422254117647059,0.1307056304163327
