Wavelength raw,Pigeonite hs199 spliced raw,Wavelength bin avg,Pigeonite hs199 spliced bin avg,Wavelength cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
0.30110000000000003,0.066997,0.47029999999999994,0.156474,0.47029999999999994,0.156474
0.30510000000000004,0.071523,0.5003,0.16217715,0.49991190705679855,0.16209762809750147
0.30910000000000004,0.077046,0.5403,0.1698998,0.5295238141135972,0.16801721559532012
0.31310000000000004,0.079934,0.5802999999999999,0.1747633,0.5591357211703958,0.1725717417052331
0.31710000000000005,0.087208,0.6197083333333333,0.177149,0.5887476282271944,0.17544718935929624
0.3211,0.089264,0.6591444444444444,0.1784825,0.618359535283993,0.177099855454104
0.3251,0.094608,0.7028470588235295,0.181983,0.6479714423407916,0.17799448395868483
0.3291,0.097637,0.735,0.18438542857142862,0.6775833493975902,0.17976747893568357
0.3331,0.101027,0.7595,0.18536657142857144,0.7071952564543889,0.1823539027708555
0.3371,0.103581,0.7797499999999999,0.18513166666666667,0.7368071635111875,0.1844931734513031
0.3411,0.107473,0.7995000000000001,0.18440874999999998,0.7664190705679861,0.18537975116538763
0.3451,0.107436,0.8195,0.18174675,0.7960309776247847,0.1845651034028192
0.3491,0.109603,0.835,0.176178,0.8256428846815834,0.17961401937102653
0.3531,0.113135,0.855,0.173024,0.855254791738382,0.17300672514426
0.35710000000000003,0.115178,0.877,0.1706405,0.8848666987951807,0.16853096715926608
0.36060000000000003,0.117811,0.899,0.164505,0.9144786058519793,0.16220556229847877
0.36360000000000003,0.118292,0.919,0.161495,0.9440905129087779,0.15641988057453587
0.36660000000000004,0.120078,0.941,0.15677533333333332,0.9737024199655765,0.15540237521714542
0.36960000000000004,0.120881,0.9636666666666667,0.15591533333333332,1.003314327022375,0.15372978142924557
0.37260000000000004,0.12359,0.9819999999999999,0.154775,1.0329262340791736,0.1555523234749982
0.37560000000000004,0.125011,1.0,0.15377966666666668,1.0625381411359722,0.15793829929246153
0.37860000000000005,0.124909,1.0205000000000002,0.154331,1.0921500481927708,0.16144731194108805
0.38110000000000005,0.127752,1.041,0.1564165,1.1217619552495695,0.16695977555618605
0.3831,0.12756,1.061,0.15787225,1.151373862306368,0.17063770918661159
0.3851,0.128903,1.081,0.15924349999999998,1.180985769363167,0.17397720600632863
0.3871,0.130385,1.101,0.16351675000000002,1.2105976764199655,0.1764685083071765
0.3891,0.132452,1.121,0.16688075,1.2402095834767641,0.17969964354581186
0.3911,0.133661,1.141,0.16879025,1.2698214905335627,0.18299335180344523
0.3931,0.133791,1.161,0.17235225,1.2994333975903614,0.18653249064467753
0.3951,0.134751,1.181,0.17397800000000002,1.32904530464716,0.1899109405351029
0.3971,0.133492,1.201,0.1754465,1.3586572117039586,0.19293131827099522
0.3991,0.135575,1.221,0.1776885,1.3882691187607572,0.19566319675138147
0.4011,0.137636,1.241,0.17976675,1.4178810258175558,0.19744946546290293
0.4031,0.136558,1.2610000000000001,0.181599,1.4474929328743544,0.2020658343020942
0.4051,0.140101,1.2810000000000001,0.18478375,1.477104839931153,0.2036219640777976
0.4071,0.13846,1.3010000000000002,0.18668349999999997,1.5067167469879517,0.20475535331423672
0.4091,0.139194,1.321,0.189085,1.5363286540447503,0.20540827324700744
0.4111,0.139974,1.3409999999999997,0.1909615,1.565940561101549,0.2043650550165474
0.4128,0.140324,1.361,0.19331775,1.5955524681583475,0.20311279606487914
0.4158,0.142064,1.3809999999999998,0.19617725,1.6251643752151461,0.20093797031076333
0.4188,0.141129,1.401,0.19459925,1.6547762822719447,0.19842771098167972
0.4218,0.144358,1.4209999999999998,0.19812600000000002,1.6843881893287433,0.19636300260475792
0.4248,0.143867,1.441,0.20113275,1.714000096385542,0.19344691823883103
0.4278,0.143594,1.4609999999999999,0.20355724999999997,1.7436120034423406,0.19018083785080708
0.4308,0.145448,1.481,0.20363975,1.7732239104991392,0.1883756410396398
0.4338,0.146181,1.501,0.2046245,1.8028358175559378,0.18622698535454285
0.4368,0.1473,1.5210000000000001,0.2048875,1.8324477246127364,0.18373997841112688
0.4398,0.148405,1.54,0.205442,1.862059631669535,0.18124868095146554
0.4428,0.150081,1.558,0.2047123333333333,1.8916715387263339,0.17843299774536514
0.44580000000000003,0.148846,1.5844999999999998,0.20367640000000004,1.9212834457831325,0.17628427328411342
0.44880000000000003,0.15078,1.6195,0.20141119999999998,1.950895352839931,0.17526971469698993
0.45130000000000003,0.150082,1.6580833333333336,0.19817700000000002,1.9805072598967297,0.17536065446399554
0.45330000000000004,0.150321,1.7,0.19502999999999998,2.0101191669535283,0.17616769519890707
0.45530000000000004,0.153714,1.7399999999999998,0.1904926,2.039731074010327,0.1762614698877374
0.4573,0.154082,1.78,0.1879722,2.0693429810671256,0.17538562505174024
0.4593,0.152983,1.82,0.18475799999999998,2.098954888123924,0.17542695327331556
0.4613,0.15635,1.86,0.18143725,2.128566795180723,0.17839870219666057
0.4633,0.15386,1.9000000000000001,0.17771725,2.1581787022375214,0.17879876142467732
0.4653,0.156979,1.9400000000000002,0.17551075,2.18779060929432,0.17764092135630707
0.4673,0.157923,1.9800000000000002,0.17535024999999999,2.2174025163511186,0.178983660460303
0.4693,0.156174,2.02,0.17634125,2.2470144234079172,0.1806992907524153
0.4713,0.156178,2.0599999999999996,0.17571775,2.276626330464716,0.1814074004785
0.4733,0.157505,2.1,0.17549225000000002,2.3062382375215145,0.18087450745576128
0.4753,0.155549,2.1399999999999997,0.17915274999999997,2.335850144578313,0.18121895529229967
