Wavelength (µm) raw,Orthoclase nmn h142137.17349 spliced raw,Wavelength (µm) bin avg,Orthoclase nmn h142137.17349 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmn h142137.17349 spliced cubic spline of bin avg
0.4218,0.67274,0.8752,0.78794,0.8668715748031497,0.7874779956063461
0.4248,0.67532,0.88518,0.78804,0.8768918503937009,0.7879863408516016
0.4278,0.67842,0.89517,0.78802,0.8869121259842521,0.7880375522352117
0.4308,0.68101,0.90515,0.78794,0.8969324015748033,0.7880135701873365
0.4338,0.68327,0.91513,0.78757,0.9069526771653544,0.7879075312230618
0.4368,0.68536,0.92511,0.78672,0.9169729527559056,0.7874298153133835
0.4398,0.68708,0.93509,0.78611,0.9269932283464568,0.7865910501864313
0.4428,0.68873,0.94507,0.7855300000000001,0.9370135039370079,0.7859638349540011
0.4458,0.69119,0.95505,0.78605,0.9470337795275592,0.7855705766433771
0.4488,0.6938,0.96503,0.7863249999999999,0.9570540551181104,0.7861202017628558
0.4513,0.69673,0.97501,0.78668,0.9670743307086616,0.7864568997583519
0.4533,0.69972,0.98499,0.7849550000000001,0.9770946062992127,0.7864541576452551
0.4553,0.70207,0.99497,0.78369,0.9871148818897637,0.784610068695973
0.4573,0.70431,1.00496,0.7826500000000001,0.9971351574803149,0.7834471423052226
0.4593,0.70615,1.01494,0.782385,1.007155433070866,0.7825086485304041
0.4613,0.70716,1.02492,0.7826850000000001,1.0171757086614173,0.7824477609317355
0.4633,0.7084,1.0349,0.78242,1.0271959842519685,0.7826726899010941
0.4653,0.70976,1.04488,0.78206,1.0372162598425196,0.7823452257313622
0.4673,0.71067,1.05486,0.7813950000000001,1.0472365354330708,0.7819162244861464
0.4693,0.71133,1.06484,0.78069,1.057256811023622,0.7812704910560632
0.4713,0.71283,1.07482,0.779065,1.0672770866141732,0.7803215630130462
0.4733,0.71389,1.0848,0.7784,1.0772973622047244,0.7788179200439392
0.4753,0.71509,1.09478,0.7775449999999999,1.0873176377952756,0.7782147288183342
0.4773,0.71592,1.10477,0.77691,1.0973379133858268,0.777353533801082
0.4793,0.71721,1.11475,0.7761899999999999,1.107358188976378,0.7767556151748956
0.4813,0.71789,1.12473,0.77497,1.1173784645669291,0.7759183709291034
0.4833,0.71863,1.13471,0.77371,1.1273987401574803,0.7745790551309127
0.4853,0.71911,1.14469,0.7733,1.1374190157480315,0.7735673046980237
0.4873,0.72039,1.15467,0.7722249999999999,1.1474392913385827,0.7730611018002209
0.4893,0.72135,1.16465,0.771425,1.1574595669291339,0.77196234583584
0.4913,0.72208,1.17463,0.77083,1.167479842519685,0.771206248913427
0.4933,0.72307,1.18461,0.77092,1.1775001181102362,0.7708455324312272
0.4953,0.72393,1.19459,0.770065,1.1875203937007874,0.7707723130957128
0.4973,0.72465,1.20458,0.76911,1.1975406692913386,0.7697458547923863
0.4993,0.72523,1.21456,0.7685649999999999,1.2075609448818898,0.7689179429538835
0.5013,0.72641,1.22454,0.7680400000000001,1.217581220472441,0.76840929029018
0.5033,0.72716,1.23452,0.767705,1.2276014960629922,0.767893908313511
0.5053,0.72855,1.2445,0.76783,1.2376217716535434,0.7677176825223374
0.5073,0.72912,1.25448,0.76793,1.2476420472440946,0.7678502081038311
0.5093,0.73024,1.26446,0.768285,1.2576623228346457,0.7680515831370427
0.5113,0.73066,1.27444,0.76814,1.267682598425197,0.7682661683317189
0.5133,0.73164,1.28442,0.768375,1.2777028740157481,0.7681694263003975
0.5153,0.73223,1.2944,0.768635,1.2877231496062993,0.7684756903990849
0.5173,0.73349,1.30438,0.768805,1.2977434251968505,0.7686982619834059
0.5193,0.73437,1.31437,0.76902,1.3077637007874017,0.7688577440282224
0.5213,0.73507,1.32435,0.7694300000000001,1.3177839763779529,0.7691590474133024
0.5233,0.7359,1.33433,0.76952,1.327804251968504,0.7695102836961473
0.5253,0.73673,1.34431,0.7693749999999999,1.3378245275590552,0.7694649836413306
0.5273,0.73773,1.35429,0.769725,1.3478448031496064,0.7694020966794167
0.5293,0.73818,1.36427,0.77086,1.3578650787401576,0.7700940792403609
0.5313,0.73956,1.37425,0.771755,1.3678853543307088,0.7712103026762563
0.5333,0.74044,1.38423,0.7726599999999999,1.37790562992126,0.7721075241678644
0.5353,0.74107,1.39421,0.7730950000000001,1.3879259055118112,0.772856188713389
0.5373,0.7414,1.40419,0.7737700000000001,1.3979461811023624,0.7732876104552784
0.5393,0.74251,1.41418,0.775,1.4079664566929135,0.7741703741480207
0.5413,0.74314,1.42416,0.77652,1.4179867322834645,0.7755928542896794
0.5433,0.74376,1.43414,0.777605,1.4280070078740157,0.7769813100161905
0.5453,0.74428,1.44412,0.77871,1.4380272834645669,0.778009467158686
0.5473,0.74464,1.4541,0.77989,1.4480475590551183,0.7792028965870176
0.5493,0.74485,1.46408,0.78077,1.4580678346456695,0.7802224805552331
0.5513,0.74516,1.47406,0.7821750000000001,1.4680881102362207,0.7813147461818649
0.5533,0.74551,1.48404,0.78293,1.4781083858267718,0.7825947299190676
0.5553,0.74609,1.49402,0.7832,1.488128661417323,0.7830197957505042
0.5573,0.74662,1.504,0.7841199999999999,1.4981489370078742,0.7835151189250342
0.5593,0.74721,1.51399,0.785235,1.5081692125984254,0.7845516909778552
0.5613,0.74741,1.52397,0.78667,1.5181894881889764,0.7858537244444217
0.5633,0.74829,1.53395,0.78737,1.5282097637795276,0.7870727899948132
0.5653,0.74889,1.54393,0.7878149999999999,1.5382300393700787,0.7874950926193899
0.5673,0.74956,1.55391,0.78908,1.54825031496063,0.7883316325145886
0.5693,0.74991,1.56389,0.78994,1.5582705905511811,0.789472582912406
0.5713,0.75055,1.57387,0.790905,1.5682908661417323,0.7904482186847189
0.5733,0.75097,1.58385,0.79074,1.5783111417322835,0.7908445904451417
0.5753,0.75132,1.59383,0.79166,1.5883314173228347,0.7910648441862717
0.5773,0.75182,1.60381,0.792,1.5983516929133859,0.7919466955901968
0.5793,0.75261,1.6138,0.79184,1.608371968503937,0.7918859136575829
0.5813,0.75311,1.62378,0.792535,1.6183922440944882,0.7920735371051076
0.5833,0.75309,1.63376,0.79323,1.6284125196850394,0.7929173104883116
0.5853,0.7538,1.64374,0.793635,1.6384327952755906,0.7933720452458193
0.5873,0.7543,1.65372,0.79453,1.6484530708661418,0.7941203778946243
0.5893,0.75417,1.6637,0.794035,1.658473346456693,0.7944143869839512
0.5913,0.75448,1.67368,0.79389,1.6684936220472442,0.7938204678900292
0.5933,0.75497,1.68366,0.79483,1.6785138976377953,0.7942717836031609
0.5953,0.75508,1.69364,0.79591,1.6885341732283465,0.7953337919950166
0.5973,0.75529,1.70362,0.79756,1.6985544488188977,0.7966255345149057
0.5993,0.75603,1.7136,0.79906,1.708574724409449,0.7985586386989845
0.6011,0.75635,1.72359,0.79804,1.718595,0.798628487186588
0.6027,0.7567,1.73357,0.79833,1.7286152755905513,0.7980722325989381
0.6043,0.75678,1.74355,0.798225,1.7386355511811025,0.7983132218427812
0.6059,0.75688,1.75353,0.79868,1.7486558267716537,0.7983610767953273
0.6075,0.75688,1.76351,0.79935,1.7586761023622048,0.7990870810688006
0.6091,0.75715,1.77349,0.79937,1.768696377952756,0.799376446864772
0.6107,0.75753,1.78347,0.799745,1.7787166535433072,0.7995461514713033
0.6123,0.75793,1.79345,0.79977,1.7887369291338584,0.7998257068642155
0.6139,0.75817,1.80343,0.79946,1.7987572047244096,0.7996108869117191
0.6155,0.75869,1.81341,0.7994,1.8087774803149608,0.7993646065279132
0.6171,0.75929,1.8234,0.79989,1.818797755905512,0.79961080916603
0.6187,0.75951,1.83338,0.80043,1.8288180314960631,0.8002413305406786
0.6203,0.75968,1.84336,0.80044,1.8388383070866143,0.8004403861959382
0.6219,0.76027,1.85334,0.80074,1.8488585826771655,0.8006073022321113
0.6235,0.76052,1.86332,0.8004,1.8588788582677167,0.8006801031524651
0.6251,0.76041,1.8733,0.7993,1.868899133858268,0.7997874482265912
0.6267,0.76079,1.88328,0.79872,1.878919409448819,0.7989056953980732
0.6283,0.76102,1.89326,0.79836,1.8889396850393703,0.7985163352111084
0.6299,0.76141,1.90324,0.79809,1.8989599606299215,0.7981591893186418
0.6317,0.76158,1.91322,0.79822,1.9089802362204726,0.7981654869958192
0.6337,0.7621,1.92321,0.79802,1.9190005118110238,0.7981355112457962
0.6357,0.76223,1.93319,0.79804,1.929020787401575,0.7979356696262806
0.6377,0.76265,1.94317,0.79883,1.9390410629921262,0.7984843527061724
0.6397,0.7629,1.95315,0.79935,1.9490613385826772,0.7991476564793202
0.6417,0.76325,1.96313,0.80033,1.9590816141732283,0.7998234631662219
0.6437,0.76346,1.97311,0.80212,1.9691018897637795,0.801359822318329
0.6457,0.76368,1.98309,0.80351,1.9791221653543307,0.803111821516215
0.6477,0.76414,1.99307,0.80376,1.989142440944882,0.8036554920516289
0.6497,0.76407,2.00305,0.8047563636363637,1.999162716535433,0.8043321793965706
0.6517,0.76443,2.01303,0.8055200000000001,2.009182992125984,0.8052189576408928
0.6537,0.76479,2.02301,0.8067258333333335,2.0192032677165352,0.8062357013245289
0.6557,0.76525,2.033,0.8077938461538461,2.0292235433070864,0.8074266041022893
0.6577,0.76571,2.04298,0.8086224999999999,2.0392438188976376,0.8083321610558597
0.6597,0.76632,2.05296,0.8092783333333333,2.049264094488189,0.8090620526153107
0.6617,0.76689,2.06294,0.8096092307692306,2.05928437007874,0.809540370185085
0.6637,0.76736,2.07292,0.8094941666666667,2.069304645669291,0.8095718913621255
0.6657,0.76744,2.0829,0.8092366666666667,2.0793249212598424,0.809326827250425
0.6677,0.76751,2.09288,0.8090018181818182,2.0893451968503935,0.809093471212999
0.6702,0.76781,2.10286,0.8087891666666667,2.0993654724409447,0.8088165368256369
0.6732,0.76796,2.11284,0.8091291666666667,2.109385748031496,0.8089774357349768
0.6762,0.76808,2.12282,0.8095618181818179,2.119406023622047,0.8093939895306771
0.6792,0.7687,2.13281,0.8102966666666666,2.1294262992125983,0.8100204862074648
0.6822,0.76914,2.14279,0.8110745454545455,2.1394465748031495,0.8108360209594442
0.6852,0.76974,2.15277,0.8116090909090908,2.1494668503937007,0.8114479946451981
0.6882,0.77058,2.16275,0.8120336363636365,2.159487125984252,0.8119218051455005
0.6912,0.77103,2.17273,0.8120281818181819,2.169507401574803,0.8120964312247767
0.6942,0.77145,2.18271,0.8114872727272726,2.1795276771653542,0.8116873318476728
0.6972,0.77185,2.19269,0.8108281818181818,2.1895479527559054,0.8110557557509925
0.7002,0.77226,2.20267,0.809973,2.1995682283464566,0.8102359461749618
0.702,0.77224,2.21265,0.8093454545454545,2.209588503937008,0.8095022909983763
0.704,0.77262,2.22263,0.8090029999999999,2.219608779527559,0.8090865551441674
0.706,0.77292,2.23262,0.8088418181818181,2.22962905511811,0.8088626572223063
0.708,0.77328,2.2426,0.8090050000000002,2.2396493307086613,0.8089214164320758
0.71,0.77334,2.25258,0.809464,2.2496696062992125,0.8093064807590346
0.712,0.77347,2.26256,0.8100289999999999,2.2596898818897637,0.8098798382007141
0.714,0.77371,2.27254,0.8104090000000002,2.269710157480315,0.8103082164144827
0.716,0.77397,2.28252,0.8107230000000001,2.279730433070866,0.8106651807977837
0.718,0.77394,2.2925,0.8105070000000001,2.2897507086614173,0.8106398791758656
0.72,0.77433,2.30248,0.8098349999999999,2.2997709842519685,0.8099860281532192
0.722,0.77453,2.31246,0.8097233333333334,2.3097912598425197,0.8097295421968128
0.724,0.77462,2.32244,0.80944,2.319811535433071,0.8095592911680712
0.726,0.77483,2.33242,0.8087579999999999,2.329831811023622,0.8089555371768938
0.728,0.77518,2.34241,0.8080033333333332,2.339852086614173,0.8081901638733268
0.73,0.77513,2.35239,0.8075055555555557,2.3498723622047244,0.8075688677222124
0.732,0.77551,2.36237,0.8076099999999998,2.3598926377952756,0.8075806868693479
0.734,0.77619,2.37235,0.8076422222222223,2.3699129133858268,0.8075931563741426
0.736,0.77639,2.38233,0.8082855555555555,2.379933188976378,0.8081179077452189
0.738,0.77635,2.39231,0.8087866666666667,2.389953464566929,0.8086691203788459
0.74,0.77645,2.40229,0.8094366666666666,2.3999737401574803,0.8092799423111586
0.742,0.77684,2.41227,0.8099322222222223,2.4099940157480315,0.809857573402742
0.744,0.77682,2.42225,0.8099077777777777,2.4200142913385827,0.8099605020224809
0.746,0.7771,2.43223,0.80949875,2.430034566929134,0.8095910556264485
0.748,0.77786,2.44222,0.8090744444444444,2.440054842519685,0.8091953550916599
0.7505,0.77836,2.4522,0.8082011111111111,2.4500751181102363,0.8084079525801747
0.7535,0.77843,2.46218,0.80722,2.4600953937007874,0.8074361899053092
0.7565,0.77835,2.47216,0.80614,2.4701156692913386,0.8063466170422585
0.7595,0.77864,2.48214,0.8052937499999999,2.48013594488189,0.8054621643352752
0.7625,0.77871,2.49212,0.804425,2.490156220472441,0.804578134320601
0.7655,0.77904,2.5021,0.8039033333333333,2.500176496062992,0.8039822614855374
0.7685,0.77933,2.51208,0.80365875,2.5101967716535434,0.8036672109295809
0.7715,0.7799,2.52206,0.8038737499999999,2.5202170472440946,0.8038283804707883
0.7745,0.78035,2.53204,0.80412625,2.5302373228346458,0.8040486411417446
0.7775,0.78076,2.54203,0.8049550000000001,2.540257598425197,0.8047804207016606
0.781,0.78118,2.55201,0.80544,2.550277874015748,0.8054878529210867
0.785,0.78134,2.56199,0.8043475,2.5602981496062993,0.8045025616132325
0.789,0.78198,2.57197,0.80455625,2.5703184251968505,0.804438638611498
0.793,0.78219,2.58195,0.80417875,2.5803387007874017,0.8045359026706372
0.797,0.78282,2.59193,0.8008799999999999,2.5903589763779524,0.8011190979788044
0.8015,0.78311,2.60191,0.80312,2.6003792519685036,0.8027041524192425
0.8065,0.78392,2.61189,0.8033171428571427,2.610399527559055,0.8035079039008594
0.8115,0.78397,2.62187,0.80133125,2.620419803149606,0.8016195059967481
0.8165,0.78451,2.63185,0.8006057142857144,2.630440078740157,0.8005189273965122
0.822,0.78434,2.64183,0.8019375,2.6404603543307084,0.801871992735333
0.828,0.78482,2.65182,0.7997014285714286,2.6504806299212595,0.8002218728806373
0.835,0.78512,2.6618,0.79481125,2.6605009055118107,0.7954941666586987
0.843,0.78597,2.67178,0.7911271428571427,2.670521181102362,0.7912839233272042
0.851,0.78618,2.68176,0.7914342857142856,2.680541456692913,0.7916050333938361
0.859,0.78703,2.69174,0.7839600000000001,2.6905617322834643,0.7853798200880819
0.871,0.78794,2.70172,0.7702771428571429,2.7005820078740155,0.7716119503107736
0.883,0.78804,2.7117,0.7620514285714286,2.7106022834645667,0.7629957574474334
0.894,0.78802,2.72168,0.7519842857142857,2.720622559055118,0.7528651859456624
0.904,0.78794,2.73166,0.7447385714285714,2.730642834645669,0.7458559271675431
0.914,0.78757,2.74164,0.7282414285714285,2.7406631102362202,0.7298427992767857
0.924,0.78672,2.75163,0.7150614285714286,2.7506833858267714,0.7163349570431182
0.933,0.78611,2.76161,0.7013585714285714,2.7607036614173226,0.7023044100235819
0.941,0.7853,2.77159,0.6960183333333334,2.770723937007874,0.6963865140906507
0.949,0.78576,2.78157,0.6901314285714285,2.780744212598425,0.6906483173004493
0.957,0.78605,2.79155,0.6843085714285715,2.790764488188976,0.6847733534299699
0.964,0.786,2.80153,0.6785199999999999,2.8007847637795273,0.6788912421232114
0.97,0.78665,2.81151,0.67446,2.8108050393700785,0.674751995302339
0.976,0.78668,2.82149,0.66974,2.8208253149606297,0.6700536883129458
0.982,0.7855,2.83147,0.6655671428571429,2.830845590551181,0.6658051543247167
0.988,0.78441,2.84145,0.6619533333333334,2.840865866141732,0.6621605642963612
0.994,0.78369,2.85144,0.6585757142857143,2.8508861417322833,0.6587444437234362
1.0,0.78281,2.86142,0.6559866666666666,2.8609064173228345,0.65610583310719
1.006,0.78249,2.8714,0.65395,2.8709266929133856,0.65402873361672
1.012,0.78229,2.88138,0.65261,2.880946968503937,0.6526652695282862
1.018,0.78248,2.89136,0.6513471428571428,2.890967244094488,0.6513890548429946
1.0235,0.78261,2.90134,0.6506466666666667,2.900987519685039,0.6506615117486511
1.0285,0.78276,2.91132,0.65034,2.9110077952755904,0.6503499862248938
1.0335,0.78244,2.9213,0.6500416666666666,2.9210280708661416,0.6500448955359742
1.0385,0.7824,2.93128,0.650135,2.9310483464566928,0.6501315958256256
1.0435,0.78202,2.94126,0.6502800000000001,2.941068622047244,0.6502753498426833
1.0485,0.7821,2.95125,0.6506383333333333,2.951088897637795,0.6506321980934535
1.0535,0.78139,2.96123,0.6510649999999999,2.9611091732283463,0.6510578781257627
1.0585,0.7814,2.97121,0.6517816666666666,2.9711294488188975,0.6517761301651815
1.0635,0.78092,2.98119,0.652364,2.9811497244094487,0.6523617104868025
1.0685,0.78046,2.99117,0.6530916666666667,2.99117,0.6530916666666667
1.0735,0.77929,,,,
1.0785,0.77884,,,,
1.0835,0.77864,,,,
1.0885,0.77816,,,,
1.0935,0.7777,,,,
1.0985,0.77739,,,,
1.1035,0.77736,,,,
1.1085,0.77646,,,,
1.1135,0.77645,,,,
1.1185,0.77593,,,,
1.1235,0.77531,,,,
1.1285,0.77463,,,,
1.1335,0.77408,,,,
1.1385,0.77334,,,,
1.1435,0.77326,,,,
1.1485,0.77334,,,,
1.1535,0.77259,,,,
1.1585,0.77186,,,,
1.1635,0.77176,,,,
1.1685,0.77109,,,,
1.1735,0.77085,,,,
1.1785,0.77081,,,,
1.1835,0.77129,,,,
1.1885,0.77055,,,,
1.1935,0.77036,,,,
1.1985,0.76977,,,,
1.2035,0.76934,,,,
1.2085,0.76888,,,,
1.2135,0.76875,,,,
1.2185,0.76838,,,,
1.2235,0.76811,,,,
1.2285,0.76797,,,,
1.2335,0.76777,,,,
1.2385,0.76764,,,,
1.2435,0.76777,,,,
1.2485,0.76789,,,,
1.2535,0.76803,,,,
1.2585,0.76783,,,,
1.2635,0.76845,,,,
1.2685,0.76812,,,,
1.2735,0.768,,,,
1.2785,0.76828,,,,
1.2835,0.76868,,,,
1.2885,0.76807,,,,
1.2935,0.76852,,,,
1.2985,0.76875,,,,
1.3035,0.76873,,,,
1.3085,0.76888,,,,
1.3135,0.76897,,,,
1.3185,0.76907,,,,
1.3235,0.76944,,,,
1.3285,0.76942,,,,
1.3335,0.76939,,,,
1.3385,0.76965,,,,
1.3435,0.76943,,,,
1.3485,0.76932,,,,
1.3535,0.76942,,,,
1.3585,0.77003,,,,
1.3635,0.77055,,,,
1.3685,0.77117,,,,
1.3735,0.77159,,,,
1.3785,0.77192,,,,
1.3835,0.77243,,,,
1.3885,0.77289,,,,
1.3935,0.773,,,,
1.3985,0.77319,,,,
1.4035,0.77369,,,,
1.4085,0.77385,,,,
1.4135,0.77456,,,,
1.4185,0.77544,,,,
1.4235,0.77618,,,,
1.4285,0.77686,,,,
1.4335,0.77759,,,,
1.4385,0.77762,,,,
1.4435,0.77838,,,,
1.4485,0.77904,,,,
1.4535,0.77962,,,,
1.4585,0.78016,,,,
1.4635,0.78052,,,,
1.4685,0.78102,,,,
1.4735,0.78188,,,,
1.4785,0.78247,,,,
1.4835,0.78215,,,,
1.4885,0.78371,,,,
1.4935,0.78332,,,,
1.4985,0.78308,,,,
1.5035,0.78382,,,,
1.5085,0.78442,,,,
1.5135,0.78496,,,,
1.5185,0.78551,,,,
1.5235,0.78651,,,,
1.5285,0.78683,,,,
1.534,0.78737,,,,
1.54,0.78737,,,,
1.546,0.78826,,,,
1.552,0.7891,,,,
1.558,0.78906,,,,
1.564,0.78994,,,,
1.5705,0.7904,,,,
1.5775,0.79141,,,,
1.5845,0.79074,,,,
1.5915,0.79161,,,,
1.5985,0.79171,,,,
1.6055,0.792,,,,
1.6125,0.79184,,,,
1.6195,0.79237,,,,
1.6265,0.7927,,,,
1.6335,0.79323,,,,
1.6405,0.79311,,,,
1.6475,0.79416,,,,
1.6545,0.79453,,,,
1.6615,0.79426,,,,
1.6685,0.79381,,,,
1.676,0.79389,,,,
1.684,0.79483,,,,
1.692,0.79591,,,,
1.7,0.79676,,,,
1.708,0.79836,,,,
1.716,0.79906,,,,
1.724,0.79804,,,,
1.732,0.79833,,,,
1.74,0.79851,,,,
1.748,0.79794,,,,
1.756,0.79868,,,,
1.764,0.79935,,,,
1.772,0.79937,,,,
1.78,0.79954,,,,
1.788,0.79995,,,,
1.796,0.79977,,,,
1.805,0.79946,,,,
1.815,0.7994,,,,
1.825,0.79989,,,,
1.835,0.80043,,,,
1.845,0.80044,,,,
1.855,0.80074,,,,
1.865,0.8004,,,,
1.875,0.7993,,,,
1.885,0.79872,,,,
1.895,0.79836,,,,
1.905,0.79809,,,,
1.915,0.79822,,,,
1.925,0.79802,,,,
1.935,0.79804,,,,
1.945,0.79883,,,,
1.955,0.79935,,,,
1.965,0.80033,,,,
1.975,0.80212,,,,
1.985,0.80351,,,,
1.995,0.80376,,,,
2.0001,0.80433,,,,
2.0008,0.80445,,,,
2.0016,0.80457,,,,
2.0024,0.80476,,,,
2.0032,0.80469,,,,
2.0039,0.80482,,,,
2.0047,0.80488,,,,
2.0055,0.80482,,,,
2.0063,0.80506,,,,
