Wavelength (nm),Haleakala tephra JB395B 45-125
1546.2,0.20239
1548.0,0.20234
1549.9,0.20244
1551.8,0.20240
1553.6,0.20230
1555.5,0.20221
1557.4,0.20225
1559.2,0.20246
1561.1,0.20258
1563.0,0.20249
1564.9,0.20231
1566.8,0.20227
1568.7,0.20232
1570.6,0.20251
1572.5,0.20251
1574.4,0.20258
1576.3,0.20249
1578.2,0.20237
1580.1,0.20246
1582.1,0.20288
1584.0,0.20302
1585.9,0.20284
1587.9,0.20282
1589.8,0.20280
1591.8,0.20288
1593.7,0.20311
1595.7,0.20307
1597.7,0.20313
1599.7,0.20313
1601.6,0.20302
1603.6,0.20295
1605.6,0.20294
1607.6,0.20304
1609.6,0.20302
1611.6,0.20309
1613.6,0.20326
1615.6,0.20344
1617.6,0.20355
1619.6,0.20349
1621.7,0.20352
1623.7,0.20343
1625.7,0.20335
1627.8,0.20343
1629.8,0.20350
1631.9,0.20324
1633.9,0.20321
1636.0,0.20352
1638.1,0.20380
1640.1,0.20382
1642.2,0.20368
1644.3,0.20363
1646.4,0.20394
1648.5,0.20390
1650.6,0.20380
1652.7,0.20386
1654.8,0.20396
1656.9,0.20395
1659.0,0.20388
1661.2,0.20389
1663.3,0.20419
1665.4,0.20431
1667.6,0.20414
1669.7,0.20413
1671.9,0.20424
1674.1,0.20430
1676.2,0.20423
1678.4,0.20421
1680.6,0.20436
1682.7,0.20445
1684.9,0.20435
1687.1,0.20444
1689.3,0.20443
1691.5,0.20444
1693.7,0.20468
1696.0,0.20471
1698.2,0.20459
1700.4,0.20481
1702.7,0.20496
1704.9,0.20485
1707.1,0.20471
1709.4,0.20471
1711.6,0.20489
1713.9,0.20479
1716.2,0.20462
1718.5,0.20482
1720.7,0.20484
1723.0,0.20483
1725.3,0.20502
1727.6,0.20491
1729.9,0.20481
1732.2,0.20510
1734.6,0.20526
1736.9,0.20500
1739.2,0.20491
1741.6,0.20509
1743.9,0.20494
1746.2,0.20498
1748.6,0.20512
1751.0,0.20507
1753.3,0.20519
1755.7,0.20533
1758.1,0.20550
1760.5,0.20552
1762.9,0.20544
1765.3,0.20517
1767.7,0.20509
1770.1,0.20520
1772.5,0.20548
1775.0,0.20553
1777.4,0.20551
1779.8,0.20567
1782.3,0.20559
1784.7,0.20561
1787.2,0.20569
1789.7,0.20576
1792.1,0.20570
1794.6,0.20546
1797.1,0.20567
1799.6,0.20580
1802.1,0.20565
1804.6,0.20576
1807.1,0.20598
1809.7,0.20613
1812.2,0.20609
1814.7,0.20595
1817.3,0.20576
1819.8,0.20581
1822.4,0.20603
1825.0,0.20624
1827.5,0.20605
1830.1,0.20630
1832.7,0.20650
1835.3,0.20635
1837.9,0.20633
1840.5,0.20656
1843.1,0.20667
1845.8,0.20649
1848.4,0.20648
1851.0,0.20630
1853.7,0.20618
1856.3,0.20634
1859.0,0.20633
1861.7,0.20651
1864.3,0.20667
1867.0,0.20644
1869.7,0.20637
1872.4,0.20661
1875.1,0.20655
1877.9,0.20641
1880.6,0.20628
1883.3,0.20615
1886.1,0.20595
1888.8,0.20569
1891.6,0.20551
1894.3,0.20526
1897.1,0.20475
1899.9,0.20433
1902.7,0.20393
1905.5,0.20367
1908.3,0.20357
1911.1,0.20323
1913.9,0.20310
1916.7,0.20326
1919.6,0.20339
1922.4,0.20351
1925.3,0.20371
1928.2,0.20388
1931.0,0.20395
1933.9,0.20413
1936.8,0.20430
1939.7,0.20457
1942.6,0.20461
1945.5,0.20467
1948.4,0.20482
1951.4,0.20506
1954.3,0.20518
1957.3,0.20528
1960.2,0.20557
1963.2,0.20582
1966.2,0.20586
1969.2,0.20575
1972.2,0.20577
1975.2,0.20596
1978.2,0.20603
1981.2,0.20597
1984.3,0.20629
1987.3,0.20648
1990.3,0.20649
1993.4,0.20674
1996.5,0.20691
1999.6,0.20676
2002.7,0.20673
2005.8,0.20696
2008.9,0.20703
2012.0,0.20735
2015.1,0.20771
2018.3,0.20771
2021.4,0.20777
2024.6,0.20797
2027.7,0.20786
2030.9,0.20785
2034.1,0.20806
2037.3,0.20815
2040.5,0.20828
2043.7,0.20834
2046.9,0.20838
2050.2,0.20835
2053.4,0.20833
