Wavelength (nm),Icelandic tephra JB501C  45-125 µm
1640.1,0.13329
1642.2,0.13326
1644.3,0.13337
1646.4,0.13323
1648.5,0.13318
1650.6,0.13325
1652.7,0.13313
1654.8,0.13314
1656.9,0.13312
1659,0.13313
1661.2,0.13326
1663.3,0.13327
1665.4,0.1332
1667.6,0.13311
1669.7,0.1332
1671.9,0.13312
1674.1,0.13312
1676.2,0.13327
1678.4,0.13316
1680.6,0.13298
1682.7,0.13308
1684.9,0.13321
1687.1,0.13321
1689.3,0.13298
1691.5,0.133
1693.7,0.13324
1696,0.13318
1698.2,0.13305
1700.4,0.13308
1702.7,0.13307
1704.9,0.13299
1707.1,0.133
1709.4,0.13304
1711.6,0.13301
1713.9,0.13285
1716.2,0.13268
1718.5,0.13272
1720.7,0.13277
1723,0.1327
1725.3,0.13274
1727.6,0.13272
1729.9,0.13268
1732.2,0.13263
1734.6,0.13257
1736.9,0.13248
1739.2,0.1326
1741.6,0.13259
1743.9,0.13245
1746.2,0.13234
1748.6,0.13229
1751,0.13239
1753.3,0.13239
1755.7,0.13232
1758.1,0.1324
1760.5,0.1324
1762.9,0.13236
1765.3,0.13231
1767.7,0.13228
1770.1,0.13231
1772.5,0.13224
1775,0.1323
1777.4,0.13236
1779.8,0.13228
1782.3,0.13219
1784.7,0.13216
1787.2,0.13208
1789.7,0.13217
1792.1,0.13221
1794.6,0.13221
1797.1,0.1323
1799.6,0.13219
1802.1,0.13211
1804.6,0.13219
1807.1,0.13229
1809.7,0.13216
1812.2,0.13201
1814.7,0.13213
1817.3,0.13217
1819.8,0.13222
1822.4,0.1323
1825,0.13222
1827.5,0.13205
1830.1,0.13203
1832.7,0.13206
1835.3,0.13229
1837.9,0.13229
1840.5,0.13207
1843.1,0.13209
1845.8,0.13221
1848.4,0.13223
1851,0.13216
1853.7,0.13224
1856.3,0.13231
1859,0.13235
1861.7,0.13247
1864.3,0.13236
1867,0.13218
1869.7,0.13207
1872.4,0.13185
1875.1,0.13175
1877.9,0.13176
1880.6,0.13134
1883.3,0.13085
1886.1,0.1306
1888.8,0.13038
1891.6,0.1302
1894.3,0.12985
1897.1,0.12948
1899.9,0.1291
1902.7,0.12875
1905.5,0.1285
1908.3,0.12842
1911.1,0.12831
1913.9,0.12823
1916.7,0.12821
1919.6,0.1283
1922.4,0.1284
1925.3,0.12858
1928.2,0.12883
1931,0.12881
1933.9,0.12891
1936.8,0.12922
1939.7,0.12954
1942.6,0.12996
1945.5,0.13017
1948.4,0.13023
1951.4,0.13048
1954.3,0.13068
1957.3,0.13092
1960.2,0.13122
1963.2,0.13135
1966.2,0.13148
1969.2,0.13174
1972.2,0.13197
1975.2,0.13218
1978.2,0.13236
1981.2,0.13266
1984.3,0.13306
1987.3,0.13322
1990.3,0.13336
1993.4,0.13363
1996.5,0.13392
1999.6,0.13418
2002.7,0.13436
2005.8,0.13453
2008.9,0.13482
2012,0.13517
2015.1,0.13545
2018.3,0.13578
2021.4,0.13601
2024.6,0.13608
2027.7,0.13626
2030.9,0.13655
2034.1,0.13677
2037.3,0.13709
2040.5,0.13743
2043.7,0.13753
2046.9,0.13775
2050.2,0.13804
2053.4,0.13821
2056.7,0.13842
2060,0.13866
2063.2,0.13888
2066.5,0.13917
2069.8,0.13938
2073.1,0.1396
2076.5,0.1399
2079.8,0.14023
2083.1,0.14041
2086.5,0.14049
2089.9,0.14069
2093.2,0.14085
2096.6,0.14116
2100,0.14152
2103.4,0.14179
2106.9,0.14205
2110.3,0.14217
2113.7,0.14235
2117.2,0.14254
2120.7,0.14279
2124.1,0.14318
2127.6,0.14346
2131.1,0.1435
2134.6,0.14365
2138.1,0.14405
2141.7,0.1443
2145.2,0.14436
2148.8,0.14443
2152.4,0.14463
2155.9,0.14478
2159.5,0.14485
2163.1,0.145
2166.8,0.14493
2170.4,0.14498
2174,0.145
2177.7,0.14488
2181.3,0.14464
2185,0.14466
2188.7,0.1448
2192.4,0.14484
2196.1,0.14509
2199.9,0.14531
2203.6,0.14549
2207.4,0.14588
2211.1,0.14621
2214.9,0.14625
2218.7,0.14642
2222.5,0.14661
2226.3,0.14677
2230.2,0.14721
