Wavelength (µm),Augite ws592 spliced
1.4185,0.48841
1.4235,0.494088
1.4285,0.495768
1.4335,0.495289
1.4385,0.498482
1.4435,0.501108
1.4485,0.505594
1.4535,0.505374
1.4585,0.507541
1.4635,0.512366
1.4685,0.511614
1.4735,0.51507
1.4785,0.514792
1.4835,0.519637
1.4885,0.520257
1.4935,0.522871
1.4985,0.527894
1.5035,0.525795
1.5085,0.525591
1.5135,0.52892
1.5185,0.530397
1.5235,0.532374
1.5285,0.532093
1.534,0.535013
1.54,0.539179
1.546,0.54151
1.552,0.542052
1.558,0.544132
1.564,0.545796
1.5705,0.54586
1.5775,0.546206
1.5845,0.54721
1.5915,0.550318
1.5985,0.551399
1.6055,0.551822
1.6125,0.55369
1.6195,0.554896
1.6265,0.554743
1.6335,0.552095
1.6405,0.555525
1.6475,0.555198
1.6545,0.553602
1.6615,0.556407
1.6685,0.556146
1.676,0.554885
1.684,0.5561
1.692,0.554668
1.7,0.551434
1.708,0.557762
1.716,0.554575
1.724,0.554471
1.732,0.552681
1.74,0.550891
1.748,0.550344
1.756,0.54716
1.764,0.543626
1.772,0.546538
1.78,0.542208
1.788,0.535237
1.796,0.538774
1.80005,0.533536
1.80068,0.533391
1.8013,0.533149
1.80193,0.533004
1.80256,0.533053
1.80318,0.533004
1.80381,0.532859
1.80444,0.532617
1.80507,0.532714
1.8057,0.532423
1.80633,0.532182
1.80695,0.532133
1.80758,0.53194
1.80822,0.531698
1.80885,0.531456
1.80948,0.531359
1.81011,0.531117
1.81074,0.530923
1.81137,0.530972
1.81201,0.530585
1.81264,0.530343
1.81328,0.530294
1.81391,0.530246
1.81455,0.530198
1.81518,0.52981
1.81582,0.529714
1.81645,0.529762
1.81709,0.52981
1.81773,0.52952
1.81836,0.529472
1.819,0.529375
1.81964,0.528697
1.82028,0.527778
1.82092,0.527972
1.82156,0.527923
1.8222,0.528117
1.82284,0.528456
1.82348,0.528794
1.82412,0.528649
1.82476,0.528504
1.82541,0.527439
1.82605,0.52623
1.82669,0.526955
1.82734,0.527585
1.82798,0.527101
1.82863,0.526762
1.82927,0.526665
1.82992,0.526423
1.83056,0.525504
1.83121,0.525504
1.83186,0.52623
1.8325,0.526084
1.83315,0.526181
1.8338,0.525988
1.83445,0.525213
1.8351,0.524681
1.83575,0.524004
1.8364,0.523859
1.83705,0.52381
1.8377,0.523375
1.83835,0.524391
1.83901,0.524052
1.83966,0.522939
1.84031,0.523568
1.84096,0.523278
1.84162,0.521729
1.84227,0.522504
1.84293,0.523713
1.84358,0.523762
1.84424,0.523762
1.84489,0.523713
1.84555,0.523423
1.84621,0.521778
1.84687,0.520133
1.84753,0.520423
1.84818,0.520859
1.84884,0.521778
1.8495,0.522262
1.85016,0.522165
1.85082,0.521971
1.85148,0.521875
1.85214,0.521246
1.85281,0.520278
1.85347,0.519068
1.85413,0.519455
1.8548,0.52081
1.85546,0.520955
1.85612,0.519455
1.85679,0.519068
1.85745,0.519988
1.85812,0.520278
1.85879,0.519165
1.85945,0.517181
1.86012,0.517423
1.86079,0.518487
1.86146,0.519068
1.86212,0.518923
1.86279,0.518536
1.86346,0.517907
1.86413,0.517568
1.8648,0.517665
1.86547,0.517858
1.86615,0.517568
1.86682,0.51631
1.86749,0.51452
1.86816,0.514907
1.86884,0.515584
1.86951,0.5151
1.87018,0.513552
1.87086,0.512342
1.87154,0.513939
1.87221,0.513552
1.87289,0.511616
1.87357,0.512294
1.87424,0.51331
1.87492,0.512971
1.8756,0.512923
1.87628,0.512245
1.87696,0.511471
1.87764,0.5121
1.87832,0.51239
1.879,0.512052
1.87968,0.511616
1.88036,0.511181
1.88104,0.51089
1.88173,0.51089
1.88241,0.510503
1.88309,0.509681
1.88378,0.508519
1.88446,0.508568
1.88515,0.508616
1.88583,0.508132
1.88652,0.507648
1.88721,0.507551
1.88789,0.507164
1.88858,0.506632
1.88927,0.505616
1.88996,0.504406
1.89065,0.504503
1.89134,0.504309
1.89203,0.503777
1.89272,0.503535
1.89341,0.502858
1.8941,0.502713
1.89479,0.502519
1.89549,0.501938
1.89618,0.501164
1.89687,0.500438
1.89757,0.499616
1.89826,0.498987
1.89896,0.497487
1.89965,0.496567
1.90035,0.497003
1.90105,0.497632
1.90174,0.49739
1.90244,0.49589
1.90314,0.495696
1.90384,0.496229
1.90454,0.495067
1.90524,0.493857
1.90594,0.494051
1.90664,0.494003
1.90734,0.494583
1.90804,0.494922
1.90875,0.494874
1.90945,0.494486
1.91015,0.493954
1.91086,0.49347
1.91156,0.493277
1.91227,0.493422
1.91297,0.492406
1.91368,0.49197
1.91439,0.492793
1.91509,0.493325
1.9158,0.493083
1.91651,0.492841
1.91722,0.492986
1.91793,0.493083
1.91864,0.492793
1.91935,0.491777
1.92006,0.490664
1.92077,0.490761
1.92148,0.491922
1.92219,0.492115
1.92291,0.492067
1.92362,0.491438
1.92433,0.491535
1.92505,0.491922
1.92576,0.491874
1.92648,0.49139
1.92719,0.491244
1.92791,0.490954
1.92863,0.490567
1.92935,0.490857
1.93007,0.490809
1.93078,0.490712
1.9315,0.49047
1.93222,0.490228
1.93294,0.490083
1.93366,0.48989
1.93439,0.490035
1.93511,0.489986
1.93583,0.489357
1.93655,0.489115
1.93728,0.489164
1.938,0.488922
1.93873,0.488535
1.93945,0.488535
1.94018,0.488728
1.9409,0.488535
1.94163,0.488293
1.94236,0.488196
1.94309,0.488002
1.94382,0.487906
1.94454,0.487857
1.94527,0.487809
1.946,0.48776
1.94673,0.487422
1.94747,0.486889
1.9482,0.486793
1.94893,0.486889
1.94966,0.486357
1.9504,0.486067
1.95113,0.486164
1.95186,0.486018
1.9526,0.485535
1.95334,0.485293
1.95407,0.485147
1.95481,0.484857
1.95555,0.484615
1.95629,0.484325
1.95702,0.484131
1.95776,0.483889
1.9585,0.483647
1.95924,0.483599
1.95998,0.483405
1.96072,0.483164
1.96147,0.482825
1.96221,0.482389
1.96295,0.482196
1.96369,0.482099
1.96444,0.481954
1.96518,0.481615
1.96593,0.481373
1.96667,0.481083
1.96742,0.480696
1.96817,0.480309
1.96891,0.480018
1.96966,0.479825
1.97041,0.479728
1.97116,0.479438
1.97191,0.479099
1.97266,0.478954
1.97341,0.478809
1.97416,0.478518
1.97492,0.478228
1.97567,0.477938
1.97642,0.477502
1.97718,0.477163
1.97793,0.476921
1.97869,0.476728
1.97944,0.476776
1.9802,0.476825
1.98095,0.476486
1.98171,0.476196
1.98247,0.476002
1.98323,0.475518
1.98399,0.475373
1.98474,0.475179
1.98551,0.474841
1.98627,0.47426
1.98703,0.474115
1.98779,0.474018
1.98855,0.473873
1.98931,0.473679
1.99008,0.473292
1.99084,0.472953
1.99161,0.47276
1.99237,0.472421
1.99314,0.472228
1.99391,0.472179
1.99467,0.471841
1.99544,0.47155
1.99621,0.471308
1.99698,0.471018
1.99775,0.470921
1.99852,0.470873
1.99929,0.470534
2.00006,0.470098
2.00083,0.469905
2.0016,0.469615
2.00238,0.469227
2.00315,0.469082
2.00392,0.468986
2.0047,0.468647
2.00548,0.468453
2.00625,0.46826
2.00703,0.467921
2.00781,0.467776
2.00858,0.467921
2.00936,0.467727
2.01014,0.46734
2.01092,0.46705
2.0117,0.466856
2.01248,0.466663
2.01326,0.466324
2.01405,0.466082
2.01483,0.46584
2.01561,0.465889
2.0164,0.465695
2.01718,0.465405
2.01797,0.465163
2.01875,0.465066
2.01954,0.464872
2.02033,0.464582
2.02111,0.46434
2.0219,0.463905
2.02269,0.463711
2.02348,0.463566
2.02427,0.463518
2.02506,0.463227
2.02585,0.462889
2.02664,0.462695
2.02744,0.462501
2.02823,0.462211
2.02902,0.462066
2.02982,0.461776
2.03061,0.46134
2.03141,0.461001
2.0322,0.461001
2.033,0.460808
2.0338,0.460614
2.0346,0.460421
2.0354,0.46013
2.03619,0.45984
2.037,0.459695
2.0378,0.459405
2.0386,0.459163
2.0394,0.459114
2.0402,0.458872
2.04101,0.458388
2.04181,0.458098
2.04261,0.457904
2.04342,0.457566
2.04422,0.457469
2.04503,0.457324
2.04584,0.456888
2.04665,0.456598
2.04745,0.456453
2.04826,0.456114
2.04907,0.455872
2.04988,0.45563
2.05069,0.455437
2.05151,0.455291
2.05232,0.454856
2.05313,0.454421
2.05394,0.454275
2.05476,0.454179
2.05557,0.453791
2.05639,0.453404
2.0572,0.453211
2.05802,0.453017
2.05884,0.452775
2.05966,0.452291
2.06047,0.451904
2.06129,0.451566
2.06211,0.451324
2.06293,0.45113
2.06376,0.450743
2.06458,0.450404
2.0654,0.450162
2.06622,0.449775
2.06705,0.449582
2.06787,0.449291
2.0687,0.448952
2.06952,0.448614
2.07035,0.448275
2.07118,0.448033
2.072,0.447791
2.07283,0.447404
2.07366,0.447065
2.07449,0.44692
2.07532,0.446485
2.07615,0.446243
2.07699,0.446001
2.07782,0.445614
2.07865,0.445275
2.07948,0.444936
2.08032,0.444598
2.08115,0.444501
2.08199,0.44421
2.08283,0.443968
2.08366,0.44363
2.0845,0.443291
2.08534,0.442904
2.08618,0.442517
2.08702,0.44213
2.08786,0.441743
2.0887,0.441452
2.08954,0.441259
2.09039,0.441017
2.09123,0.440823
2.09207,0.440678
2.09292,0.440388
2.09376,0.440001
2.09461,0.43971
2.09545,0.439323
2.0963,0.43913
2.09715,0.438742
2.098,0.438259
2.09885,0.438017
2.0997,0.438065
2.10055,0.437726
2.1014,0.437339
2.10225,0.437049
2.10311,0.436904
2.10396,0.43671
2.10481,0.436226
2.10567,0.435839
2.10652,0.435839
2.10738,0.435646
2.10824,0.435355
2.10909,0.435065
2.10995,0.434823
2.11081,0.435588
2.11167,0.435731
2.11253,0.434823
2.11339,0.433915
2.11425,0.433485
2.11512,0.432768
2.11598,0.432242
2.11684,0.432195
2.11771,0.432147
2.11858,0.43186
2.11944,0.431526
2.12031,0.431
2.12118,0.430379
2.12204,0.430379
2.12291,0.430426
2.12378,0.429996
2.12465,0.429423
2.12553,0.428945
2.1264,0.428802
