Wavelength (µm)	Pigeonite hs199 spliced
1.393500	0.195180
1.398500	0.194970
1.403500	0.193995
1.408500	0.194252
1.413500	0.196892
1.418500	0.196278
1.423500	0.198587
1.428500	0.200747
1.433500	0.200390
1.438500	0.200459
1.443500	0.203530
1.448500	0.200152
1.453500	0.202461
1.458500	0.204178
1.463500	0.205085
1.468500	0.202505
1.473500	0.203492
1.478500	0.203347
1.483500	0.203245
1.488500	0.204475
1.493500	0.205786
1.498500	0.204411
1.503500	0.205344
1.508500	0.202957
1.513500	0.205580
1.518500	0.205744
1.523500	0.203121
1.528500	0.205105
1.534000	0.202129
1.540000	0.208300
1.546000	0.205897
1.552000	0.203454
1.558000	0.204971
1.564000	0.205712
1.570500	0.204836
1.577500	0.203710
1.584500	0.203544
1.591500	0.203678
1.598500	0.202614
1.605500	0.204658
1.612500	0.201575
1.619500	0.200686
1.626500	0.200219
1.633500	0.199918
1.640500	0.200198
1.647500	0.199747
1.654500	0.196941
1.661500	0.199702
1.668500	0.196699
1.676000	0.195775
1.684000	0.197300
1.692000	0.193234
1.700000	0.195208
1.708000	0.195256
1.716000	0.194152
1.724000	0.192795
1.732000	0.188650
1.740000	0.190962
1.748000	0.190888
1.756000	0.189168
1.764000	0.189727
1.772000	0.188800
1.780000	0.188673
1.788000	0.188548
1.796000	0.184113
1.805000	0.185358
1.815000	0.185084
1.825000	0.185697
1.835000	0.182893
1.845000	0.180297
1.855000	0.182877
1.865000	0.180461
1.875000	0.182114
1.885000	0.179580
1.895000	0.177423
1.905000	0.174679
1.915000	0.179187
1.925000	0.174379
1.935000	0.175723
1.945000	0.176504
1.955000	0.175437
1.965000	0.174946
1.975000	0.173504
1.985000	0.178306
1.995000	0.174645
2.005000	0.175088
2.015000	0.176954
2.025000	0.176379
2.035000	0.176944
2.045000	0.176157
2.055000	0.178327
2.065000	0.175834
2.075000	0.172553
2.085000	0.174366
2.095000	0.174001
2.105000	0.177019
2.115000	0.176583
2.125000	0.176666
2.135000	0.181494
2.145000	0.180052
2.155000	0.178399
2.165000	0.175584
2.175000	0.180334
2.185000	0.178498
2.195000	0.176369
2.205000	0.176585
2.215000	0.180171
2.225000	0.180932
2.235000	0.178918
2.245000	0.181383
2.255000	0.181899
2.265000	0.182676
2.275000	0.178754
2.285000	0.180353
2.295000	0.181696
2.305000	0.179006
2.315000	0.183215
2.325000	0.182427
2.335000	0.180616
2.345000	0.178365
2.355000	0.185261
2.365000	0.184495
2.375000	0.186536
2.386000	0.193993
2.400000	0.191595
2.418000	0.190593
2.440000	0.194820
