Wavelength (nm),"ALH-271, spot f"
1960.0,0.082965
1965.0,0.08286
1970.0,0.083119
1975.0,0.083118
1980.0,0.082994
1985.0,0.083133
1990.0,0.083082
1995.0,0.08306
2000.0,0.083217
2005.0,0.083287
2010.0,0.083549
2015.0,0.083642
2020.0,0.083581
2025.0,0.083935
2030.0,0.084068
2035.0,0.084346
2040.0,0.084463
2045.0,0.084723
2050.0,0.084844
2055.0,0.085082
2060.0,0.085536
2065.0,0.085483
2070.0,0.085841
2075.0,0.086173
2080.0,0.086366
2085.0,0.086645
2090.0,0.087071
2095.0,0.087476
2100.0,0.087852
2105.0,0.088021
2110.0,0.088629
2115.0,0.088999
2120.0,0.089145
2125.0,0.089578
2130.0,0.090169
2135.0,0.090311
2140.0,0.091011
2145.0,0.091282
2150.0,0.091996
2155.0,0.092343
2160.0,0.092843
2165.0,0.093148
2170.0,0.093767
2175.0,0.094315
2180.0,0.095227
2185.0,0.095656
2190.0,0.096448
2195.0,0.09676
2200.0,0.097344
2205.0,0.098143
2210.0,0.09895
2215.0,0.09953
2220.0,0.10018
2225.0,0.10079
2230.0,0.10126
2235.0,0.10222
2240.0,0.10272
2245.0,0.10354
2250.0,0.10411
2255.0,0.10503
2260.0,0.10562
2265.0,0.1062
2270.0,0.10701
2275.0,0.10799
2280.0,0.10857
2285.0,0.10909
2290.0,0.10986
2295.0,0.11075
2300.0,0.11129
2305.0,0.11211
2310.0,0.11298
2315.0,0.11368
2320.0,0.11427
2325.0,0.11489
2330.0,0.11574
2335.0,0.11643
2340.0,0.11716
2345.0,0.11799
2350.0,0.11863
2355.0,0.11929
2360.0,0.12009
2365.0,0.12084
2370.0,0.12231
2375.0,0.12299
2380.0,0.124
2385.0,0.12474
2390.0,0.12553
2395.0,0.12624
2400.0,0.12693
2405.0,0.12782
2410.0,0.12861
2415.0,0.12933
2420.0,0.13019
2425.0,0.13122
2430.0,0.13194
2435.0,0.13207
2440.0,0.13311
2445.0,0.13345
2450.0,0.13402
2455.0,0.13473
2460.0,0.13527
