Wavelength (µm)	Augite ws592 spliced
1.388500	0.475841
1.393500	0.478694
1.398500	0.485312
1.403500	0.484968
1.408500	0.481620
1.413500	0.487330
1.418500	0.488410
1.423500	0.494088
1.428500	0.495768
1.433500	0.495289
1.438500	0.498482
1.443500	0.501108
1.448500	0.505594
1.453500	0.505374
1.458500	0.507541
1.463500	0.512366
1.468500	0.511614
1.473500	0.515070
1.478500	0.514792
1.483500	0.519637
1.488500	0.520257
1.493500	0.522871
1.498500	0.527894
1.503500	0.525795
1.508500	0.525591
1.513500	0.528920
1.518500	0.530397
1.523500	0.532374
1.528500	0.532093
1.534000	0.535013
1.540000	0.539179
1.546000	0.541510
1.552000	0.542052
1.558000	0.544132
1.564000	0.545796
1.570500	0.545860
1.577500	0.546206
1.584500	0.547210
1.591500	0.550318
1.598500	0.551399
1.605500	0.551822
1.612500	0.553690
1.619500	0.554896
1.626500	0.554743
1.633500	0.552095
1.640500	0.555525
1.647500	0.555198
1.654500	0.553602
1.661500	0.556407
1.668500	0.556146
1.676000	0.554885
1.684000	0.556100
1.692000	0.554668
1.700000	0.551434
1.708000	0.557762
1.716000	0.554575
1.724000	0.554471
1.732000	0.552681
1.740000	0.550891
1.748000	0.550344
1.756000	0.547160
1.764000	0.543626
1.772000	0.546538
1.780000	0.542208
1.788000	0.535237
1.796000	0.538774
1.800053	0.533536
1.800679	0.533391
1.801304	0.533149
1.801931	0.533004
1.802557	0.533053
1.803184	0.533004
1.803812	0.532859
1.804439	0.532617
1.805068	0.532714
1.805696	0.532423
1.806326	0.532182
1.806955	0.532133
1.807585	0.531940
1.808216	0.531698
1.808847	0.531456
1.809478	0.531359
1.810110	0.531117
1.810742	0.530923
1.811375	0.530972
1.812008	0.530585
1.812641	0.530343
1.813275	0.530294
1.813910	0.530246
1.814545	0.530198
1.815180	0.529810
1.815816	0.529714
1.816452	0.529762
1.817089	0.529810
1.817726	0.529520
1.818363	0.529472
1.819001	0.529375
1.819640	0.528697
1.820279	0.527778
1.820918	0.527972
1.821558	0.527923
1.822199	0.528117
1.822839	0.528456
1.823480	0.528794
1.824122	0.528649
1.824764	0.528504
1.825406	0.527439
1.826049	0.526230
1.826693	0.526955
1.827337	0.527585
1.827981	0.527101
1.828626	0.526762
1.829271	0.526665
1.829917	0.526423
1.830563	0.525504
1.831210	0.525504
1.831857	0.526230
1.832504	0.526084
1.833152	0.526181
1.833801	0.525988
1.834450	0.525213
1.835099	0.524681
1.835749	0.524004
1.836399	0.523859
1.837050	0.523810
1.837701	0.523375
1.838353	0.524391
1.839005	0.524052
1.839658	0.522939
1.840311	0.523568
1.840964	0.523278
1.841618	0.521729
1.842272	0.522504
1.842927	0.523713
1.843583	0.523762
1.844238	0.523762
1.844895	0.523713
1.845551	0.523423
1.846209	0.521778
1.846867	0.520133
1.847525	0.520423
1.848184	0.520859
1.848843	0.521778
1.849502	0.522262
1.850162	0.522165
1.850823	0.521971
1.851484	0.521875
1.852145	0.521246
1.852807	0.520278
1.853469	0.519068
1.854132	0.519455
1.854796	0.520810
1.855459	0.520955
1.856124	0.519455
1.856789	0.519068
1.857454	0.519988
1.858120	0.520278
1.858786	0.519165
1.859453	0.517181
1.860120	0.517423
1.860788	0.518487
1.861456	0.519068
1.862124	0.518923
