Wavelength (nm),Sanidine gds19.19863
1513.5,0.81757
1518.5,0.820914
1523.5,0.81836
1528.5,0.819436
1534.0,0.820719
1540.0,0.822945
1546.0,0.818088
1552.0,0.819065
1558.0,0.823776
1564.0,0.822796
1570.5,0.822312
1577.5,0.821991
1584.5,0.821853
1591.5,0.822644
1598.5,0.821953
1605.5,0.821761
1612.5,0.822501
1619.5,0.821456
1626.5,0.822087
1633.5,0.821353
1640.5,0.823473
1647.5,0.821624
1654.5,0.823026
1661.5,0.826361
1668.5,0.821163
1676.0,0.823502
1684.0,0.822557
1692.0,0.825669
1700.0,0.828043
1708.0,0.828531
1716.0,0.823694
1724.0,0.824455
1732.0,0.820617
1740.0,0.822951
1748.0,0.825327
1756.0,0.826078
1764.0,0.826067
1772.0,0.823693
1780.0,0.82763
1788.0,0.828618
1796.0,0.829175
1805.0,0.826087
1815.0,0.826947
1825.0,0.824762
1835.0,0.82539
1845.0,0.828799
1855.0,0.825947
1865.0,0.825653
1875.0,0.826147
1885.0,0.822694
1895.0,0.82355
1905.0,0.823145
1915.0,0.818266
1925.0,0.820498
1935.0,0.82333
1945.0,0.822477
1955.0,0.823275
1965.0,0.825512
1975.0,0.827582
1985.0,0.828957
1995.0,0.831195
2005.0,0.830904
2015.0,0.825094
2025.0,0.831737
2035.0,0.83059
2045.0,0.833427
2055.0,0.831096
2065.0,0.831186
2075.0,0.828706
2085.0,0.83334
2095.0,0.838147
2105.0,0.836369
2115.0,0.838745
2125.0,0.841353
2135.0,0.841922
2145.0,0.837873
2155.0,0.836584
2165.0,0.836215
2175.0,0.832405
2185.0,0.831486
2195.0,0.832159
2205.0,0.827313
2215.0,0.833465
2225.0,0.831547
2235.0,0.830854
2245.0,0.828049
2255.0,0.824434
2265.0,0.832178
2275.0,0.831883
2285.0,0.831221
2295.0,0.839149
2305.0,0.827434
2315.0,0.83178
2325.0,0.838777
2335.0,0.83705
2345.0,0.83761
2355.0,0.836748
2365.0,0.835707
2375.0,0.842734
2386.0,0.840589
2400.0,0.835922
2400.071,0.839808
2401.183,0.839361
2402.296,0.839249
2403.41,0.839249
2404.524,0.839137
2405.64,0.839193
2406.757,0.839193
2407.875,0.839026
2408.994,0.83869
2410.113,0.838243
2411.234,0.838411
2412.356,0.838411
2413.479,0.838355
2414.603,0.838467
2415.729,0.837964
2416.855,0.837628
2417.982,0.837908
2419.111,0.838019
2420.24,0.83774
2421.371,0.837628
2422.502,0.837572
2423.635,0.83746
2424.768,0.837069
2425.903,0.836901
2427.038,0.836622
2428.176,0.836398
2429.314,0.836286
2430.453,0.836175
2431.592,0.835895
2432.734,0.835672
2433.876,0.835783
2435.019,0.835951
2436.163,0.835951
2437.308,0.835672
2438.454,0.835168
2439.602,0.834833
2440.75,0.834889
2441.9,0.834498
2443.051,0.834442
2444.203,0.834665
2445.355,0.834889
2446.51,0.834665
2447.665,0.834609
2448.821,0.834386
2449.978,0.833827
2451.137,0.833603
2452.296,0.833659
2453.457,0.833547
2454.618,0.833324
2455.781,0.833212
2456.945,0.833268
2458.11,0.833044
2459.276,0.832597
2460.443,0.832541
2461.612,0.832765
2462.781,0.832765
2463.952,0.832597
2465.123,0.832373
2466.296,0.832597
2467.47,0.832597
2468.645,0.831982
2469.821,0.831423
2470.998,0.831535
2472.176,0.831703
2473.356,0.831367
2474.536,0.83092
2475.718,0.830976
2476.901,0.830752
2478.085,0.83092
2479.27,0.831088
2480.456,0.831032
2481.644,0.83092
2482.832,0.830529
2484.022,0.830808
2485.213,0.830529
2486.404,0.830193
2487.597,0.830081
2488.792,0.830137
2489.987,0.830137
2491.184,0.830025
2492.381,0.830025
2493.581,0.830417
2494.781,0.830305
2495.982,0.830193
2497.184,0.829858
2498.387,0.829802
2499.592,0.829914
2500.798,0.829634
2502.005,0.829858
2503.213,0.829578
2504.422,0.829411
2505.633,0.829858
2506.844,0.82997
2508.057,0.830025
2509.271,0.829914
2510.486,0.829522
2511.703,0.829634
2512.92,0.829522
2514.138,0.82969
2515.358,0.829914
2516.579,0.829578
2517.802,0.829802
2519.025,0.829746
2520.25,0.829355
2521.476,0.829522
2522.703,0.829914
2523.931,0.82997
2525.16,0.829634
2526.391,0.829467
2527.622,0.829299
2528.856,0.829355
2530.09,0.829802
2531.325,0.830808
2532.562,0.831255
2533.8,0.830249
2535.039,0.830081
2536.279,0.83064
2537.52,0.82997
2538.763,0.829467
2540.007,0.829522
2541.252,0.830473
2542.498,0.831982
2543.746,0.831591
2544.994,0.830417
2546.244,0.830305
2547.495,0.831311
2548.748,0.830976
2550.002,0.83092
2551.256,0.832206
2552.513,0.832541
2553.771,0.831088
2555.029,0.829467
2556.289,0.828907
2557.55,0.828516
2558.813,0.829467
2560.076,0.833324
2565.143,0.832876
2566.413,0.829467
2567.684,0.829858
2571.505,0.830529
2575.337,0.831479
2577.898,0.831199
2579.181,0.828852
2580.465,0.831479
2581.75,0.831647
2585.613,0.831926
2588.195,0.832262
2589.488,0.830137
2590.782,0.827901
2592.077,0.82846
2597.271,0.83064
2598.573,0.826057
2599.876,0.826168
2601.181,0.828293
2602.487,0.829802
2607.723,0.83064
2609.035,0.829467
2610.349,0.827566
2611.664,0.825833
2612.981,0.826448
2614.299,0.825777
2615.618,0.830696
2618.26,0.829802
2622.233,0.824491
2623.56,0.822423
2624.888,0.824379
2626.217,0.830361
2627.548,0.827789
2628.881,0.827845
2631.55,0.82969
2632.886,0.82533
2634.224,0.825162
2635.564,0.822087
2636.904,0.821249
2638.246,0.820746
2639.59,0.820858
2640.934,0.82164
2642.28,0.82192
2643.628,0.821305
2644.976,0.823317
2646.327,0.822926
2647.678,0.820522
2649.031,0.819684
2650.386,0.820299
2651.741,0.823317
2653.098,0.823541
2654.457,0.821976
2655.817,0.821976
2657.177,0.819125
2658.54,0.821137
2659.904,0.822758
2661.27,0.821584
2662.637,0.820466
2664.005,0.827007
2668.118,0.826224
2672.244,0.819181
2673.622,0.81482
2675.002,0.817895
2676.383,0.822311
2677.765,0.820355
2679.15,0.818118
2680.535,0.81141
2681.922,0.808168
2683.31,0.809174
2684.7,0.807944
2686.09,0.806826
2687.483,0.805149
2688.877,0.803305
2690.272,0.801516
2691.669,0.802019
2693.067,0.807609
2694.467,0.808727
2695.868,0.803416
2697.27,0.797882
2698.674,0.794919
2700.08,0.795199
2701.487,0.794752
2702.896,0.790839
2704.306,0.787988
2705.717,0.786758
2707.13,0.78687
2708.544,0.790056
2709.96,0.794808
2711.378,0.794304
2712.797,0.785919
2714.217,0.78223
2715.639,0.781056
2717.062,0.780776
2718.487,0.782565
2719.913,0.789553
2721.341,0.785696
2722.77,0.779099
2724.2,0.781671
2725.633,0.775857
2727.067,0.767807
2728.502,0.76395
2729.939,0.76149
2731.377,0.758863
2732.817,0.757354
2734.258,0.758528
2735.701,0.754894
2737.146,0.750086
2738.592,0.753776
2740.039,0.755341
2741.488,0.748521
2742.939,0.739409
2744.391,0.734043
2745.844,0.731192
2747.299,0.728341
2748.756,0.726161
2750.214,0.724484
2751.674,0.722918
2753.135,0.721856
2754.598,0.727055
2756.062,0.72521
2757.528,0.714365
2758.996,0.707601
2760.465,0.704303
2761.936,0.704415
2763.408,0.703185
2764.882,0.699999
2766.357,0.700446
2767.834,0.70134
2769.313,0.701005
2770.793,0.701173
2772.275,0.697595
2773.758,0.693849
2775.243,0.692228
2776.73,0.691613
2778.218,0.690495
2779.707,0.689657
2781.199,0.689489
2782.691,0.687868
2784.185,0.685967
