Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo80
33333	0.30000	300.00	0.12270
32787	0.30500	305.00	0.13424
32258	0.31000	310.00	0.14219
31746	0.31500	315.00	0.15604
31250	0.32000	320.00	0.17231
30769	0.32500	325.00	0.19405
30303	0.33000	330.00	0.21747
29851	0.33500	335.00	0.24767
29412	0.34000	340.00	0.27999
28986	0.34500	345.00	0.31392
28571	0.35000	350.00	0.34822
28169	0.35500	355.00	0.38333
27778	0.36000	360.00	0.41659
27397	0.36500	365.00	0.44713
27027	0.37000	370.00	0.47362
26667	0.37500	375.00	0.49585
26316	0.38000	380.00	0.51390
25974	0.38500	385.00	0.52820
25641	0.39000	390.00	0.54070
25316	0.39500	395.00	0.54872
25000	0.40000	400.00	0.54961
24691	0.40500	405.00	0.56744
24390	0.41000	410.00	0.57994
24096	0.41500	415.00	0.58566
23810	0.42000	420.00	0.58972
23529	0.42500	425.00	0.59222
23256	0.43000	430.00	0.59423
22989	0.43500	435.00	0.59622
22727	0.44000	440.00	0.59946
22472	0.44500	445.00	0.59593
22222	0.45000	450.00	0.59083
21978	0.45500	455.00	0.59138
21739	0.46000	460.00	0.59852
21505	0.46500	465.00	0.60446
21277	0.47000	470.00	0.60649
21053	0.47500	475.00	0.61655
20833	0.48000	480.00	0.62389
20619	0.48500	485.00	0.62439
20408	0.49000	490.00	0.62454
20202	0.49500	495.00	0.62566
20000	0.50000	500.00	0.63592
19802	0.50500	505.00	0.64326
19608	0.51000	510.00	0.64900
19417	0.51500	515.00	0.65259
19231	0.52000	520.00	0.65512
19048	0.52500	525.00	0.65791
18868	0.53000	530.00	0.66081
18692	0.53500	535.00	0.66538
18519	0.54000	540.00	0.66995
18349	0.54500	545.00	0.67354
18182	0.55000	550.00	0.67754
18018	0.55500	555.00	0.67883
17857	0.56000	560.00	0.68027
17699	0.56500	565.00	0.68171
17544	0.57000	570.00	0.68230
17391	0.57500	575.00	0.68282
17241	0.58000	580.00	0.68226
17094	0.58500	585.00	0.68214
16949	0.59000	590.00	0.68247
16807	0.59500	595.00	0.68255
16667	0.60000	600.00	0.68239
16529	0.60500	605.00	0.68101
16393	0.61000	610.00	0.68116
16260	0.61500	615.00	0.68083
16129	0.62000	620.00	0.68057
16000	0.62500	625.00	0.67950
15873	0.63000	630.00	0.68016
15748	0.63500	635.00	0.68029
15625	0.64000	640.00	0.68212
15504	0.64500	645.00	0.68378
15385	0.65000	650.00	0.68564
15267	0.65500	655.00	0.68757
15152	0.66000	660.00	0.68875
15038	0.66500	665.00	0.68825
14925	0.67000	670.00	0.68813
14815	0.67500	675.00	0.68852
14706	0.68000	680.00	0.68606
14599	0.68500	685.00	0.68406
14493	0.69000	690.00	0.68187
14388	0.69500	695.00	0.67889
14286	0.70000	700.00	0.67578
14184	0.70500	705.00	0.67190
14085	0.71000	710.00	0.66802
13986	0.71500	715.00	0.66412
13889	0.72000	720.00	0.65972
13793	0.72500	725.00	0.65504
13699	0.73000	730.00	0.64966
13605	0.73500	735.00	0.64424
13514	0.74000	740.00	0.63878
13423	0.74500	745.00	0.63298
13333	0.75000	750.00	0.62655
13245	0.75500	755.00	0.62031
13158	0.76000	760.00	0.61446
13072	0.76500	765.00	0.60872
12987	0.77000	770.00	0.60196
12903	0.77500	775.00	0.59450
12821	0.78000	780.00	0.58790
12739	0.78500	785.00	0.58144
12658	0.79000	790.00	0.57483
12579	0.79500	795.00	0.56815
12500	0.80000	800.00	0.56195
12422	0.80500	805.00	0.55490
12346	0.81000	810.00	0.54890
12270	0.81500	815.00	0.54339
12195	0.82000	820.00	0.53766
12121	0.82500	825.00	0.53158
12048	0.83000	830.00	0.52630
11976	0.83500	835.00	0.52257
11905	0.84000	840.00	0.51779
11834	0.84500	845.00	0.51384
11765	0.85000	850.00	0.50958
11696	0.85500	855.00	0.50619
11628	0.86000	860.00	0.50258
11561	0.86500	865.00	0.50057
11494	0.87000	870.00	0.49672
11429	0.87500	875.00	0.49390
11364	0.88000	880.00	0.49103
11299	0.88500	885.00	0.48855
11236	0.89000	890.00	0.48609
11173	0.89500	895.00	0.48401
11111	0.90000	900.00	0.48141
11050	0.90500	905.00	0.47798
10989	0.91000	910.00	0.47622
10929	0.91500	915.00	0.47334
10870	0.92000	920.00	0.47077
10811	0.92500	925.00	0.46697
10753	0.93000	930.00	0.46395
10695	0.93500	935.00	0.46016
10638	0.94000	940.00	0.45740
10582	0.94500	945.00	0.45314
10526	0.95000	950.00	0.44914
10471	0.95500	955.00	0.44521
10417	0.96000	960.00	0.44143
10363	0.96500	965.00	0.43726
10309	0.97000	970.00	0.43311
10256	0.97500	975.00	0.42904
10204	0.98000	980.00	0.42467
10152	0.98500	985.00	0.42055
10101	0.99000	990.00	0.41640
10050	0.99500	995.00	0.41167
10000	1.0000	1000.0	0.40803
9950.2	1.0050	1005.0	0.40295
9901.0	1.0100	1010.0	0.40059
9852.2	1.0150	1015.0	0.39669
9803.9	1.0200	1020.0	0.39451
9756.1	1.0250	1025.0	0.39197
9708.7	1.0300	1030.0	0.38991
9661.8	1.0350	1035.0	0.38817
9615.4	1.0400	1040.0	0.38668
9569.4	1.0450	1045.0	0.38547
9523.8	1.0500	1050.0	0.38490
9478.7	1.0550	1055.0	0.38535
9434.0	1.0600	1060.0	0.38528
9389.7	1.0650	1065.0	0.38586
9345.8	1.0700	1070.0	0.38744
9302.3	1.0750	1075.0	0.38946
9259.3	1.0800	1080.0	0.39074
9216.6	1.0850	1085.0	0.39404
9174.3	1.0900	1090.0	0.39638
9132.4	1.0950	1095.0	0.39964
9090.9	1.1000	1100.0	0.40259
9049.8	1.1050	1105.0	0.40667
9009.0	1.1100	1110.0	0.41010
8968.6	1.1150	1115.0	0.41388
8928.6	1.1200	1120.0	0.41800
8888.9	1.1250	1125.0	0.42125
8849.6	1.1300	1130.0	0.42504
8810.6	1.1350	1135.0	0.42898
8771.9	1.1400	1140.0	0.43168
