Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo70
33333	0.30000	300.00	0.090560
32787	0.30500	305.00	0.094310
32258	0.31000	310.00	0.097880
31746	0.31500	315.00	0.10479
31250	0.32000	320.00	0.11528
30769	0.32500	325.00	0.12706
30303	0.33000	330.00	0.14385
29851	0.33500	335.00	0.16360
29412	0.34000	340.00	0.19019
28986	0.34500	345.00	0.22099
28571	0.35000	350.00	0.25524
28169	0.35500	355.00	0.29304
27778	0.36000	360.00	0.33287
27397	0.36500	365.00	0.37208
27027	0.37000	370.00	0.40805
26667	0.37500	375.00	0.44046
26316	0.38000	380.00	0.46666
25974	0.38500	385.00	0.48854
25641	0.39000	390.00	0.50851
25316	0.39500	395.00	0.52109
25000	0.40000	400.00	0.51630
24691	0.40500	405.00	0.53883
24390	0.41000	410.00	0.56063
24096	0.41500	415.00	0.56984
23810	0.42000	420.00	0.57357
23529	0.42500	425.00	0.57533
23256	0.43000	430.00	0.57650
22989	0.43500	435.00	0.57945
22727	0.44000	440.00	0.58153
22472	0.44500	445.00	0.57584
22222	0.45000	450.00	0.56642
21978	0.45500	455.00	0.56637
21739	0.46000	460.00	0.57592
21505	0.46500	465.00	0.58476
21277	0.47000	470.00	0.58914
21053	0.47500	475.00	0.60407
20833	0.48000	480.00	0.61609
20619	0.48500	485.00	0.61696
20408	0.49000	490.00	0.61730
20202	0.49500	495.00	0.61578
20000	0.50000	500.00	0.63022
19802	0.50500	505.00	0.64473
19608	0.51000	510.00	0.65494
19417	0.51500	515.00	0.66091
19231	0.52000	520.00	0.66524
19048	0.52500	525.00	0.66843
18868	0.53000	530.00	0.67469
18692	0.53500	535.00	0.68050
18519	0.54000	540.00	0.68985
18349	0.54500	545.00	0.69762
18182	0.55000	550.00	0.70279
18018	0.55500	555.00	0.70512
17857	0.56000	560.00	0.70852
17699	0.56500	565.00	0.71096
17544	0.57000	570.00	0.71073
17391	0.57500	575.00	0.71098
17241	0.58000	580.00	0.71062
17094	0.58500	585.00	0.71083
16949	0.59000	590.00	0.71042
16807	0.59500	595.00	0.70932
16667	0.60000	600.00	0.70908
16529	0.60500	605.00	0.70744
16393	0.61000	610.00	0.70722
16260	0.61500	615.00	0.70642
16129	0.62000	620.00	0.70537
16000	0.62500	625.00	0.70478
15873	0.63000	630.00	0.70566
15748	0.63500	635.00	0.70778
15625	0.64000	640.00	0.71158
15504	0.64500	645.00	0.71483
15385	0.65000	650.00	0.71841
15267	0.65500	655.00	0.72100
15152	0.66000	660.00	0.72332
15038	0.66500	665.00	0.72286
14925	0.67000	670.00	0.72316
14815	0.67500	675.00	0.72289
14706	0.68000	680.00	0.72068
14599	0.68500	685.00	0.71808
14493	0.69000	690.00	0.71540
14388	0.69500	695.00	0.71029
14286	0.70000	700.00	0.70623
14184	0.70500	705.00	0.69997
14085	0.71000	710.00	0.69447
13986	0.71500	715.00	0.68811
