Wavelength (nm),SynOl_Fo90
300.0,0.23606
305.0,0.24717
310.0,0.25633
315.0,0.2681
320.0,0.2791
325.0,0.29213
330.0,0.3076
335.0,0.32251
340.0,0.33505
345.0,0.34852
350.0,0.36009
355.0,0.37242
360.0,0.38255
365.0,0.39292
370.0,0.40186
375.0,0.40975
380.0,0.41685
385.0,0.42438
390.0,0.43144
395.0,0.43822
400.0,0.44414
405.0,0.45007
410.0,0.45435
415.0,0.45914
420.0,0.46532
425.0,0.47118
430.0,0.47584
435.0,0.48074
440.0,0.48557
445.0,0.48899
450.0,0.4915
455.0,0.49477
460.0,0.49885
465.0,0.50261
470.0,0.50594
475.0,0.5107
480.0,0.51514
485.0,0.5203
490.0,0.52473
495.0,0.52836
500.0,0.53357
505.0,0.53354
510.0,0.53646
515.0,0.54138
520.0,0.54621
525.0,0.54989
530.0,0.55429
535.0,0.55855
540.0,0.56361
545.0,0.56945
550.0,0.57519
555.0,0.57902
560.0,0.58373
565.0,0.58774
570.0,0.59186
575.0,0.59327
580.0,0.59454
585.0,0.59573
590.0,0.59549
595.0,0.59518
600.0,0.59542
605.0,0.59279
610.0,0.59344
615.0,0.59269
620.0,0.59275
625.0,0.59206
630.0,0.59128
635.0,0.58997
640.0,0.5895
645.0,0.58904
650.0,0.58711
655.0,0.58517
660.0,0.58366
665.0,0.58117
670.0,0.57947
675.0,0.57738
680.0,0.57468
685.0,0.57221
690.0,0.56969
695.0,0.56716
700.0,0.56435
705.0,0.56188
710.0,0.55932
715.0,0.5565
720.0,0.55387
725.0,0.55125
730.0,0.54836
735.0,0.54574
740.0,0.54294
745.0,0.54034
750.0,0.53708
755.0,0.53429
760.0,0.53248
765.0,0.52865
770.0,0.52591
775.0,0.52275
780.0,0.51999
785.0,0.51682
790.0,0.51395
795.0,0.51067
800.0,0.50847
805.0,0.50495
810.0,0.50233
815.0,0.49928
820.0,0.49718
825.0,0.49306
830.0,0.49067
835.0,0.48816
840.0,0.48543
845.0,0.48381
850.0,0.48136
855.0,0.47867
860.0,0.47724
865.0,0.47611
870.0,0.4732
875.0,0.4716
880.0,0.46996
885.0,0.46882
890.0,0.46741
895.0,0.46662
900.0,0.46494
905.0,0.46327
910.0,0.46267
915.0,0.46159
920.0,0.46064
925.0,0.45972
930.0,0.45898
935.0,0.45768
940.0,0.45685
945.0,0.45571
950.0,0.45479
955.0,0.4516
960.0,0.45064
965.0,0.45011
970.0,0.44846
975.0,0.44784
980.0,0.44614
985.0,0.44511
990.0,0.44373
995.0,0.4424
1000.0,0.44126
1005.0,0.44013
1010.0,0.43923
1015.0,0.43728
1020.0,0.43773
1025.0,0.43675
1030.0,0.43607
1035.0,0.43549
1040.0,0.43655
1045.0,0.43664
1050.0,0.43636
1055.0,0.43757
1060.0,0.43867
1065.0,0.43915
1070.0,0.44059
1075.0,0.4425
1080.0,0.44422
1085.0,0.44664
1090.0,0.44893
1095.0,0.45145
1100.0,0.45393
1105.0,0.4562
1110.0,0.45914
1115.0,0.46155
1120.0,0.46351
1125.0,0.46507
1130.0,0.46773
1135.0,0.4718
1140.0,0.47269
1145.0,0.47566
1150.0,0.47692
1155.0,0.47788
1160.0,0.48111
1165.0,0.48325
1170.0,0.48479
1175.0,0.48632
1180.0,0.48876
1185.0,0.48962
1190.0,0.49209
1195.0,0.49389
1200.0,0.49513
1205.0,0.49638
1210.0,0.4988
1215.0,0.49817
1220.0,0.49949
1225.0,0.50182
1230.0,0.50258
1235.0,0.5049
1240.0,0.5059
1245.0,0.50839
1250.0,0.50919
1255.0,0.51125
1260.0,0.51227
1265.0,0.51395
1270.0,0.51521
1275.0,0.51684
1280.0,0.51787
1285.0,0.51909
1290.0,0.52117
1295.0,0.52271
1300.0,0.52444
1305.0,0.52586
1310.0,0.52717
1315.0,0.52914
1320.0,0.53168
1325.0,0.53283
1330.0,0.53562
1335.0,0.53773
1340.0,0.53946
1345.0,0.54153
1350.0,0.54364
1355.0,0.54555
1360.0,0.5475
1365.0,0.549
1370.0,0.55053
1375.0,0.55222
1380.0,0.55443
1385.0,0.55665
1390.0,0.55929
1395.0,0.56232
1400.0,0.56528
1405.0,0.56779
1410.0,0.57041
1415.0,0.57244
1420.0,0.57392
1425.0,0.57517
1430.0,0.57664
1435.0,0.57825
1440.0,0.58008
1445.0,0.58222
1450.0,0.58462
1455.0,0.58664
1460.0,0.58912
1465.0,0.59132
1470.0,0.59322
1475.0,0.59297
1480.0,0.59574
1485.0,0.59816
1490.0,0.60006
1495.0,0.60236
1500.0,0.6042
1505.0,0.60628
1510.0,0.60882
1515.0,0.61011
1520.0,0.61164
1525.0,0.61309
1530.0,0.61553
1535.0,0.6174
1540.0,0.6197
1545.0,0.62079
1550.0,0.62271
1555.0,0.62355
1560.0,0.62594
1565.0,0.62714
1570.0,0.6282
1575.0,0.63022
1580.0,0.63164
1585.0,0.63275
1590.0,0.63422
1595.0,0.63568
1600.0,0.63655
1605.0,0.63824
1610.0,0.63888
1615.0,0.64091
1620.0,0.64233
1625.0,0.64424
1630.0,0.64466
1635.0,0.64606
1640.0,0.64672
1645.0,0.64791
1650.0,0.64921
1655.0,0.65037
1660.0,0.65142
1665.0,0.65246
1670.0,0.65268
1675.0,0.65477
1680.0,0.65662
1685.0,0.656
1690.0,0.65732
1695.0,0.65799
1700.0,0.65883
1705.0,0.65941
1710.0,0.66128
1715.0,0.66224
1720.0,0.66384
1725.0,0.66472
1730.0,0.66575
1735.0,0.666
1740.0,0.66706
1745.0,0.66771
1750.0,0.66853
1755.0,0.66959
1760.0,0.67098
1765.0,0.67073
1770.0,0.67152
1775.0,0.67246
1780.0,0.67269
1785.0,0.67359
1790.0,0.6746
1795.0,0.6745
1800.0,0.6753
1801.1,0.67539
1801.7,0.67515
1802.3,0.67516
1802.9,0.67511
1803.6,0.67515
1804.2,0.67522
1804.8,0.67531
1805.5,0.67523
1806.1,0.67535
1806.7,0.67532
1807.3,0.67514
1808.0,0.67514
1808.6,0.67541
1809.2,0.67554
1809.9,0.67561
1810.5,0.67562
1811.1,0.67561
1811.8,0.6755
1812.4,0.67559
1813.0,0.67585
1813.7,0.676
1814.3,0.67597
1814.9,0.676
1815.6,0.67624
1816.2,0.67625
1816.8,0.67621
1817.5,0.67646
1818.1,0.67652
1818.8,0.67642
1819.4,0.67618
1820.0,0.67612
1820.7,0.67618
1821.3,0.67619
1821.9,0.67624
1822.6,0.67636
1823.2,0.67639
1823.9,0.67658
1824.5,0.6766
1825.2,0.67675
1825.8,0.67679
1826.4,0.67679
1827.1,0.67661
1827.7,0.67674
1828.4,0.67686
1829.0,0.67693
1829.7,0.67706
1830.3,0.677
1831.0,0.67676
1831.6,0.67666
1832.3,0.67671
1832.9,0.67684
1833.6,0.67687
1834.2,0.67707
1834.8,0.67711
1835.5,0.6771
1836.2,0.6772
1836.8,0.67735
1837.4,0.6775
1838.1,0.6775
1838.8,0.67729
1839.4,0.6773
1840.1,0.67734
1840.7,0.67742
1841.4,0.6774
1842.0,0.67765
1842.7,0.67767
1843.3,0.67756
1844.0,0.67745
1844.6,0.67752
1845.3,0.67765
1845.9,0.67777
