Wavelength (nm),<125 µm (357)
1853.7,0.56641
1856.3,0.56646
1859.0,0.56645
1861.7,0.56659
1864.3,0.5668
1867.0,0.56682
1869.7,0.56679
1872.4,0.5668
1875.1,0.56688
1877.9,0.56682
1880.6,0.56685
1883.3,0.56692
1886.1,0.56706
1888.8,0.56726
1891.6,0.56713
1894.3,0.56704
1897.1,0.56698
1899.9,0.56713
1902.7,0.56718
1905.5,0.56723
1908.3,0.56726
1911.1,0.56729
1913.9,0.56745
1916.7,0.56742
1919.6,0.56752
1922.4,0.56775
1925.3,0.56794
1928.2,0.56819
1931.0,0.5685
1933.9,0.56878
1936.8,0.56884
1939.7,0.56898
1942.6,0.5694
1945.5,0.56964
1948.4,0.56967
1951.4,0.56997
1954.3,0.57032
1957.3,0.57063
1960.2,0.57094
1963.2,0.5712
1966.2,0.57136
1969.2,0.57167
1972.2,0.57196
1975.2,0.57232
1978.2,0.57269
1981.2,0.57294
1984.3,0.57327
1987.3,0.57346
1990.3,0.57361
1993.4,0.57396
1996.5,0.57416
1999.6,0.57439
2002.7,0.57452
2005.8,0.57472
2008.9,0.57523
2012.0,0.57555
2015.1,0.57582
2018.3,0.57613
2021.4,0.57636
2024.6,0.57673
2027.7,0.57707
2030.9,0.57723
2034.1,0.57744
2037.3,0.57772
2040.5,0.57779
2043.7,0.57807
2046.9,0.57849
2050.2,0.57884
2053.4,0.57889
2056.7,0.57892
2060.0,0.57918
2063.2,0.57959
2066.5,0.57996
2069.8,0.58018
2073.1,0.58042
2076.5,0.58068
2079.8,0.58077
2083.1,0.58091
2086.5,0.58106
2089.9,0.58124
2093.2,0.58162
2096.6,0.58187
2100.0,0.5819
2103.4,0.5821
2106.9,0.58248
2110.3,0.58282
2113.7,0.58293
2117.2,0.58309
2120.7,0.58349
2124.1,0.5837
2127.6,0.58369
2131.1,0.58398
2134.6,0.58437
2138.1,0.58457
2141.7,0.58469
2145.2,0.585
2148.8,0.58529
2152.4,0.5853
2155.9,0.5853
2159.5,0.58545
2163.1,0.58564
2166.8,0.5858
2170.4,0.58611
2174.0,0.58632
2177.7,0.58657
2181.3,0.58683
2185.0,0.58701
2188.7,0.58719
2192.4,0.58725
2196.1,0.58737
2199.9,0.58765
2203.6,0.5878
2207.4,0.58781
2211.1,0.58787
2214.9,0.58812
2218.7,0.5882
2222.5,0.58827
2226.3,0.58864
2230.2,0.58885
2234.0,0.58903
2237.9,0.58926
2241.7,0.58942
2245.6,0.5897
2249.5,0.5897
2253.4,0.58972
2257.3,0.58981
2261.3,0.58985
2265.2,0.58997
2269.2,0.58995
2273.2,0.59011
2277.2,0.59025
2281.2,0.59023
2285.2,0.59037
2289.3,0.59056
2293.3,0.59075
2297.4,0.59098
2301.5,0.59106
2305.5,0.59124
2309.7,0.59147
2313.8,0.5918
2317.9,0.59218
2322.1,0.59241
2326.2,0.59263
2330.4,0.59289
2334.6,0.59321
2338.8,0.59359
2343.1,0.59392
2347.3,0.59424
2351.6,0.59453
2355.8,0.59478
2360.1,0.59504
2364.4,0.59526
2368.8,0.59552
2373.1,0.59569
2377.5,0.59584
2381.8,0.59615
2386.2,0.59648
2390.6,0.59671
2395.0,0.59686
2399.5,0.59704
2403.9,0.59727
2408.4,0.59764
2412.9,0.59791
2417.4,0.59802
2421.9,0.59811
