Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo60
33333	0.30000	300.00	0.050670
32787	0.30500	305.00	0.054850
32258	0.31000	310.00	0.055580
31746	0.31500	315.00	0.058600
31250	0.32000	320.00	0.062730
30769	0.32500	325.00	0.066580
30303	0.33000	330.00	0.071820
29851	0.33500	335.00	0.076920
29412	0.34000	340.00	0.082720
28986	0.34500	345.00	0.090020
28571	0.35000	350.00	0.096120
28169	0.35500	355.00	0.10387
27778	0.36000	360.00	0.11237
27397	0.36500	365.00	0.12002
27027	0.37000	370.00	0.12718
26667	0.37500	375.00	0.13398
26316	0.38000	380.00	0.13993
25974	0.38500	385.00	0.14564
25641	0.39000	390.00	0.15289
25316	0.39500	395.00	0.16074
25000	0.40000	400.00	0.16930
24691	0.40500	405.00	0.17413
24390	0.41000	410.00	0.18230
24096	0.41500	415.00	0.19064
23810	0.42000	420.00	0.19919
23529	0.42500	425.00	0.20807
23256	0.43000	430.00	0.21627
22989	0.43500	435.00	0.22364
22727	0.44000	440.00	0.22896
22472	0.44500	445.00	0.23256
22222	0.45000	450.00	0.23641
21978	0.45500	455.00	0.24173
21739	0.46000	460.00	0.24895
21505	0.46500	465.00	0.25707
21277	0.47000	470.00	0.26410
21053	0.47500	475.00	0.27361
20833	0.48000	480.00	0.28246
20619	0.48500	485.00	0.28887
20408	0.49000	490.00	0.29473
20202	0.49500	495.00	0.29980
20000	0.50000	500.00	0.30671
19802	0.50500	505.00	0.31447
19608	0.51000	510.00	0.32061
19417	0.51500	515.00	0.32584
19231	0.52000	520.00	0.33102
19048	0.52500	525.00	0.33468
18868	0.53000	530.00	0.33829
18692	0.53500	535.00	0.34317
18519	0.54000	540.00	0.34796
18349	0.54500	545.00	0.35265
18182	0.55000	550.00	0.35732
18018	0.55500	555.00	0.36063
17857	0.56000	560.00	0.36416
17699	0.56500	565.00	0.36723
17544	0.57000	570.00	0.37022
17391	0.57500	575.00	0.37299
17241	0.58000	580.00	0.37546
17094	0.58500	585.00	0.37693
16949	0.59000	590.00	0.37990
16807	0.59500	595.00	0.38101
16667	0.60000	600.00	0.38273
16529	0.60500	605.00	0.38485
16393	0.61000	610.00	0.38611
16260	0.61500	615.00	0.38738
16129	0.62000	620.00	0.38864
16000	0.62500	625.00	0.39001
15873	0.63000	630.00	0.39174
15748	0.63500	635.00	0.39295
15625	0.64000	640.00	0.39523
15504	0.64500	645.00	0.39764
15385	0.65000	650.00	0.39964
15267	0.65500	655.00	0.40187
15152	0.66000	660.00	0.40363
15038	0.66500	665.00	0.40560
14925	0.67000	670.00	0.40758
14815	0.67500	675.00	0.40875
14706	0.68000	680.00	0.41071
14599	0.68500	685.00	0.41192
14493	0.69000	690.00	0.41252
14388	0.69500	695.00	0.41378
14286	0.70000	700.00	0.41459
14184	0.70500	705.00	0.41565
14085	0.71000	710.00	0.41643
13986	0.71500	715.00	0.41756
13889	0.72000	720.00	0.41733
13793	0.72500	725.00	0.41573
13699	0.73000	730.00	0.41664
13605	0.73500	735.00	0.41704
13514	0.74000	740.00	0.41652
13423	0.74500	745.00	0.41674
13333	0.75000	750.00	0.41597
13245	0.75500	755.00	0.41558
13158	0.76000	760.00	0.41505
13072	0.76500	765.00	0.41480
12987	0.77000	770.00	0.41426
12903	0.77500	775.00	0.41278
12821	0.78000	780.00	0.41132
12739	0.78500	785.00	0.40997
12658	0.79000	790.00	0.40892
12579	0.79500	795.00	0.40689
12500	0.80000	800.00	0.40700
12422	0.80500	805.00	0.40511
12346	0.81000	810.00	0.40343
12270	0.81500	815.00	0.40121
12195	0.82000	820.00	0.39958
12121	0.82500	825.00	0.39635
12048	0.83000	830.00	0.39457
11976	0.83500	835.00	0.39224
11905	0.84000	840.00	0.38966
11834	0.84500	845.00	0.38801
11765	0.85000	850.00	0.38532
11696	0.85500	855.00	0.38291
11628	0.86000	860.00	0.38045
11561	0.86500	865.00	0.37913
11494	0.87000	870.00	0.37670
