Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo20
33333	0.30000	300.00	0.040990
32787	0.30500	305.00	0.041900
32258	0.31000	310.00	0.040940
31746	0.31500	315.00	0.041020
31250	0.32000	320.00	0.042400
30769	0.32500	325.00	0.043470
30303	0.33000	330.00	0.044820
29851	0.33500	335.00	0.046710
29412	0.34000	340.00	0.048480
28986	0.34500	345.00	0.051650
28571	0.35000	350.00	0.054630
28169	0.35500	355.00	0.058940
27778	0.36000	360.00	0.063490
27397	0.36500	365.00	0.069090
27027	0.37000	370.00	0.075260
26667	0.37500	375.00	0.081480
26316	0.38000	380.00	0.087390
25974	0.38500	385.00	0.093350
25641	0.39000	390.00	0.099240
25316	0.39500	395.00	0.10552
25000	0.40000	400.00	0.11127
24691	0.40500	405.00	0.11508
24390	0.41000	410.00	0.12172
24096	0.41500	415.00	0.12773
23810	0.42000	420.00	0.13362
23529	0.42500	425.00	0.13947
23256	0.43000	430.00	0.14544
22989	0.43500	435.00	0.15106
22727	0.44000	440.00	0.15617
22472	0.44500	445.00	0.15980
22222	0.45000	450.00	0.16232
21978	0.45500	455.00	0.16640
21739	0.46000	460.00	0.17202
21505	0.46500	465.00	0.17861
21277	0.47000	470.00	0.18401
21053	0.47500	475.00	0.19097
20833	0.48000	480.00	0.19897
20619	0.48500	485.00	0.20491
20408	0.49000	490.00	0.20980
20202	0.49500	495.00	0.21344
20000	0.50000	500.00	0.21875
19802	0.50500	505.00	0.22611
19608	0.51000	510.00	0.23268
19417	0.51500	515.00	0.23782
19231	0.52000	520.00	0.24283
19048	0.52500	525.00	0.24713
18868	0.53000	530.00	0.25137
18692	0.53500	535.00	0.25634
18519	0.54000	540.00	0.26153
18349	0.54500	545.00	0.26638
18182	0.55000	550.00	0.27094
18018	0.55500	555.00	0.27437
17857	0.56000	560.00	0.27808
17699	0.56500	565.00	0.28155
17544	0.57000	570.00	0.28507
17391	0.57500	575.00	0.28760
17241	0.58000	580.00	0.29047
17094	0.58500	585.00	0.29294
16949	0.59000	590.00	0.29513
16807	0.59500	595.00	0.29777
16667	0.60000	600.00	0.29952
16529	0.60500	605.00	0.30191
16393	0.61000	610.00	0.30341
16260	0.61500	615.00	0.30499
16129	0.62000	620.00	0.30722
16000	0.62500	625.00	0.30921
15873	0.63000	630.00	0.31157
15748	0.63500	635.00	0.31408
15625	0.64000	640.00	0.31672
15504	0.64500	645.00	0.31917
15385	0.65000	650.00	0.32170
15267	0.65500	655.00	0.32371
15152	0.66000	660.00	0.32567
15038	0.66500	665.00	0.32757
14925	0.67000	670.00	0.32891
14815	0.67500	675.00	0.33018
14706	0.68000	680.00	0.33163
14599	0.68500	685.00	0.33282
14493	0.69000	690.00	0.33362
14388	0.69500	695.00	0.33494
14286	0.70000	700.00	0.33517
14184	0.70500	705.00	0.33595
14085	0.71000	710.00	0.33628
13986	0.71500	715.00	0.33701
13889	0.72000	720.00	0.33681
13793	0.72500	725.00	0.33642
13699	0.73000	730.00	0.33691
13605	0.73500	735.00	0.33695
13514	0.74000	740.00	0.33646
13423	0.74500	745.00	0.33627
13333	0.75000	750.00	0.33615
13245	0.75500	755.00	0.33533
13158	0.76000	760.00	0.33500
13072	0.76500	765.00	0.33344
12987	0.77000	770.00	0.33247
12903	0.77500	775.00	0.33121
12821	0.78000	780.00	0.32967
12739	0.78500	785.00	0.32830
12658	0.79000	790.00	0.32635
12579	0.79500	795.00	0.32458
12500	0.80000	800.00	0.32247
12422	0.80500	805.00	0.31953
12346	0.81000	810.00	0.31725
12270	0.81500	815.00	0.31478
12195	0.82000	820.00	0.31266
12121	0.82500	825.00	0.31016
12048	0.83000	830.00	0.30815
11976	0.83500	835.00	0.30556
11905	0.84000	840.00	0.30264
11834	0.84500	845.00	0.30108
11765	0.85000	850.00	0.29814
11696	0.85500	855.00	0.29550
11628	0.86000	860.00	0.29290
11561	0.86500	865.00	0.29196
11494	0.87000	870.00	0.28913
11429	0.87500	875.00	0.28669
11364	0.88000	880.00	0.28492
11299	0.88500	885.00	0.28352
11236	0.89000	890.00	0.28125
11173	0.89500	895.00	0.27906
11111	0.90000	900.00	0.27718
11050	0.90500	905.00	0.27739
10989	0.91000	910.00	0.27457
10929	0.91500	915.00	0.27244
10870	0.92000	920.00	0.27086
10811	0.92500	925.00	0.26828
10753	0.93000	930.00	0.26628
10695	0.93500	935.00	0.26493
10638	0.94000	940.00	0.26242
10582	0.94500	945.00	0.26059
10526	0.95000	950.00	0.25834
10471	0.95500	955.00	0.25637
10417	0.96000	960.00	0.25459
10363	0.96500	965.00	0.25227
10309	0.97000	970.00	0.24941
10256	0.97500	975.00	0.24803
10204	0.98000	980.00	0.24463
10152	0.98500	985.00	0.24240
10101	0.99000	990.00	0.24037
10050	0.99500	995.00	0.23820
10000	1.0000	1000.0	0.23617
9950.2	1.0050	1005.0	0.23351
9901.0	1.0100	1010.0	0.23152
9852.2	1.0150	1015.0	0.22961
9803.9	1.0200	1020.0	0.22803
9756.1	1.0250	1025.0	0.22571
9708.7	1.0300	1030.0	0.22381
9661.8	1.0350	1035.0	0.22268
9615.4	1.0400	1040.0	0.22094
9569.4	1.0450	1045.0	0.21973
9523.8	1.0500	1050.0	0.21860
9478.7	1.0550	1055.0	0.21739
9434.0	1.0600	1060.0	0.21710
9389.7	1.0650	1065.0	0.21676
9345.8	1.0700	1070.0	0.21588
9302.3	1.0750	1075.0	0.21604
9259.3	1.0800	1080.0	0.21652
9216.6	1.0850	1085.0	0.21640
9174.3	1.0900	1090.0	0.21726
9132.4	1.0950	1095.0	0.21787
9090.9	1.1000	1100.0	0.21866
9049.8	1.1050	1105.0	0.22010
9009.0	1.1100	1110.0	0.22157
8968.6	1.1150	1115.0	0.22331
8928.6	1.1200	1120.0	0.22482
8888.9	1.1250	1125.0	0.22699
8849.6	1.1300	1130.0	0.22861
8810.6	1.1350	1135.0	0.23035
8771.9	1.1400	1140.0	0.23288
8733.6	1.1450	1145.0	0.23487
8695.7	1.1500	1150.0	0.23707
8658.0	1.1550	1155.0	0.23874
8620.7	1.1600	1160.0	0.24091
8583.7	1.1650	1165.0	0.24282
8547.0	1.1700	1170.0	0.24362
8510.6	1.1750	1175.0	0.24576
8474.6	1.1800	1180.0	0.24730
8438.8	1.1850	1185.0	0.24864
8403.4	1.1900	1190.0	0.24993
8368.2	1.1950	1195.0	0.25091
8333.3	1.2000	1200.0	0.25137
8298.8	1.2050	1205.0	0.25262
8264.5	1.2100	1210.0	0.25349
8230.5	1.2150	1215.0	0.25430
8196.7	1.2200	1220.0	0.25486
8163.3	1.2250	1225.0	0.25555
8130.1	1.2300	1230.0	0.25604
8097.2	1.2350	1235.0	0.25667
8064.5	1.2400	1240.0	0.25660
8032.1	1.2450	1245.0	0.25777
8000.0	1.2500	1250.0	0.25820
7968.1	1.2550	1255.0	0.25894
7936.5	1.2600	1260.0	0.25925
7905.1	1.2650	1265.0	0.26023
7874.0	1.2700	1270.0	0.26076
7843.1	1.2750	1275.0	0.26138
7812.5	1.2800	1280.0	0.26167
7782.1	1.2850	1285.0	0.26230
7751.9	1.2900	1290.0	0.26380
7722.0	1.2950	1295.0	0.26463
7692.3	1.3000	1300.0	0.26560
7662.8	1.3050	1305.0	0.26713
7633.6	1.3100	1310.0	0.26792
7604.6	1.3150	1315.0	0.26858
7575.8	1.3200	1320.0	0.27067
7547.2	1.3250	1325.0	0.27208
7518.8	1.3300	1330.0	0.27315
7490.6	1.3350	1335.0	0.27477
7462.7	1.3400	1340.0	0.27608
7434.9	1.3450	1345.0	0.27781
7407.4	1.3500	1350.0	0.27970
7380.1	1.3550	1355.0	0.28122
7352.9	1.3600	1360.0	0.28348
7326.0	1.3650	1365.0	0.28619
7299.3	1.3700	1370.0	0.28745
7272.7	1.3750	1375.0	0.28966
7246.4	1.3800	1380.0	0.29185
7220.2	1.3850	1385.0	0.29388
7194.2	1.3900	1390.0	0.29618
