Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo30
8403.4	1.1900	1190.0	0.24424
8368.2	1.1950	1195.0	0.24486
8333.3	1.2000	1200.0	0.24724
8298.8	1.2050	1205.0	0.24849
8264.5	1.2100	1210.0	0.24934
8230.5	1.2150	1215.0	0.25033
8196.7	1.2200	1220.0	0.25164
8163.3	1.2250	1225.0	0.25201
8130.1	1.2300	1230.0	0.25284
8097.2	1.2350	1235.0	0.25427
8064.5	1.2400	1240.0	0.25481
8032.1	1.2450	1245.0	0.25527
8000.0	1.2500	1250.0	0.25619
7968.1	1.2550	1255.0	0.25696
7936.5	1.2600	1260.0	0.25813
7905.1	1.2650	1265.0	0.25892
7874.0	1.2700	1270.0	0.25994
7843.1	1.2750	1275.0	0.26087
7812.5	1.2800	1280.0	0.26170
7782.1	1.2850	1285.0	0.26276
7751.9	1.2900	1290.0	0.26409
7722.0	1.2950	1295.0	0.26566
7692.3	1.3000	1300.0	0.26681
7662.8	1.3050	1305.0	0.26828
7633.6	1.3100	1310.0	0.26976
7604.6	1.3150	1315.0	0.27125
7575.8	1.3200	1320.0	0.27289
7547.2	1.3250	1325.0	0.27526
7518.8	1.3300	1330.0	0.27718
7490.6	1.3350	1335.0	0.27928
7462.7	1.3400	1340.0	0.28067
7434.9	1.3450	1345.0	0.28355
7407.4	1.3500	1350.0	0.28563
7380.1	1.3550	1355.0	0.28821
7352.9	1.3600	1360.0	0.29061
7326.0	1.3650	1365.0	0.29310
7299.3	1.3700	1370.0	0.29589
7272.7	1.3750	1375.0	0.29841
7246.4	1.3800	1380.0	0.30152
7220.2	1.3850	1385.0	0.30497
7194.2	1.3900	1390.0	0.30860
7168.5	1.3950	1395.0	0.31199
7142.9	1.4000	1400.0	0.31565
7117.4	1.4050	1405.0	0.31946
7092.2	1.4100	1410.0	0.32295
7067.1	1.4150	1415.0	0.32646
7042.3	1.4200	1420.0	0.32993
7017.5	1.4250	1425.0	0.33382
6993.0	1.4300	1430.0	0.33766
6968.6	1.4350	1435.0	0.34078
6944.4	1.4400	1440.0	0.34536
6920.4	1.4450	1445.0	0.35018
6896.6	1.4500	1450.0	0.35459
6872.9	1.4550	1455.0	0.35841
6849.3	1.4600	1460.0	0.36260
6825.9	1.4650	1465.0	0.36778
6802.7	1.4700	1470.0	0.37198
6779.7	1.4750	1475.0	0.37586
6756.8	1.4800	1480.0	0.38017
6734.0	1.4850	1485.0	0.38520
6711.4	1.4900	1490.0	0.38952
6689.0	1.4950	1495.0	0.39488
6666.7	1.5000	1500.0	0.39922
6644.5	1.5050	1505.0	0.40413
6622.5	1.5100	1510.0	0.40899
6600.7	1.5150	1515.0	0.41317
6578.9	1.5200	1520.0	0.41851
6557.4	1.5250	1525.0	0.42280
6535.9	1.5300	1530.0	0.42783
6514.7	1.5350	1535.0	0.43222
6493.5	1.5400	1540.0	0.43732
6472.5	1.5450	1545.0	0.44284
6451.6	1.5500	1550.0	0.44724
6430.9	1.5550	1555.0	0.45173
6410.3	1.5600	1560.0	0.45617
6389.8	1.5650	1565.0	0.46075
6369.4	1.5700	1570.0	0.46499
6349.2	1.5750	1575.0	0.47014
6329.1	1.5800	1580.0	0.47416
6309.1	1.5850	1585.0	0.47953
6289.3	1.5900	1590.0	0.48403
6269.6	1.5950	1595.0	0.48823
6250.0	1.6000	1600.0	0.49247
6230.5	1.6050	1605.0	0.49733
6211.2	1.6100	1610.0	0.50139
6192.0	1.6150	1615.0	0.50567
6172.8	1.6200	1620.0	0.50997
6153.8	1.6250	1625.0	0.51421
6135.0	1.6300	1630.0	0.51782
6116.2	1.6350	1635.0	0.52317
6097.6	1.6400	1640.0	0.52552
6079.0	1.6450	1645.0	0.52965
6060.6	1.6500	1650.0	0.53309
6042.3	1.6550	1655.0	0.53675
6024.1	1.6600	1660.0	0.54039
6006.0	1.6650	1665.0	0.54295
5988.0	1.6700	1670.0	0.54545
5970.1	1.6750	1675.0	0.54896
5952.4	1.6800	1680.0	0.55256
5934.7	1.6850	1685.0	0.55566
5917.2	1.6900	1690.0	0.55911
5899.7	1.6950	1695.0	0.56195
5882.4	1.7000	1700.0	0.56386
5865.1	1.7050	1705.0	0.56895
5848.0	1.7100	1710.0	0.57152
5830.9	1.7150	1715.0	0.57450
5814.0	1.7200	1720.0	0.57749
5797.1	1.7250	1725.0	0.58020
5780.3	1.7300	1730.0	0.58253
5763.7	1.7350	1735.0	0.58417
5747.1	1.7400	1740.0	0.58625
5730.7	1.7450	1745.0	0.58886
5714.3	1.7500	1750.0	0.59023
5698.0	1.7550	1755.0	0.59299
5681.8	1.7600	1760.0	0.59505
5665.7	1.7650	1765.0	0.59777
5649.7	1.7700	1770.0	0.59853
5633.8	1.7750	1775.0	0.59998
5618.0	1.7800	1780.0	0.60175
5602.2	1.7850	1785.0	0.60414
5586.6	1.7900	1790.0	0.60570
5571.0	1.7950	1795.0	0.60760
5555.6	1.8000	1800.0	0.60976
5540.2	1.8050	1805.0	0.61076
5524.9	1.8100	1810.0	0.61189
5509.6	1.8150	1815.0	0.61298
5494.5	1.8200	1820.0	0.61423
5479.5	1.8250	1825.0	0.61608
5464.5	1.8300	1830.0	0.61731
5449.6	1.8350	1835.0	0.61871
5434.8	1.8400	1840.0	0.61990
5420.1	1.8450	1845.0	0.62125
5405.4	1.8500	1850.0	0.62108
5401.9	1.8512	1851.2	0.62130
5399.9	1.8519	1851.9	0.62142
5397.8	1.8526	1852.6	0.62145
5396.1	1.8532	1853.2	0.62145
5394.0	1.8539	1853.9	0.62166
5392.3	1.8545	1854.5	0.62174
5390.3	1.8552	1855.2	0.62179
5388.2	1.8559	1855.9	0.62206
5386.5	1.8565	1856.5	0.62229
5384.4	1.8572	1857.2	0.62239
5382.4	1.8579	1857.9	0.62249
5380.7	1.8585	1858.5	0.62265
5378.7	1.8592	1859.2	0.62279
5376.6	1.8599	1859.9	0.62274
5374.9	1.8605	1860.5	0.62299
5372.9	1.8612	1861.2	0.62318
5370.9	1.8619	1861.9	0.62342
5369.1	1.8625	1862.5	0.62338
5367.1	1.8632	1863.2	0.62333
5365.1	1.8639	1863.9	0.62332
5363.4	1.8645	1864.5	0.62345
5361.4	1.8652	1865.2	0.62354
5359.3	1.8659	1865.9	0.62367
5357.3	1.8666	1866.6	0.62380
5355.6	1.8672	1867.2	0.62393
5353.6	1.8679	1867.9	0.62405
5351.6	1.8686	1868.6	0.62427
5349.6	1.8693	1869.3	0.62437
5347.9	1.8699	1869.9	0.62439
5345.9	1.8706	1870.6	0.62429
5343.9	1.8713	1871.3	0.62448
5342.2	1.8719	1871.9	0.62484
5340.2	1.8726	1872.6	0.62482
5338.2	1.8733	1873.3	0.62471
5336.2	1.8740	1874.0	0.62484
5334.2	1.8747	1874.7	0.62526
5332.5	1.8753	1875.3	0.62544
5330.5	1.8760	1876.0	0.62543
5328.5	1.8767	1876.7	0.62553
5326.5	1.8774	1877.4	0.62547
5324.5	1.8781	1878.1	0.62557
5322.8	1.8787	1878.7	0.62574
5320.8	1.8794	1879.4	0.62583
5318.9	1.8801	1880.1	0.62588
5316.9	1.8808	1880.8	0.62597
5314.9	1.8815	1881.5	0.62605
5313.2	1.8821	1882.1	0.62618
5311.2	1.8828	1882.8	0.62644
5309.3	1.8835	1883.5	0.62651
5307.3	1.8842	1884.2	0.62642
5305.3	1.8849	1884.9	0.62654
5303.4	1.8856	1885.6	0.62671
5301.4	1.8863	1886.3	0.62689
5299.7	1.8869	1886.9	0.62692
5297.7	1.8876	1887.6	0.62703
5295.8	1.8883	1888.3	0.62704
5293.8	1.8890	1889.0	0.62716
5291.8	1.8897	1889.7	0.62717
5289.9	1.8904	1890.4	0.62735
5287.9	1.8911	1891.1	0.62753
5286.0	1.8918	1891.8	0.62767
5284.3	1.8924	1892.4	0.62778
5282.3	1.8931	1893.1	0.62794
5280.4	1.8938	1893.8	0.62801
5278.4	1.8945	1894.5	0.62794
5276.5	1.8952	1895.2	0.62792
5274.5	1.8959	1895.9	0.62808
5272.6	1.8966	1896.6	0.62818
5270.6	1.8973	1897.3	0.62831
5268.7	1.8980	1898.0	0.62844
5266.8	1.8987	1898.7	0.62852
5264.8	1.8994	1899.4	0.62855
5262.9	1.9001	1900.1	0.62871
5260.9	1.9008	1900.8	0.62870
5259.0	1.9015	1901.5	0.62873
