Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.3851,0.63518,0.67558,0.7305023333333333,0.6773972727272728,0.7306328121208786
0.3871,0.637018,0.68556,0.7310949999999999,0.6874571541501977,0.7313193849789422
0.3891,0.641803,0.69555,0.73287225,0.6975170355731226,0.7333265281674647
0.3911,0.64518,0.70553,0.7347252,0.7075769169960475,0.7348166026016625
0.3931,0.648527,0.71551,0.7348888,0.7176367984189724,0.7351166940465844
0.3951,0.651469,0.72549,0.736574,0.7276966798418973,0.7369556130209173
0.3971,0.652598,0.73547,0.7381004000000001,0.7377565612648221,0.7384569955358927
0.3991,0.653933,0.74545,0.7396652499999999,0.747816442687747,0.7399810753964169
0.4011,0.655671,0.75543,0.7409172500000001,0.757876324110672,0.7412558280028047
0.4031,0.658234,0.76541,0.7425069999999999,0.7679362055335969,0.7429924119547918
0.4051,0.659422,0.77539,0.7443956666666667,0.7779960869565218,0.7447992831792564
0.4071,0.661896,0.78537,0.7456626666666667,0.7880559683794467,0.7459061638754456
0.4091,0.663131,0.79536,0.7467010000000001,0.7981158498023716,0.7471537836304925
0.4111,0.665346,0.80534,0.748472,0.8081757312252964,0.7488850048569249
0.4128,0.669311,0.81532,0.7495115,0.8182356126482213,0.7495983947961934
0.4158,0.670047,0.8253,0.749233,0.8282954940711462,0.7487760942592495
0.4188,0.671836,0.83528,0.747569,0.8383553754940711,0.7473004475114203
0.4218,0.674848,0.84526,0.748854,0.848415256916996,0.7510438814005307
0.4248,0.678332,0.85524,0.756212,0.858475138339921,0.7573712493745761
0.4278,0.67939,0.8752,0.75766,0.8685350197628459,0.7570495487038612
0.4308,0.684424,0.88518,0.762542,0.8785949011857708,0.7592746811985092
0.4338,0.686671,0.89517,0.762363,0.8886547826086957,0.762909425812933
0.4368,0.688485,0.90515,0.763199,0.8987146640316206,0.7625724578328118
0.4398,0.688942,0.91513,0.763871,0.9087745454545455,0.7630233670160437
0.4428,0.692617,0.92511,0.769538,0.9188344268774704,0.7662390760368333
0.4458,0.6944,0.93509,0.765942,0.9288943083003953,0.7686026144056407
0.4488,0.696941,0.94507,0.7698065000000001,0.9389541897233202,0.7665596424701374
0.4513,0.697401,0.95505,0.773268,0.9490140711462451,0.7715494686084946
0.4533,0.697882,0.96503,0.774259,0.95907395256917,0.7740275182335277
0.4553,0.701111,0.97501,0.773595,0.969133833992095,0.7736707622224528
0.4573,0.702517,0.98499,0.777531,0.9791937154150199,0.7752146116096119
0.4593,0.702527,0.99497,0.777315,0.9892535968379448,0.7775397163108565
0.4613,0.704519,1.00496,0.7811874999999999,0.9993134782608697,0.7787949727832709
0.4633,0.705009,1.01494,0.7817045,1.0093733596837946,0.781743535018974
0.4653,0.706146,1.02492,0.7836135,1.0194332411067195,0.7822443857642126
0.4673,0.706658,1.0349,0.786489,1.0294931225296442,0.7850056236408526
0.4693,0.707908,1.04488,0.7879075,1.039553003952569,0.7873293054814161
0.4713,0.705627,1.05486,0.7885835,1.049612885375494,0.7882634528852759
0.4733,0.708304,1.06484,0.7892710000000001,1.059672766798419,0.7888727946993607
0.4753,0.708136,1.07482,0.790559,1.0697326482213438,0.7898094686371763
0.4773,0.71053,1.0848,0.792025,1.0797925296442688,0.7914121953231901
0.4793,0.710461,1.09478,0.792731,1.0898524110671937,0.7921994593750419
0.4813,0.710466,1.10477,0.7954684999999999,1.0999122924901186,0.7942697611770868
0.4833,0.710567,1.11475,0.7949900000000001,1.1099721739130435,0.7953332384464417
0.4853,0.710838,1.12473,0.7966755,1.1200320553359684,0.7956557821122616
0.4873,0.710755,1.13471,0.7980395,1.1300919367588933,0.7975326725246299
0.4893,0.712163,1.14469,0.7986854999999999,1.1401518181818182,0.7985092147579076
0.4913,0.712695,1.15467,0.7985605,1.1502116996047431,0.7985762572388203
0.4933,0.712561,1.16465,0.7995025,1.160271581027668,0.7989992872150373
0.4953,0.713745,1.17463,0.8006905,1.170331462450593,0.8001067312353064
0.4973,0.712919,1.18461,0.8023685,1.1803913438735179,0.8017623831750715
0.4993,0.712267,1.19459,0.802551,1.1904512252964428,0.8025385815218915
0.5013,0.714186,1.20458,0.8035019999999999,1.2005111067193677,0.8029767071261027
0.5033,0.711952,1.21456,0.8050474999999999,1.2105709881422926,0.8044300562609219
0.5053,0.713374,1.22454,0.806207,1.2206308695652175,0.8058360597994336
0.5073,0.71318,1.23452,0.8066975000000001,1.2306907509881424,0.8065594613252287
0.5093,0.715657,1.2445,0.8068040000000001,1.2407506324110673,0.8068459991378479
0.5113,0.715624,1.25448,0.806689,1.2508105138339922,0.806561973498193
0.5133,0.716121,1.26446,0.8079160000000001,1.2608703952569171,0.8076327832528369
0.5153,0.714744,1.27444,0.8071360000000001,1.270930276679842,0.807282616854394
0.5173,0.714549,1.28442,0.8087975000000001,1.280990158102767,0.8082821744430165
0.5193,0.71577,1.2944,0.808196,1.2910500395256916,0.8084071999542793
0.5213,0.715613,1.30438,0.8097175,1.3011099209486165,0.8090131162464541
0.5233,0.714176,1.31437,0.8109884999999999,1.3111698023715415,0.8108684976320399
0.5253,0.714709,1.32435,0.809821,1.3212296837944664,0.8102023161781795
0.5273,0.716556,1.33433,0.8101165,1.3312895652173913,0.8098373950695772
0.5293,0.71499,1.34431,0.811275,1.3413494466403162,0.8109594970359979
0.5313,0.714966,1.35429,0.8115555000000001,1.351409328063241,0.8116238084869147
0.5333,0.714264,1.36427,0.811032,1.361469209486166,0.8110689524084942
0.5353,0.716677,1.37425,0.81179,1.371529090909091,0.8116400360225857
0.5373,0.71529,1.38423,0.8116289999999999,1.3815889723320158,0.8115458066399022
0.5393,0.71674,1.39421,0.8133135,1.3916488537549407,0.8129313194817772
0.5413,0.716546,1.40419,0.8129485,1.4017087351778657,0.8131988851754984
0.5433,0.717687,1.41418,0.8125475,1.4117686166007906,0.8124471513082899
0.5453,0.716986,1.42416,0.8145355,1.4218284980237155,0.8139457065070291
0.5473,0.716958,1.43414,0.8166545000000001,1.4318883794466404,0.816299785274408
0.5493,0.715781,1.44412,0.8168835,1.4419482608695653,0.8170147486432338
0.5513,0.716926,1.4541,0.8161160000000001,1.4520081422924902,0.8161287000203852
0.5533,0.715262,1.46408,0.8170455000000001,1.462068023715415,0.8169698421894216
0.5553,0.716458,1.47406,0.8161339999999999,1.47212790513834,0.8162142423712866
0.5573,0.715951,1.48404,0.817665,1.482187786561265,0.8173134238434778
0.5593,0.715241,1.49402,0.8181645,1.4922476679841898,0.818279162034091
0.5613,0.716811,1.504,0.817287,1.5023075494071148,0.8172354295594153
0.5633,0.716162,1.51399,0.819242,1.5123674308300397,0.819026051517278
0.5653,0.715394,1.52397,0.818898,1.5224273122529646,0.818868455210067
0.5673,0.716852,1.53395,0.820719,1.5324871936758895,0.8205071343551061
0.5693,0.716883,1.54393,0.8205165000000001,1.5425470750988144,0.820562153180309
0.5713,0.717349,1.55391,0.8214205,1.5526069565217393,0.8212118537950539
0.5733,0.717138,1.56389,0.822796,1.5626668379446642,0.8227274051417737
0.5753,0.717166,1.57387,0.8221515,1.5727267193675891,0.8222591869765267
0.5773,0.718165,1.58385,0.821853,1.582786600790514,0.8218207973510485
