Wavelength (µm) raw,Pigeonite hs199.17856 raw,Wavelength (µm) bin avg,Pigeonite hs199.17856 bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199.17856 cubic spline of bin avg
1.60252,0.163339,1.60381,0.1635239230769231,1.60381,0.1635239230769231
1.60302,0.163339,1.6138,0.16529600000000003,1.6137910071942445,0.16529415483247997
1.60351,0.163278,1.62378,0.16744304999999998,1.623772014388489,0.16744132386077984
1.60401,0.163037,1.63376,0.16938352631578946,1.6337530215827338,0.16938241709095142
1.60451,0.162736,1.64374,0.1706611578947368,1.6437340287769784,0.1706604679287209
1.605,0.162857,1.65372,0.17181484210526315,1.653715035971223,0.17181429736430373
1.6055,0.163399,1.6637,0.17279763157894737,1.6636960431654675,0.17279728436169947
1.606,0.163881,1.67368,0.1736945,1.6736770503597123,0.17369419235602993
1.60649,0.164001,1.68366,0.17480415789473686,1.6836580575539568,0.1748039671532803
1.60699,0.164001,1.69364,0.17549472222222223,1.6936390647482014,0.1754946809928444
1.60749,0.163941,1.70362,0.17593329411764705,1.703620071942446,0.17593329878692485
1.60799,0.164061,1.7136,0.1766387222222222,1.7136010791366907,0.17663876559077846
1.60849,0.163941,1.72359,0.17675164705882354,1.7235820863309352,0.1767514863378275
1.60899,0.16376,1.73357,0.1771708333333334,1.7335630935251798,0.17717056809060472
1.60949,0.16364,1.74355,0.17740000000000003,1.7435441007194243,0.17739987609993405
1.60999,0.164423,1.75353,0.17763394117647058,1.753525107913669,0.17763385900882803
1.61049,0.164784,1.76351,0.17770675,1.7635061151079137,0.17770673428329797
1.61099,0.164784,1.77349,0.17775094117647058,1.7734871223021582,0.1777509348559674
1.61149,0.164904,1.78347,0.1777445,1.7834681294964028,0.17774450276683887
1.61199,0.164965,1.79345,0.17774437499999998,1.7934491366906475,0.17774437349184716
1.61249,0.165266,1.80343,0.17776699999999995,1.803430143884892,0.17776700018042874
1.61299,0.165206,1.81341,0.17771424999999996,1.8134111510791366,0.1777142317893814
1.61349,0.165386,1.8234,0.17758853333333333,1.8233921582733812,0.17758846749547727
1.614,0.165507,1.83338,0.17774425000000002,1.8333731654676257,0.17774430982460887
1.6145,0.165507,1.84336,0.17740780000000003,1.8433541726618705,0.17740796089417427
1.615,0.165687,1.85334,0.17728333333333335,1.853335179856115,0.17728342680721432
1.6155,0.165748,1.86332,0.17703040000000003,1.8633161870503596,0.17703043145051445
1.61601,0.165928,1.8733,0.177032,1.8732971942446042,0.17703206508582622
1.61651,0.165808,1.88328,0.17647613333333334,1.883278201438849,0.17647625119576688
1.61702,0.165748,1.89326,0.17586171428571426,1.8932592086330935,0.17586176687887914
1.61752,0.166169,1.90324,0.1751512,1.903240215827338,0.17515118555939035
1.61803,0.16623,1.91322,0.17466571428571426,1.9132212230215826,0.1746656831939667
1.61853,0.16647,1.92321,0.17465278571428572,1.9232022302158271,0.17465264003198472
1.61904,0.167012,1.93319,0.17489371428571426,1.933183237410072,0.17489358617485184
1.61954,0.16635,1.94317,0.17493953846153845,1.9431642446043165,0.17493958617888547
1.62005,0.16635,1.95315,0.17485928571428566,1.953145251798561,0.1748592672149664
1.62055,0.166952,1.96313,0.1750320769230769,1.9631262589928058,0.17503200027714166
1.62106,0.166651,1.97311,0.17515614285714284,1.9731072661870503,0.17515613359104365
1.62157,0.166892,1.98309,0.17514784615384615,1.983088273381295,0.1751478448296769
1.62208,0.166711,1.99307,0.17519884615384612,1.9930692805755394,0.1751988415658539
1.62258,0.166591,2.00305,0.17529607692307694,2.003050287769784,0.1752960821840351
1.62309,0.167012,2.01303,0.1755046153846154,2.0130312949640286,0.17550463145400738
1.6236,0.167675,2.02301,0.17560016666666664,2.023012302158273,0.17560022074125448
1.62411,0.167735,2.033,0.17594946153846155,2.032993309352518,0.17594927911467634
1.62462,0.167434,2.04298,0.17610191666666666,2.0429743165467626,0.17610181315410658
1.62513,0.167615,2.05296,0.17638791666666664,2.052955323741007,0.17638776860608818
1.62564,0.167856,2.06294,0.17662115384615384,2.0629363309352517,0.176621112658625
1.62615,0.168097,2.07292,0.17666383333333335,2.0729173381294963,0.1766638163004316
1.62666,0.168157,2.0829,0.17681458333333336,2.082898345323741,0.17681454805984306
1.62717,0.168036,2.09288,0.17703781818181816,2.0928793525179854,0.17703780474886865
1.62768,0.168398,2.10286,0.17721108333333332,2.10286035971223,0.17721108868785967
1.62819,0.168759,2.11284,0.17737683333333334,2.1128413669064745,0.17737686288690963
1.6287,0.168578,2.12282,0.1776673636363636,2.1228223741007195,0.17766744861875933
1.62921,0.168578,2.13281,0.17798400000000003,2.132803381294964,0.17798388329044837
1.62973,0.168759,2.14279,0.17812172727272726,2.1427843884892086,0.17812155792478826
1.63024,0.16888,2.15277,0.17859809090909093,2.152765395683453,0.17859787822827933
1.63075,0.168639,2.16275,0.17892672727272727,2.1627464028776977,0.17892662994978858
1.63126,0.168819,2.17273,0.17910190909090906,2.1727274100719423,0.17910191673338274
1.63178,0.169301,2.18271,0.17893772727272728,2.182708417266187,0.17893774613446708
1.63229,0.169241,2.19269,0.17893772727272728,2.192689424460432,0.17893772654711004
1.6328,0.16894,2.20267,0.17898589999999998,2.202670431654676,0.1789859092178965
1.63332,0.168759,2.21265,0.17940309090909093,2.212651438848921,0.17940316747732035
1.63383,0.169361,2.22263,0.1799375,2.2226324460431655,0.17993762680130823
1.63435,0.170084,2.23262,0.18039963636363635,2.23261345323741,0.1803993819706757
1.63486,0.169903,2.2426,0.1807323,2.2425944604316546,0.18073212538667197
1.63538,0.169542,2.25258,0.1810335,2.252575467625899,0.18103338395621515
1.6359,0.169723,2.26256,0.18136480000000002,2.2625564748201437,0.18136460190080386
1.63641,0.169903,2.27254,0.18203930000000001,2.272537482014388,0.18203916926751054
1.63693,0.169542,2.28252,0.1822923,2.282518489208633,0.18229227739417989
1.63745,0.169723,2.2925,0.182449,2.2924994964028773,0.18244899426252384
1.63796,0.170265,2.30248,0.18249109999999996,2.3024805035971223,0.18249109960998247
1.63848,0.170325,2.31246,0.1824731,2.312461510791367,0.18247309841312878
1.639,0.169903,2.32244,0.18254477777777775,2.3224425179856114,0.1825448309522049
1.63952,0.170084,2.33242,0.1828765,2.332423525179856,0.18287663346572047
1.64004,0.169964,2.34241,0.18344766666666665,2.3424045323741005,0.1834471273074487
1.64055,0.169663,2.35239,0.18470144444444445,2.352385539568345,0.1847009274440186
1.64108,0.169783,2.36237,0.1856431,2.3623665467625896,0.18564276258541065
1.64159,0.169903,2.37235,0.1867272222222222,2.3723475539568346,0.18672697225622942
1.64211,0.170205,2.38233,0.18765544444444443,2.382328561151079,0.18765530279515263
1.64263,0.170747,2.39231,0.18868388888888893,2.3923095683453237,0.1886838490925963
1.64315,0.170927,2.40229,0.189587,2.4022905755395683,0.18958706527026645
1.64368,0.171048,2.41227,0.19088566666666665,2.412271582733813,0.1908858503254115
1.6442,0.170988,2.42225,0.19176333333333337,2.4222525899280574,0.1917635317769317
1.64472,0.171108,2.43223,0.192647625,2.432233597122302,0.1926480103608636
1.64524,0.170988,2.44222,0.19378288888888892,2.4422146043165465,0.19378234054933488
1.64576,0.171048,2.4522,0.19472366666666666,2.452195611510791,0.19472318343436262
1.64629,0.171168,2.46218,0.19594975,2.462176618705036,0.19594938061908182
1.64681,0.17153,2.47216,0.19685611111111112,2.4721576258992806,0.196855888033216
1.64733,0.171108,2.48214,0.19796762499999998,2.482138633093525,0.19796745896131965
1.64786,0.171108,2.49212,0.199089625,2.4921196402877697,0.19908959206978113
1.64838,0.171289,2.5021,0.19996044444444439,2.502100647482014,0.19996051657214658
1.6489,0.17153,2.51208,0.2012275,2.5120816546762588,0.20122767459813584
1.64943,0.17165,2.52206,0.202010625,2.5220626618705033,0.2020108453807209
1.64995,0.171469,2.53204,0.203125375,2.5320436690647483,0.2031258661147085
1.65048,0.171469,2.54203,0.20443775,2.5420246762589924,0.2044371588737685
1.651,0.17171,2.55201,0.20565837500000003,2.5520056834532374,0.2056575849303593
1.65153,0.172072,2.56199,0.20783162500000002,2.561986690647482,0.20783103956197355
1.65206,0.172072,2.57197,0.208840625,2.5719676978417265,0.20884047295521938
1.65258,0.17171,2.58195,0.210181125,2.581948705035971,0.2101807815898898
1.65311,0.171168,2.59193,0.21294371428571426,2.5919297122302156,0.212943683637695
1.65364,0.17165,2.60191,0.21210737500000004,2.60191071942446,0.21210729432505654
1.65417,0.172132,2.61189,0.21216171428571426,2.6118917266187047,0.21216189911016756
1.65469,0.171831,2.62187,0.21358175,2.6218727338129497,0.21358209777204928
1.65522,0.17159,2.63185,0.2139275714285714,2.631853741007194,0.213927252759395
1.65575,0.17153,2.64183,0.21257299999999998,2.641834748201439,0.21257257321960027
1.65628,0.17177,2.65182,0.21286314285714283,2.6518157553956834,0.21286261355795813
1.65681,0.172373,2.6618,0.21426624999999996,2.661796762589928,0.21426592613097267
1.65734,0.172553,2.67178,0.21346,2.6717777697841725,0.21346077002337327
1.65787,0.172192,2.68176,0.20804128571428573,2.681758776978417,0.20804200713438614
1.6584,0.172011,2.69174,0.20188871428571428,2.691739784172662,0.20188888124382678
1.65893,0.172252,2.70172,0.1913897142857143,2.701720791366906,0.1913886686261146
1.65946,0.172433,2.7117,0.1725371428571429,2.711701798561151,0.17253217073385438
1.65999,0.172433,2.72168,0.14006485714285716,2.7216828057553952,0.1400563007139702
1.66052,0.172313,2.73166,0.11830928571428571,2.7316638129496402,0.11830418797161221
1.66105,0.172252,2.74164,0.110294,2.7416448201438848,0.11029134770932149
1.66159,0.172614,2.75163,0.10502057142857144,2.7516258273381293,0.10502246924988945
1.66212,0.172855,2.76161,0.10222228571428572,2.761606834532374,0.1022224611512387
1.66265,0.172734,2.77159,0.10324783333333332,2.7715878417266184,0.1032475241840396
1.66319,0.172614,2.78157,0.10430271428571429,2.7815688489208634,0.10430259017724453
1.66372,0.172614,2.79155,0.10546385714285715,2.7915498561151075,0.10546384395989797
1.66426,0.172132,2.80153,0.10590066666666666,2.8015308633093525,0.10590067187850652
1.66479,0.172252,2.81151,0.10579442857142855,2.8115118705035966,0.10579439788144478
1.66532,0.172855,2.82149,0.105722,2.8214928776978416,0.1057220169534037
1.66586,0.173336,2.83147,0.10589914285714286,2.831473884892086,0.10589923741770066
1.6664,0.173397,2.84145,0.10606083333333333,2.8414548920863307,0.10606082645395928
1.66693,0.173457,2.85144,0.10582657142857144,2.8514358992805753,0.10582673742873748
1.66747,0.173638,2.86142,0.10538316666666665,2.86141690647482,0.10538329138850222
1.668,0.173577,2.8714,0.10521383333333333,2.871397913669065,0.10521379674022147
1.66854,0.173397,2.88138,0.10554316666666667,2.881378920863309,0.10554314700661371
1.66908,0.173156,2.89136,0.10555271428571429,2.891359928057554,0.10555271346089795
1.66962,0.173397,2.90134,0.10577816666666666,2.901340935251798,0.10577817280462844
1.67015,0.173698,2.91132,0.10570316666666668,2.911321942446043,0.10570318123841814
1.67069,0.173517,2.9213,0.10602299999999999,2.9213029496402876,0.10602310929382407
1.67123,0.173698,2.93128,0.10639916666666667,2.931283956834532,0.1063993783861168
1.67177,0.173577,2.94126,0.1072085,2.9412649640287767,0.10720902288860175
1.67231,0.173095,2.95125,0.10834683333333334,2.9512459712230212,0.10834638888554632
1.67285,0.173156,2.96123,0.10953216666666665,2.9612269784172662,0.10953170875010983
1.67339,0.173397,2.97121,0.1113195,2.9712079856115103,0.11131914341656142
1.67393,0.173878,2.98119,0.1129132,2.9811889928057553,0.11291304214404357
1.67447,0.174059,2.99117,0.1147345,2.99117,0.1147345
1.67501,0.173758,,,,
1.67555,0.173397,,,,
1.67609,0.173818,,,,
1.67664,0.174421,,,,
1.67718,0.17418,,,,
1.67772,0.173999,,,,
1.67826,0.1743,,,,
1.67881,0.174722,,,,
1.67935,0.174601,,,,
1.67989,0.17424,,,,
1.68044,0.173999,,,,
1.68098,0.174119,,,,
1.68153,0.174421,,,,
1.68207,0.174421,,,,
1.68262,0.174481,,,,
1.68317,0.174782,,,,
1.68371,0.175143,,,,
1.68426,0.175023,,,,
1.68481,0.175083,,,,
1.68536,0.175203,,,,
1.6859,0.175264,,,,
1.68645,0.174902,,,,
1.687,0.174782,,,,
1.68755,0.174963,,,,
1.6881,0.175565,,,,
1.68865,0.175565,,,,
1.6892,0.174842,,,,
1.68975,0.174481,,,,
1.6903,0.174481,,,,
1.69085,0.174842,,,,
1.69141,0.174963,,,,
1.69196,0.175505,,,,
1.69251,0.175806,,,,
1.69306,0.175685,,,,
1.69362,0.175866,,,,
1.69417,0.176167,,,,
1.69472,0.175746,,,,
1.69528,0.175324,,,,
1.69583,0.175565,,,,
1.69639,0.175746,,,,
1.69694,0.176047,,,,
1.6975,0.176167,,,,
1.69805,0.175866,,,,
1.69861,0.175806,,,,
1.69917,0.175806,,,,
1.69972,0.175806,,,,
1.70028,0.175806,,,,
1.70084,0.175866,,,,
1.7014,0.175986,,,,
1.70196,0.176047,,,,
1.70251,0.176227,,,,
1.70307,0.176047,,,,
1.70363,0.175685,,,,
1.70419,0.175685,,,,
1.70475,0.175866,,,,
1.70531,0.176288,,,,
1.70588,0.176348,,,,
1.70644,0.175986,,,,
1.707,0.175986,,,,
1.70756,0.175806,,,,
1.70812,0.175625,,,,
1.70869,0.176047,,,,
1.70925,0.176468,,,,
1.70981,0.176589,,,,
1.71038,0.176528,,,,
1.71094,0.176528,,,,
1.71151,0.176468,,,,
1.71207,0.176709,,,,
1.71264,0.176709,,,,
1.7132,0.176468,,,,
1.71377,0.176769,,,,
1.71434,0.177071,,,,
1.7149,0.177131,,,,
1.71547,0.176769,,,,
1.71604,0.176528,,,,
1.71661,0.176528,,,,
1.71718,0.176528,,,,
1.71775,0.176769,,,,
1.71831,0.17689,,,,
1.71888,0.176769,,,,
1.71945,0.176769,,,,
1.72002,0.17695,,,,
1.7206,0.17683,,,,
1.72117,0.176528,,,,
1.72174,0.176649,,,,
1.72231,0.176709,,,,
1.72288,0.176769,,,,
1.72345,0.17701,,,,
1.72403,0.17683,,,,
1.7246,0.17689,,,,
1.72518,0.176769,,,,
1.72575,0.176348,,,,
1.72633,0.176288,,,,
1.7269,0.176589,,,,
1.72748,0.17701,,,,
1.72805,0.177071,,,,
1.72863,0.17701,,,,
1.7292,0.17689,,,,
1.72978,0.177131,,,,
1.73036,0.177191,,,,
1.73094,0.177311,,,,
1.73151,0.177191,,,,
1.73209,0.177311,,,,
1.73267,0.177311,,,,
1.73325,0.177251,,,,
1.73383,0.17701,,,,
1.73441,0.177251,,,,
1.73499,0.177372,,,,
1.73557,0.177071,,,,
1.73615,0.17701,,,,
1.73673,0.177071,,,,
1.73732,0.17695,,,,
1.7379,0.177191,,,,
1.73848,0.177552,,,,
1.73907,0.177733,,,,
1.73965,0.178155,,,,
1.74023,0.177552,,,,
1.74082,0.177131,,,,
1.7414,0.177552,,,,
1.74199,0.177372,,,,
1.74257,0.177131,,,,
1.74316,0.177191,,,,
1.74375,0.177191,,,,
1.74433,0.17701,,,,
1.74492,0.177251,,,,
1.74551,0.177372,,,,
1.74609,0.177372,,,,
1.74668,0.177311,,,,
1.74727,0.177432,,,,
1.74786,0.177492,,,,
1.74845,0.177552,,,,
1.74904,0.177733,,,,
1.74963,0.177854,,,,
1.75022,0.177974,,,,
1.75081,0.177733,,,,
1.7514,0.177191,,,,
1.75199,0.177191,,,,
1.75259,0.177432,,,,
1.75318,0.177733,,,,
1.75377,0.177733,,,,
1.75437,0.177673,,,,
1.75496,0.177793,,,,
1.75555,0.177854,,,,
1.75615,0.177492,,,,
1.75675,0.177372,,,,
1.75734,0.177793,,,,
1.75794,0.177613,,,,
1.75853,0.177613,,,,
1.75913,0.177974,,,,
1.75973,0.177974,,,,
1.76032,0.177552,,,,
1.76092,0.177372,,,,
1.76152,0.177372,,,,
1.76212,0.177552,,,,
1.76272,0.177914,,,,
1.76332,0.177793,,,,
1.76392,0.177793,,,,
1.76452,0.177793,,,,
1.76512,0.177613,,,,
1.76572,0.177733,,,,
1.76632,0.177914,,,,
1.76692,0.177854,,,,
1.76753,0.177673,,,,
1.76813,0.177432,,,,
1.76873,0.177492,,,,
1.76934,0.177613,,,,
1.76994,0.177552,,,,
1.77055,0.177613,,,,
1.77115,0.177793,,,,
1.77175,0.177854,,,,
1.77236,0.177974,,,,
1.77297,0.177974,,,,
1.77357,0.177673,,,,
1.77418,0.177793,,,,
1.77479,0.177914,,,,
1.7754,0.177854,,,,
1.776,0.177673,,,,
1.77661,0.177673,,,,
1.77722,0.177854,,,,
1.77783,0.177854,,,,
1.77844,0.177613,,,,
1.77905,0.177613,,,,
1.77966,0.177733,,,,
1.78027,0.177793,,,,
1.78088,0.177673,,,,
1.7815,0.177854,,,,
1.78211,0.178034,,,,
1.78272,0.177854,,,,
1.78333,0.177854,,,,
1.78395,0.177793,,,,
1.78456,0.177613,,,,
1.78518,0.177552,,,,
1.78579,0.177492,,,,
1.78641,0.177613,,,,
1.78702,0.177854,,,,
1.78764,0.177733,,,,
1.78826,0.177854,,,,
1.78887,0.178094,,,,
1.78949,0.177793,,,,
1.79011,0.177613,,,,
1.79073,0.177974,,,,
1.79135,0.178034,,,,
1.79197,0.177733,,,,
1.79259,0.177733,,,,
1.7932,0.177854,,,,
1.79383,0.177673,,,,
1.79445,0.177673,,,,
1.79507,0.177854,,,,
1.79569,0.177552,,,,
1.79631,0.177372,,,,
1.79693,0.177492,,,,
1.79756,0.177673,,,,
1.79818,0.177793,,,,
1.7988,0.177793,,,,
1.79943,0.177733,,,,
1.80005,0.177854,,,,
1.80068,0.177974,,,,
1.8013,0.177914,,,,
1.80193,0.177854,,,,
1.80256,0.177673,,,,
1.80318,0.177733,,,,
1.80381,0.177733,,,,
1.80444,0.177492,,,,
1.80507,0.177492,,,,
1.8057,0.177673,,,,
1.80633,0.178034,,,,
1.80696,0.177974,,,,
1.80758,0.177673,,,,
1.80822,0.177673,,,,
1.80885,0.177733,,,,
1.80948,0.177793,,,,
1.81011,0.177793,,,,
1.81074,0.177673,,,,
1.81137,0.177552,,,,
1.81201,0.177492,,,,
1.81264,0.177492,,,,
1.81327,0.177673,,,,
1.81391,0.177914,,,,
1.81455,0.177914,,,,
1.81518,0.177733,,,,
