Wavelength (µm),Pigeonite hs199.17856
1.776612,0.177673
1.777221,0.177854
1.777831,0.177854
1.778441,0.177613
1.779051,0.177613
1.779662,0.177733
1.780273,0.177793
1.780884,0.177673
1.781496,0.177854
1.782109,0.178034
1.782721,0.177854
1.783335,0.177854
1.783948,0.177793
1.784562,0.177613
1.785177,0.177552
1.785792,0.177492
1.786407,0.177613
1.787023,0.177854
1.787639,0.177733
1.788256,0.177854
1.788873,0.178094
1.789491,0.177793
1.790108,0.177613
1.790727,0.177974
1.791346,0.178034
1.791965,0.177733
1.792585,0.177733
1.793205,0.177854
1.793825,0.177673
1.794446,0.177673
1.795067,0.177854
1.795689,0.177552
1.796311,0.177372
1.796934,0.177492
1.797557,0.177673
1.79818,0.177793
1.798804,0.177793
1.799429,0.177733
1.800053,0.177854
1.800679,0.177974
1.801304,0.177914
1.801931,0.177854
1.802557,0.177673
1.803184,0.177733
1.803812,0.177733
1.804439,0.177492
1.805068,0.177492
1.805696,0.177673
1.806326,0.178034
1.806955,0.177974
1.807585,0.177673
1.808216,0.177673
1.808847,0.177733
1.809478,0.177793
1.81011,0.177793
1.810742,0.177673
1.811375,0.177552
1.812008,0.177492
1.812641,0.177492
1.813275,0.177673
1.81391,0.177914
1.814545,0.177914
1.81518,0.177733
1.815816,0.177673
1.816452,0.177673
1.817089,0.177673
1.817726,0.177854
1.818363,0.177793
1.819001,0.177492
1.81964,0.177251
1.820279,0.177432
1.820918,0.177854
1.821558,0.177613
1.822199,0.177251
1.822839,0.177191
1.82348,0.177552
1.824122,0.177854
1.824764,0.177793
1.825406,0.177673
1.826049,0.177733
1.826693,0.177733
1.827337,0.177733
1.827981,0.177673
1.828626,0.177793
1.829271,0.177733
1.829917,0.177251
1.830563,0.177432
1.83121,0.177793
1.831857,0.177854
1.832504,0.177793
1.833152,0.177552
1.833801,0.177492
1.83445,0.177793
1.835099,0.178034
1.835749,0.177854
1.836399,0.177552
1.83705,0.177974
1.837701,0.178275
1.838353,0.177733
1.839005,0.177251
1.839658,0.177372
1.840311,0.177311
1.840964,0.177372
1.841618,0.177914
1.842272,0.178034
1.842927,0.177613
1.843583,0.177492
1.844238,0.177372
1.844895,0.177311
1.845551,0.177191
1.846209,0.17695
1.846867,0.177311
1.847525,0.177372
1.848184,0.177251
1.848843,0.177251
1.849502,0.177131
1.850162,0.17701
1.850823,0.177191
1.851484,0.177251
1.852145,0.177432
1.852807,0.177251
1.853469,0.177191
1.854132,0.177432
1.854796,0.177613
1.855459,0.177733
1.856124,0.177552
1.856789,0.177372
1.857454,0.17701
1.85812,0.17683
1.858786,0.177131
1.859453,0.177251
1.86012,0.17701
1.860788,0.17701
1.861456,0.177071
1.862124,0.177071
1.862794,0.17701
1.863463,0.176709
1.864133,0.176769
1.864804,0.177131
1.865475,0.177131
1.866146,0.17695
1.866818,0.17689
1.867491,0.177131
1.868164,0.177191
1.868837,0.17695
1.869511,0.17683
1.870185,0.17695
1.87086,0.177191
1.871536,0.177071
1.872212,0.17689
1.872888,0.177071
1.873565,0.177372
1.874242,0.177251
1.87492,0.177071
1.875599,0.177071
1.876277,0.177071
1.876957,0.17701
1.877637,0.176649
1.878317,0.176589
1.878998,0.176649
1.879679,0.176709
1.880361,0.176468
1.881043,0.176468
1.881726,0.176528
1.882409,0.176408
1.883093,0.176468
1.883777,0.176769
1.884462,0.176649
1.885147,0.176408
1.885833,0.176528
1.886519,0.176468
1.887206,0.176107
1.887893,0.175926
1.888581,0.175986
1.889269,0.176047
1.889958,0.176288
1.890647,0.176227
