Wavelength (µm),Sanidine gds19.19863
1.3785,0.811535
1.3835,0.811398
1.3885,0.81186
1.3935,0.813599
1.3985,0.813028
1.4035,0.811974
1.4085,0.813923
1.4135,0.811509
1.4185,0.813586
1.4235,0.814533
1.4285,0.814538
1.4335,0.817387
1.4385,0.815922
1.4435,0.817228
1.4485,0.816539
1.4535,0.815681
1.4585,0.816551
1.4635,0.814386
1.4685,0.819705
1.4735,0.815078
1.4785,0.81719
1.4835,0.816386
1.4885,0.818944
1.4935,0.816343
1.4985,0.819986
1.5035,0.81763
1.5085,0.816944
1.5135,0.81757
1.5185,0.820914
1.5235,0.81836
1.5285,0.819436
1.534,0.820719
1.54,0.822945
1.546,0.818088
1.552,0.819065
1.558,0.823776
1.564,0.822796
1.5705,0.822312
1.5775,0.821991
1.5845,0.821853
1.5915,0.822644
1.5985,0.821953
1.6055,0.821761
1.6125,0.822501
1.6195,0.821456
1.6265,0.822087
1.6335,0.821353
1.6405,0.823473
1.6475,0.821624
1.6545,0.823026
1.6615,0.826361
1.6685,0.821163
1.676,0.823502
1.684,0.822557
1.692,0.825669
1.7,0.828043
1.708,0.828531
1.716,0.823694
1.724,0.824455
1.732,0.820617
1.74,0.822951
1.748,0.825327
1.756,0.826078
1.764,0.826067
1.772,0.823693
1.78,0.82763
1.788,0.828618
1.796,0.829175
1.805,0.826087
1.815,0.826947
1.825,0.824762
1.835,0.82539
1.845,0.828799
1.855,0.825947
1.865,0.825653
1.875,0.826147
1.885,0.822694
1.895,0.82355
1.905,0.823145
1.915,0.818266
1.925,0.820498
1.935,0.82333
1.945,0.822477
1.955,0.823275
1.965,0.825512
1.975,0.827582
1.985,0.828957
1.995,0.831195
2.005,0.830904
2.015,0.825094
2.025,0.831737
2.035,0.83059
2.045,0.833427
2.055,0.831096
2.065,0.831186
2.075,0.828706
2.085,0.83334
2.095,0.838147
2.105,0.836369
2.115,0.838745
2.125,0.841353
2.135,0.841922
2.145,0.837873
2.155,0.836584
2.165,0.836215
2.175,0.832405
2.185,0.831486
2.195,0.832159
2.205,0.827313
2.215,0.833465
2.225,0.831547
2.235,0.830854
2.245,0.828049
2.255,0.824434
2.265,0.832178
2.275,0.831883
2.285,0.831221
2.295,0.839149
2.305,0.827434
2.315,0.83178
2.325,0.838777
2.335,0.83705
2.345,0.83761
2.355,0.836748
2.365,0.835707
2.375,0.842734
2.386,0.840589
2.4,0.835922
2.418,0.837383
2.44,0.830988
2.466,0.829341
2.496,0.830144
2.528,0.824532
2.56,0.823712
2.592,0.817899
2.624,0.826442
2.656,0.823047
2.688,0.793242
2.72,0.757355
2.752,0.652558
2.784,0.61199
2.816,0.589641
2.848,0.567325
2.88,0.586171
2.912,0.550562
2.944,0.546885
2.976,0.562335
