Wavelength (µm),Augite ws592.3259
1.888581,0.506632
1.889269,0.505616
1.889958,0.504406
1.890647,0.504503
1.891337,0.504309
1.892027,0.503777
1.892718,0.503535
1.893409,0.502858
1.894101,0.502713
1.894793,0.502519
1.895486,0.501938
1.896179,0.501164
1.896873,0.500438
1.897568,0.499616
1.898262,0.498987
1.898958,0.497487
1.899654,0.496567
1.90035,0.497003
1.901047,0.497632
1.901744,0.49739
1.902442,0.49589
1.90314,0.495696
1.903839,0.496229
1.904539,0.495067
1.905239,0.493857
1.905939,0.494051
1.90664,0.494003
1.907342,0.494583
1.908044,0.494922
1.908746,0.494874
1.909449,0.494486
1.910153,0.493954
1.910857,0.49347
1.911561,0.493277
1.912266,0.493422
1.912972,0.492406
1.913678,0.49197
1.914385,0.492793
1.915092,0.493325
1.9158,0.493083
1.916508,0.492841
1.917217,0.492986
1.917926,0.493083
1.918636,0.492793
1.919346,0.491777
1.920057,0.490664
1.920768,0.490761
1.92148,0.491922
1.922193,0.492115
1.922906,0.492067
1.92362,0.491438
1.924333,0.491535
1.925048,0.491922
1.925763,0.491874
1.926479,0.49139
1.927195,0.491244
1.927912,0.490954
1.928629,0.490567
1.929346,0.490857
1.930065,0.490809
1.930784,0.490712
1.931503,0.49047
1.932223,0.490228
1.932943,0.490083
1.933664,0.48989
1.934386,0.490035
1.935108,0.489986
1.93583,0.489357
1.936554,0.489115
1.937277,0.489164
1.938002,0.488922
1.938726,0.488535
1.939452,0.488535
1.940177,0.488728
1.940904,0.488535
1.941631,0.488293
1.942358,0.488196
1.943086,0.488002
1.943815,0.487906
1.944544,0.487857
1.945274,0.487809
1.946004,0.48776
1.946735,0.487422
1.947466,0.486889
1.948198,0.486793
1.94893,0.486889
1.949663,0.486357
1.950397,0.486067
1.951131,0.486164
1.951865,0.486018
1.952601,0.485535
1.953336,0.485293
1.954073,0.485147
1.954809,0.484857
1.955547,0.484615
1.956285,0.484325
1.957023,0.484131
1.957762,0.483889
1.958502,0.483647
1.959242,0.483599
1.959983,0.483405
1.960724,0.483164
1.961466,0.482825
1.962208,0.482389
1.962951,0.482196
1.963695,0.482099
1.964439,0.481954
1.965183,0.481615
1.965929,0.481373
1.966674,0.481083
1.967421,0.480696
1.968168,0.480309
1.968915,0.480018
1.969663,0.479825
1.970412,0.479728
1.971161,0.479438
1.971911,0.479099
1.972661,0.478954
1.973413,0.478809
1.974164,0.478518
1.974916,0.478228
1.975669,0.477938
1.976422,0.477502
1.977176,0.477163
1.97793,0.476921
1.978685,0.476728
1.97944,0.476776
1.980196,0.476825
1.980953,0.476486
1.98171,0.476196
1.982468,0.476002
1.983226,0.475518
1.983986,0.475373
1.984745,0.475179
1.985505,0.474841
1.986266,0.47426
1.987027,0.474115
1.987789,0.474018
1.988552,0.473873
1.989315,0.473679
1.990078,0.473292
1.990842,0.472953
1.991607,0.47276
1.992373,0.472421
1.993139,0.472228
1.993905,0.472179
1.994673,0.471841
1.99544,0.47155
1.996209,0.471308
1.996978,0.471018
1.997747,0.470921
1.998517,0.470873
1.999288,0.470534
2.000059,0.470098
2.000831,0.469905
2.001604,0.469615
2.002377,0.469227
2.003151,0.469082
2.003925,0.468986
2.0047,0.468647
2.005476,0.468453
2.006252,0.46826
2.007029,0.467921
2.007806,0.467776
2.008584,0.467921
2.009362,0.467727
2.010141,0.46734
2.010921,0.46705
2.011701,0.466856
2.012482,0.466663
2.013264,0.466324
2.014046,0.466082
2.014829,0.46584
2.015612,0.465889
2.016396,0.465695
2.01718,0.465405
2.017966,0.465163
2.018752,0.465066
2.019538,0.464872
2.020325,0.464582
2.021113,0.46434
2.021901,0.463905
2.02269,0.463711
2.023479,0.463566
2.02427,0.463518
2.02506,0.463227
2.025852,0.462889
2.026644,0.462695
2.027436,0.462501
2.028229,0.462211
2.029023,0.462066
2.029818,0.461776
2.030613,0.46134
2.031409,0.461001
2.032204,0.461001
2.033001,0.460808
2.033799,0.460614
2.034597,0.460421
2.035396,0.46013
2.036195,0.45984
2.036996,0.459695
2.037796,0.459405
2.038598,0.459163
2.0394,0.459114
2.040203,0.458872
2.041006,0.458388
2.04181,0.458098
2.042614,0.457904
2.043419,0.457566
2.044225,0.457469
2.045032,0.457324
2.045839,0.456888
2.046646,0.456598
2.047455,0.456453
2.048264,0.456114
2.049073,0.455872
2.049883,0.45563
2.050694,0.455437
2.051505,0.455291
2.052317,0.454856
2.05313,0.454421
2.053944,0.454275
2.054758,0.454179
2.055573,0.453791
2.056388,0.453404
2.057204,0.453211
2.058021,0.453017
2.058838,0.452775
2.059656,0.452291
2.060475,0.451904
2.061294,0.451566
2.062114,0.451324
2.062935,0.45113
2.063756,0.450743
2.064577,0.450404
2.0654,0.450162
2.066223,0.449775
2.067047,0.449582
2.067871,0.449291
2.068696,0.448952
2.069522,0.448614
2.070349,0.448275
2.071176,0.448033
2.072004,0.447791
2.072833,0.447404
2.073662,0.447065
2.074492,0.44692
2.075322,0.446485
2.076153,0.446243
2.076985,0.446001
2.077817,0.445614
2.07865,0.445275
2.079484,0.444936
2.080319,0.444598
2.081154,0.444501
2.08199,0.44421
2.082826,0.443968
2.083663,0.44363
2.084501,0.443291
2.08534,0.442904
2.086179,0.442517
2.087018,0.44213
2.087859,0.441743
2.0887,0.441452
2.089542,0.441259
2.090385,0.441017
2.091228,0.440823
2.092072,0.440678
2.092917,0.440388
2.093762,0.440001
2.094608,0.43971
2.095454,0.439323
2.096302,0.43913
2.09715,0.438742
2.097999,0.438259
2.098848,0.438017
2.099698,0.438065
2.100549,0.437726
2.1014,0.437339
2.102252,0.437049
2.103105,0.436904
2.103959,0.43671
2.104813,0.436226
2.105668,0.435839
2.106524,0.435839
2.10738,0.435646
2.108237,0.435355
2.109094,0.435065
2.109953,0.434823
2.110812,0.435588
2.111672,0.435731
2.112532,0.434823
2.113394,0.433915
2.114255,0.433485
2.115118,0.432768
2.115981,0.432242
2.116845,0.432195
2.11771,0.432147
2.118576,0.43186
2.119442,0.431526
2.120309,0.431
2.121176,0.430379
2.122045,0.430379
2.122913,0.430426
2.123783,0.429996
2.124654,0.429423
2.125525,0.428945
2.126396,0.428802
2.127269,0.428467
2.128142,0.427942
2.129016,0.427607
2.129891,0.427559
2.130766,0.427464
2.131642,0.426842
2.132519,0.425887
2.133397,0.425648
2.134275,0.425934
2.135154,0.425457
2.136034,0.424931
2.136914,0.424166
2.137795,0.423736
2.138677,0.423927
2.13956,0.424071
2.140444,0.423736
2.141328,0.423067
2.142213,0.422207
2.143099,0.421729
2.143985,0.421777
2.144872,0.421586
2.14576,0.421538
2.146648,0.421442
2.147537,0.421012
2.148427,0.421012
2.149318,0.420964
2.150209,0.420295
2.151101,0.419674
2.151994,0.41977
2.152888,0.419579
2.153783,0.41891
2.154678,0.418575
2.155574,0.418718
2.15647,0.418241
2.157368,0.417715
2.158266,0.417428
2.159165,0.417189
2.160064,0.416902
2.160964,0.416186
2.161865,0.415708
2.162767,0.416042
2.16367,0.416233
2.164573,0.416042
2.165478,0.415517
2.166383,0.415087
2.167288,0.41523
2.168195,0.414752
2.169102,0.414035
2.17001,0.413366
2.170919,0.413414
2.171828,0.413414
2.172739,0.412602
2.17365,0.412267
2.174561,0.412315
2.175474,0.412219
2.176387,0.411741
2.177301,0.411359
2.178216,0.411263
2.179132,0.411025
2.180048,0.410881
2.180965,0.410499
2.181883,0.409734
2.182801,0.409639
2.183721,0.409495
2.184641,0.409065
2.185562,0.408779
2.186484,0.408635
2.187407,0.408492
2.18833,0.40811
2.189254,0.407871
2.190179,0.407775
2.191105,0.407488
2.192032,0.407154
2.192959,0.406771
2.193887,0.406294
2.194816,0.405672
2.195745,0.405481
2.196676,0.405481
2.197607,0.405099
2.198539,0.405386
2.199472,0.405386
2.200405,0.404908
2.201339,0.404382
2.202275,0.403952
2.203211,0.403809
2.204147,0.403761
2.205085,0.403522
2.206023,0.403235
2.206962,0.403092
2.207902,0.402805
2.208843,0.402232
2.209784,0.401993
2.210727,0.401849
2.21167,0.401563
2.212614,0.401276
2.213559,0.40118
2.214504,0.400702
2.215451,0.400416
2.216398,0.400511
2.217346,0.400272
2.218295,0.399794
2.219244,0.399508
2.220195,0.399173
2.221146,0.398647
2.222098,0.398552
2.223051,0.398456
2.224005,0.397931
2.224959,0.397453
2.225914,0.396736
2.226871,0.396832
2.227827,0.396975
2.228785,0.396879
2.229744,0.396736
2.230703,0.396545
2.231663,0.395876
2.232625,0.395398
2.233587,0.394872
2.234549,0.394347
2.235513,0.393916
2.236477,0.393678
2.237442,0.393773
2.238408,0.393534
2.239375,0.3932
2.240343,0.392817
2.241312,0.392674
2.242281,0.392722
2.243252,0.392339
2.244223,0.39167
2.245195,0.391432
2.246168,0.391288
2.247141,0.390954
2.248116,0.390858
2.249091,0.390715
2.250067,0.39038
2.251044,0.39038
2.252022,0.390046
2.253,0.38995
2.25398,0.389854
2.254961,0.389233
2.255942,0.389042
2.256924,0.388803
2.257907,0.388469
2.258891,0.388325
2.259876,0.387991
2.260861,0.387608
2.261847,0.387465
2.262835,0.387083
2.263823,0.386987
2.264812,0.387178
2.265802,0.386748
2.266792,0.386175
2.267784,0.385745
2.268776,0.385506
2.26977,0.385267
2.270764,0.385171
2.271759,0.385123
2.272755,0.38455
2.273752,0.384072
2.27475,0.383929
2.275748,0.383547
2.276747,0.383642
2.277748,0.383738
2.278749,0.383308
2.279751,0.382973
2.280754,0.382447
2.281758,0.382113
2.282763,0.381683
2.283768,0.381444
2.284775,0.381061
2.285782,0.380966
2.286791,0.38087
2.2878,0.380679
2.28881,0.380536
2.289821,0.380392
2.290832,0.380058
2.291845,0.379867
2.292859,0.379389
2.293873,0.379007
2.294889,0.379007
2.295905,0.378672
2.296922,0.378529
2.29794,0.37872
2.29896,0.378624
2.299979,0.378672
2.301001,0.378099
2.302022,0.377812
2.303045,0.377812
2.304068,0.377621
2.305093,0.377191
2.306118,0.376761
2.307145,0.376617
2.308172,0.376808
2.309201,0.376808
2.31023,0.376856
2.31126,0.376522
2.31229,0.376139
2.313322,0.3759
2.314355,0.375853
2.315388,0.375661
2.316423,0.375853
2.317458,0.375948
2.318495,0.375853
2.319532,0.375566
2.32057,0.375231
2.321609,0.37504
2.32265,0.375279
2.323691,0.375423
2.324733,0.375423
2.325776,0.375661
2.32682,0.375853
2.327865,0.375757
2.32891,0.375566
2.329957,0.375279
2.331005,0.375279
2.332053,0.375184
2.333103,0.375327
2.334153,0.375948
2.335205,0.376044
2.336257,0.375757
2.33731,0.375709
2.338365,0.375614
2.33942,0.37547
2.340476,0.375996
2.341533,0.376187
2.342591,0.375996
2.34365,0.37633
2.34471,0.376187
2.345771,0.376235
2.346833,0.376426
2.347896,0.376474
2.34896,0.376761
2.350024,0.376713
2.35109,0.376474
2.352157,0.376235
2.353225,0.37633
2.354293,0.376904
2.355363,0.376952
2.356434,0.376713
2.357505,0.376665
2.358577,0.376856
2.359651,0.377
2.360726,0.376665
2.361801,0.377
2.362878,0.377095
2.363955,0.377095
2.365033,0.377
2.366114,0.376808
2.367194,0.377143
2.368275,0.377095
2.369358,0.376761
2.370441,0.376808
2.371525,0.376856
2.372611,0.376856
2.373697,0.376713
2.374785,0.376713
2.375873,0.377047
2.376962,0.377
2.378052,0.377334
2.379144,0.377334
2.380236,0.377047
2.38133,0.377047
2.382424,0.376904
2.383519,0.376713
2.384615,0.376904
2.385713,0.376856
2.386811,0.376522
2.387911,0.376426
2.389011,0.377
2.390113,0.377286
2.391215,0.377286
2.392318,0.377573
2.393423,0.37743
2.394528,0.377047
2.395635,0.377191
2.396743,0.377573
2.397851,0.377669
2.398961,0.377812
2.400071,0.37829
2.401183,0.37829
2.402296,0.377908
2.40341,0.378146
2.404524,0.378768
2.40564,0.378768
2.406757,0.378815
2.407875,0.37872
2.408994,0.378624
2.410113,0.378911
2.411234,0.379198
2.412356,0.37915
2.413479,0.379246
2.414603,0.379676
2.415729,0.379962
2.416855,0.379915
2.417982,0.379819
2.419111,0.379867
2.42024,0.379819
2.421371,0.379723
2.422502,0.379962
2.423635,0.380297
2.424768,0.380727
2.425903,0.380918
2.427038,0.381014
2.428176,0.380918
2.429314,0.381061
2.430453,0.381396
2.431592,0.381396
2.432734,0.381109
2.433876,0.3813
2.435019,0.381348
2.436163,0.381587
2.437308,0.381969
2.438454,0.382352
2.439602,0.382352
2.44075,0.382591
2.4419,0.382639
2.443051,0.382782
2.444203,0.383164
2.445355,0.383403
2.44651,0.383594
2.447665,0.383547
2.448821,0.383308
2.449978,0.383642
2.451137,0.384072
2.452296,0.384598
2.453457,0.384789
2.454618,0.384932
2.455781,0.384932
2.456945,0.385267
2.45811,0.385315
2.459276,0.38541
