Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.2586,0.118477,0.44602,0.6946526666666667,0.44602,0.6946526666666667
0.2636,0.136973,0.456,0.7002876,0.4578753521126761,0.7015179886111612
0.2686,0.171162,0.46598,0.706048,0.4697307042253521,0.7072782623817115
0.2731,0.202837,0.47596,0.7086116,0.4815860563380282,0.7098979908020817
0.2771,0.247255,0.48595,0.7109578,0.4934414084507043,0.7125029236986414
0.2811,0.287344,0.49593,0.7128374,0.5052967605633804,0.7135890426565754
0.2851,0.333398,0.50591,0.7136697999999999,0.5171521126760563,0.715446607343688
0.2891,0.381518,0.51589,0.7153615999999999,0.5290074647887324,0.7151582726613117
0.2931,0.422253,0.52587,0.7152088000000001,0.5408628169014085,0.716336038018945
0.2971,0.450776,0.53585,0.7155874000000001,0.5527181690140845,0.71624252982287
0.3011,0.477869,0.54583,0.7167916,0.5645735211267606,0.716306771950407
0.3051,0.49551,0.55581,0.7159676000000001,0.5764288732394367,0.7179592148375407
0.3091,0.507645,0.56579,0.7164204,0.5882842253521128,0.720541016110048
0.3131,0.521427,0.57577,0.717802,0.6001395774647887,0.7200586842513117
0.3171,0.533378,0.58576,0.7202923999999999,0.6119949295774648,0.7205038543727075
0.3211,0.538592,0.59574,0.7203282,0.6238502816901409,0.7216010182548762
0.3251,0.548815,0.60572,0.7199972857142857,0.635705633802817,0.7240058560072942
0.3291,0.550999,0.6157,0.7208781666666667,0.6475609859154929,0.7253411939611193
0.3331,0.56147,0.62568,0.7218688333333333,0.659416338028169,0.7274595480920303
0.3371,0.565428,0.63566,0.7239978,0.6712716901408451,0.7299681903473952
0.3411,0.569648,0.64564,0.7251264000000001,0.6831270422535212,0.7309076677830988
0.3531,0.601682,0.65562,0.7266313999999999,0.6949823943661972,0.7327430922956762
0.3571,0.606264,0.6656,0.7288834000000001,0.7068377464788733,0.7347968664170325
0.3606,0.609456,0.67558,0.7305023333333333,0.7186930985915494,0.7352743803139147
0.3636,0.61453,0.68556,0.7310949999999999,0.7305484507042255,0.7373902448388825
0.3666,0.616139,0.69555,0.73287225,0.7424038028169014,0.7392067408660494
0.3696,0.617692,0.70553,0.7347252,0.7542591549295775,0.7407666808989649
0.3726,0.620553,0.71551,0.7348888,0.7661145070422536,0.7426398926769394
0.3756,0.619774,0.72549,0.736574,0.7779698591549296,0.7447955158052014
0.3786,0.620645,0.73547,0.7381004000000001,0.7898252112676056,0.746066183707429
0.3811,0.625069,0.74545,0.7396652499999999,0.8016805633802817,0.7478182140366992
0.3831,0.630206,0.75543,0.7409172500000001,0.8135359154929578,0.7494090945881066
0.3851,0.63518,0.76541,0.7425069999999999,0.8253912676056339,0.7492215746343847
0.3871,0.637018,0.77539,0.7443956666666667,0.8372466197183099,0.7473566850472567
0.3891,0.641803,0.78537,0.7456626666666667,0.849101971830986,0.7516009249627283
0.3911,0.64518,0.79536,0.7467010000000001,0.8609573239436621,0.757646089992959
0.3931,0.648527,0.80534,0.748472,0.8728126760563382,0.7570963411183268
0.3951,0.651469,0.81532,0.7495115,0.8846680281690141,0.7623880808019097
0.3971,0.652598,0.8253,0.749233,0.8965233802816902,0.7623845749467453
0.3991,0.653933,0.83528,0.747569,0.9083787323943663,0.763047521762904
0.4011,0.655671,0.84526,0.748854,0.9202340845070422,0.7672640477155973
0.4031,0.658234,0.85524,0.756212,0.9320894366197183,0.7669591697721692
0.4051,0.659422,0.8752,0.75766,0.9439447887323944,0.7691888426512516
0.4071,0.661896,0.88518,0.762542,0.9558001408450705,0.7734326057598204
0.4091,0.663131,0.89517,0.762363,0.9676554929577466,0.7739086232866917
0.4111,0.665346,0.90515,0.763199,0.9795108450704226,0.7753692154765686
0.4128,0.669311,0.91513,0.763871,0.9913661971830987,0.7773000384818854
0.4158,0.670047,0.92511,0.769538,1.0032215492957748,0.780583737280721
0.4188,0.671836,0.93509,0.765942,1.0150769014084509,0.7817102296482593
0.4218,0.674848,0.94507,0.7698065000000001,1.026932253521127,0.7842187237844841
0.4248,0.678332,0.95505,0.773268,1.0387876056338028,0.7872179621170833
0.4278,0.67939,0.96503,0.774259,1.0506429577464789,0.7883303656439575
0.4308,0.684424,0.97501,0.773595,1.062498309859155,0.7890730016874407
0.4338,0.686671,0.98499,0.777531,1.074353661971831,0.7904820401364566
0.4368,0.688485,0.99497,0.777315,1.086209014084507,0.7920977315351209
0.4398,0.688942,1.00496,0.7811874999999999,1.0980643661971832,0.7936575227318329
0.4428,0.692617,1.01494,0.7817045,1.1099197183098592,0.7953387398692126
0.4458,0.6944,1.02492,0.7836135,1.1217750704225353,0.7960323115467327
0.4488,0.696941,1.0349,0.786489,1.1336304225352114,0.797930932747077
0.4513,0.697401,1.04488,0.7879075,1.1454857746478875,0.79868564925987
0.4533,0.697882,1.05486,0.7885835,1.1573411267605636,0.7987147261738822
0.4553,0.701111,1.06484,0.7892710000000001,1.1691964788732396,0.7999813325667355
0.4573,0.702517,1.07482,0.790559,1.1810518309859155,0.8018793023607201
0.4593,0.702527,1.0848,0.792025,1.1929071830985916,0.802528673456398
0.4613,0.704519,1.09478,0.792731,1.2047625352112676,0.8035284096175551
0.4633,0.705009,1.10477,0.7954684999999999,1.2166178873239437,0.8053398250575105
0.4653,0.706146,1.11475,0.7949900000000001,1.2284732394366198,0.8064582052190868
0.4673,0.706658,1.12473,0.7966755,1.2403285915492959,0.80684247951724
0.4693,0.707908,1.13471,0.7980395,1.252183943661972,0.8065662357600506
0.4713,0.705627,1.14469,0.7986854999999999,1.264039295774648,0.8079119228017828
0.4733,0.708304,1.15467,0.7985605,1.275894647887324,0.8072721949548655
0.4753,0.708136,1.16465,0.7995025,1.2877500000000002,0.8087427761773927
0.4773,0.71053,1.17463,0.8006905,1.2996053521126762,0.8087225067673534
0.4793,0.710461,1.18461,0.8023685,1.311460704225352,0.8108943684956735
0.4813,0.710466,1.19459,0.802551,1.3233160563380282,0.8099251910863786
0.4833,0.710567,1.20458,0.8035019999999999,1.3351714084507043,0.810209603689178
0.4853,0.710838,1.21456,0.8050474999999999,1.3470267605633803,0.8114859672306015
0.4873,0.710755,1.22454,0.806207,1.3588821126760564,0.8112321687555576
0.4893,0.712163,1.23452,0.8066975000000001,1.3707374647887325,0.8115687152882758
0.4913,0.712695,1.2445,0.8068040000000001,1.3825928169014086,0.8115483308985035
0.4933,0.712561,1.25448,0.806689,1.3944481690140846,0.8133370954993927
0.4953,0.713745,1.26446,0.8079160000000001,1.4063035211267607,0.8127368769870249
0.4973,0.712919,1.27444,0.8071360000000001,1.4181588732394368,0.8131177773795129
0.4993,0.712267,1.28442,0.8087975000000001,1.4300142253521129,0.8159331847444791
0.5013,0.714186,1.2944,0.808196,1.441869577464789,0.8170176806144708
0.5033,0.711952,1.30438,0.8097175,1.453724929577465,0.8161058984045
0.5053,0.713374,1.31437,0.8109884999999999,1.465580281690141,0.816979533274071
0.5073,0.71318,1.32435,0.809821,1.4774356338028172,0.8164166641446476
0.5093,0.715657,1.33433,0.8101165,1.489290985915493,0.8182614606448076
0.5113,0.715624,1.34431,0.811275,1.501146338028169,0.8172867220997536
0.5133,0.716121,1.35429,0.8115555000000001,1.5130016901408452,0.8191278228967546
0.5153,0.714744,1.36427,0.811032,1.5248570422535213,0.8189765740210362
0.5173,0.714549,1.37425,0.81179,1.5367123943661973,0.8208493074378774
0.5193,0.71577,1.38423,0.8116289999999999,1.5485677464788734,0.8207067703227684
0.5213,0.715613,1.39421,0.8133135,1.5604230985915495,0.8224915762970315
0.5233,0.714176,1.40419,0.8129485,1.5722784507042256,0.8223035516116903
0.5253,0.714709,1.41418,0.8125475,1.5841338028169016,0.821864505426772
0.5273,0.716556,1.42416,0.8145355,1.5959891549295777,0.8222021639327631
0.5293,0.71499,1.43414,0.8166545000000001,1.6078445070422538,0.8220224793505702
0.5313,0.714966,1.44412,0.8168835,1.6196998591549296,0.8222146489021067
0.5333,0.714264,1.4541,0.8161160000000001,1.6315552112676057,0.8212827978945346
0.5353,0.716677,1.46408,0.8170455000000001,1.6434105633802818,0.8225154194141555
0.5373,0.71529,1.47406,0.8161339999999999,1.6552659154929579,0.823121975209171
0.5393,0.71674,1.48404,0.817665,1.667121267605634,0.8238647624785705
0.5413,0.716546,1.49402,0.8181645,1.67897661971831,0.8227403656301566
0.5433,0.717687,1.504,0.817287,1.690831971830986,0.8244375616470694
0.5453,0.716986,1.51399,0.819242,1.7026873239436622,0.8284252781001974
0.5473,0.716958,1.52397,0.818898,1.7145426760563383,0.8235763377449001
0.5493,0.715781,1.53395,0.820719,1.7263980281690143,0.8235279773737979
0.5513,0.716926,1.54393,0.8205165000000001,1.7382533802816904,0.8216297828733877
0.5533,0.715262,1.55391,0.8214205,1.7501087323943665,0.8257152069898493
0.5553,0.716458,1.56389,0.822796,1.7619640845070423,0.8263414158640927
0.5573,0.715951,1.57387,0.8221515,1.7738194366197184,0.8237333518219525
0.5593,0.715241,1.58385,0.821853,1.7856747887323945,0.8289439456789416
0.5613,0.716811,1.59383,0.8222985,1.7975301408450706,0.8278072364851488
0.5633,0.716162,1.60381,0.821761,1.8093854929577466,0.8265773173573796
0.5653,0.715394,1.6138,0.822501,1.8212408450704227,0.8252768015121632
0.5673,0.716852,1.62378,0.8217715,1.8330961971830988,0.8252941052489072
0.5693,0.716883,1.63376,0.821353,1.8449515492957749,0.828690969203169
0.5713,0.717349,1.64374,0.8225485,1.856806901408451,0.825349303410708
0.5733,0.717138,1.65372,0.823026,1.868662253521127,0.826362396793008
0.5753,0.717166,1.6637,0.823762,1.880517605633803,0.8234958645165431
0.5773,0.718165,1.67368,0.823502,1.8923729577464792,0.8233861886061148
0.5793,0.719192,1.68366,0.822557,1.904228309859155,0.8227160488150187
0.5813,0.719714,1.69364,0.825669,1.916083661971831,0.8181671306072712
0.5833,0.719511,1.70362,0.828287,1.9279390140845072,0.8222765284150997
0.5853,0.720221,1.7136,0.823694,1.9397943661971833,0.8228467824576647
0.5873,0.720757,1.72359,0.824455,1.9516497183098593,0.8230135122208118
