Wavelength (µm) raw,Orthoclase nmn h142137.17349 raw,Wavelength (µm) bin avg,Orthoclase nmn h142137.17349 bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmn h142137.17349 cubic spline of bin avg
0.2971,0.293063,0.44602,0.6907799999999998,0.44602,0.6907799999999998
0.3011,0.331987,0.456,0.7020687999999999,0.45606577922077923,0.7021296701179746
0.3051,0.364235,0.46598,0.7097549999999998,0.4661115584415585,0.7098387276234822
0.3091,0.394966,0.47596,0.7150898000000001,0.4761573376623377,0.7151755087809798
0.3131,0.422725,0.48595,0.7191135999999999,0.4862031168831169,0.7192228999611013
0.3171,0.449847,0.49593,0.7239308,0.4962488961038961,0.7240906674229515
0.3211,0.467409,0.50591,0.7285458,0.5062946753246753,0.7286977931871925
0.3251,0.488457,0.51589,0.7322293999999999,0.5163404545454545,0.7324108951728109
0.3291,0.501785,0.52587,0.7367306,0.5263862337662337,0.7369705821598405
0.3331,0.516259,0.53585,0.7410714,0.536432012987013,0.7412994645542128
0.3371,0.528723,0.54583,0.7442768,0.5464777922077922,0.7444164167938657
0.3411,0.534576,0.55581,0.746094,0.5565235714285715,0.7462587201788572
0.3451,0.544942,0.56579,0.7488908000000001,0.5665693506493507,0.7491002635432494
0.3491,0.548436,0.57577,0.7513228,0.5766151298701299,0.751540074906192
0.3531,0.598704,0.58576,0.7537988,0.5866609090909091,0.7539586502032913
0.3571,0.603812,0.59574,0.7550810000000001,0.5967066883116883,0.7552078286836198
0.3606,0.609854,0.60572,0.7568188571428571,0.6067524675324676,0.757045788535253
0.3636,0.613865,0.6157,0.7590468333333334,0.6167982467532467,0.7592612144547919
0.3666,0.617071,0.62568,0.760713,0.626844025974026,0.7608895944400135
0.3696,0.618491,0.63566,0.7622304,0.6368898051948052,0.762415018518176
0.3726,0.616021,0.64564,0.7636772,0.6469355844155844,0.7638540515725232
0.3756,0.607222,0.65562,0.765248,0.6569813636363636,0.7655435178283007
0.3786,0.606199,0.6656,0.7674403999999999,0.6670271428571428,0.767651107021685
0.3811,0.613024,0.67558,0.7683463333333332,0.6770729220779221,0.7684529807255666
0.3831,0.619023,0.68556,0.7695276666666667,0.6871187012987012,0.7698541283613849
0.3851,0.626999,0.69555,0.7717737499999999,0.6971644805194805,0.7720387206654968
0.3871,0.636883,0.70553,0.7729248,0.7072102597402596,0.7730989552339375
0.3891,0.641534,0.71551,0.7739706,0.717256038961039,0.7741042657396782
0.3911,0.648746,0.72549,0.7748286,0.7273018181818182,0.775110534670028
0.3931,0.652836,0.73547,0.7763912000000001,0.7373475974025974,0.7765047876237302
0.3951,0.656124,0.74545,0.7768285,0.7473933766233767,0.7771183086596446
0.3971,0.657659,0.75543,0.77860525,0.7574391558441558,0.7787572539396448
0.3991,0.661092,0.76541,0.7788179999999999,0.7674849350649351,0.7789471780555197
0.4011,0.663112,0.77539,0.7801236666666668,0.7775307142857142,0.7805475668828686
0.4031,0.66363,0.78537,0.7818063333333334,0.7875764935064935,0.7819374301652215
0.4051,0.665227,0.79536,0.782242,0.7976222727272727,0.7825371309973784
0.4071,0.666019,0.80534,0.783814,0.8076680519480519,0.7840188426418115
0.4091,0.666984,0.81532,0.7842795,0.8177138311688311,0.7844168601787376
0.4111,0.66887,0.8253,0.7846345,0.8277596103896103,0.7844266320564056
0.4128,0.667886,0.83528,0.783883,0.8378053896103896,0.7841450620174596
0.4158,0.668148,0.84526,0.785821,0.8478511688311687,0.7863659782191508
0.4188,0.6698,0.85524,0.7872635,0.857896948051948,0.7873232322180918
0.4218,0.67145,0.8752,0.786657,0.8679427272727271,0.7868490597186671
0.4248,0.675615,0.88518,0.788138,0.8779885064935065,0.7868045342955019
0.4278,0.678711,0.89517,0.790398,0.8880342857142857,0.7890912956093548
0.4308,0.681021,0.90515,0.787102,0.8980800649350649,0.789661874951254
0.4338,0.685308,0.91513,0.787786,0.9081258441558442,0.7869890760925221
0.4368,0.684394,0.92511,0.786296,0.9181716233766233,0.7875499496458065
0.4398,0.686896,0.93509,0.786246,0.9282174025974026,0.7861071333213663
0.4428,0.689202,0.94507,0.7850995000000001,0.9382631818181817,0.786146858992185
0.4458,0.689616,0.95505,0.783779,0.948308961038961,0.7842241732637873
0.4488,0.693522,0.96503,0.7881285,0.9583547402597401,0.7851615866119938
0.4513,0.696717,0.97501,0.785936,0.9684005194805194,0.7879063560298397
0.4533,0.699936,0.98499,0.7856095,0.9784462987012987,0.7856781780544168
0.4553,0.703852,0.99497,0.782623,0.9884920779220778,0.7847337940523409
0.4573,0.704572,1.00496,0.7822985,0.9985378571428571,0.7821389494082991
0.4593,0.705267,1.01494,0.7826165,1.0085836363636362,0.7825110362337697
0.4613,0.707946,1.02492,0.7824225,1.0186294155844156,0.7824416150927734
0.4633,0.709124,1.0349,0.7833055,1.0286751948051946,0.7829242063986087
0.4653,0.708893,1.04488,0.781099,1.038720974025974,0.7824714712105685
0.4673,0.71078,1.05486,0.782327,1.0487667532467533,0.781422162011028
0.4693,0.712032,1.06484,0.780454,1.0588125324675324,0.7819075340153484
0.4713,0.712508,1.07482,0.7790155,1.0688583116883117,0.7797824987026445
0.4733,0.712434,1.0848,0.7776855,1.0789040909090908,0.778313076004263
0.4753,0.716403,1.09478,0.7782275000000001,1.08894987012987,0.7779586318479379
0.4773,0.71605,1.10477,0.7763329999999999,1.0989956493506492,0.77751180850796
0.4793,0.718054,1.11475,0.7764875,1.1090414285714285,0.7762424684319589
0.4813,0.716679,1.12473,0.7753295,1.1190872077922076,0.7762010785016631
0.4833,0.71885,1.13471,0.7735810000000001,1.129132987012987,0.7745586093682342
0.4853,0.719826,1.14469,0.7727315,1.1391787662337662,0.7728870831503973
0.4873,0.719748,1.15467,0.7734915,1.1492245454545453,0.7734145357999288
0.4893,0.720465,1.16465,0.7697320000000001,1.1592703246753246,0.771729806637545
0.4913,0.72308,1.17463,0.7713335,1.1693161038961037,0.7700389937775075
0.4933,0.723647,1.18461,0.7712265,1.179361883116883,0.7716632577196512
0.4953,0.723454,1.19459,0.7699944999999999,1.1894076623376622,0.7706129661261557
0.4973,0.724716,1.20458,0.7692715,1.1994534415584415,0.7695864765363073
0.4993,0.724757,1.21456,0.7685934999999999,1.2094992207792208,0.7689738891889525
0.5013,0.726685,1.22454,0.767766,1.2195449999999999,0.7681281780848861
0.5033,0.726543,1.23452,0.7676635,1.2295907792207792,0.7676702107821113
0.5053,0.729355,1.2445,0.767667,1.2396365584415583,0.7675821405701285
0.5073,0.728478,1.25448,0.768308,1.2496823376623376,0.7680968935836611
0.5093,0.731668,1.26446,0.767589,1.2597281168831167,0.7679037500857845
0.5113,0.729549,1.27444,0.7685115,1.269773896103896,0.7679634473495589
0.5133,0.732147,1.28442,0.7686965,1.279819675324675,0.7687874121181426
0.5153,0.731467,1.2944,0.7681895000000001,1.2898654545454544,0.7683617769016006
