Wavelength (µm) raw,Pigeonite hs199.17843 raw,Wavelength (µm) bin avg,Pigeonite hs199.17843 bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199.17843 cubic spline of bin avg
0.3831,0.12756,0.83528,0.176178,0.9105596698113209,0.16134434021647218
0.3851,0.128903,0.85524,0.173024,0.9224709433962266,0.16233327794535068
0.3871,0.130385,0.8752,0.17331,0.9343822169811322,0.15653604029136714
0.3891,0.132452,0.88518,0.167971,0.9462934905660378,0.156906511104618
0.3911,0.133661,0.89517,0.165944,0.9582047641509435,0.15513604064156689
0.3931,0.133791,0.90515,0.163066,0.9701160377358491,0.15556054733646668
0.3951,0.134751,0.91513,0.160929,0.9820273113207547,0.15472663863725422
0.3971,0.133492,0.92511,0.162061,0.9939385849056606,0.15420077182541847
0.3991,0.135575,0.93509,0.156285,1.0058498584905662,0.15351286810865045
0.4011,0.137636,0.94507,0.1570205,1.0177611320754718,0.15362570964539474
0.4031,0.136558,0.95505,0.154798,1.0296724056603774,0.15562970493335393
0.4051,0.140101,0.96503,0.156474,1.041583679245283,0.15680747190735583
0.4071,0.13846,0.97501,0.154377,1.053494952830189,0.15730604940466195
0.4091,0.139194,0.98499,0.154974,1.0654062264150945,0.1585581723040598
0.4111,0.139974,0.99497,0.154103,1.0773175000000001,0.15913843751870035
0.4128,0.140324,1.00496,0.153618,1.0892287735849058,0.16058977289380696
0.4158,0.142064,1.01494,0.15292650000000002,1.1011400471698114,0.16380637370870232
0.4188,0.141129,1.02492,0.1557355,1.113051320754717,0.16641309845861554
0.4218,0.144358,1.0349,0.1553335,1.1249625943396229,0.1670891589672839
0.4248,0.143867,1.04488,0.1574995,1.1368738679245285,0.16867419219722893
0.4278,0.143594,1.05486,0.157275,1.1487851415094341,0.17042730053370608
0.4308,0.145448,1.06484,0.15846949999999999,1.1606964150943397,0.17249037641331644
0.4338,0.146181,1.07482,0.1592865,1.1726076886792454,0.17308329784698698
0.4368,0.1473,1.0848,0.1592005,1.184518962264151,0.17447992038117668
0.4398,0.148405,1.09478,0.16267700000000002,1.1964302358490568,0.17479239917680575
0.4428,0.150081,1.10477,0.16435650000000002,1.2083415094339625,0.17660138855231647
0.4458,0.148846,1.11475,0.16669699999999998,1.220252783018868,0.17778528353560602
0.4488,0.15078,1.12473,0.1670645,1.2321640566037737,0.17908166654890184
0.4513,0.150082,1.13471,0.16865449999999998,1.2440753301886793,0.18027099694725982
0.4533,0.150321,1.14469,0.16892600000000002,1.255986603773585,0.18079984678016187
0.4553,0.153714,1.15467,0.17260350000000002,1.2678978773584908,0.1835847323138903
0.4573,0.154082,1.16465,0.172101,1.2798091509433964,0.18490830078857187
0.4593,0.152983,1.17463,0.1734755,1.291720424528302,0.18501929083676824
0.4613,0.15635,1.18461,0.1744805,1.3036316981132077,0.1877134707586218
0.4633,0.15386,1.19459,0.1745265,1.3155429716981133,0.18863788430480383
0.4653,0.156979,1.20458,0.1763665,1.327454245283019,0.18965552229406882
0.4673,0.157923,1.21456,0.17682900000000001,1.3393655188679248,0.19089492363010227
0.4693,0.156174,1.22454,0.17854799999999998,1.3512767924528304,0.19280525500828338
