Wavelength (µm) raw,Orthoclase nmnh142137.17360 raw,Wavelength (µm) bin avg,Orthoclase nmnh142137.17360 bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmnh142137.17360 cubic spline of bin avg
1.60699,0.735015,1.60381,0.7354624999999999,1.60381,0.7354624999999999
1.60749,0.735262,1.6138,0.7380921999999999,1.615089349593496,0.7386229347063091
1.60799,0.735509,1.62378,0.7424976499999998,1.626368699186992,0.7435840974384844
1.60849,0.736064,1.63376,0.7464007894736844,1.6376480487804879,0.7477818649412263
1.60899,0.736249,1.64374,0.7497250526315787,1.6489273983739836,0.7511070931510356
1.60949,0.736249,1.65372,0.7524026842105264,1.6602067479674796,0.754515252596855
1.60999,0.736311,1.6637,0.7557301052631582,1.6714860975609755,0.7583660372108945
1.61049,0.736558,1.67368,0.7591070555555555,1.6827654471544715,0.7622403286504793
1.61099,0.736805,1.68366,0.7625507368421053,1.6940447967479675,0.7659364029849074
1.61149,0.73699,1.69364,0.7658195000000002,1.7053241463414635,0.7687463986484412
1.61199,0.737237,1.70362,0.7683506470588235,1.7166034959349592,0.7714100920048693
1.61249,0.737731,1.7136,0.7706832777777778,1.7278828455284552,0.773954411973041
1.61299,0.737669,1.72359,0.7730501176470589,1.7391621951219511,0.776565589453147
1.61349,0.737916,1.73357,0.7751729999999999,1.750441544715447,0.7795606876782158
1.614,0.73804,1.74355,0.7777352352941177,1.761720894308943,0.7825360995218115
1.6145,0.73841,1.75353,0.7803752352941176,1.773000243902439,0.7853513661103609
1.615,0.738904,1.76351,0.7830021875,1.7842795934959348,0.7874960797727341
1.6155,0.739089,1.77349,0.7854635294117646,1.7955589430894308,0.7888423071353216
1.61601,0.738966,1.78347,0.7873816250000001,1.8068382926829267,0.7902791913577837
1.61651,0.739213,1.79345,0.78857025,1.8181176422764227,0.7916599109860218
1.61702,0.739707,1.80343,0.7899014375000001,1.8293969918699187,0.7932953326112014
1.61752,0.739892,1.81341,0.7909973749999998,1.8406763414634146,0.794714641950116
1.61803,0.739707,1.8234,0.7924657333333333,1.8519556910569106,0.7960738914773308
1.61853,0.740201,1.83338,0.7938053846153846,1.8632350406504066,0.7973777089951978
1.61904,0.74051,2.00305,0.8093312000000001,1.8745143902439023,0.7986270834769396
1.61954,0.740571,2.01303,0.8100573076923077,1.8857937398373983,0.7998230038957787
1.62005,0.740633,2.02301,0.81126875,1.8970730894308943,0.8009664592249376
1.62055,0.741127,2.033,0.8123415384615383,1.9083524390243902,0.8020584384376387
1.62106,0.741312,2.04298,0.8131775,1.919631788617886,0.8030999305071047
1.62157,0.741497,2.05296,0.8138360833333335,1.930911138211382,0.8040919244065579
1.62208,0.741744,2.06294,0.8141653846153846,1.942190487804878,0.8050354091092208
1.62258,0.74193,2.07292,0.8140521666666669,1.9534698373983739,0.805931373588316
1.62309,0.742177,2.0829,0.8137949166666668,1.9647491869918698,0.806780806817066
1.6236,0.742177,2.09288,0.8135592727272729,1.9760285365853658,0.8075846977686931
1.62411,0.742609,2.10286,0.8133420833333335,1.9873078861788618,0.8083440354164199
1.62462,0.743041,2.11284,0.81368675,1.9985872357723578,0.8090598087334688
1.62513,0.743535,2.12282,0.8141204545454546,2.0098665853658537,0.8097785747936068
1.62564,0.743658,2.13281,0.8148600000000003,2.0211459349593497,0.8110340905830915
1.62615,0.743535,2.14279,0.8156416363636363,2.032425284552845,0.8122873310408811
1.62666,0.74372,2.15277,0.8161804545454546,2.0437046341463416,0.8132319602435174
1.62717,0.743658,2.16275,0.8166069999999999,2.054983983739837,0.8139365400069938
1.62768,0.74372,2.17273,0.8166012727272727,2.066263333333333,0.8141672881823425
1.62819,0.744276,2.18271,0.8160569999999999,2.077542682926829,0.8139325539867597
1.6287,0.744523,2.19269,0.8153944545454546,2.088822032520325,0.8136638643765781
1.62921,0.74477,2.20267,0.8145358000000001,2.100101382113821,0.8133571789410328
1.62973,0.745017,2.21265,0.8139014545454544,2.111380731707317,0.8136224300389004
1.63024,0.745017,2.22263,0.8135602000000001,2.122660081300813,0.8141114832791331
1.63075,0.745325,2.23262,0.8133962727272729,2.133939430894309,0.814954565637802
1.63126,0.74551,2.2426,0.8135603000000001,2.145218780487805,0.8157916591795702
1.63178,0.745757,2.25258,0.8140232999999999,2.156498130081301,0.8163625640934873
1.63229,0.745943,2.26256,0.8145914000000001,2.167777479674797,0.8166788509311896
1.6328,0.745819,2.27254,0.8149740000000001,2.1790568292682924,0.8162873867530289
1.63332,0.746004,2.28252,0.8152889000000002,2.1903361788617888,0.8155685667031115
1.63383,0.746251,2.2925,0.8150729999999999,2.2016155284552843,0.814623012902931
1.63435,0.746498,2.30248,0.8143937000000001,2.2128948780487803,0.8138901379014047
1.63486,0.746807,2.31246,0.8142889000000002,2.2241742276422762,0.813521509561029
1.63538,0.746869,2.32244,0.8139595555555555,2.235453577235772,0.8134065947407226
1.6359,0.747301,2.33242,0.8133133000000001,2.246732926829268,0.8137225935097032
1.63641,0.747424,2.34241,0.8125533333333332,2.258012276422764,0.8143450602400275
1.63693,0.747671,2.35239,0.8120526666666668,2.26929162601626,0.8148580033717429
1.63745,0.74798,2.36237,0.8121585999999998,2.280570975609756,0.8152522889375201
1.63796,0.747857,2.37235,0.8121895555555554,2.291850325203252,0.8151103153643506
1.63848,0.747795,2.38233,0.8128345555555556,2.303129674796748,0.8143691599318038
1.639,0.748289,2.39231,0.813342,2.314409024390244,0.8142607024103312
1.63952,0.748474,2.40229,0.8139940000000001,2.3256883739837395,0.8137741425357214
