Wavelength (µm) raw,Augite ws592.3259 raw,Wavelength (µm) bin avg,Augite ws592.3259 bin avg,Wavelength (µm) cubic spline of bin avg,Augite ws592.3259 cubic spline of bin avg
1.48373,0.489986,1.48404,0.49070838461538463,1.48404,0.49070838461538463
1.48415,0.490083,1.49402,0.49344091304347815,1.4940209933774835,0.4934412490717392
1.48458,0.490567,1.504,0.49710378260869564,1.504001986754967,0.49710453345051187
1.48501,0.490567,1.51399,0.5007139999999999,1.5139829801324503,0.5007116463773008
1.48543,0.490615,1.52397,0.5037859545454545,1.5239639735099337,0.5037842152528981
1.48586,0.49047,1.53395,0.5067728636363636,1.5339449668874172,0.5067711945841832
1.48628,0.490277,1.54393,0.5103933181818182,1.5439259602649007,0.5103918193596244
1.48671,0.490809,1.55391,0.514049523809524,1.5539069536423842,0.5140483915679902
1.48714,0.491099,1.56389,0.5177639999999999,1.5638879470198677,0.5177632651834874
1.48756,0.491003,1.57387,0.5210566666666666,1.573868940397351,0.5210563456071169
1.48799,0.491099,1.58385,0.5237755714285713,1.5838499337748344,0.5237755557215333
1.48842,0.491244,1.59383,0.5259707499999998,1.5938309271523179,0.5259709590549965
1.48884,0.49139,1.60381,0.52843135,1.6038119205298014,0.5284318501932177
1.48927,0.491583,1.6138,0.5310564500000001,1.6137929139072849,0.5310546025083234
1.4897,0.492019,1.62378,0.53358235,1.6237739072847681,0.5335808615647918
1.49013,0.492503,1.63376,0.5358693157894737,1.6337549006622516,0.5358682506176949
1.49056,0.492551,1.64374,0.537634157894737,1.643735894039735,0.5376335903683208
1.49099,0.492841,1.65372,0.5386935789473685,1.6537168874172186,0.5386933072151667
1.49141,0.493035,1.6637,0.5395569473684211,1.663697880794702,0.5395567553860597
1.49184,0.492454,1.67368,0.5405016666666669,1.6736788741721855,0.5405015610187106
1.49227,0.492212,1.68366,0.5414288421052632,1.6836598675496688,0.5414288292917905
1.4927,0.492696,1.69364,0.5422974444444445,1.6936408609271523,0.5422974952408944
1.49313,0.492841,1.70362,0.5425567058823529,1.7036218543046358,0.5425567175089805
1.49356,0.493083,1.7136,0.5425689444444445,1.7136028476821192,0.5425689373864067
1.49399,0.493277,1.72359,0.5423402352941176,1.7235838410596027,0.5423406129922379
1.49442,0.493422,1.73357,0.5414908333333334,1.733564834437086,0.5414912268092672
1.49485,0.493567,1.74355,0.5409284705882353,1.7435458278145695,0.5409287142554072
1.49528,0.493906,1.75353,0.5401799411764707,1.753526821192053,0.5401802089997358
1.49572,0.494196,1.76351,0.5392946875000001,1.7635078145695364,0.5392948966215
1.49615,0.494293,1.77349,0.5381958823529412,1.77348880794702,0.5381960365928865
1.49658,0.494003,1.78347,0.5367088125,1.7834698013245034,0.5367088450934415
1.49701,0.494148,1.79345,0.5349456875,1.7934507947019869,0.5349455353898257
1.49744,0.494728,1.80343,0.53282875,1.8034317880794701,0.5328283267851219
1.49788,0.494922,1.81341,0.5303488125000001,1.8134127814569536,0.5303481346888879
1.49831,0.495116,1.8234,0.5279716666666666,1.823393774834437,0.5279732097156069
1.49874,0.495745,1.83338,0.525292125,1.8333747682119206,0.5252936113566539
1.49918,0.495696,1.84336,0.5226424,1.8433557615894038,0.5226433227077538
1.49961,0.495406,1.85334,0.5207101333333333,1.8533367549668873,0.520710855497139
1.50005,0.495212,1.86332,0.5175390666666666,1.8633177483443708,0.51754002607024
1.50048,0.495309,1.8733,0.5130713571428572,1.8732987417218543,0.5130718217178497
1.50091,0.495745,1.88328,0.5096934,1.8832797350993378,0.509693520668843
1.50135,0.496229,1.89326,0.5031445714285715,1.8932607284768213,0.5031439939730127
1.50178,0.496277,1.90324,0.4959576,1.9032417218543047,0.4959567344777
1.50222,0.496761,1.91322,0.49328357142857154,1.913222715231788,0.49328313529351825
1.50265,0.496858,1.92321,0.49160400000000004,1.9232037086092715,0.4916050253227634
1.50309,0.496809,1.93319,0.4900139285714285,1.933184701986755,0.4900148284804725
1.50353,0.496567,1.94317,0.48803592307692306,1.9431656953642384,0.48803691360781426
1.50396,0.496616,1.95315,0.4854342857142857,1.9531466887417217,0.4854352336456624
1.5044,0.497051,1.96313,0.4823111538461538,1.9631276821192052,0.482311954933036
1.50483,0.497535,1.97311,0.4787464285714286,1.9731086754966887,0.4787468810461453
1.50527,0.497535,1.98309,0.4755628461538461,1.9830896688741722,0.47556295094758577
1.50571,0.497777,1.99307,0.4723094615384615,1.9930706622516556,0.47230924469333585
1.50615,0.498116,2.00305,0.46918284615384614,2.003051655629139,0.46918236336107505
1.50658,0.498406,2.01303,0.46645807692307695,2.0130326490066226,0.4664573748021215
1.50702,0.498309,2.02301,0.4637393333333333,2.023013642384106,0.4637382969981132
1.50746,0.498503,2.033,0.4607929230769231,2.0329946357615896,0.4607945266624388
1.5079,0.4986,2.04298,0.45781975,2.0429756291390726,0.45782105371519777
1.50834,0.498987,2.05296,0.45470674999999994,2.0529566225165565,0.45470788976404414
1.50878,0.499083,2.06294,0.45107415384615385,2.0629376158940396,0.45107505877961673
1.50921,0.499035,2.07292,0.4472830833333333,2.072918609271523,0.4472836059835247
1.50965,0.499083,2.0829,0.4436419166666666,2.0828996026490065,0.4436420562691167
1.51009,0.499471,2.09288,0.4402293636363637,2.09288059602649,0.440229161452924
1.51053,0.499858,2.10286,0.43696825,2.1028615894039735,0.43696777651935675
1.51097,0.499858,2.11284,0.43401141666666665,2.112842582781457,0.43401054290119473
1.51141,0.499761,2.12282,0.4301093636363636,2.1228235761589405,0.43010789472299504
