Wavelength (µm) raw,Sanidine gds19.19876 raw,Wavelength (µm) bin avg,Sanidine gds19.19876 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19876 cubic spline of bin avg
1.50353,0.772231,1.504,0.7725616153846153,1.504,0.7725616153846153
1.50396,0.772554,1.51399,0.773610304347826,1.5139810067114094,0.7736095108353938
1.5044,0.7725,1.52397,0.7747658636363636,1.523962013422819,0.7747645426456188
1.50483,0.772178,1.53395,0.7772832727272726,1.5339430201342281,0.777280802251758
1.50527,0.772231,1.54393,0.7814421363636364,1.5439240268456376,0.7814395955937609
1.50571,0.772124,1.55391,0.7853997142857142,1.553905033557047,0.785397805014115
1.50615,0.772339,1.56389,0.7891433809523809,1.5638860402684565,0.7891419873893579
1.50658,0.7725,1.57387,0.7923070476190477,1.5738670469798657,0.7923062082258412
1.50702,0.772714,1.58385,0.7950235238095238,1.5838480536912751,0.795022981384782
1.50746,0.772875,1.59383,0.7982371500000002,1.5938290604026846,0.7982367896151268
1.5079,0.773036,1.60381,0.8025839999999999,1.603810067114094,0.8025840308556569
1.50834,0.772983,1.6138,0.8070651,1.6137910738255035,0.8070612634059535
1.50878,0.773036,1.62378,0.8110227999999999,1.6237720805369127,0.8110199769873867
1.50921,0.773197,1.63376,0.8141575263157895,1.6337530872483221,0.8141556148502491
1.50965,0.773305,1.64374,0.8166403684210525,1.6437340939597316,0.8166390320642747
1.51009,0.772929,1.65372,0.8188971052631581,1.653715100671141,0.8188959138484515
1.51053,0.772983,1.6637,0.8217185789473683,1.6636961073825502,0.8217173042961607
1.51097,0.773251,1.67368,0.8252191666666667,1.6736771140939597,0.8252181642761296
1.51141,0.773573,1.68366,0.8284969999999999,1.6836581208053691,0.8284963971491236
1.51186,0.773788,1.69364,0.8314561111111112,1.6936391275167786,0.8314558979679374
1.5123,0.773627,1.70362,0.8332575294117647,1.703620134228188,0.833257547272909
1.51274,0.773358,1.7136,0.8344347222222223,1.7136011409395973,0.8344348577936502
