Wavelength (nm),Pigeonite hs199 spliced
1513.5,0.20558
1518.5,0.205744
1523.5,0.203121
1528.5,0.205105
1534.0,0.202129
1540.0,0.2083
1546.0,0.205897
1552.0,0.203454
1558.0,0.204971
1564.0,0.205712
1570.5,0.204836
1577.5,0.20371
1584.5,0.203544
1591.5,0.203678
1598.5,0.202614
1605.5,0.204658
1612.5,0.201575
1619.5,0.200686
1626.5,0.200219
1633.5,0.199918
1640.5,0.200198
1647.5,0.199747
1654.5,0.196941
1661.5,0.199702
1668.5,0.196699
1676.0,0.195775
1684.0,0.1973
1692.0,0.193234
1700.0,0.195208
1708.0,0.195256
1716.0,0.194152
1724.0,0.192795
1732.0,0.18865
1740.0,0.190962
1748.0,0.190888
1756.0,0.189168
1764.0,0.189727
1772.0,0.1888
1780.0,0.188673
1788.0,0.188548
1796.0,0.184113
1805.0,0.185358
1815.0,0.185084
1825.0,0.185697
1835.0,0.182893
1845.0,0.180297
1855.0,0.182877
1865.0,0.180461
1875.0,0.182114
1885.0,0.17958
1895.0,0.177423
1905.0,0.174679
1915.0,0.179187
1925.0,0.174379
1935.0,0.175723
1945.0,0.176504
1955.0,0.175437
1965.0,0.174946
1975.0,0.173504
1985.0,0.178306
1995.0,0.174645
2005.0,0.175088
2015.0,0.176954
2025.0,0.176379
2035.0,0.176944
2045.0,0.176157
2055.0,0.178327
2065.0,0.175834
2075.0,0.172553
2085.0,0.174366
2095.0,0.174001
2105.0,0.177019
2115.0,0.176583
2125.0,0.176666
2135.0,0.181494
2145.0,0.180052
2155.0,0.178399
2165.0,0.175584
2175.0,0.180334
2185.0,0.178498
2195.0,0.176369
2205.0,0.176585
2215.0,0.180171
2225.0,0.180932
2235.0,0.178918
2245.0,0.181383
2255.0,0.181899
2265.0,0.182676
2275.0,0.178754
2285.0,0.180353
2295.0,0.181696
2305.0,0.179006
2315.0,0.183215
2325.0,0.182427
2335.0,0.180616
2345.0,0.178365
2355.0,0.185261
2365.0,0.184495
2375.0,0.186536
2386.0,0.193993
2400.0,0.191595
2418.0,0.190593
2440.0,0.19482
2466.0,0.195567
2496.0,0.20313
2528.0,0.203127
2560.0,0.206631
2592.0,0.211189
2597.271,0.211162
2598.573,0.20992
2599.876,0.210315
2601.181,0.211049
2602.487,0.211896
2603.794,0.213194
2605.102,0.215
2606.412,0.214323
2607.723,0.212855
2609.035,0.212573
2610.349,0.211839
2611.664,0.211275
2612.981,0.21167
2614.299,0.211444
2615.618,0.213476
2616.938,0.215282
2618.26,0.213589
2619.583,0.214605
2620.907,0.214774
2622.233,0.212008
2623.56,0.211388
2624.888,0.212347
2626.217,0.214661
2627.548,0.213645
2628.881,0.213984
2630.215,0.216524
2631.55,0.214549
2632.886,0.213137
2634.224,0.213363
2635.564,0.212291
2636.904,0.212008
2638.246,0.211896
2639.59,0.212121
2640.934,0.212291
2642.28,0.212573
2643.628,0.212686
2644.976,0.213589
2646.327,0.21342
2647.678,0.212573
2649.031,0.212121
2650.386,0.212573
2651.741,0.213533
2653.098,0.21325
2654.457,0.212855
2655.817,0.213137
2657.177,0.212065
2658.54,0.212855
2659.904,0.213363
2661.27,0.212912
2662.637,0.212799
2664.005,0.215282
2665.375,0.217709
2666.745,0.217145
2668.118,0.214492
2669.492,0.216468
2670.867,0.216693
2672.244,0.21167
2673.622,0.210372
2675.002,0.211613
2676.383,0.212912
2677.765,0.212291
2679.15,0.211218
2680.535,0.20834
2681.922,0.206816
2683.31,0.206703
2684.7,0.205799
2686.09,0.205122
2687.483,0.204163
2688.877,0.202808
2690.272,0.201453
2691.669,0.201115
2693.067,0.202356
2694.467,0.201961
2695.868,0.199365
2697.27,0.196542
2698.674,0.19451
2700.08,0.193833
2701.487,0.192535
2702.896,0.189825
2704.306,0.187342
2705.717,0.185141
2707.13,0.182883
2708.544,0.181189
2709.96,0.179327
2711.378,0.17498
2712.797,0.168489
2714.217,0.163353
2715.639,0.157539
2717.062,0.150144
2718.487,0.143597
2719.913,0.141508
2721.341,0.138912
2722.77,0.13671
2724.2,0.136259
2725.633,0.133324
2727.067,0.127792
2728.502,0.12147
2729.939,0.116277
2731.377,0.114527
2732.817,0.115431
2734.258,0.116616
2735.701,0.116052
2737.146,0.115035
2738.592,0.115374
2740.039,0.114584
2741.488,0.110633
2742.939,0.10623
2744.391,0.104762
2745.844,0.10544
2747.299,0.105948
2748.756,0.105553
2750.214,0.104932
2751.674,0.10448
2753.135,0.104367
2754.598,0.105214
2756.062,0.10465
2757.528,0.102222
2758.996,0.100981
2760.465,0.101319
2761.936,0.102561
2763.408,0.103069
2764.882,0.102674
2766.357,0.10273
2767.834,0.103013
2769.313,0.103069
2770.793,0.103408
2772.275,0.103408
2773.758,0.103238
2775.243,0.103351
2776.73,0.103577
2778.218,0.10369
2779.707,0.104085
2781.199,0.10448
2782.691,0.10448
2784.185,0.104593
2785.681,0.105214
2787.179,0.105948
2788.678,0.105778
2790.179,0.105214
2791.682,0.104988
2793.186,0.105327
2794.692,0.105496
2796.2,0.105496
2797.709,0.105496
2799.219,0.105553
2800.731,0.105778
2802.245,0.106286
2803.761,0.106343
2805.278,0.105948
2806.797,0.105778
2808.318,0.105778
2809.84,0.105722
2811.363,0.105609
2812.889,0.105722
2814.416,0.106061
2815.945,0.105891
2817.475,0.105722
2819.007,0.105835
2820.54,0.105835
2822.076,0.105609
2823.613,0.105609
2825.152,0.105722
2826.692,0.105778
2828.234,0.105948
2829.778,0.105778
2831.324,0.105778
2832.871,0.106004
2834.42,0.106004
2835.971,0.106004
2837.523,0.106061
2839.077,0.106117
2840.632,0.106117
2842.19,0.106061
2843.749,0.105948
2845.31,0.106061
2846.872,0.105948
2848.437,0.105891
2850.003,0.105891
2851.57,0.105778
2853.14,0.105722
2854.711,0.105778
2856.283,0.105778
2857.857,0.105778
2859.434,0.105609
2861.012,0.105383
2862.592,0.10527
2864.173,0.105158
2865.757,0.105101
2867.342,0.105101
2868.929,0.105158
2870.517,0.105214
2872.108,0.10527
2873.699,0.10527
2875.293,0.10527
2876.889,0.105383
2878.486,0.105496
2880.085,0.105496
2881.686,0.105553
2883.289,0.105722
2884.893,0.105609
2886.499,0.10544
2888.107,0.105553
2889.717,0.105553
2891.329,0.105609
2892.942,0.105609
2894.558,0.105496
