Wavelength (µm)	ALH-271, spot f
1.8900	0.085352
1.8950	0.085126
1.9000	0.084436
1.9050	0.084621
1.9100	0.084589
1.9150	0.084107
1.9200	0.083971
1.9250	0.084186
1.9300	0.083796
1.9350	0.083883
1.9400	0.083557
1.9450	0.083427
1.9500	0.083164
1.9550	0.083010
1.9600	0.082965
1.9650	0.082860
1.9700	0.083119
1.9750	0.083118
1.9800	0.082994
1.9850	0.083133
1.9900	0.083082
1.9950	0.083060
2.0000	0.083217
2.0050	0.083287
2.0100	0.083549
2.0150	0.083642
2.0200	0.083581
2.0250	0.083935
2.0300	0.084068
2.0350	0.084346
2.0400	0.084463
2.0450	0.084723
2.0500	0.084844
2.0550	0.085082
2.0600	0.085536
2.0650	0.085483
2.0700	0.085841
2.0750	0.086173
2.0800	0.086366
2.0850	0.086645
2.0900	0.087071
2.0950	0.087476
2.1000	0.087852
2.1050	0.088021
2.1100	0.088629
2.1150	0.088999
2.1200	0.089145
2.1250	0.089578
2.1300	0.090169
2.1350	0.090311
2.1400	0.091011
2.1450	0.091282
2.1500	0.091996
2.1550	0.092343
2.1600	0.092843
2.1650	0.093148
2.1700	0.093767
2.1750	0.094315
2.1800	0.095227
2.1850	0.095656
2.1900	0.096448
2.1950	0.096760
2.2000	0.097344
2.2050	0.098143
2.2100	0.098950
2.2150	0.099530
2.2200	0.10018
2.2250	0.10079
2.2300	0.10126
2.2350	0.10222
2.2400	0.10272
2.2450	0.10354
2.2500	0.10411
2.2550	0.10503
2.2600	0.10562
2.2650	0.10620
2.2700	0.10701
2.2750	0.10799
2.2800	0.10857
2.2850	0.10909
2.2900	0.10986
2.2950	0.11075
2.3000	0.11129
2.3050	0.11211
2.3100	0.11298
2.3150	0.11368
2.3200	0.11427
2.3250	0.11489
2.3300	0.11574
2.3350	0.11643
2.3400	0.11716
2.3450	0.11799
2.3500	0.11863
2.3550	0.11929
2.3600	0.12009
2.3650	0.12084
2.3700	0.12231
2.3750	0.12299
2.3800	0.12400
2.3850	0.12474
2.3900	0.12553
2.3950	0.12624
2.4000	0.12693
2.4050	0.12782
2.4100	0.12861
2.4150	0.12933
2.4200	0.13019
2.4250	0.13122
2.4300	0.13194
2.4350	0.13207
2.4400	0.13311
2.4450	0.13345
2.4500	0.13402
2.4550	0.13473
2.4600	0.13527
2.4650	0.13605
2.4700	0.13642
2.4750	0.13771
2.4800	0.13792
2.4850	0.13844
2.4900	0.13899
2.4950	0.13944
2.5000	0.14018
2.5020	0.14078
2.5032	0.14040
2.5044	0.14041
2.5056	0.14015
2.5068	0.13969
2.5080	0.14009
2.5093	0.14149
2.5105	0.14207
2.5117	0.14162
2.5129	0.14081
2.5141	0.14188
2.5153	0.14209
2.5166	0.14208
2.5178	0.14234
2.5190	0.14246
2.5202	0.14153
2.5215	0.14128
2.5227	0.14202
2.5239	0.14233
2.5252	0.14150
2.5264	0.14089
2.5276	0.14096
2.5288	0.14173
2.5301	0.14230
2.5313	0.14273
2.5326	0.14348
2.5338	0.14315
2.5350	0.14246
2.5363	0.14198
2.5375	0.14279
2.5388	0.14352
2.5400	0.14195
2.5412	0.14160
2.5425	0.14247
2.5437	0.14269
2.5450	0.14285
2.5462	0.14345
2.5475	0.14336
2.5487	0.14331
2.5500	0.14314
2.5512	0.14226
2.5525	0.14153
2.5538	0.14162
2.5550	0.14234
2.5563	0.14252
2.5575	0.14258
2.5588	0.14313
