M3 Wavelengths (µm)	M3t augite spliced	M3t Augite WS592 BECKb	M3t Augite WS592 NIC4cc	M3t Orthoclase spliced	M3t Orthoclase NMNH142137 BECKb	M3t Orthoclase NMNH142137 NIC4bb	M3t Pigeonite HS199.1B ASDFRb	M3t Pigeonite HS199.2B ASDFRc	M3t Pigeonite HS199.3B ASDFRc	M3t Pigeonite HS199.4B ASDFRd	M3t Pigeonite HS199.3B BECKc	M3t Pigeonite HS199.3B NIC4cc
1.1647		0.36223			0.77079		0.32654	0.3344	0.18543	0.11662	0.17213	
1.1746		0.37128			0.77102		0.32697	0.3362	0.18645	0.11704	0.17334	
1.1846		0.37889			0.77117		0.32744	0.33788	0.18751	0.11748	0.1743	
1.1946		0.38434			0.7702		0.3277	0.33926	0.18841	0.11776	0.17443	
1.2046		0.39131			0.76914		0.32799	0.34086	0.18956	0.11823	0.17604	
1.2146		0.39902			0.76863		0.3283	0.34232	0.19057	0.11882	0.17706	
1.2245		0.40348			0.76805		0.32835	0.34376	0.19154	0.11929	0.17812	
1.2345		0.40956			0.76769		0.32842	0.34513	0.1926	0.11987	0.17913	
1.2445		0.41465			0.76772		0.32892	0.34663	0.19374	0.12058	0.18031	
1.2545		0.42095			0.76809		0.32931	0.34821	0.19483	0.12103	0.18073	
1.2645		0.42519			0.76804		0.32955	0.34982	0.1961	0.12169	0.18233	
1.2744		0.43025			0.76837		0.32964	0.35103	0.1972	0.12233	0.18438	
1.2844		0.43546			0.76824		0.33005	0.35244	0.19838	0.12294	0.18461	
1.2944		0.43964			0.76859		0.33018	0.35375	0.19957	0.12356	0.18528	
1.3044		0.44481			0.76863		0.33023	0.35506	0.20083	0.12423	0.18741	
1.3144		0.4512			0.76931		0.33055	0.35646	0.20226	0.12506	0.18854	
1.3244		0.45443			0.76891		0.33081	0.35767	0.20354	0.12572	0.18952	
1.3343		0.4577			0.76991		0.33077	0.35902	0.2048	0.12639	0.18996	
1.3443		0.46259			0.76938		0.3308	0.36019	0.20601	0.1272	0.19168	
1.3543		0.46555			0.76916		0.33112	0.36148	0.20752	0.12796	0.19263	
1.3643		0.47103			0.77082		0.33147	0.36291	0.20899	0.12896	0.19381	
1.3743		0.47539			0.77179		0.33153	0.36397	0.21017	0.12955	0.19497	
1.3842		0.47602			0.77208		0.33163	0.36454	0.21072	0.12967	0.19619	
1.3942		0.48029			0.77378		0.33134	0.36442	0.21032	0.12881	0.1957	
1.4042		0.48404			0.773		0.3314	0.36434	0.20995	0.12761	0.19452	
1.4142		0.48682			0.77459		0.33147	0.36576	0.21121	0.12797	0.19619	
1.4242		0.49318			0.77672		0.33176	0.36718	0.21352	0.13036	0.19876	
1.4341		0.49664			0.77716		0.33202	0.36834	0.21511	0.13199	0.20061	
1.4441		0.50186			0.77857		0.33196	0.3693	0.21615	0.13273	0.20176	
1.4541		0.50632			0.77966		0.33197	0.37004	0.21712	0.13333	0.20264	
1.4641		0.51102			0.7808		0.33216	0.3706	0.21786	0.13358	0.20397	
1.4741		0.51444			0.78136		0.33209	0.37109	0.21823	0.13364	0.20329	
1.484		0.5188	0.4907		0.78337		0.33179	0.37162	0.21875	0.134	0.20377	
1.494		0.52371	0.49345		0.78324		0.33166	0.37228	0.21946	0.13483	0.20498	
1.504		0.52628	0.49711		0.78328		0.33147	0.37255	0.21978	0.13527	0.20453	
1.514		0.52868	0.50066		0.78524		0.33141	0.37305	0.22015	0.13559	0.20488	
1.524		0.53187	0.50372		0.78659		0.33129	0.37319	0.22019	0.13561	0.20429	
1.534		0.53531	0.50684		0.78728		0.33108	0.37362	0.22022	0.13564	0.20439	
1.5439		0.54038	0.51033		0.78776		0.331	0.37355	0.22021	0.13568	0.20626	
1.5539		0.5429	0.51403		0.78893		0.33089	0.37373	0.22007	0.13572	0.20443	
1.5639		0.54537	0.51771		0.7905		0.33042	0.37392	0.21972	0.13562	0.20531	
1.5739		0.54606	0.52101		0.78978		0.32996	0.37378	0.21942	0.13542	0.20432	
1.5839		0.54746	0.52371		0.79213		0.32984	0.37342	0.21911	0.13524	0.20362	
1.5938		0.55051	0.526		0.79146		0.32935	0.37319	0.21849	0.13493	0.20327	
1.6038		0.55186	0.52844		0.79138		0.32908	0.37261	0.21777	0.13454	0.20365	
1.6138		0.55381	0.53106		0.79229		0.32865	0.37212	0.21711	0.13419	0.2017	
1.6238		0.55461	0.53358		0.79279		0.32819	0.37171	0.21645	0.13395	0.20042	
1.6338		0.55336	0.5358		0.79246		0.32777	0.37126	0.21567	0.13348	0.20003	
1.6437		0.55516	0.53753		0.79404		0.3272	0.37063	0.21477	0.13294	0.19988	
1.6537		0.55445	0.53868		0.79408		0.32672	0.36987	0.21401	0.13247	0.19813	
1.6637		0.55606	0.53956		0.79564		0.32631	0.36905	0.21318	0.13202	0.19831	
1.6737		0.55539	0.5405		0.79313		0.32576	0.36841	0.21224	0.13156	0.19616	
1.6837		0.55572	0.54141		0.79215		0.32516	0.36764	0.21128	0.13106	0.19642	
1.6936		0.55371	0.54221		0.79593		0.32484	0.36708	0.21045	0.13057	0.19409	
1.7036		0.55442	0.54255		0.80067		0.3244	0.36648	0.20961	0.13014	0.19524	
1.7136		0.55583	0.54254		0.79789		0.324	0.36551	0.20851	0.12964	0.19448	
1.7236		0.55418	0.54226		0.79893		0.32336	0.3645	0.20749	0.12905	0.19244	
1.7336		0.55232	0.54153		0.79721		0.32273	0.36363	0.20649	0.12862	0.18959	
1.7436		0.55066	0.54089		0.79863		0.32185	0.3624	0.20532	0.12791	0.19094	
1.7535		0.54816	0.54019		0.79902		0.32149	0.36145	0.20455	0.12748	0.18979	
1.7635		0.54468	0.5393		0.79763		0.32097	0.36059	0.20362	0.12697	0.18947	
1.7735		0.54526	0.53818		0.80035		0.32044	0.35968	0.20285	0.12655	0.18882	
1.7835		0.53906	0.5367		0.80048		0.32039	0.35873	0.20218	0.12621	0.18866	
1.7935		0.53725	0.53491		0.79963		0.32011	0.35785	0.20127	0.12568	0.18574	
1.8034		0.5344	0.5328		0.79889		0.31939	0.35706	0.20058	0.12531	0.1849	
1.8134		0.52883	0.53039		0.79976		0.31886	0.35619	0.19996	0.1251	0.18525	
1.8234		0.52711	0.52799		0.799		0.31822	0.35557	0.19936	0.12463	0.18552	
1.8334		0.52486	0.52536		0.80002		0.31798	0.35503	0.19875	0.12447	0.18346	
1.8434		0.52196	0.52284		0.80132		0.31783	0.35417	0.19822	0.12435	0.18072	
1.8533		0.5177	0.52048		0.80162		0.31748	0.35318	0.19743	0.12384	0.18229	
1.8633		0.51255	0.51744		0.80032		0.31713	0.35244	0.19687	0.12363	0.18106	
1.8733		0.50143	0.51331		0.80009		0.31665	0.35172	0.19609	0.12311	0.18165	
1.8833		0.49523	0.50918		0.79903		0.31571	0.35052	0.19503	0.12229	0.18017	
1.8933		0.48033	0.50287		0.79649		0.31541	0.34958	0.19385	0.12123	0.17776	
1.9032		0.46655	0.49649		0.79806		0.31479	0.34765	0.19225	0.12004	0.1752	0.17519
1.9132		0.46036	0.49329		0.79843		0.31417	0.34622	0.19101	0.11894	0.17815	0.17472
1.9232		0.46156	0.49166		0.79868		0.31335	0.34545	0.19055	0.1185	0.17558	0.17468
1.9332		0.46038	0.49001		0.79927		0.31277	0.34537	0.19028	0.11851	0.17521	0.17487
1.9432		0.45579	0.48795		0.79592		0.31262	0.34523	0.19011	0.11852	0.17645	0.17491
1.9532		0.45228	0.48535		0.79781		0.31283	0.34515	0.19007	0.11863	0.17566	0.1749
1.9631		0.45421	0.48218		0.80162		0.31259	0.34461	0.19006	0.11864	0.17503	0.17504
1.9731		0.45326	0.4788		0.80171	0.80836	0.31268	0.34419	0.18978	0.11861	0.17379	0.17513
1.9831		0.44649	0.47558		0.80359	0.80854	0.31247	0.34407	0.1898	0.11849	0.1772	0.17516
1.9931		0.44212	0.47235		0.80408	0.80881	0.31234	0.344	0.18999	0.11856	0.17566	0.1752
2.0031		0.43828	0.46927		0.80529	0.80928	0.31262	0.34459	0.1903	0.11861	0.17479	0.1753
2.013		0.43732	0.4665		0.80404	0.81009	0.31286	0.34488	0.19059	0.11892	0.17661	0.17547
2.023		0.43517	0.46372		0.80391	0.81123	0.3131	0.34536	0.19062	0.11918	0.17655	0.17566
2.033		0.43083	0.4608		0.80715	0.8123	0.31358	0.34613	0.19102	0.11939	0.17679	0.17594
2.043		0.42923	0.4578		0.80653	0.81317	0.31397	0.34636	0.19127	0.11943	0.17635	0.17609
2.053		0.42741	0.45459		0.80654	0.81382	0.31458	0.34725	0.19159	0.11963	0.17779	0.17637
2.0629		0.42141	0.45106		0.80766	0.8141	0.31546	0.34796	0.19217	0.1198	0.17654	0.17663
2.0729		0.41951	0.44741		0.80715	0.81404	0.31595	0.34838	0.19264	0.11989	0.17318	0.1767
2.0829		0.41457	0.44378		0.80802	0.81381	0.31672	0.34973	0.19305	0.11997	0.17386	0.17681
2.0929		0.4107	0.44025		0.80718	0.81356	0.3169	0.35002	0.19316	0.11994	0.17416	0.17699
2.1029		0.40704	0.43702		0.80904	0.81343	0.31748	0.35076	0.19347	0.11998	0.17625	0.17723
2.1128		0.4043	0.43393		0.81047	0.81367	0.31764	0.35122	0.19369	0.11989	0.17684	0.17739
