Wavelength (µm)	<125 µm (357)
6.0492	0.15551
6.0562	0.16174
6.0633	0.16762
6.0704	0.17187
6.0775	0.17634
6.0847	0.18089
6.0918	0.18439
6.0990	0.18720
6.1062	0.18977
6.1134	0.19177
6.1206	0.19401
6.1278	0.19602
6.1351	0.19710
6.1423	0.19806
6.1496	0.19896
6.1569	0.19966
6.1643	0.20018
6.1716	0.20062
6.1789	0.20068
6.1863	0.20066
6.1937	0.20101
6.2011	0.20105
6.2085	0.20075
6.2160	0.20056
6.2235	0.20019
6.2309	0.19982
6.2384	0.19941
6.2459	0.19888
6.2535	0.19829
6.2610	0.19792
6.2686	0.19755
6.2762	0.19728
6.2838	0.19711
6.2914	0.19719
6.2991	0.19734
6.3067	0.19765
6.3144	0.19815
6.3221	0.19874
6.3298	0.19918
6.3376	0.19947
6.3453	0.19962
6.3531	0.20022
6.3609	0.20044
6.3687	0.20003
6.3765	0.19986
6.3844	0.19974
6.3923	0.19942
6.4002	0.19921
6.4081	0.19886
6.4160	0.19864
6.4240	0.19924
6.4319	0.19928
6.4399	0.19898
6.4479	0.19883
6.4560	0.19853
6.4640	0.19830
6.4721	0.19786
6.4802	0.19759
6.4883	0.19723
6.4964	0.19689
6.5046	0.19690
6.5127	0.19665
6.5209	0.19598
6.5291	0.19594
6.5374	0.19591
6.5456	0.19571
6.5539	0.19562
6.5622	0.19571
6.5705	0.19548
6.5789	0.19545
6.5872	0.19564
6.5956	0.19530
6.6040	0.19502
6.6124	0.19454
6.6209	0.19388
6.6293	0.19328
6.6378	0.19250
6.6463	0.19210
6.6549	0.19157
6.6634	0.19058
6.6720	0.18968
6.6806	0.18893
6.6892	0.18822
6.6978	0.18745
6.7065	0.18634
6.7152	0.18531
6.7239	0.18437
6.7326	0.18331
6.7414	0.18213
6.7502	0.18078
6.7590	0.17944
6.7678	0.17812
6.7766	0.17694
6.7855	0.17592
6.7944	0.17504
6.8033	0.17447
6.8123	0.17394
6.8212	0.17356
6.8302	0.17345
6.8392	0.17357
6.8483	0.17362
6.8573	0.17352
6.8664	0.17348
6.8755	0.17373
6.8846	0.17337
6.8938	0.17269
6.9030	0.17195
6.9122	0.17109
6.9214	0.17008
6.9307	0.16884
6.9399	0.16748
6.9492	0.16606
6.9586	0.16449
6.9679	0.16309
6.9773	0.16169
6.9867	0.15991
6.9961	0.15808
7.0056	0.15625
7.0151	0.15449
7.0246	0.15274
7.0341	0.15118
7.0437	0.14973
7.0532	0.14886
7.0629	0.14842
7.0725	0.14794
7.0822	0.14766
7.0918	0.14764
7.1016	0.14758
7.1113	0.14737
7.1211	0.14699
7.1309	0.14647
7.1407	0.14576
7.1505	0.14488
7.1604	0.14391
7.1703	0.14288
7.1802	0.14203
7.1902	0.14115
7.2002	0.14027
7.2102	0.13958
7.2202	0.13903
7.2303	0.13862
7.2404	0.13831
7.2505	0.13805
7.2607	0.13789
7.2709	0.13762
7.2811	0.13726
7.2913	0.13692
7.3016	0.13633
7.3119	0.13552
7.3222	0.13442
7.3326	0.13314
7.3430	0.13185
7.3534	0.13051
7.3638	0.12906
7.3743	0.12775
7.3848	0.12653
7.3953	0.12541
7.4059	0.12428
7.4165	0.12314
7.4271	0.12198
7.4378	0.12082
7.4485	0.11951
7.4592	0.11820
7.4699	0.11689
7.4807	0.11563
7.4915	0.11446
7.5024	0.11347
7.5132	0.11240
7.5241	0.11136
7.5351	0.11043
7.5460	0.10959
7.5570	0.10889
7.5681	0.10844
7.5791	0.10808
7.5902	0.10789
7.6014	0.10782
7.6125	0.10783
7.6237	0.10785
7.6350	0.10787
7.6462	0.10775
7.6575	0.10766
7.6688	0.10744
7.6802	0.10703
7.6916	0.10668
7.7030	0.10635
7.7145	0.10585
7.7260	0.10528
7.7375	0.10463
7.7491	0.10391
7.7607	0.10312
7.7723	0.10233
7.7840	0.10145
7.7957	0.10068
7.8074	0.10010
7.8192	0.099562
7.8310	0.099040
7.8429	0.098723
7.8548	0.098401
7.8667	0.098009
7.8786	0.097550
7.8906	0.096925
7.9026	0.096258
7.9147	0.095640
7.9268	0.094896
7.9390	0.093956
7.9511	0.093007
7.9633	0.092029
7.9756	0.090975
7.9879	0.089888
8.0002	0.088526
8.0126	0.087048
8.0250	0.085509
8.0374	0.083986
8.0499	0.082535
8.0624	0.081075
8.0750	0.079559
8.0876	0.078085
8.1002	0.076656
8.1129	0.075212
8.1256	0.073713
8.1384	0.072159
8.1512	0.070539
8.1640	0.068894
8.1769	0.067283
8.1898	0.065835
8.2027	0.064517
8.2157	0.063188
8.2288	0.061924
8.2419	0.060832
8.2550	0.059999
8.2682	0.059158
8.2814	0.058178
8.2946	0.057352
8.3079	0.056548
8.3212	0.055664
8.3346	0.054789
8.3480	0.053936
8.3615	0.052982
8.3750	0.052082
8.3886	0.051109
8.4022	0.050099
8.4158	0.049106
8.4295	0.048255
8.4432	0.047415
8.4570	0.046611
8.4708	0.046032
8.4847	0.045675
8.4986	0.045393
8.5125	0.045230
8.5265	0.045106
8.5406	0.045146
8.5547	0.045232
8.5688	0.045433
8.5830	0.045909
8.5972	0.046487
8.6115	0.047147
8.6258	0.047963
8.6402	0.048831
8.6546	0.049822
8.6691	0.050874
8.6836	0.051849
8.6982	0.052644
8.7128	0.053330
8.7275	0.053600
8.7422	0.053467
8.7570	0.053521
8.7718	0.054059
8.7867	0.054911
8.8016	0.055946
8.8166	0.057056
8.8316	0.057943
8.8466	0.058402
8.8618	0.058677
8.8769	0.058845
8.8922	0.059302
8.9074	0.060088
8.9228	0.061173
8.9382	0.062730
8.9536	0.064773
8.9691	0.066861
8.9846	0.069069
9.0002	0.071308
9.0159	0.073703
9.0316	0.076439
9.0474	0.079503
9.0632	0.082768
9.0790	0.086113
9.0950	0.089520
9.1110	0.093151
9.1270	0.097020
9.1431	0.10108
9.1593	0.10511
9.1755	0.10943
9.1917	0.11425
9.2081	0.11927
9.2244	0.12429
9.2409	0.12958
9.2574	0.13496
9.2739	0.14003
9.2906	0.14507
9.3072	0.15005
9.3240	0.15481
9.3408	0.15895
9.3576	0.16206
9.3746	0.16408
9.3915	0.16489
9.4086	0.16481
9.4257	0.16440
9.4429	0.16383
9.4601	0.16317
9.4774	0.16264
9.4948	0.16207
9.5122	0.16163
9.5297	0.16118
9.5472	0.16062
9.5648	0.16006
9.5825	0.15945
9.6003	0.15877
9.6181	0.15828
9.6359	0.15795
9.6539	0.15779
9.6719	0.15768
9.6900	0.15795
9.7081	0.15852
9.7263	0.15932
9.7446	0.16036
9.7630	0.16161
9.7814	0.16304
9.7999	0.16456
9.8184	0.16606
9.8371	0.16744
9.8558	0.16887
9.8745	0.16998
9.8934	0.17058
9.9123	0.17096
9.9313	0.17114
9.9504	0.17105
9.9695	0.17078
9.9887	0.17036
10.008	0.16997
10.027	0.17004
10.047	0.17042
10.066	0.17133
10.086	0.17310
10.106	0.17668
10.125	0.18266
10.145	0.18968
10.165	0.19463
10.185	0.19547
10.205	0.19213
10.225	0.18578
10.245	0.17860
10.266	0.17246
10.286	0.16813
10.306	0.16562
10.327	0.16534
10.348	0.16728
10.368	0.17080
10.389	0.17500
10.410	0.17912
10.431	0.18513
10.452	0.19809
10.473	0.21670
10.494	0.23227
10.515	0.24107
10.537	0.24466
10.558	0.24518
10.580	0.24430
10.602	0.24298
10.623	0.24123
10.645	0.23921
10.667	0.23713
10.689	0.23501
10.711	0.23308
10.733	0.23124
10.755	0.22954
10.778	0.22781
10.800	0.22601
10.823	0.22412
10.845	0.22195
10.868	0.21946
10.891	0.21714
10.914	0.21500
10.937	0.21288
10.960	0.21074
10.983	0.20859
11.007	0.20655
11.030	0.20474
11.054	0.20304
11.077	0.20132
11.101	0.19959
11.125	0.19798
11.149	0.19627
11.173	0.19449
11.197	0.19276
11.221	0.19095
11.245	0.18913
11.270	0.18726
11.294	0.18515
11.319	0.18275
11.344	0.18015
11.369	0.17734
11.394	0.17402
11.419	0.17006
11.444	0.16491
11.469	0.15825
11.495	0.15014
11.520	0.14097
11.546	0.13190
11.572	0.12392
11.598	0.11708
11.624	0.11142
11.650	0.10685
11.676	0.10290
11.702	0.099275
11.729	0.095819
11.755	0.092435
11.782	0.089040
11.809	0.085917
11.836	0.083557
11.863	0.083083
11.890	0.084599
11.918	0.086738
11.945	0.088074
11.973	0.088205
12.000	0.087227
12.028	0.085805
12.056	0.084378
12.084	0.082964
12.112	0.081768
12.141	0.080898
12.169	0.079979
12.198	0.079053
12.227	0.078230
12.256	0.077575
12.285	0.077104
12.314	0.076611
12.343	0.075993
12.373	0.075354
12.402	0.074809
12.432	0.074515
12.462	0.073976
12.492	0.073423
12.522	0.073076
12.552	0.072724
12.583	0.072460
12.613	0.072271
12.644	0.071933
12.675	0.071658
12.706	0.071257
12.737	0.070956
12.769	0.070713
12.800	0.070466
12.832	0.070266
12.864	0.070051
12.896	0.069811
12.928	0.069454
12.960	0.069032
12.993	0.068535
13.025	0.067859
13.058	0.067220
13.091	0.066662
13.124	0.066140
13.158	0.065585
13.191	0.065074
13.225	0.064561
13.259	0.064027
13.293	0.063570
13.327	0.063071
13.361	0.062511
13.396	0.062040
13.430	0.061501
13.465	0.060774
13.500	0.060163
13.536	0.059521
13.571	0.058873
13.607	0.058295
13.642	0.057667
13.678	0.056935
13.715	0.056193
13.751	0.055545
13.788	0.054948
13.824	0.054083
13.861	0.053131
13.898	0.052378
13.936	0.051569
13.973	0.050804
14.011	0.050165
14.049	0.049225
14.087	0.047896
14.126	0.047210
14.164	0.046709
14.203	0.046170
14.242	0.045382
14.281	0.044591
14.321	0.044201
14.360	0.043915
14.400	0.043322
14.440	0.042702
14.481	0.042021
14.521	0.041179
14.562	0.040444
14.603	0.039493
14.644	0.038476
14.686	0.037648
14.728	0.037060
14.770	0.036417
14.812	0.035778
14.854	0.035456
14.897	0.035209
14.940	0.035010
14.983	0.034773
15.026	0.034950
15.070	0.035321
15.114	0.035941
15.158	0.036995
15.203	0.038733
15.247	0.041205
15.292	0.044006
15.338	0.047203
15.383	0.051177
15.429	0.055736
15.475	0.060405
15.521	0.065279
15.568	0.070060
15.615	0.074377
15.662	0.078179
15.710	0.081192
15.757	0.083741
15.805	0.086071
15.854	0.087680
15.902	0.088748
15.951	0.089191
16.000	0.088846
16.050	0.088209
16.100	0.087321
16.150	0.086327
16.200	0.085392
16.251	0.084455
16.302	0.083107
16.354	0.081325
16.405	0.079538
16.458	0.077997
16.510	0.076423
16.563	0.074998
16.616	0.073841
16.669	0.072563
16.723	0.071462
16.777	0.070506
16.832	0.069564
16.886	0.069510
16.942	0.070324
16.997	0.071910
17.053	0.074566
17.109	0.077978
17.166	0.082167
17.223	0.086836
17.280	0.091976
17.338	0.097305
17.396	0.10293
17.455	0.10858
17.514	0.11464
17.573	0.12087
17.633	0.12667
17.693	0.13217
17.754	0.13694
17.815	0.14074
17.876	0.14462
17.938	0.14794
18.000	0.15137
18.063	0.15557
18.126	0.16016
18.190	0.16509
18.254	0.16942
18.319	0.17180
18.383	0.17236
18.449	0.17168
18.515	0.17182
18.581	0.17428
18.648	0.17840
18.715	0.18442
18.783	0.19211
18.851	0.19971
18.920	0.20564
18.990	0.20892
19.059	0.20863
19.130	0.20572
19.201	0.20146
19.272	0.19611
19.344	0.19053
19.416	0.18528
19.489	0.17995
19.563	0.17471
19.637	0.17009
19.712	0.16681
19.787	0.16591
19.863	0.16497
19.939	0.16186
20.016	0.15544
20.094	0.14652
20.172	0.13683
20.251	0.12660
20.330	0.11680
20.410	0.10755
20.491	0.099898
20.572	0.093492
20.654	0.088468
20.737	0.085201
20.820	0.084455
20.904	0.087323
20.988	0.091990
21.074	0.096384
21.160	0.10004
21.246	0.10356
21.334	0.10582
21.422	0.10588
21.511	0.10496
21.601	0.10338
21.691	0.10137
21.782	0.10113
21.874	0.10399
21.967	0.11011
22.060	0.11810
22.154	0.12710
22.250	0.13799
22.345	0.14998
22.442	0.16044
22.540	0.16774
22.638	0.17135
22.737	0.17316
22.838	0.17467
22.939	0.17807
23.041	0.18476
23.143	0.19494
23.247	0.20560
23.352	0.21584
23.458	0.22285
23.564	0.22907
23.672	0.23300
23.780	0.23566
23.890	0.23671
24.001	0.23836
24.112	0.23772
24.225	0.23477
24.339	0.22658
24.453	0.21602
24.569	0.20205
24.686	0.19059
24.804	0.18201
24.924	0.17890
	
	
	
1.1980	
	
0.0000	
0.0000	
0.0000	
	
0.0000	
0.0000	
