Wavelength (µm)	<125 µm (357)
1.8173	0.56611
1.8198	0.56593
1.8224	0.56590
1.8250	0.56603
1.8275	0.56596
1.8301	0.56576
1.8327	0.56589
1.8353	0.56614
1.8379	0.56618
1.8405	0.56615
1.8431	0.56615
1.8458	0.56620
1.8484	0.56628
1.8510	0.56636
1.8537	0.56641
1.8563	0.56646
1.8590	0.56645
1.8617	0.56659
1.8643	0.56680
1.8670	0.56682
1.8697	0.56679
1.8724	0.56680
1.8751	0.56688
1.8779	0.56682
1.8806	0.56685
1.8833	0.56692
1.8861	0.56706
1.8888	0.56726
1.8916	0.56713
1.8943	0.56704
1.8971	0.56698
1.8999	0.56713
1.9027	0.56718
1.9055	0.56723
1.9083	0.56726
1.9111	0.56729
1.9139	0.56745
1.9167	0.56742
1.9196	0.56752
1.9224	0.56775
1.9253	0.56794
1.9282	0.56819
1.9310	0.56850
1.9339	0.56878
1.9368	0.56884
1.9397	0.56898
1.9426	0.56940
1.9455	0.56964
1.9484	0.56967
1.9514	0.56997
1.9543	0.57032
1.9573	0.57063
1.9602	0.57094
1.9632	0.57120
1.9662	0.57136
1.9692	0.57167
1.9722	0.57196
1.9752	0.57232
1.9782	0.57269
1.9812	0.57294
1.9843	0.57327
1.9873	0.57346
1.9903	0.57361
1.9934	0.57396
1.9965	0.57416
1.9996	0.57439
2.0027	0.57452
2.0058	0.57472
2.0089	0.57523
2.0120	0.57555
2.0151	0.57582
2.0183	0.57613
2.0214	0.57636
2.0246	0.57673
2.0277	0.57707
2.0309	0.57723
2.0341	0.57744
2.0373	0.57772
2.0405	0.57779
2.0437	0.57807
2.0469	0.57849
2.0502	0.57884
2.0534	0.57889
2.0567	0.57892
2.0600	0.57918
2.0632	0.57959
2.0665	0.57996
2.0698	0.58018
2.0731	0.58042
2.0765	0.58068
2.0798	0.58077
2.0831	0.58091
2.0865	0.58106
2.0899	0.58124
2.0932	0.58162
2.0966	0.58187
2.1000	0.58190
2.1034	0.58210
2.1069	0.58248
2.1103	0.58282
2.1137	0.58293
2.1172	0.58309
2.1207	0.58349
2.1241	0.58370
2.1276	0.58369
2.1311	0.58398
2.1346	0.58437
2.1381	0.58457
2.1417	0.58469
2.1452	0.58500
2.1488	0.58529
2.1524	0.58530
2.1559	0.58530
2.1595	0.58545
2.1631	0.58564
2.1668	0.58580
2.1704	0.58611
2.1740	0.58632
2.1777	0.58657
2.1813	0.58683
2.1850	0.58701
2.1887	0.58719
2.1924	0.58725
2.1961	0.58737
2.1999	0.58765
2.2036	0.58780
2.2074	0.58781
2.2111	0.58787
2.2149	0.58812
2.2187	0.58820
2.2225	0.58827
2.2263	0.58864
2.2302	0.58885
2.2340	0.58903
2.2379	0.58926
2.2417	0.58942
2.2456	0.58970
2.2495	0.58970
2.2534	0.58972
2.2573	0.58981
2.2613	0.58985
2.2652	0.58997
2.2692	0.58995
2.2732	0.59011
2.2772	0.59025
2.2812	0.59023
2.2852	0.59037
2.2893	0.59056
2.2933	0.59075
2.2974	0.59098
2.3015	0.59106
2.3055	0.59124
2.3097	0.59147
2.3138	0.59180
2.3179	0.59218
2.3221	0.59241
2.3262	0.59263
2.3304	0.59289
2.3346	0.59321
2.3388	0.59359
2.3431	0.59392
2.3473	0.59424
2.3516	0.59453
2.3558	0.59478
2.3601	0.59504
2.3644	0.59526
2.3688	0.59552
2.3731	0.59569
2.3775	0.59584
2.3818	0.59615
2.3862	0.59648
2.3906	0.59671
2.3950	0.59686
2.3995	0.59704
2.4039	0.59727
2.4084	0.59764
2.4129	0.59791
2.4174	0.59802
2.4219	0.59811
2.4264	0.59831
2.4310	0.59844
2.4356	0.59841
2.4401	0.59836
2.4447	0.59835
2.4494	0.59837
2.4540	0.59846
2.4587	0.59835
2.4633	0.59837
2.4680	0.59862
2.4727	0.59873
2.4775	0.59885
2.4822	0.59877
2.4870	0.59877
2.4918	0.59893
2.4966	0.59911
2.5014	0.59919
2.5062	0.59920
2.5111	0.59941
2.5160	0.59960
2.5209	0.59961
2.5258	0.59958
2.5307	0.59973
2.5357	0.59987
2.5406	0.59984
2.5456	0.59986
2.5506	0.60003
2.5557	0.60009
2.5607	0.60001
2.5658	0.59983
2.5709	0.60001
2.5760	0.60010
2.5811	0.59994
2.5863	0.59982
2.5914	0.59974
2.5966	0.59943
2.6018	0.59939
2.6071	0.59954
2.6123	0.59955
2.6176	0.59949
2.6229	0.59949
2.6282	0.59954
2.6336	0.59925
2.6389	0.59934
2.6443	0.59937
2.6497	0.59880
2.6552	0.59808
2.6606	0.59738
2.6661	0.59625
2.6716	0.59473
2.6771	0.59307
2.6826	0.59092
2.6882	0.58768
2.6938	0.58233
2.6994	0.57481
2.7050	0.56580
2.7107	0.55747
2.7164	0.55114
2.7221	0.54504
2.7278	0.53810
2.7336	0.53149
2.7394	0.52402
2.7452	0.51627
2.7510	0.51027
2.7568	0.50421
2.7627	0.49779
2.7686	0.49234
2.7746	0.48772
2.7805	0.48315
2.7865	0.47963
2.7925	0.47691
2.7985	0.47419
2.8046	0.47153
2.8107	0.47001
2.8168	0.46910
2.8229	0.46782
2.8291	0.46595
2.8353	0.46402
2.8415	0.46224
2.8477	0.46102
2.8540	0.46048
2.8603	0.46000
2.8666	0.45940
2.8730	0.45875
2.8794	0.45786
2.8858	0.45709
2.8922	0.45653
2.8987	0.45547
2.9052	0.45444
2.9117	0.45397
2.9183	0.45325
2.9249	0.45265
2.9315	0.45243
2.9381	0.45224
2.9448	0.45226
2.9515	0.45248
2.9583	0.45224
2.9650	0.45214
2.9718	0.45255
2.9787	0.45289
2.9855	0.45320
2.9924	0.45402
2.9993	0.45483
3.0063	0.45529
3.0133	0.45581
3.0203	0.45657
3.0274	0.45724
3.0345	0.45809
3.0416	0.45907
3.0487	0.45980
3.0559	0.46059
3.0632	0.46158
3.0704	0.46232
3.0777	0.46269
3.0850	0.46334
3.0924	0.46413
3.0998	0.46449
3.1072	0.46508
3.1147	0.46616
3.1222	0.46769
3.1298	0.46915
3.1373	0.47110
3.1449	0.47305
3.1526	0.47483
3.1603	0.47662
3.1680	0.47835
3.1758	0.47995
3.1836	0.48200
3.1914	0.48380
3.1993	0.48531
3.2072	0.48708
3.2021	0.48737
3.2040	0.48782
3.2060	0.48817
3.2080	0.48863
3.2100	0.48889
3.2120	0.48923
3.2140	0.48979
3.2160	0.49050
3.2180	0.49114
3.2200	0.49174
3.2220	0.49216
3.2240	0.49243
3.2260	0.49274
3.2280	0.49330
3.2300	0.49385
3.2320	0.49422
3.2340	0.49458
3.2360	0.49509
3.2381	0.49571
3.2401	0.49627
3.2421	0.49645
3.2441	0.49663
