Wavelength (nm),SynOl_Fo70
1820.7,0.84665
1821.3,0.84674
1821.9,0.84681
1822.6,0.84684
1823.2,0.84674
1823.9,0.84671
1824.5,0.84686
1825.2,0.8472
1825.8,0.84741
1826.4,0.8476
1827.1,0.84734
1827.7,0.84728
1828.4,0.84734
1829.0,0.84737
1829.7,0.84713
1830.3,0.84706
1831.0,0.84718
1831.6,0.84753
1832.3,0.84753
1832.9,0.84748
1833.6,0.84731
1834.2,0.84759
1834.8,0.84785
1835.5,0.84783
1836.2,0.84789
1836.8,0.84788
1837.4,0.84783
1838.1,0.84798
1838.8,0.84799
1839.4,0.84816
1840.1,0.84825
1840.7,0.84811
1841.4,0.84784
1842.0,0.848
1842.7,0.84805
1843.3,0.84808
1844.0,0.84792
1844.6,0.84803
1845.3,0.84826
1845.9,0.84851
1846.6,0.84864
1847.3,0.8487
1847.9,0.84846
1848.6,0.84833
1849.2,0.84825
1849.9,0.84841
1850.6,0.84863
1851.2,0.84874
1851.9,0.84851
1852.6,0.84856
1853.2,0.84858
1853.9,0.84868
1854.5,0.84866
1855.2,0.84856
1855.9,0.84865
1856.5,0.84893
1857.2,0.84891
1857.9,0.84886
1858.5,0.8488
1859.2,0.84898
1859.9,0.84911
1860.5,0.84899
1861.2,0.84904
1861.9,0.84907
1862.5,0.84908
1863.2,0.84907
1863.9,0.84903
1864.5,0.84911
1865.2,0.84924
1865.9,0.84928
1866.6,0.84916
1867.2,0.84926
1867.9,0.8494
1868.6,0.84939
1869.3,0.84932
1869.9,0.84956
1870.6,0.84959
1871.3,0.84959
1871.9,0.8495
1872.6,0.84952
1873.3,0.84972
1874.0,0.84982
1874.7,0.8497
1875.3,0.84971
1876.0,0.84967
1876.7,0.84966
1877.4,0.84979
1878.1,0.84976
1878.7,0.84972
1879.4,0.84972
1880.1,0.84964
1880.8,0.84967
1881.5,0.84962
1882.1,0.84973
1882.8,0.84982
1883.5,0.84994
1884.2,0.84999
1884.9,0.84987
1885.6,0.84974
1886.3,0.84975
1886.9,0.84973
1887.6,0.84969
1888.3,0.84969
1889.0,0.84979
1889.7,0.8497
1890.4,0.84994
1891.1,0.84992
1891.8,0.84988
1892.4,0.84982
1893.1,0.84999
1893.8,0.85009
1894.5,0.85006
1895.2,0.85004
1895.9,0.85007
1896.6,0.84996
1897.3,0.85002
1898.0,0.85013
1898.7,0.85017
1899.4,0.85019
1900.1,0.8502
1900.8,0.84994
1901.5,0.84991
1902.2,0.85011
1902.9,0.85007
1903.6,0.85001
1904.3,0.85006
1905.0,0.85009
1905.7,0.8502
1906.4,0.8503
1907.1,0.85029
1907.8,0.85008
1908.5,0.85017
1909.2,0.85014
1909.9,0.85004
1910.6,0.85015
1911.3,0.85039
1912.0,0.85028
1912.7,0.85022
1913.4,0.85047
1914.1,0.85055
1914.8,0.85047
1915.5,0.85049
1916.2,0.85048
1916.9,0.85051
1917.6,0.85045
1918.3,0.85039
1919.1,0.85038
1919.8,0.85061
1920.5,0.85068
1921.2,0.85065
1921.9,0.85055
1922.6,0.85047
1923.3,0.8503
1924.1,0.85051
1924.8,0.85077
1925.5,0.85091
1926.2,0.85093
1926.9,0.85092
1927.6,0.85075
1928.3,0.8508
1929.1,0.85085
1929.8,0.85084
1930.5,0.85088
1931.2,0.85086
1931.9,0.85085
1932.7,0.85093
1933.4,0.85119
1934.1,0.85143
1934.8,0.85137
