Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo40
33333	0.30000	300.00	0.046820
32787	0.30500	305.00	0.046800
32258	0.31000	310.00	0.045790
31746	0.31500	315.00	0.046890
31250	0.32000	320.00	0.048640
30769	0.32500	325.00	0.051570
30303	0.33000	330.00	0.055850
29851	0.33500	335.00	0.059850
29412	0.34000	340.00	0.065340
28986	0.34500	345.00	0.073400
28571	0.35000	350.00	0.083430
28169	0.35500	355.00	0.095980
27778	0.36000	360.00	0.11253
27397	0.36500	365.00	0.13142
27027	0.37000	370.00	0.15317
26667	0.37500	375.00	0.17530
26316	0.38000	380.00	0.19749
25974	0.38500	385.00	0.21817
25641	0.39000	390.00	0.23815
25316	0.39500	395.00	0.25561
25000	0.40000	400.00	0.26471
24691	0.40500	405.00	0.27486
24390	0.41000	410.00	0.29805
24096	0.41500	415.00	0.30999
23810	0.42000	420.00	0.31709
23529	0.42500	425.00	0.32253
23256	0.43000	430.00	0.32756
22989	0.43500	435.00	0.33341
22727	0.44000	440.00	0.33929
22472	0.44500	445.00	0.33919
22222	0.45000	450.00	0.33331
21978	0.45500	455.00	0.33435
21739	0.46000	460.00	0.34322
21505	0.46500	465.00	0.35331
21277	0.47000	470.00	0.35899
21053	0.47500	475.00	0.37246
20833	0.48000	480.00	0.38720
20619	0.48500	485.00	0.39313
20408	0.49000	490.00	0.39556
20202	0.49500	495.00	0.39557
20000	0.50000	500.00	0.40536
19802	0.50500	505.00	0.42156
19608	0.51000	510.00	0.43427
19417	0.51500	515.00	0.44309
19231	0.52000	520.00	0.44874
19048	0.52500	525.00	0.45342
18868	0.53000	530.00	0.45916
18692	0.53500	535.00	0.46819
18519	0.54000	540.00	0.47723
18349	0.54500	545.00	0.48506
18182	0.55000	550.00	0.49195
18018	0.55500	555.00	0.49599
17857	0.56000	560.00	0.50003
17699	0.56500	565.00	0.50310
17544	0.57000	570.00	0.50508
17391	0.57500	575.00	0.50664
17241	0.58000	580.00	0.50821
17094	0.58500	585.00	0.50988
16949	0.59000	590.00	0.51109
16807	0.59500	595.00	0.51201
16667	0.60000	600.00	0.51257
16529	0.60500	605.00	0.51282
16393	0.61000	610.00	0.51289
