Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo50
33333	0.30000	300.00	0.060000
32787	0.30500	305.00	0.060640
32258	0.31000	310.00	0.059670
31746	0.31500	315.00	0.062360
31250	0.32000	320.00	0.067630
30769	0.32500	325.00	0.071540
30303	0.33000	330.00	0.077810
29851	0.33500	335.00	0.085400
29412	0.34000	340.00	0.096180
28986	0.34500	345.00	0.10901
28571	0.35000	350.00	0.12656
28169	0.35500	355.00	0.14759
27778	0.36000	360.00	0.17141
27397	0.36500	365.00	0.19900
27027	0.37000	370.00	0.22733
26667	0.37500	375.00	0.25567
26316	0.38000	380.00	0.28224
25974	0.38500	385.00	0.30699
25641	0.39000	390.00	0.33060
25316	0.39500	395.00	0.34941
25000	0.40000	400.00	0.35307
24691	0.40500	405.00	0.36675
24390	0.41000	410.00	0.39155
24096	0.41500	415.00	0.40388
23810	0.42000	420.00	0.41123
23529	0.42500	425.00	0.41622
23256	0.43000	430.00	0.42026
22989	0.43500	435.00	0.42529
22727	0.44000	440.00	0.43012
22472	0.44500	445.00	0.42862
22222	0.45000	450.00	0.42122
21978	0.45500	455.00	0.42134
21739	0.46000	460.00	0.42957
21505	0.46500	465.00	0.43931
21277	0.47000	470.00	0.44471
21053	0.47500	475.00	0.45806
20833	0.48000	480.00	0.47232
20619	0.48500	485.00	0.47687
20408	0.49000	490.00	0.47872
20202	0.49500	495.00	0.47796
20000	0.50000	500.00	0.48854
19802	0.50500	505.00	0.50448
19608	0.51000	510.00	0.51664
19417	0.51500	515.00	0.52515
19231	0.52000	520.00	0.52982
19048	0.52500	525.00	0.53368
18868	0.53000	530.00	0.53846
18692	0.53500	535.00	0.54706
18519	0.54000	540.00	0.55555
18349	0.54500	545.00	0.56321
18182	0.55000	550.00	0.56923
18018	0.55500	555.00	0.57107
17857	0.56000	560.00	0.57482
17699	0.56500	565.00	0.57653
17544	0.57000	570.00	0.57829
17391	0.57500	575.00	0.57795
17241	0.58000	580.00	0.57856
17094	0.58500	585.00	0.57931
16949	0.59000	590.00	0.57937
16807	0.59500	595.00	0.58013
16667	0.60000	600.00	0.57991
16529	0.60500	605.00	0.57780
16393	0.61000	610.00	0.57799
16260	0.61500	615.00	0.57765
16129	0.62000	620.00	0.57688
16000	0.62500	625.00	0.57691
15873	0.63000	630.00	0.57924
15748	0.63500	635.00	0.58147
15625	0.64000	640.00	0.58485
15504	0.64500	645.00	0.58857
15385	0.65000	650.00	0.59224
15267	0.65500	655.00	0.59403
15152	0.66000	660.00	0.59537
15038	0.66500	665.00	0.59662
14925	0.67000	670.00	0.59655
14815	0.67500	675.00	0.59508
14706	0.68000	680.00	0.59427
14599	0.68500	685.00	0.59174
14493	0.69000	690.00	0.58849
14388	0.69500	695.00	0.58623
14286	0.70000	700.00	0.58295
14184	0.70500	705.00	0.57820
14085	0.71000	710.00	0.57345
13986	0.71500	715.00	0.56987
13889	0.72000	720.00	0.56434
13793	0.72500	725.00	0.55880
13699	0.73000	730.00	0.55320
13605	0.73500	735.00	0.54759
13514	0.74000	740.00	0.54166
13423	0.74500	745.00	0.53537
13333	0.75000	750.00	0.52990
13245	0.75500	755.00	0.52328
13158	0.76000	760.00	0.51710
13072	0.76500	765.00	0.50977
12987	0.77000	770.00	0.50257
12903	0.77500	775.00	0.49597
12821	0.78000	780.00	0.48841
12739	0.78500	785.00	0.48132
