Wavelength raw,Microcline hs108.13749 raw,Wavelength bin avg,Microcline hs108.13749 bin avg,Wavelength cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.29710000000000003,0.397667,0.47029999999999994,0.5178832000000001,0.47029999999999994,0.5178832000000001
0.30110000000000003,0.405406,0.5003,0.53864055,0.49991190705679855,0.5384709696574274
0.30510000000000004,0.414932,0.5403,0.5766947499999999,0.5295238141135972,0.5595880795109965
0.30910000000000004,0.416259,0.5802999999999999,0.6798407,0.5591357211703958,0.623093294348476
0.31310000000000004,0.419996,0.6197083333333333,0.7357545416666665,0.5887476282271944,0.6976946635343494
0.31710000000000005,0.427737,0.6591444444444444,0.7485831666666667,0.618359535283993,0.7348282354254589
0.3211,0.429822,0.7028470588235295,0.7628861176470588,0.6479714423407916,0.7462839244503371
0.3251,0.431076,0.735,0.7726940714285714,0.6775833493975902,0.7538320780135507
0.3291,0.434675,0.7595,0.7757547142857142,0.7071952564543889,0.76446093802424
0.3331,0.437229,0.7797499999999999,0.7780213333333332,0.7368071635111875,0.7730444612072909
0.3371,0.438814,0.7995000000000001,0.78080675,0.7664190705679861,0.7763365592521165
0.3411,0.438399,0.8195,0.7777825,0.7960309776247847,0.7807497682694101
0.3451,0.443988,0.835,0.778715,0.8256428846815834,0.7778148464363484
0.3491,0.442683,0.855,0.77932,0.855254791738382,0.7793134401993785
0.3531,0.446568,0.877,0.77844,0.8848666987951807,0.778419234995296
0.35710000000000003,0.445349,0.899,0.778626,0.9144786058519793,0.7785943336305262
0.36060000000000003,0.45046,0.919,0.7786225,0.9440905129087779,0.7793918855269422
0.36360000000000003,0.448907,0.941,0.7793016666666667,0.9737024199655765,0.7816574602477695
0.36660000000000004,0.448934,0.9636666666666667,0.7804316666666665,1.003314327022375,0.7807938926604795
0.36960000000000004,0.45152,0.9819999999999999,0.7822173333333334,1.0329262340791736,0.7796937877351875
0.37260000000000004,0.453079,1.0,0.7809086666666666,1.0625381411359722,0.7801769797972975
0.37560000000000004,0.45195,1.0205000000000002,0.78076475,1.0921500481927708,0.778368070930442
0.37860000000000005,0.452586,1.041,0.7791885000000001,1.1217619552495695,0.7781156291700038
0.38110000000000005,0.452655,1.061,0.7801415,1.151373862306368,0.7766265500078254
0.3831,0.453803,1.081,0.779315,1.180985769363167,0.7777516682598872
0.3851,0.452619,1.101,0.7779280000000001,1.2105976764199655,0.7767106775314883
0.3871,0.457634,1.121,0.77812925,1.2402095834767641,0.7802808370067812
0.3891,0.458451,1.141,0.777013,1.2698214905335627,0.7794247790252253
0.3911,0.457841,1.161,0.776747,1.2994333975903614,0.7805634811036994
0.3931,0.461611,1.181,0.77775175,1.32904530464716,0.7818088541400956
0.3951,0.461936,1.201,0.7768695,1.3586572117039586,0.7793152444628707
0.3971,0.460164,1.221,0.77742025,1.3882691187607572,0.7803140977170774
0.3991,0.464542,1.241,0.780337,1.4178810258175558,0.7715370243666844
0.4011,0.466187,1.2610000000000001,0.7796265,1.4474929328743544,0.7715530654824967
0.4031,0.469327,1.2810000000000001,0.7796465,1.477104839931153,0.7770102703678796
0.4051,0.468462,1.3010000000000002,0.7806787500000001,1.5067167469879517,0.7800109097263338
0.4071,0.465355,1.321,0.78197925,1.5363286540447503,0.7861089406272878
0.4091,0.46907,1.3409999999999997,0.7807305,1.565940561101549,0.7874728836866136
0.4111,0.470675,1.361,0.7794732499999999,1.5955524681583475,0.7900036983144185
0.4128,0.473206,1.3809999999999998,0.7819185000000001,1.6251643752151461,0.7917800639311038
0.4158,0.473499,1.401,0.7754,1.6547762822719447,0.7940304139944451
0.4188,0.476727,1.4209999999999998,0.7712712500000001,1.6843881893287433,0.7935429470193359
0.4218,0.47737,1.441,0.7714222500000001,1.714000096385542,0.7932046272397055
0.4248,0.479724,1.4609999999999999,0.77271725,1.7436120034423406,0.7942252869584635
0.4278,0.482271,1.481,0.77798075,1.7732239104991392,0.7943009130995617
0.4308,0.485698,1.501,0.779966,1.8028358175559378,0.7938074452592295
0.4338,0.488085,1.5210000000000001,0.78134375,1.8324477246127364,0.7951520489883941
0.4368,0.489452,1.54,0.7869423333333333,1.862059631669535,0.7965888127935478
0.4398,0.494819,1.558,0.7872433333333334,1.8916715387263339,0.7928317029432232
0.4428,0.496533,1.5844999999999998,0.7891991999999999,1.9212834457831325,0.7896005777386933
0.44580000000000003,0.497119,1.6195,0.7913414000000001,1.950895352839931,0.7921115919264088
0.44880000000000003,0.50244,1.6580833333333336,0.7941316666666666,1.9805072598967297,0.7988429211240247
0.45130000000000003,0.502836,1.7,0.7930586,2.0101191669535283,0.8046999766565326
0.45330000000000004,0.506541,1.7399999999999998,0.7941322000000001,2.039731074010327,0.8110341520063604
0.45530000000000004,0.506384,1.78,0.7941857999999999,2.0693429810671256,0.8149599293581491
0.4573,0.509059,1.82,0.79421225,2.098954888123924,0.8155321978883975
0.4593,0.508143,1.863395465116279,0.7965320465116276,2.128566795180723,0.8171879920848489
0.4613,0.508736,1.8979861724137923,0.7918356379310343,2.1581787022375214,0.8192980406955389
0.4633,0.512207,1.9380698545454547,0.7901546727272721,2.18779060929432,0.8198939999419278
0.4653,0.513481,1.9779972075471701,0.7982880943396227,2.2174025163511186,0.8188886868429229
0.4673,0.515602,2.01803205882353,0.8063108823529411,2.2470144234079172,0.8183181595177156
0.4693,0.519209,2.058085673469388,0.8140813265306123,2.276626330464716,0.8170496500332192
0.4713,0.51818,2.0980617234042556,0.815509319148936,2.3062382375215145,0.8154693242866172
