Wavelength (µm) raw,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum raw,Wavelength (µm) bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum cubic spline of bin avg
0.525,0.77402,0.89517,0.878154,0.8951641176470588,0.8781536852089008
0.53,0.777012,0.90515,0.878555,0.9051450980392157,0.8785547744610165
0.535,0.779422,0.91513,0.8790005000000001,0.9151260784313726,0.8790004337415024
0.54,0.782992,0.92511,0.8789530000000001,0.9251070588235295,0.8789529820420916
0.545,0.785404,0.93509,0.879218,0.9350880392156864,0.8792179528681812
0.55,0.788532,0.94507,0.8793055000000001,0.9450690196078432,0.8793054963587735
0.555,0.791383,0.95505,0.879448,0.95505,0.879448
0.56,0.794787,0.96503,0.8798265000000001,0.9650309803921568,0.8798265312798454
0.565,0.798098,0.97501,0.8798125,0.9750119607843137,0.8798124052547354
0.57,0.801671,0.98499,0.87928,0.9849929411764706,0.879279991406048
0.575,0.804119,0.99497,0.879644,0.9949739215686275,0.8796440369910989
0.58,0.807663,1.00496,0.8793835000000001,1.0049549019607844,0.8793835187679179
0.585,0.810237,1.01494,0.87966,1.0149358823529413,0.8796599584609412
0.59,0.813091,1.02492,0.8794565,1.0249168627450982,0.879456546027289
0.595,0.815185,1.0349,0.879471,1.0348978431372549,0.8794710177605305
0.6,0.81764,1.04488,0.8792305,1.0448788235294117,0.8792305238967212
0.605,0.819997,1.05486,0.8792335,1.0548598039215686,0.8792334964535642
0.61,0.821244,1.06484,0.879394,1.0648407843137255,0.879393997730554
0.615,0.823183,1.07482,0.8792215,1.0748217647058824,0.8792214821299191
0.62,0.824127,1.0848,0.8794455,1.0848027450980393,0.8794456617098524
0.625,0.826431,1.09478,0.8802395000000001,1.0947837254901962,0.8802398000752564
0.63,0.827582,1.10477,0.8808085,1.104764705882353,0.8808083492595781
0.635,0.829395,1.11475,0.880961,1.1147456862745098,0.8809609038388204
0.64,0.830434,1.12473,0.88123,1.1247266666666667,0.881229969844161
0.645,0.8325,1.13471,0.8811709999999999,1.1347076470588235,0.8811709889855536
0.65,0.833525,1.14469,0.8813745,1.1446886274509804,0.8813744785217142
0.655,0.835644,1.15467,0.8814235,1.1546696078431373,0.8814234966151275
0.66,0.83718,1.16465,0.881685,1.1646505882352942,0.8816850253906351
0.665,0.839012,1.17463,0.882082,1.174631568627451,0.8820820261247913
0.67,0.840838,1.18461,0.8820045,1.184612549019608,0.8820044649178028
0.675,0.842743,1.19459,0.88201,1.1945935294117647,0.8820100591761674
0.68,0.843775,1.20458,0.8821335,1.2045745098039216,0.8821335797457763
0.685,0.845737,1.21456,0.881887,1.2145554901960784,0.8818869803485625
0.69,0.846824,1.22454,0.8822675,1.2245364705882353,0.8822673683814041
0.695,0.84777,1.23452,0.8824725,1.2345174509803922,0.8824724426706763
0.7,0.849666,1.2445,0.882846,1.2444984313725491,0.8828459268489285
0.705,0.850827,1.25448,0.8830965,1.254479411764706,0.8830965126200382
0.71,0.851349,1.26446,0.8828320000000001,1.264460392156863,0.882832013723684
0.715,0.853883,1.27444,0.8837250000000001,1.2744413725490196,0.8837250966438576
0.72,0.853624,1.28442,0.884,1.2844223529411765,0.8840000810033687
0.725,0.856022,1.2944,0.8846195,1.2944033333333334,0.8846197026687908
0.73,0.85609,1.30438,0.8850245,1.3043843137254902,0.885024630748296
0.735,0.858589,1.31437,0.885518,1.3143652941176471,0.8855175865216148
0.74,0.859228,1.32435,0.8865055,1.324346274509804,0.8865052643442337
0.745,0.860862,1.33433,0.886826,1.334327254901961,0.8868258562158037
0.75,0.862847,1.34431,0.8876854999999999,1.3443082352941178,0.8876853554710509
0.755,0.863502,1.35429,0.888227,1.3542892156862745,0.8882269677060319
0.76,0.864394,1.36427,0.888493,1.3642701960784314,0.888492999243643
0.765,0.865255,1.37425,0.888352,1.3742511764705883,0.8883520139218642
0.77,0.865961,1.38423,0.8889285,1.3842321568627451,0.88892868865263
0.775,0.867227,1.39421,0.8897744999999999,1.394213137254902,0.8897747067912429
0.78,0.867137,1.40419,0.890204,1.404194117647059,0.8902041327992054
0.785,0.868523,1.41418,0.8906365,1.4141750980392158,0.890636186062009
0.79,0.868419,1.42416,0.891703,1.4241560784313727,0.8917023647406382
