Wavelength (µm) raw,BKR1KW003D anorthite Kierra <45µm raw,Wavelength (µm) bin avg,BKR1KW003D anorthite Kierra <45µm bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003D anorthite Kierra <45µm cubic spline of bin avg
1.83,0.920959,,,,
1.835,0.920159,,,,
1.84,0.920508,,,,
1.845,0.920371,,,,
1.85,0.920176,,,,
1.855,0.920284,,,,
1.86,0.921444,,,,
1.865,0.919811,,,,
1.87,0.918097,,,,
1.875,0.919912,,,,
1.88,0.920033,,,,
1.885,0.918097,,,,
1.89,0.918573,,,,
1.895,0.918153,,,,
1.9,0.916868,,,,
1.905,0.916708,,,,
1.91,0.916904,,,,
1.915,0.915457,,,,
1.92,0.915272,,,,
1.925,0.915016,,,,
1.93,0.915322,,,,
1.935,0.916079,,,,
1.94,0.915575,,,,
1.945,0.916238,,,,
1.95,0.916358,,,,
1.955,0.916615,,,,
1.96,0.916618,,,,
1.965,0.916581,,,,
1.97,0.917215,,,,
1.975,0.916724,,,,
1.98,0.917406,,,,
1.985,0.917462,,,,
1.99,0.917689,,,,
1.995,0.918022,,,,
2.0,0.918882,,,,
2.005,0.918799,,,,
2.01,0.918486,,,,
2.015,0.919121,,,,
2.02,0.918489,,,,
2.025,0.918551,,,,
2.03,0.918995,,,,
2.035,0.919028,,,,
2.04,0.919068,,,,
2.045,0.919333,,,,
2.05,0.919099,,,,
2.055,0.919212,,,,
2.06,0.918713,,,,
2.065,0.918596,,,,
2.07,0.918903,,,,
2.075,0.91917,,,,
2.08,0.919302,,,,
2.085,0.919587,,,,
2.09,0.9193,,,,
2.095,0.919891,,,,
2.1,0.919722,,,,
2.105,0.919813,,,,
2.11,0.919444,,,,
2.115,0.919791,,,,
2.12,0.919755,,,,
2.125,0.919455,,,,
2.13,0.919834,,,,
2.135,0.919666,,,,
2.14,0.919423,,,,
2.145,0.91848,,,,
2.15,0.918556,,,,
2.155,0.917895,,,,
2.16,0.917762,,,,
2.165,0.917709,,,,
2.17,0.918095,,,,
2.175,0.917588,,,,
2.18,0.918138,,,,
2.185,0.91782,,,,
2.19,0.918926,,,,
2.195,0.918611,,,,
2.2,0.919318,,,,
2.205,0.918686,,,,
2.21,0.918047,,,,
2.215,0.918062,,,,
2.22,0.917857,,,,
2.225,0.918437,,,,
2.23,0.917245,,,,
2.235,0.917831,,,,
2.24,0.917607,,,,
2.245,0.917349,,,,
2.25,0.918683,,,,
2.255,0.91841,,,,
2.26,0.919202,,,,
2.265,0.919203,,,,
2.27,0.919354,,,,
2.275,0.919955,,,,
2.28,0.919831,,,,
2.285,0.920563,,,,
2.29,0.920842,,,,
2.295,0.921248,,,,
2.3,0.920785,,,,
2.305,0.922255,,,,
2.31,0.922095,,,,
2.315,0.921974,,,,
2.32,0.922638,,,,
2.325,0.922773,,,,
2.33,0.923089,,,,
2.335,0.923179,,,,
2.34,0.923163,,,,
2.345,0.923268,,,,
2.35,0.923586,,,,
2.355,0.923723,,,,
2.36,0.92265,,,,
2.365,0.922821,,,,
2.37,0.921318,,,,
2.375,0.921106,,,,
2.38,0.920754,,,,
2.385,0.920484,,,,
2.39,0.920801,,,,
2.395,0.920403,,,,
2.4,0.920793,,,,
2.405,0.920397,,,,
2.41,0.920328,,,,
2.415,0.919241,,,,
2.42,0.919326,,,,
2.425,0.918961,,,,
2.43,0.918508,,,,
2.435,0.919134,,,,
2.44,0.917926,,,,
2.445,0.91868,,,,
2.45,0.917863,,,,
2.455,0.918154,,,,
2.46,0.918176,,,,
2.465,0.918223,,,,
2.47,0.918413,,,,
2.475,0.918013,,,,
2.48,0.919038,,,,
2.485,0.918469,,,,
2.49,0.919112,,,,
2.495,0.919012,,,,
2.5,0.920649,,,,
2.5002,0.920653,,,,
2.50141,0.920582,,,,
2.50262,0.920515,,,,
2.50383,0.920578,,,,
2.50503,0.920583,,,,
2.50625,0.920536,,,,
2.50746,0.920537,,,,
2.50867,0.920486,,,,
2.50989,0.920462,,,,
2.5111,0.920484,,,,
2.51232,0.920493,,,,
