Wavelength raw,Sanidine gds19.19863 raw,Wavelength bin avg,Sanidine gds19.19863 bin avg,Wavelength cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.29710000000000003,0.450776,0.47029999999999994,0.7073297999999999,0.47029999999999994,0.7073297999999999
0.30110000000000003,0.477869,0.5003,0.7132066499999998,0.49991190705679855,0.7131626697371467
0.30510000000000004,0.49551,0.5403,0.71588885,0.5295238141135972,0.7153081723486605
0.30910000000000004,0.507645,0.5802999999999999,0.71871075,0.5591357211703958,0.7171896179283286
0.31310000000000004,0.521427,0.6197083333333333,0.7215188333333332,0.5887476282271944,0.7192167457215629
0.31710000000000005,0.533378,0.6591444444444444,0.7274840555555556,0.618359535283993,0.7213723262711377
0.3211,0.538592,0.7028470588235295,0.7336967058823528,0.6479714423407916,0.7256549081400777
0.3251,0.548815,0.735,0.7380023571428572,0.6775833493975902,0.7302523628523041
0.3291,0.550999,0.7595,0.7415985714285714,0.7071952564543889,0.7342765377959518
0.3331,0.56147,0.7797499999999999,0.7450291666666667,0.7368071635111875,0.7382468848567438
0.3371,0.565428,0.7995000000000001,0.7475865,0.7664190705679861,0.7428069396391024
0.3411,0.569648,0.8195,0.7493722500000001,0.7960309776247847,0.7471001246010489
0.3531,0.601682,0.839,0.7482115,0.8256428846815834,0.7485089943123014
0.35710000000000003,0.606264,0.855,0.756212,0.855254791738382,0.7563269390932
0.36060000000000003,0.609456,0.877,0.760101,0.8848666987951807,0.7607321088923277
0.36360000000000003,0.61453,0.899,0.7627809999999999,0.9144786058519793,0.7660129039086067
0.36660000000000004,0.616139,0.919,0.7667045,0.9440905129087779,0.7691006094754828
0.36960000000000004,0.617692,0.941,0.7685183333333333,0.9737024199655765,0.775219723149455
0.37260000000000004,0.620553,0.9636666666666667,0.7739286666666666,1.003314327022375,0.7804105679049207
0.37560000000000004,0.619774,0.9819999999999999,0.7762190000000001,1.0329262340791736,0.7855008784825537
0.37860000000000005,0.620645,1.0,0.7798966666666667,1.0625381411359722,0.7890487727231198
0.38110000000000005,0.625069,1.0205000000000002,0.782659,1.0921500481927708,0.792976710626305
0.3831,0.630206,1.041,0.7871982500000001,1.1217619552495695,0.795923043537094
0.3851,0.63518,1.061,0.78892725,1.151373862306368,0.7986981352759758
0.3871,0.637018,1.081,0.7912920000000001,1.180985769363167,0.8015279873839359
0.3891,0.641803,1.101,0.79409975,1.2105976764199655,0.8042513701647088
0.3911,0.64518,1.121,0.79583275,1.2402095834767641,0.8067279505511524
0.3931,0.648527,1.141,0.7983625,1.2698214905335627,0.8075765575943098
0.3951,0.651469,1.161,0.7990315,1.2994333975903614,0.8088485127294122
0.3971,0.652598,1.181,0.8015295,1.32904530464716,0.8105970148252623
0.3991,0.653933,1.201,0.8030265,1.3586572117039586,0.8112401247708219
0.4011,0.655671,1.221,0.8056272499999999,1.3882691187607572,0.8122574020949777
0.4031,0.658234,1.241,0.8067507500000001,1.4178810258175558,0.8132910427283521
0.4051,0.659422,1.2610000000000001,0.8073025,1.4474929328743544,0.8170418822234706
0.4071,0.661896,1.2810000000000001,0.8079667500000001,1.477104839931153,0.8167584268787892
0.4091,0.663131,1.3010000000000002,0.8089567499999999,1.5067167469879517,0.818058471810793
0.4111,0.665346,1.321,0.8104047499999999,1.5363286540447503,0.8202824720514649
0.4128,0.669311,1.3409999999999997,0.81069575,1.565940561101549,0.8221448669917336
0.4158,0.670047,1.361,0.81129375,1.5955524681583475,0.8220061088181886
0.4188,0.671836,1.3809999999999998,0.8117095000000001,1.6251643752151461,0.8218743645027543
0.4218,0.674848,1.401,0.813131,1.6547762822719447,0.8229625260736858
0.4248,0.678332,1.4209999999999998,0.8135414999999999,1.6843881893287433,0.825267315233956
0.4278,0.67939,1.441,0.8167690000000001,1.714000096385542,0.8250385300811529
0.4308,0.684424,1.4609999999999999,0.81658075,1.7436120034423406,0.8240106514364857
0.4338,0.686671,1.481,0.8168995,1.7732239104991392,0.8266684044012004
0.4368,0.688485,1.501,0.8177257499999999,1.8028358175559378,0.8264374692194608
0.4398,0.688942,1.5210000000000001,0.8190700000000001,1.8324477246127364,0.8260965648574051
0.4428,0.692617,1.54,0.8205840000000001,1.862059631669535,0.826521703817887
0.44580000000000003,0.6944,1.558,0.821879,1.8916715387263339,0.8228845038741934
0.44880000000000003,0.696941,1.5844999999999998,0.8221506,1.9212834457831325,0.8210990032938617
0.45130000000000003,0.697401,1.6195,0.8218316,1.950895352839931,0.8239282489495565
0.45330000000000004,0.697882,1.6580833333333336,0.8231915000000001,1.9805072598967297,0.8283637897118143
0.45530000000000004,0.701111,1.7,0.8256988,2.0101191669535283,0.8295643964238978
0.4573,0.702517,1.7399999999999998,0.8238856,2.039731074010327,0.8298756736541318
0.4593,0.702527,1.78,0.8270366000000001,2.0693429810671256,0.8321358638088937
0.4613,0.704519,1.82,0.8257964999999999,2.098954888123924,0.8364924504867333
0.4633,0.705009,1.86,0.8266365,2.128566795180723,0.8396486858706107
0.4653,0.706146,1.9000000000000001,0.82191375,2.1581787022375214,0.8368984919192926
0.4673,0.706658,1.9400000000000002,0.822395,2.18779060929432,0.8322186999266421
0.4693,0.707908,1.9800000000000002,0.8283115000000001,2.2174025163511186,0.8308974646731728
0.4713,0.705627,2.02,0.8295812499999999,2.2470144234079172,0.8293769977909574
0.4733,0.708304,2.0599999999999996,0.8311037499999999,2.276626330464716,0.8298828297744029
0.4753,0.708136,2.1,0.8366502499999999,2.3062382375215145,0.8332203616130363
