Wavelength (µm),Pigeonite hs199.17843,Wavelength (µm) target,Pigeonite hs199.17843 target
0.6107,0.176164,1.9432,0.176504
0.6123,0.176896,1.9532,0.175437
0.6139,0.176054,1.9631,0.174946
0.6155,0.178135,1.9731,0.173504
0.6171,0.175013,1.9831,0.178306
0.6187,0.177828,1.9931,0.174645
0.6203,0.17921,2.0031,0.175088
0.6219,0.175524,2.013,0.176954
0.6235,0.176647,2.023,0.176379
0.6251,0.17953,2.033,0.176944
0.6267,0.177202,2.043,0.176157
0.6283,0.177005,2.053,0.178327
0.6299,0.176948,2.0629,0.175834
0.6317,0.17847,2.0729,0.172553
0.6337,0.178286,2.0829,0.174366
0.6357,0.177796,2.0929,0.174001
0.6377,0.179267,2.1029,0.177019
0.6397,0.17835,2.1128,0.176583
0.6417,0.17708,2.1228,0.176666
0.6437,0.175831,2.1328,0.181494
0.6457,0.180298,2.1428,0.180052
0.6477,0.177393,2.1528,0.178399
0.6497,0.177962,2.1628,0.175584
0.6517,0.177052,2.1727,0.180334
0.6537,0.179357,2.1827,0.178498
0.6557,0.178511,2.1927,0.176369
0.6577,0.177373,2.2027,0.176585
0.6597,0.179246,2.2127,0.180171
0.6617,0.178942,2.2226,0.180932
0.6637,0.177793,2.2326,0.178918
0.6657,0.178641,2.2426,0.181383
0.6677,0.179802,2.2526,0.181899
0.6702,0.178487,2.2626,0.182676
0.6732,0.179276,2.2725,0.178754
0.6762,0.179829,2.2825,0.180353
0.6792,0.179812,2.2925,0.181696
0.6822,0.180623,2.3025,0.179006
0.6852,0.179853,2.3125,0.183215
0.6882,0.180276,2.3224,0.182427
0.6912,0.181,2.3324,0.180616
0.6942,0.180004,2.3424,0.178365
0.6972,0.181538,2.3524,0.185261
0.7002,0.183409,2.3624,0.184495
0.702,0.183196,2.3724,0.186536
0.704,0.182676,2.3823,0.193993
0.706,0.182374,2.4023,0.191595
0.708,0.181446,2.4223,0.190593
0.71,0.181745,2.4422,0.19482
0.712,0.181642,2.4622,0.195567
0.714,0.182055,2.4921,0.20313
0.716,0.18319,2.532,0.203127
0.718,0.183986,2.562,0.206631
0.72,0.184698,2.5919,0.211189
0.722,0.183028,2.6219,0.214248
