Wavelength (µm),Augite ws592.3247,Wavelength (µm) target,Augite ws592.3247 target
1.006,0.242471,,
1.012,0.239114,,
1.018,0.240097,,
1.0235,0.239855,,
1.0285,0.236998,,
1.0335,0.241641,,
1.0385,0.242228,,
1.0435,0.244289,,
1.0485,0.247132,,
1.0535,0.249736,,
1.0585,0.252345,,
1.0635,0.256958,,
1.0685,0.260555,,
1.0735,0.263763,,
1.0785,0.267575,,
1.0835,0.273104,,
1.0885,0.27977,,
1.0935,0.28482,,
1.0985,0.285029,,
1.1035,0.293785,,
1.1085,0.300125,,
1.1135,0.305556,,
1.1185,0.31348,,
1.1235,0.319884,,
1.1285,0.324634,,
1.1335,0.330601,,
1.1385,0.336122,,
1.1435,0.339521,,
1.1485,0.342924,,
1.1535,0.351232,,
1.1585,0.356164,,
1.1635,0.361454,,
1.1685,0.365777,,
1.1735,0.370223,,
1.1785,0.375329,,
1.1835,0.377222,,
1.1885,0.382798,,
1.1935,0.383997,,
1.1985,0.384599,,
1.2035,0.391056,,
1.2085,0.394216,,
1.2135,0.40037,,
1.2185,0.400033,,
1.2235,0.402788,,
1.2285,0.405361,,
1.2335,0.409469,,
1.2385,0.411849,,
1.2435,0.414276,,
1.2485,0.415838,,
1.2535,0.420889,,
1.2585,0.424064,,
1.2635,0.424998,,
1.2685,0.425247,,
1.2735,0.430534,,
1.2785,0.432497,,
1.2835,0.435141,,
1.2885,0.437642,,
1.2935,0.438444,,
1.2985,0.442102,,
1.3035,0.443538,,
1.3085,0.447379,,
1.3135,0.451669,,
1.3185,0.453508,,
1.3235,0.453193,,
1.3285,0.456625,,
1.3335,0.456245,,
1.3385,0.459959,,
1.3435,0.461681,,
1.3485,0.46619,,
1.3535,0.463562,,
1.3585,0.467019,,
1.3635,0.470746,,
1.3685,0.473714,,
1.3735,0.477356,,
1.3785,0.474172,,
1.3835,0.476435,,
1.3885,0.475841,,
1.3935,0.478694,,
1.3985,0.485312,,
1.4035,0.484968,,
1.4085,0.48162,,
1.4135,0.48733,,
1.4185,0.48841,,
1.4235,0.494088,,
1.4285,0.495768,,
1.4335,0.495289,,
1.4385,0.498482,,
1.4435,0.501108,,
1.4485,0.505594,,
1.4535,0.505374,,
1.4585,0.507541,,
1.4635,0.512366,,
1.4685,0.511614,,
1.4735,0.51507,,
1.4785,0.514792,,
1.4835,0.519637,,
1.4885,0.520257,,
1.4935,0.522871,,
1.4985,0.527894,,
1.5035,0.525795,,
1.5085,0.525591,,
1.5135,0.52892,,
1.5185,0.530397,,
1.5235,0.532374,,
1.5285,0.532093,,
1.534,0.535013,,
1.54,0.539179,,
1.546,0.54151,,
1.552,0.542052,,
1.558,0.544132,,
1.564,0.545796,,
1.5705,0.54586,,
1.5775,0.546206,,
1.5845,0.54721,,
1.5915,0.550318,,
1.5985,0.551399,,
1.6055,0.551822,,
1.6125,0.55369,,
1.6195,0.554896,,
1.6265,0.554743,,
1.6335,0.552095,,
1.6405,0.555525,,
1.6475,0.555198,,
1.6545,0.553602,,
1.6615,0.556407,,
1.6685,0.556146,,
1.676,0.554885,,
1.684,0.5561,,
